# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.237
metadata : {}


# id : NWRW1800000029.237.1.1
‘논문 인용지수’ 대폭 반영… 학술지 평가 까다로워진다

‘논문	‘/SS+논문/NNG
인용지수’	인용/NNG+지수/NNG+’/SS
대폭	대폭/MAG
반영…	반영/NNG+…/SE
학술지	학술지/NNG
평가	평가/NNG
까다로워진다	까다롭/VA+어/EC+지/VX+ㄴ다/EF


# id : NWRW1800000029.237.2.1
한국연구재단, 質관리 강화… 배점 최대 50점까지 확대

한국연구재단,	한국연구재단/NNP+,/SP
質관리	質/SH+관리/NNG
강화…	강화/NNG+…/SE
배점	배점/NNG
최대	최대/NNG
50점까지	50/SN+점/NNB+까지/JX
확대	확대/NNG


# id : NWRW1800000029.237.3.1
한국연구재단의 국내 학술지 평가가 까다로워진다.

한국연구재단의	한국연구재단/NNP+의/JKG
국내	국내/NNG
학술지	학술지/NNG
평가가	평가/NNG+가/JKS
까다로워진다.	까다롭/VA+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.237.3.2
등재후보 및 등재지, 등재 유지 여부를 평가할 때 지금까지는 발행기관과 횟수 등 형식적인 부분을 주로 봤지만 앞으로는 논문의 질을 더 중시하는 식으로 바뀐다.

등재후보	등재/NNG+후보/NNG
및	및/MAG
등재지,	등재지/NNG+,/SP
등재	등재/NNG
유지	유지/NNG
여부를	여부/NNG+를/JKO
평가할	평가/NNG+하/XSV+ㄹ/ETM
때	때/NNG
지금까지는	지금/NNG+까지/JX+는/JX
발행기관과	발행/NNG+기관/NNG+과/JC
횟수	횟수/NNG
등	등/NNB
형식적인	형식/NNG+적/XSN+이/VCP+ㄴ/ETM
부분을	부분/NNG+을/JKO
주로	주로/MAG
봤지만	보/VV+았/EP+지만/EC
앞으로는	앞/NNG+으로/JKB+는/JX
논문의	논문/NNG+의/JKG
질을	질/NNG+을/JKO
더	더/MAG
중시하는	중시/NNG+하/XSV+는/ETM
식으로	식/NNB+으로/JKB
바뀐다.	바뀌/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.237.4.1
▶본보 4월 19일자 A1·3면, 20일자 A5면 참조

▶본보	▶/SW+본보/NNG
4월	4/SN+월/NNB
19일자	19/SN+일/NNB+자/NNG
A1·3면,	A/SL+1/SN+·/SP+3/SN+면/NNG+,/SP
20일자	20/SN+일/NNB+자/NNG
A5면	A/SL+5/SN+면/NNG
참조	참조/NNG


# id : NWRW1800000029.237.5.1
‘KCI 지수’로 분석한 대한민국 학계 현주소

‘KCI	‘/SS+KCI/SL
지수’로	지수/NNG+’/SS+로/JKB
분석한	분석/NNG+하/XSV+ㄴ/ETM
대한민국	대한민국/NNP
학계	학계/NNG
현주소	현주소/NNG


# id : NWRW1800000029.237.6.1
19일자 A1면 논문 10편중 8편 한번도 인용 안돼

19일자	19/SN+일/NNB+자/NNG
A1면	A/SL+1/SN+면/NNG
논문	논문/NNG
10편중	10/SN+편/NNB+중/NNB
8편	8/SN+편/NNB
한번도	한번/NNG+도/JX
인용	인용/NNG
안돼	안/MAG+되/XSV+어/EF


# id : NWRW1800000029.237.7.1
19일자 A3면 <上> 겉핥기식 평가 틀이 바뀐다

19일자	19/SN+일/NNB+자/NNG
A3면	A/SL+3/SN+면/NNG
<上>	</SS+上/SH+>/SS
겉핥기식	겉핥기식/NNG
평가	평가/NNG
틀이	틀/NNG+이/JKS
바뀐다	바뀌/VV+ㄴ다/EF


# id : NWRW1800000029.237.8.1
20일자 A5면 <下> “질적 향상” 변화를 모색하다

20일자	20/SN+일/NNB+자/NNG
A5면	A/SL+5/SN+면/NNG
<下>	</SS+下/SH+>/SS
“질적	“/SS+질/NNG+적/XSN
향상”	향상/NNG+”/SS
변화를	변화/NNG+를/JKO
모색하다	모색/NNG+하/XSV+다/EF


# id : NWRW1800000029.237.9.1
한국연구재단 관계자는 27일 “분야별 학자로 구성된 위원회를 만들어 학술지 평가제도 개선방안을 마련하는 중이다”고 밝혔다.

한국연구재단	한국연구재단/NNP
관계자는	관계자/NNG+는/JX
27일	27/SN+일/NNB
“분야별	“/SS+분야/NNG+별/XSN
학자로	학자/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
위원회를	위원회/NNG+를/JKO
만들어	만들/VV+어/EC
학술지	학술지/NNG
평가제도	평가/NNG+제도/NNG
개선방안을	개선/NNG+방안/NNG+을/JKO
마련하는	마련/NNG+하/XSV+는/ETM
중이다”고	중/NNB+이/VCP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.237.9.2
등재(후보) 학술지가 2000종이 넘을 정도로 늘면서 부실한 학술지가 많다는 지적에 따른 것이다.

등재(후보)	등재/NNG+(/SS+후보/NNG+)/SS
학술지가	학술지/NNG+가/JKS
2000종이	2000/SN+종/NNG+이/JKS
넘을	넘/VV+을/ETM
정도로	정도/NNG+로/JKB
늘면서	늘/VV+면서/EC
부실한	부실/NNG+하/XSA+ㄴ/ETM
많다는	많/VA+다는/ETM
지적에	지적/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.237.10.1
재단은 학술단체가 학술지 등재신청을 하면 전문성과 발행횟수, 논문 게재율을 평가해 80점(100점 만점) 이상 받으면 등재후보지로 지정하고 2년 연속 80점 이상을 받으면 등재지로 확정하고 있다.

재단은	재단/NNG+은/JX
학술단체가	학술/NNG+단체/NNG+가/JKS
학술지	학술지/NNG
등재신청을	등재/NNG+신청/NNG+을/JKO
하면	하/VV+면/EC
전문성과	전문/NNG+성/XSN+과/JC
발행횟수,	발행/NNG+횟수/NNG+,/SP
논문	논문/NNG
게재율을	게재/NNG+율/XSN+을/JKO
평가해	평가/NNG+하/XSV+아/EC
80점(100점	80/SN+점/NNB+(/SS+100/SN+점/NNB
만점)	만점/NNG+)/SS
이상	이상/NNG
받으면	받/VV+으면/EC
등재후보지로	등재/NNG+후보지/NNG+로/JKB
지정하고	지정/NNG+하/XSV+고/EC
2년	2/SN+년/NNB
연속	연속/NNG
80점	80/SN+점/NNB
이상을	이상/NNG+을/JKO
등재지로	등재지/NNG+로/JKB
확정하고	확정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.237.10.2
이후에도 2년마다 평가해서 등재 유지 여부를 결정한다.

이후에도	이후/NNG+에/JKB+도/JX
2년마다	2/SN+년/NNB+마다/JX
평가해서	평가/NNG+하/XSV+아서/EC
등재	등재/NNG
유지	유지/NNG
여부를	여부/NNG+를/JKO
결정한다.	결정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.237.11.1
이 과정에서 지금까지 평가에 거의 반영하지 않던 한국학술지인용색인(KCI)의 배점을 늘리기로 했다.

이	이/MMD
과정에서	과정/NNG+에서/JKB
지금까지	지금/NNG+까지/JX
