# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.259
metadata : {}


# id : NWRW1800000038.259.1.1
'아마' 접수한 이창우, KPGA 정상 서다

'아마'	'/SS+아마/NNG+'/SS
접수한	접수/NNG+하/XSV+ㄴ/ETM
이창우,	이창우/NNP+,/SP
KPGA	KPGA/SL
정상	정상/NNG
서다	서/VV+다/EF


# id : NWRW1800000038.259.2.1
프로미오픈 5타차 뒤집고 우승… "롤모델 김경태 선배처럼 亞게임 金 따고 프로 전향할 것"

프로미오픈	프로미/NNP+오픈/NNG
5타차	5/SN+타/NNG+차/NNG
뒤집고	뒤집/VV+고/EC
우승…	우승/NNG+…/SE
"롤모델	"/SS+롤/NNG+모델/NNG
김경태	김경태/NNP
선배처럼	선배/NNG+처럼/JKB
亞게임	亞/SH+게임/NNG
金	金/SH
따고	따/VV+고/EC
프로	프로/NNG
전향할	전향/NNG+하/XSV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000038.259.3.1
아마추어 이창우(20·한국체대2)가 쟁쟁한 프로들을 제치고 정상에 올랐다.

아마추어	아마추어/NNG
이창우(20·한국체대2)가	이창우/NNP+(/SS+20/SN+·/SP+한국체대/NNP+2/SN+)/SS+가/JKS
쟁쟁한	쟁쟁하/VA+ㄴ/ETM
프로들을	프로/NNG+들/XSN+을/JKO
제치고	제치/VV+고/EC
정상에	정상/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.259.4.1
이창우는 15일 강원도 횡성의 웰리힐리골프장(파72·7271야드)에서 끝난 한국남자프로골프(KPGA) 투어 동부화재 프로미오픈(총상금 4억원) 4라운드에서 최종 합계 13언더파 275타로 우승했다.

이창우는	이창우/NNP+는/JX
15일	15/SN+일/NNB
강원도	강원도/NNP
횡성의	횡성/NNP+의/JKG
웰리힐리골프장(파72·7271야드)에서	웰리힐리골프장/NNP+(/SS+파/NNG+72/SN+·/SP+7271/SN+야드/NNB+)/SS+에서/JKB
끝난	끝나/VV+ㄴ/ETM
한국남자프로골프(KPGA)	한국/NNP+남자/NNG+프로/NNG+골프/NNG+(/SS+KPGA/SL+)/SS
투어	투어/NNG
동부화재	동부화재/NNP
프로미오픈(총상금	프로미/NNP+오픈/NNG+(/SS+총상금/NNG
4억원)	4/SN+억/NR+원/NNB+)/SS
4라운드에서	4/SN+라운드/NNG+에서/JKB
최종	최종/NNG
합계	합계/NNG
13언더파	13/SN+언더/NNG+파/NNG
275타로	275/SN+타/NNG+로/JKB
우승했다.	우승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.259.4.2
4라운드를 선두에 5타 뒤진 공동 3위로 출발한 이창우는 이날 버디 6개, 보기 2개로 4타를 줄였다.

4라운드를	4/SN+라운드/NNG+를/JKO
선두에	선두/NNG+에/JKB
5타	5/SN+타/NNG
뒤진	뒤지/VV+ㄴ/ETM
공동	공동/NNG
3위로	3/SN+위/NNB+로/JKB
출발한	출발/NNG+하/XSV+ㄴ/ETM
이창우는	이창우/NNP+는/JX
이날	이날/NNG
버디	버디/NNG
6개,	6/SN+개/NNB+,/SP
보기	보기/NNG
2개로	2/SN+개/NNB+로/JKB
4타를	4/SN+타/NNG+를/JKO
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.259.4.3
공동 2위 김승혁과 송영한(이상 12언더파)을 1타 차로 따돌리고 역전 우승을 차지했다.

공동	공동/NNG
2위	2/SN+위/NNB
김승혁과	김승혁/NNP+과/JC
송영한(이상	송영한/NNP+(/SS+이상/NNG
12언더파)을	12/SN+언더/NNG+파/NNG+)/SS+을/JKO
1타	1/SN+타/NNG
차로	차/NNG+로/JKB
따돌리고	따돌리/VV+고/EC
역전	역전/NNG
우승을	우승/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.259.5.1
이창우는 전반에 보기 없이 버디만 3개 잡으며 선두 추격에 나섰다.

이창우는	이창우/NNP+는/JX
전반에	전반/NNG+에/JKB
보기	보기/NNG
없이	없이/MAG
버디만	버디/NNG+만/JX
3개	3/SN+개/NNB
잡으며	잡/VV+으며/EC
선두	선두/NNG
추격에	추격/NNG+에/JKB
