# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.8
metadata : {}


# id : NWRW1800000045.8.1.1
만원어치 약 팔고 연구비는 달랑 백원

만원어치	만/NR+원/NNB+어치/XSN
약	약/NNG
팔고	팔/VV+고/EC
연구비는	연구비/NNG+는/JX
달랑	달랑/MAG
백원	백/NR+원/NNB


# id : NWRW1800000045.8.2.1
일부 제약사 R&D투자 인색

일부	일부/NNG
제약사	제약사/NNG
R&D투자	R/SL+&/SW+D/SL+투자/NNG
인색	인색/NNG


# id : NWRW1800000045.8.3.1
국내 제약회사들의 매출액 대비 연구개발(R&D) 투자 규모가 글로벌 업체의 투자 수준에 크게 못 미치는 것으로 나타났다.

국내	국내/NNG
제약회사들의	제약/NNG+회사/NNG+들/XSN+의/JKG
매출액	매출액/NNG
대비	대비/NNG
연구개발(R&D)	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS
투자	투자/NNG
규모가	규모/NNG+가/JKS
글로벌	글로벌/NNG
업체의	업체/NNG+의/JKG
수준에	수준/NNG+에/JKB
크게	크/VA+게/EC
못	못/MAG
미치는	미치/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.8.3.2
정부가 3월 신약 개발업체의 특허권을 강화하는 내용의 ‘허가-특허 연계제도’를 시행하는 등 R&D의 중요성이 더욱 높아지고 있음에도 아직 국내 업체들의 움직임은 더딘 것으로 분석된다.

정부가	정부/NNG+가/JKS
3월	3/SN+월/NNB
신약	신약/NNG
개발업체의	개발업체/NNG+의/JKG
특허권을	특허/NNG+권/XSN+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
‘허가-특허	‘/SS+허가/NNG+-/SO+특허/NNG
연계제도’를	연계/NNG+제도/NNG+’/SS+를/JKO
시행하는	시행/NNG+하/XSV+는/ETM
등	등/NNB
R&D의	R/SL+&/SW+D/SL+의/JKG
중요성이	중요/NNG+성/XSN+이/JKS
더욱	더욱/MAG
높아지고	높아지/VV+고/EC
있음에도	있/VX+음/ETN+에/JKB+도/JX
아직	아직/MAG
국내	국내/NNG
업체들의	업체/NNG+들/XSN+의/JKG
움직임은	움직임/NNG+은/JX
더딘	더디/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.8.4.1
21일 동아일보가 국내 10대 제약회사(매출액 기준)의 지난해 사업보고서를 분석한 결과, 이들 업체의 매출액 대비 연구개발비 비중은 평균 10.8%로 집계됐다.

21일	21/SN+일/NNB
동아일보가	동아일보/NNP+가/JKS
국내	국내/NNG
10대	10/SN+대/NNG
제약회사(매출액	제약/NNG+회사/NNG+(/SS+매출액/NNG
기준)의	기준/NNG+)/SS+의/JKG
지난해	지난해/NNG
사업보고서를	사업/NNG+보고서/NNG+를/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
이들	이/NP+들/XSN
업체의	업체/NNG+의/JKG
매출액	매출액/NNG
대비	대비/NNG
연구개발비	연구/NNG+개발비/NNG
비중은	비중/NNG+은/JX
평균	평균/NNG
10.8%로	10/SN+./SP+8/SN+%/SW+로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.8.5.1
R&D 비중과 규모 모두에서 수위에 오른 회사는 매출액(5820억 원)의 26.2%인 1525억 원을 투자한 한미약품이었다.

R&D	R/SL+&/SW+D/SL
비중과	비중/NNG+과/JC
규모	규모/NNG
모두에서	모두/NNG+에서/JKB
수위에	수위/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
회사는	회사/NNG+는/JX
매출액(5820억	매출액/NNG+(/SS+5820/SN+억/NR
원)의	원/NNB+)/SS+의/JKG
26.2%인	26/SN+./SP+2/SN+%/SW+이/VCP+ㄴ/ETM
1525억	1525/SN+억/NR
원을	원/NNB+을/JKO
투자한	투자/NNG+하/XSV+ㄴ/ETM
한미약품이었다.	한미약품/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.8.5.2
한미약품은 최근 수년간 R&D 투자 규모를 늘려왔다.

한미약품은	한미약품/NNP+은/JX
최근	최근/NNG
수년간	수년/NNG+간/XSN
R&D	R/SL+&/SW+D/SL
투자	투자/NNG
규모를	규모/NNG+를/JKO
늘려왔다.	늘리/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.8.5.3
그 결과 지난달에는 글로벌 제약회사인 일라이릴리와 국내 제약업체로서는 최대 규모인 7800억 원 상당의 신약 수출 계약을 맺는 성과를 거두기도 했다.

그	그/MMD
결과	결과/NNG
지난달에는	지난달/NNG+에/JKB+는/JX
글로벌	글로벌/NNG
제약회사인	제약/NNG+회사/NNG+이/VCP+ㄴ/ETM
일라이릴리와	일라이릴리/NNP+와/JKB
국내	국내/NNG
제약업체로서는	제약업체/NNG+로서/JKB+는/JX
최대	최대/NNG
규모인	규모/NNG+이/VCP+ㄴ/ETM
7800억	7800/SN+억/NR
원	원/NNB
상당의	상당/NNG+의/JKG
신약	신약/NNG
수출	수출/NNG
계약을	계약/NNG+을/JKO
맺는	맺/VV+는/ETM
성과를	성과/NNG+를/JKO
거두기도	거두/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.8.5.4
LG생명과학(19.5%), 종근당(13.7%), 대웅제약(12.3%) 등도 매출액 대비 R&D 비중이 상대적으로 높았다.

LG생명과학(19.5%),	LG생명과학/NNP+(/SS+19/SN+./SP+5/SN+%/SW+)/SS+,/SP
종근당(13.7%),	종근당/NNP+(/SS+13/SN+./SP+7/SN+%/SW+)/SS+,/SP
대웅제약(12.3%)	대웅제약/NNP+(/SS+12/SN+./SP+3/SN+%/SW+)/SS
등도	등/NNB+도/JX
매출액	매출액/NNG
대비	대비/NNG
R&D	R/SL+&/SW+D/SL
비중이	비중/NNG+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000045.8.6.1
그렇지만 국내 10대 제약사들의 R&D 투자 비중은 글로벌 제약회사들과 비교할 때 그다지 높지 않은 편이다.

그렇지만	그렇지만/MAJ
국내	국내/NNG
10대	10/SN+대/NNG
제약사들의	제약사/NNG+들/XSN+의/JKG
R&D	R/SL+&/SW+D/SL
투자	투자/NNG
비중은	비중/NNG+은/JX
글로벌	글로벌/NNG
제약회사들과	제약/NNG+회사/NNG+들/XSN+과/JKB
비교할	비교/NNG+하/XSV+ㄹ/ETM
때	때/NNG
그다지	그다지/MAG
높지	높/VA+지/EC
않은	않/VX+은/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


