# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.303
metadata : {}


# id : NWRW1800000036.303.1.1
“골프채는 골퍼의 마음을 읽는다”

“골프채는	“/SS+골프채/NNG+는/JX
골퍼의	골퍼/NNG+의/JKG
마음을	마음/NNG+을/JKO
읽는다”	읽/VV+는다/EF+”/SS


# id : NWRW1800000036.303.2.1
[한겨레] 혼마골프 개발본부장 스와

[한겨레]	[/SS+한겨레/NNP+]/SS
혼마골프	혼마골프/NNP
개발본부장	개발/NNG+본부장/NNG
스와	스와/NNP


# id : NWRW1800000036.303.3.1
“동양인 체형 맞게 만들어야”

“동양인	“/SS+동양인/NNG
체형	체형/NNG
맞게	맞/VV+게/EC
만들어야”	만들/VV+어야/EC+”/SS


# id : NWRW1800000036.303.4.1
한국에서 혼마 골프채의 이미지는 재산이 있는 나이든 골퍼들이 쓰는 골프채였다.

한국에서	한국/NNP+에서/JKB
혼마	혼마/NNP
골프채의	골프채/NNG+의/JKG
이미지는	이미지/NNG+는/JX
재산이	재산/NNG+이/JKS
있는	있/VA+는/ETM
나이든	나이/NNG+들/VV+ㄴ/ETM
골퍼들이	골퍼/NNG+들/XSN+이/JKS
쓰는	쓰/VV+는/ETM
골프채였다.	골프채/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.303.4.2
그런 혼마가 이미지 변신에 애쓰고 있다.

그런	그런/MMD
혼마가	혼마/NNP+가/JKS
이미지	이미지/NNG
변신에	변신/NNG+에/JKB
애쓰고	애쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.303.4.3
올 들어 한국의 여자프로골퍼들을 집중 공략했다.

올	올/NNG
들어	들/VV+어/EC
한국의	한국/NNP+의/JKG
여자프로골퍼들을	여자/NNG+프로/NNG+골퍼/NNG+들/XSN+을/JKO
집중	집중/NNG
공략했다.	공략/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.303.4.4
혼마의 용품을 지원받은 김자영, 양수진 등 국내 정상 골퍼들이 6개 대회 가운데 3개 대회 정상에 오르며 혼마 이미지를 ‘젊은 고급채’로 바꾸고 있다.

혼마의	혼마/NNP+의/JKG
용품을	용품/NNG+을/JKO
지원받은	지원/NNG+받/XSV+은/ETM
김자영,	김자영/NNP+,/SP
양수진	양수진/NNP
등	등/NNB
국내	국내/NNG
정상	정상/NNG
골퍼들이	골퍼/NNG+들/XSN+이/JKS
6개	6/SN+개/NNB
대회	대회/NNG
가운데	가운데/NNG
3개	3/SN+개/NNB
정상에	정상/NNG+에/JKB
오르며	오르/VV+며/EC
혼마	혼마/NNP
이미지를	이미지/NNG+를/JKO
‘젊은	‘/SS+젊/VA+은/ETM
고급채’로	고급/NNG+채/NNG+’/SS+로/JKB
바꾸고	바꾸/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.303.4.5
최근 출시된 베레스 시리즈의 ‘키와미’ 골프채도 이름 자체가 ‘극(極)한’의 뜻처럼 젊은 취향이다.

최근	최근/NNG
출시된	출시/NNG+되/XSV+ㄴ/ETM
베레스	베레스/NNP
시리즈의	시리즈/NNG+의/JKG
‘키와미’	‘/SS+키와미/NNP+’/SS
골프채도	골프채/NNG+도/JX
이름	이름/NNG
자체가	자체/NNG+가/JKS
‘극(極)한’의	‘/SS+극/NNG+(/SS+極/SH+)/SS+한/NNG+’/SS+의/JKG
뜻처럼	뜻/NNG+처럼/JKB
젊은	젊/VA+은/ETM
취향이다.	취향/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.303.5.1
지난 1년 반 동안 키와미 개발에 몰두한 혼마골프 사카타공장 공장장겸 개발본부장 스와 히로시(57·사진)가 이 골프채 홍보를 위해 한국에 왔다.

지난	지나/VV+ㄴ/ETM
1년	1/SN+년/NNB
반	반/NNG
동안	동안/NNG
키와미	키와미/NNP
개발에	개발/NNG+에/JKB
몰두한	몰두/NNG+하/XSV+ㄴ/ETM
혼마골프	혼마골프/NNP
사카타공장	사카타공장/NNP
공장장겸	공장장/NNG+겸/NNB
개발본부장	개발/NNG+본부장/NNG
스와	스와/NNP
히로시(57·사진)가	히로시/NNP+(/SS+57/SN+·/SP+사진/NNG+)/SS+가/JKS
이	이/MMD
골프채	골프채/NNG
홍보를	홍보/NNG+를/JKO
위해	위하/VV+아/EC
한국에	한국/NNP+에/JKB
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.303.5.2
그는 한창때는 4언더파까지 쳤고, 지금도 싱글 핸디.

그는	그/NP+는/JX
한창때는	한창때/NNG+는/JX
4언더파까지	4/SN+언더/NNG+파/NNG+까지/JX
쳤고,	치/VV+었/EP+고/EC+,/SP
지금도	지금/NNG+도/JX
싱글	싱글/NNG
핸디.	핸디/NNG+./SF


# id : NWRW1800000036.303.6.1
16살 때 동네 골프장에서 아르바이트하며 골프를 처음 접한 스와는 골프가 너무 재미있어서 욕심이 생겼다.

16살	16/SN+살/NNB
때	때/NNG
동네	동네/NNG
골프장에서	골프장/NNG+에서/JKB
아르바이트하며	아르바이트/NNG+하/XSV+며/EC
골프를	골프/NNG+를/JKO
처음	처음/NNG
접한	접하/VV+ㄴ/ETM
스와는	스와/NNP+는/JX
골프가	골프/NNG+가/JKS
너무	너무/MAG
재미있어서	재미있/VA+어서/EC
욕심이	욕심/NNG+이/JKS
생겼다.	생기/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.303.6.2
프로선수가 되고 싶은 것이 아니라 골프채를 직접 만들고 싶어진 것이다.

프로선수가	프로/NNG+선수/NNG+가/JKC
되고	되/VV+고/EC
싶은	싶/VX+은/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
골프채를	골프채/NNG+를/JKO
직접	직접/MAG
만들고	만들/VV+고/EC
싶어진	싶/VX+어/EC+지/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.303.7.1
“처음에 헤드와 샤프트 모두 나무를 깎아 만들기 시작했다.

“처음에	“/SS+처음/NNG+에/JKB
헤드와	헤드/NNG+와/JC
샤프트	샤프트/NNG
모두	모두/MAG
나무를	나무/NNG+를/JKO
깎아	깎/VV+아/EC
만들기	만들/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.303.7.2
돈이 없어 정식 골프채를 살 수 없었기 때문이다.

돈이	돈/NNG+이/JKS
없어	없/VA+어/EC
정식	정식/NNG
골프채를	골프채/NNG+를/JKO
살	사/VV+ㄹ/ETM
수	수/NNB
없었기	없/VA+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.303.7.3
그런데 나무로 만들었는데도 공이 잘 맞았다.”

그런데	그런데/MAJ
나무로	나무/NNG+로/JKB
만들었는데도	만들/VV+었/EP+는데/EC+도/JX
공이	공/NNG+이/JKS
잘	잘/MAG
맞았다.”	맞/VV+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000036.303.8.1
골프채에 대한 열정이 대학 전공(경제학)을 뒤로하고 혼마에 입사하게 만들었다.

골프채에	골프채/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
열정이	열정/NNG+이/JKS
대학	대학/NNG
전공(경제학)을	전공/NNG+(/SS+경제학/NNG+)/SS+을/JKO
뒤로하고	뒤로하/VV+고/EC
혼마에	혼마/NNP+에/JKB
입사하게	입사/NNG+하/XSV+게/EC
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.303.8.2
당시 하와이에 있던 공장에서, 미국 투어를 하고 있는 유명 프로골퍼들의 몸에 맞는 골프채를 제작했다.

당시	당시/NNG
하와이에	하와이/NNP+에/JKB
있던	있/VA+던/ETM
공장에서,	공장/NNG+에서/JKB+,/SP
미국	미국/NNP
투어를	투어/NNG+를/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
유명	유명/NNG
프로골퍼들의	프로/NNG+골퍼/NNG+들/XSN+의/JKG
몸에	몸/NNG+에/JKB
맞는	맞/VV+는/ETM
골프채를	골프채/NNG+를/JKO
제작했다.	제작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.303.9.1
그에겐 혼마의 자존심이 대단했다.

그에겐	그/NP+에게/JKB+ㄴ/JX
혼마의	혼마/NNP+의/JKG
자존심이	자존심/NNG+이/JKS
대단했다.	대단하/VA+았/EP+다/EF+./SF


# id : NWRW1800000036.303.9.2
“타협하지 않는 장인 정신으로 골프채를 만들어 왔다”고 했다.

“타협하지	“/SS+타협/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
장인	장인/NNG
정신으로	정신/NNG+으로/JKB
골프채를	골프채/NNG+를/JKO
만들어	만들/VV+어/EC
왔다”고	오/VX+았/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.303.9.3
그래서 경영 상황이 악화된 상황에서도 일본 내 제작을 고집했다.

그래서	그래서/MAJ
경영	경영/NNG
상황이	상황/NNG+이/JKS
악화된	악화/NNG+되/XSV+ㄴ/ETM
상황에서도	상황/NNG+에서/JKB+도/JX
일본	일본/NNP
내	내/NNB
제작을	제작/NNG+을/JKO
고집했다.	고집/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.303.9.4
인건비가 싸다는 이유로 다른 나라에서 제작하지 않았다.

인건비가	인건비/NNG+가/JKS
싸다는	싸/VA+다는/ETM
이유로	이유/NNG+로/JKB
다른	다른/MMD
나라에서	나라/NNG+에서/JKB
제작하지	제작/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.303.9.5
이른바 ‘메이드 인 재팬’의 고집이 골프채의 명성을 이어올 수 있게 만들었다.

이른바	이른바/MAG
‘메이드	‘/SS+메이드/NNG
인	인/NNG
재팬’의	재팬/NNP+’/SS+의/JKG
고집이	고집/NNG+이/JKS
골프채의	골프채/NNG+의/JKG
명성을	명성/NNG+을/JKO
이어올	잇/VV+어/EC+오/VX+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.303.10.1
이미 바닥으로 떨어진 한국 골프 용품 산업의 육성을 위한 조언을 부탁했다.

이미	이미/MAG
바닥으로	바닥/NNG+으로/JKB
떨어진	떨어지/VV+ㄴ/ETM
한국	한국/NNP
골프	골프/NNG
용품	용품/NNG
산업의	산업/NNG+의/JKG
육성을	육성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
조언을	조언/NNG+을/JKO
부탁했다.	부탁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.303.10.2
그의 답변은 간단명료했다.

그의	그/NP+의/JKG
답변은	답변/NNG+은/JX
간단명료했다.	간단명료하/VA+았/EP+다/EF+./SF


# id : NWRW1800000036.303.11.1
“실력있는 프로골퍼들로부터 어드바이스를 받아 그들의 의견을 수렴한 골프채를 만들어야 한다.

“실력있는	“/SS+실력/NNG+있/VA+는/ETM
프로골퍼들로부터	프로/NNG+골퍼/NNG+들/XSN+로부터/JKB
어드바이스를	어드바이스/NNG+를/JKO
받아	받/VV+아/EC
그들의	그/NP+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
수렴한	수렴/NNG+하/XSV+ㄴ/ETM
골프채를	골프채/NNG+를/JKO
만들어야	만들/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.303.11.2
세계 최고의 무대에서 활약하는 골퍼들이 사용하는 골프채를 일반인들은 선호하게 된다.

세계	세계/NNG
최고의	최고/NNG+의/JKG
무대에서	무대/NNG+에서/JKB
활약하는	활약/NNG+하/XSV+는/ETM
골퍼들이	골퍼/NNG+들/XSN+이/JKS
사용하는	사용/NNG+하/XSV+는/ETM
골프채를	골프채/NNG+를/JKO
일반인들은	일반인/NNG+들/XSN+은/JX
선호하게	선호/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.303.11.3
혼마골프에서 만드는 대부분의 골프채는 선수들의 의견을 최대한 존중한다.”

혼마골프에서	혼마골프/NNP+에서/JKB
만드는	만들/VV+는/ETM
대부분의	대/XPN+부분/NNG+의/JKG
골프채는	골프채/NNG+는/JX
선수들의	선수/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
최대한	최대한/MAG
존중한다.”	존중/NNG+하/XSV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000036.303.12.1
한국 골프 시장은 미국, 일본에 이어 세계 3위의 규모로 평가된다.

한국	한국/NNP
골프	골프/NNG
시장은	시장/NNG+은/JX
미국,	미국/NNP+,/SP
일본에	일본/NNP+에/JKB
이어	잇/VV+어/EC
세계	세계/NNG
3위의	3/SN+위/NNB+의/JKG
규모로	규모/NNG+로/JKB
평가된다.	평가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.303.12.2
스와는 “동양인들은 가능한 동양에서 만든 골프채를 써야 한다.

스와는	스와/NNP+는/JX
“동양인들은	“/SS+동양인/NNG+들/XSN+은/JX
가능한	가능/NNG+하/XSA+ㄴ/ETM
동양에서	동양/NNG+에서/JKB
만든	만들/VV+ㄴ/ETM
골프채를	골프채/NNG+를/JKO
써야	쓰/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.303.12.3
체형이 다르면 스윙이 달라지는데 미국산 골프채는 서양인의 체형에 맞게 제작한 것”이라며 한국 골프 시장에 대한 강한 의욕을 보인다.

체형이	체형/NNG+이/JKS
다르면	다르/VA+면/EC
스윙이	스윙/NNG+이/JKS
달라지는데	달라지/VV+는데/EC
미국산	미국/NNP+산/XSN
골프채는	골프채/NNG+는/JX
서양인의	서양인/NNG+의/JKG
체형에	체형/NNG+에/JKB
맞게	맞/VV+게/EC
제작한	제작/NNG+하/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
한국	한국/NNP
골프	골프/NNG
시장에	시장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강한	강하/VA+ㄴ/ETM
의욕을	의욕/NNG+을/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.303.13.1
“한국 시장은 새로운 도전이다. 이제 골프 입문자들도 혼마를 사용하는 날이 올 것이다.” 이라고 말하는 스와의 표정은 겸손하면서도 자신감이 넘친다.

“한국	“/SS+한국/NNP
시장은	시장/NNG+은/JX
새로운	새롭/VA+ㄴ/ETM
도전이다.	도전/NNG+이/VCP+다/EF+./SF
이제	이제/MAG
골프	골프/NNG
입문자들도	입문자/NNG+들/XSN+도/JX
혼마를	혼마/NNP+를/JKO
사용하는	사용/NNG+하/XSV+는/ETM
날이	날/NNG+이/JKS
올	오/VV+ㄹ/ETM
것이다.”	것/NNB+이/VCP+다/EF+./SF+”/SS
이라고	이라고/JKQ
말하는	말/NNG+하/XSV+는/ETM
스와의	스와/NNP+의/JKG
표정은	표정/NNG+은/JX
겸손하면서도	겸손/NNG+하/XSA+면서/EC+도/JX
자신감이	자신감/NNG+이/JKS
넘친다.	넘치/VV+ㄴ다/EF+./SF


