# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.411
metadata : {}


# id : NWRW1800000026.411.1.1
'서울 4배 땅' 토지거래허가구역 풀린다;대부분 수도권 녹지 서울은 허가구역 중 4분의 1 인천·경기는 절반 풀려

'서울	'/SS+서울/NNP
4배	4/SN+배/NNG
땅'	땅/NNG+'/SS
토지거래허가구역	토지/NNG+거래/NNG+허가/NNG+구역/NNG
풀린다;대부분	풀리/VV+ㄴ다/EF+;/SP+대/XPN+부분/NNG
수도권	수도/NNG+권/XSN
녹지	녹지/NNG
서울은	서울/NNP+은/JX
허가구역	허가/NNG+구역/NNG
중	중/NNB
4분의	4/SN+분/XSN+의/JKG
1	1/SN
인천·경기는	인천/NNP+·/SP+경기/NNP+는/JX
절반	절반/NNG
풀려	풀리/VV+어/EF


# id : NWRW1800000026.411.2.1
우리나라 국토에서 서울시 면적(605.33㎢)의 4배에 달하는 땅(2408㎢)이 15일부터 토지거래허가 대상에서 풀린다.

우리나라	우리나라/NNG
국토에서	국토/NNG+에서/JKB
서울시	서울시/NNP
면적(605.33㎢)의	면적/NNG+(/SS+605/SN+./SP+33/SN+㎢/SW+)/SS+의/JKG
4배에	4/SN+배/NNG+에/JKB
달하는	달하/VV+는/ETM
땅(2408㎢)이	땅/NNG+(/SS+2408/SN+㎢/SW+)/SS+이/JKS
15일부터	15/SN+일/NNB+부터/JX
토지거래허가	토지/NNG+거래/NNG+허가/NNG
대상에서	대상/NNG+에서/JKB
풀린다.	풀리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.411.2.2
이에 따라 이들 땅에 대해서는 관할 시·군·구청장의 사전허가 없이 사고팔 수 있게 돼 토지 거래가 늘어나고 부동산 경기가 활성화될 전망이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
이들	이/NP+들/XSN
땅에	땅/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
관할	관할/NNG
시·군·구청장의	시·군·구청장/NNG+의/JKG
사전허가	사전/NNG+허가/NNG
없이	없이/MAG
사고팔	사고팔/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
돼	되/VV+어/EC
토지	토지/NNG
거래가	거래/NNG+가/JKS
늘어나고	늘어나/VV+고/EC
부동산	부동산/NNG
경기가	경기/NNG+가/JKS
활성화될	활성/NNG+화/XSN+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.411.3.1
국토해양부는 14일 주민 불편 해소를 위해 전국의 토지거래허가구역 2408㎢(약 7억3000만평)를 해제한다고 발표했다.

국토해양부는	국토/NNG+해양부/NNG+는/JX
14일	14/SN+일/NNB
주민	주민/NNG
불편	불편/NNG
해소를	해소/NNG+를/JKO
위해	위하/VV+아/EC
전국의	전국/NNG+의/JKG
토지거래허가구역	토지/NNG+거래/NNG+허가/NNG+구역/NNG
2408㎢(약	2408/SN+㎢/SW+(/SS+약/MMA
7억3000만평)를	7/SN+억/NR+3000/SN+만/NR+평/NNB+)/SS+를/JKO
해제한다고	해제/NNG+하/XSV+ㄴ다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.411.3.2
이는 국토부가 지정해 놓은 전체 허가구역(6882㎢)의 35%에 달한다.

이는	이/NP+는/JX
국토부가	국토부/NNG+가/JKS
지정해	지정/NNG+하/XSV+아/EC
놓은	놓/VX+은/ETM
전체	전체/NNG
허가구역(6882㎢)의	허가/NNG+구역/NNG+(/SS+6882/SN+㎢/SW+)/SS+의/JKG
35%에	35/SN+%/SW+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.411.3.3
토지거래허가구역에서 풀리면 시·군·구청장의 허가 없이 토지거래가 가능하고, 이미 허가를 받아 취득한 토지의 이용 의무기간(2~5년)도 사라지게 된다.

토지거래허가구역에서	토지/NNG+거래/NNG+허가/NNG+구역/NNG+에서/JKB
풀리면	풀리/VV+면/EC
시·군·구청장의	시·군·구청장/NNG+의/JKG
허가	허가/NNG
없이	없이/MAG
토지거래가	토지/NNG+거래/NNG+가/JKS
가능하고,	가능/NNG+하/XSA+고/EC+,/SP
이미	이미/MAG
허가를	허가/NNG+를/JKO
받아	받/VV+아/EC
취득한	취득/NNG+하/XSV+ㄴ/ETM
토지의	토지/NNG+의/JKG
이용	이용/NNG
의무기간(2~5년)도	의무/NNG+기간/NNG+(/SS+2/SN+~/SO+5/SN+년/NNB+)/SS+도/JX
사라지게	사라지/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.411.4.1
이번에 풀리는 땅 중에서 70%는 수도권의 녹지·비도시지역(1688.63㎢)이고, 수도권과 광역권의 그린벨트(719.37㎢)가 30%를 차지한다.

이번에	이번/NNG+에/JKB
풀리는	풀리/VV+는/ETM
땅	땅/NNG
중에서	중/NNB+에서/JKB
70%는	70/SN+%/SW+는/JX
수도권의	수도/NNG+권/XSN+의/JKG
녹지·비도시지역(1688.63㎢)이고,	녹지/NNG+·/SP+비/XPN+도시/NNG+지역/NNG+(/SS+1688/SN+./SP+63/SN+㎢/SW+)/SS+이/VCP+고/EC+,/SP
수도권과	수도/NNG+권/XSN+과/JC
광역권의	광역/NNG+권/XSN+의/JKG
그린벨트(719.37㎢)가	그린벨트/NNG+(/SS+719/SN+./SP+37/SN+㎢/SW+)/SS+가/JKS
30%를	30/SN+%/SW+를/JKO
차지한다.	차지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.411.4.2
서울의 경우, 송파구 문정동 등 11개구·35개동에 걸쳐 54.35㎢가 풀린다.

서울의	서울/NNP+의/JKG
경우,	경우/NNG+,/SP
송파구	송파구/NNP
문정동	문정동/NNP
등	등/NNB
11개구·35개동에	11/SN+개/NNB+구/NNG+·/SP+35/SN+개/NNB+동/NNB+에/JKB
걸쳐	걸치/VV+어/EC
54.35㎢가	54/SN+./SP+35/SN+㎢/SW+가/JKS
풀린다.	풀리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.411.4.3
인천은 중구 항동 등 8개구·10개동(219.78㎢)이 해제된다.

인천은	인천/NNP+은/JX
중구	중구/NNP
항동	항동/NNP
등	등/NNB
8개구·10개동(219.78㎢)이	8/SN+개/NNB+구/NNG+·/SP+10/SN+개/NNB+동/NNB+(/SS+219/SN+./SP+78/SN+㎢/SW+)/SS+이/JKS
해제된다.	해제/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.411.4.4
경기도는 20개 시·군(1878.97㎢)이 해제 대상에 포함됐다.

경기도는	경기도/NNP+는/JX
20개	20/SN+개/NNB
시·군(1878.97㎢)이	시·군/NNG+(/SS+1878/SN+./SP+97/SN+㎢/SW+)/SS+이/JKS
해제	해제/NNG
대상에	대상/NNG+에/JKB
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.411.4.5
지방의 경우 전체 해제면적(총 254.9㎢) 가운데 대전시(112.6㎢)가 절반을 차지한다.

지방의	지방/NNG+의/JKG
경우	경우/NNG
전체	전체/NNG
해제면적(총	해제/NNG+면적/NNG+(/SS+총/MMA
254.9㎢)	254/SN+./SP+9/SN+㎢/SW+)/SS
가운데	가운데/NNG
대전시(112.6㎢)가	대전시/NNP+(/SS+112/SN+./SP+6/SN+㎢/SW+)/SS+가/JKS
절반을	절반/NNG+을/JKO
차지한다.	차지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.411.4.6
이번 조치로 서울은 기존 허가구역 중 4분의 1, 인천·경기는 절반 정도가 풀리게 됐다.

이번	이번/NNG
조치로	조치/NNG+로/JKB
서울은	서울/NNP+은/JX
기존	기존/NNG
허가구역	허가/NNG+구역/NNG
중	중/NNB
4분의	4/SN+분/XSN+의/JKG
1,	1/SN+,/SP
인천·경기는	인천/NNP+·/SP+경기/NNP+는/JX
절반	절반/NNG
정도가	정도/NNG+가/JKS
풀리게	풀리/VV+게/EC
