# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.287
metadata : {}


# id : NWRW1800000036.287.1.1
‘첩첩산중’…박주영과 넘어야 할 경쟁자들

‘첩첩산중’…박주영과	‘/SS+첩첩산중/NNG+’/SS+…/SE+박주영/NNP+과/JC
넘어야	넘/VV+어야/EC
할	하/VX+ㄹ/ETM
경쟁자들	경쟁자/NNG+들/XSN


# id : NWRW1800000036.287.2.1
[한겨레] 갈수록 첩첩산중이다.

[한겨레]	[/SS+한겨레/NNP+]/SS
갈수록	갈수록/MAG
첩첩산중이다.	첩첩산중/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.287.2.2
아스널의 박주영(27)한테는….

아스널의	아스널/NNP+의/JKG
박주영(27)한테는….	박주영/NNP+(/SS+27/SN+)/SS+한테/JKB+는/JX+…/SE+./SF


# id : NWRW1800000036.287.3.1
그가 넘어야 할 태산 같은 존재인 로빈 판 페르시(29·네덜란드)는 4일(현지시각) 런던 에미리츠 스타디움에서 열린 2011~2012 잉글랜드 프리미어리그 블랙번 로버스와의 안방경기에서 해트트릭까지 작성하며 절정의 골감각을 다시한번 뽐냈다.

그가	그/NP+가/JKS
넘어야	넘/VV+어야/EC
할	하/VX+ㄹ/ETM
태산	태산/NNG
같은	같/VA+은/ETM
존재인	존재/NNG+이/VCP+ㄴ/ETM
로빈	로빈/NNP
판	판/NNP
페르시(29·네덜란드)는	페르시/NNP+(/SS+29/SN+·/SP+네덜란드/NNP+)/SS+는/JX
4일(현지시각)	4/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
런던	런던/NNP
에미리츠	에미리츠/NNP
스타디움에서	스타디움/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
2011~2012	2011/SN+~/SO+2012/SN
잉글랜드	잉글랜드/NNP
프리미어리그	프리미어리그/NNG
블랙번	블랙번/NNP
로버스와의	로버스/NNP+와/JKB+의/JKG
안방경기에서	안방/NNG+경기/NNG+에서/JKB
해트트릭까지	해트트릭/NNG+까지/JX
작성하며	작성/NNG+하/XSV+며/EC
절정의	절정/NNG+의/JKG
골감각을	골/NNG+감각/NNG+을/JKO
다시한번	다시/MAG+한/MMN+번/NNB
뽐냈다.	뽐내/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.287.3.2
추가시간까지 무려 93분간 풀타임 그라운드를 누비며 박주영이 들어갈 틈을 전혀 주지 않았다.

추가시간까지	추가/NNG+시간/NNG+까지/JX
무려	무려/MAG
93분간	93/SN+분/NNB+간/XSN
풀타임	풀타임/NNG
그라운드를	그라운드/NNG+를/JKO
누비며	누비/VV+며/EC
박주영이	박주영/NNP+이/JKS
들어갈	들어가/VV+ㄹ/ETM
틈을	틈/NNG+을/JKO
전혀	전혀/MAG
주지	주/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.287.3.3
이번 시즌 22골로 득점 단독선두로 고공비행중이다.

이번	이번/NNG
시즌	시즌/NNG
22골로	22/SN+골/NNG+로/JKB
득점	득점/NNG
단독선두로	단독/NNG+선두/NNG+로/JKB
고공비행중이다.	고공비행/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.287.3.4
24라운드를 치르는 동안 23경기 선발출장했고, 단 한번 교체 출장할 정도로 아르센 벵거의 두터운 신임을 받고 있다.

24라운드를	24/SN+라운드/NNG+를/JKO
치르는	치르/VV+는/ETM
동안	동안/NNG
23경기	23/SN+경기/NNG
선발출장했고,	선발/NNG+출장/NNG+하/XSV+았/EP+고/EC+,/SP
단	단/MMA
한번	한번/NNG
교체	교체/NNG
출장할	출장/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
아르센	아르센/NNP
벵거의	벵거/NNP+의/JKG
두터운	두텁/VA+ㄴ/ETM
신임을	신임/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.287.4.1
■ 더욱 강해진 박주영 경쟁자들 미국메이저리그축구(MLS) 뉴욕 레드불스에서 잠시 임대해온 새로운 경쟁자 티에리 앙리(35·프랑스)도 후반 중반 교체 투입돼 추가시간 쐐기골을 성공시켰다.

■	■/SW
더욱	더욱/MAG
강해진	강하/VA+아/EC+지/VX+ㄴ/ETM
박주영	박주영/NNP
경쟁자들	경쟁자/NNG+들/XSN
미국메이저리그축구(MLS)	미국/NNP+메이저리그/NNG+축구/NNG+(/SS+MLS/SL+)/SS
뉴욕	뉴욕/NNP
레드불스에서	레드불스/NNP+에서/JKB
잠시	잠시/MAG
임대해온	임대/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
경쟁자	경쟁자/NNG
티에리	티에리/NNP
앙리(35·프랑스)도	앙리/NNP+(/SS+35/SN+·/SP+프랑스/NNP+)/SS+도/JX
후반	후반/NNG
중반	중반/NNG
교체	교체/NNG
투입돼	투입/NNG+되/XSV+어/EC
추가시간	추가/NNG+시간/NNG
쐐기골을	쐐기/NNG+골/NNG+을/JKO
성공시켰다.	성공/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.287.4.2
4경기 교체 출장해 2골을 성공시키며 박주영을 앞서고 있다.

4경기	4/SN+경기/NNG
교체	교체/NNG
출장해	출장/NNG+하/XSV+아/EC
2골을	2/SN+골/NNG+을/JKO
성공시키며	성공/NNG+시키/XSV+며/EC
박주영을	박주영/NNP+을/JKO
앞서고	앞서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.287.4.3
그러자 아르센 벵거 아스널 감독은 그의 임대기간을 최대 2주간 늘리는 방안을 검토하겠다고 한다.

그러자	그러/VV+자/EC
아르센	아르센/NNP
벵거	벵거/NNP
아스널	아스널/NNP
감독은	감독/NNG+은/JX
그의	그/NP+의/JKG
임대기간을	임대/NNG+기간/NNG+을/JKO
최대	최대/NNG
2주간	2/SN+주간/NNB
늘리는	늘리/VV+는/ETM
방안을	방안/NNG+을/JKO
검토하겠다고	검토/NNG+하/XSV+겠/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.287.4.4
앙리는 11일 선덜랜드와의 정규리그 원정경기와 15일 AC밀란과의 유럽축구연맹(UEFA) 챔피언스리그 16강 원정 1차전이 끝나면 뉴욕 레드불스로 복귀해야 한다.

앙리는	앙리/NNP+는/JX
11일	11/SN+일/NNB
선덜랜드와의	선덜랜드/NNP+와/JKB+의/JKG
정규리그	정규/NNG+리그/NNG
원정경기와	원정/NNG+경기/NNG+와/JC
15일	15/SN+일/NNB
AC밀란과의	AC/SL+밀란/NNP+과/JKB+의/JKG
유럽축구연맹(UEFA)	유럽축구연맹/NNP+(/SS+UEFA/SL+)/SS
챔피언스리그	챔피언스리그/NNG
16강	16/SN+강/NNB
원정	원정/NNG
1차전이	1/SN+차전/NNB+이/JKS
끝나면	끝나/VV+면/EC
뉴욕	뉴욕/NNP
레드불스로	레드불스/NNP+로/JKB
복귀해야	복귀/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.287.4.5
임대기간이 2주일 연장되면 이후 18일 축구협회(FA)컵 16강전, 26일 토트넘과의 정규리그 등 2경기에 더 뛸 수 있다.

임대기간이	임대/NNG+기간/NNG+이/JKS
2주일	2/SN+주일/NNB
연장되면	연장/NNG+되/XSV+면/EC
이후	이후/NNG
18일	18/SN+일/NNB
축구협회(FA)컵	축구협회/NNP+(/SS+FA/SL+)/SS+컵/NNG
16강전,	16/SN+강전/NNB+,/SP
26일	26/SN+일/NNB
토트넘과의	토트넘/NNP+과/JKB+의/JKG
정규리그	정규/NNG+리그/NNG
등	등/NNB
2경기에	2/SN+경기/NNG+에/JKB
더	더/MAG
뛸	뛰/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.287.5.1
최전방 공격진에 잉글랜드 포츠머스 태생의 ‘무서운 10대’가 떠오른 것도 박주영한테는 설상가상이다.

최전방	최/XPN+전방/NNG
공격진에	공격진/NNG+에/JKB
잉글랜드	잉글랜드/NNP
포츠머스	포츠머스/NNP
태생의	태생/NNG+의/JKG
‘무서운	‘/SS+무섭/VA+ㄴ/ETM
10대’가	10/SN+대/NNB+’/SS+가/JKS
떠오른	떠오르/VV+ㄴ/ETM
것도	것/NNB+도/JX
박주영한테는	박주영/NNP+한테/JKB+는/JX
설상가상이다.	설상가상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.287.5.2
19살인 옥스포드 챔벌레인.

19살인	19/SN+살/NNB+이/VCP+ㄴ/ETM
옥스포드	옥스포드/NNP
챔벌레인.	챔벌레인/NNP+./SF


# id : NWRW1800000036.287.5.3
그는 이날 블랙번과의 경기에서 4-3-3 시스템의 왼쪽 포워드로 출장해 총알 같은 스피드와 화려한 개인기로 2골을 폭발시키며 아스널의 새로운 기대주로 떠올랐다.

그는	그/NP+는/JX
이날	이날/NNG
블랙번과의	블랙번/NNP+과/JKB+의/JKG
경기에서	경기/NNG+에서/JKB
4-3-3	4/SN+-/SO+3/SN+-/SO+3/SN
시스템의	시스템/NNG+의/JKG
왼쪽	왼쪽/NNG
포워드로	포워드/NNG+로/JKB
출장해	출장/NNG+하/XSV+아/EC
총알	총알/NNG
같은	같/VA+은/ETM
스피드와	스피드/NNG+와/JC
화려한	화려하/VA+ㄴ/ETM
개인기로	개인기/NNG+로/JKB
2골을	2/SN+골/NNG+을/JKO
폭발시키며	폭발/NNG+시키/XSV+며/EC
