# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.81
metadata : {}


# id : NWRW1800000049.81.1.1
[2016 한국산업대상/공공-상생경영 부문]현장 중심 소통행정과 신뢰받는 섬김행정 실현

[2016	[/SS+2016/SN
한국산업대상/공공-상생경영	한국/NNP+산업/NNG+대상/NNG+//SP+공공/NNG+-/SO+상생/NNG+경영/NNG
부문]현장	부문/NNG+]/SS+현장/NNG
중심	중심/NNG
소통행정과	소통/NNG+행정/NNG+과/JC
신뢰받는	신뢰/NNG+받/XSV+는/ETM
섬김행정	섬기/VV+ㅁ/ETN+행정/NNG
실현	실현/NNG


# id : NWRW1800000049.81.2.1
충청남도 예산군(군수 황선봉)은 그동안 끊임없는 혁신을 통해 경쟁력을 강화해 왔다.

충청남도	충청남도/NNP
예산군(군수	예산군/NNP+(/SS+군수/NNG
황선봉)은	황선봉/NNP+)/SS+은/JX
그동안	그동안/NNG
끊임없는	끊임없/VA+는/ETM
혁신을	혁신/NNG+을/JKO
통해	통하/VV+아/EC
경쟁력을	경쟁력/NNG+을/JKO
강화해	강화/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.81.2.2
예산군은 산업·농공단지 등 기업 유치 기반 조성, 수소자동차부품 및 동물약품 등 미래 성장 동력 산업 육성 전력, 기업애로 해소 및 맞춤형 지원, 창업 활동 및 중소기업 경영 지원, 1사 1촌 자매결연, 지역경제 동참협약제 등 기업과 주민의 상생 분위기 조성, 공장 민원 원스톱 처리제 및 기업상담실 연중 운영, 민간 투자 확대를 위한 외국인 투자 유치 노력, 취업 박람회 개최 및 취업정보센터 운영, 상거래 활성화 및 소상공인 지원 조례 제정으로 지원 발판 마련, 전통시장 정비를 통하여 지역 상권 활성화 도모, 마을기업 지원으로 안정적인 일자리 창출 등 눈길 끄는 업적을 이뤄 왔다.

예산군은	예산군/NNP+은/JX
산업·농공단지	산업/NNG+·/SP+농공/NNG+단지/NNG
등	등/NNB
기업	기업/NNG
유치	유치/NNG
기반	기반/NNG
조성,	조성/NNG+,/SP
수소자동차부품	수소/NNG+자동차/NNG+부품/NNG
및	및/MAG
동물약품	동물/NNG+약품/NNG
미래	미래/NNG
성장	성장/NNG
동력	동력/NNG
산업	산업/NNG
육성	육성/NNG
전력,	전력/NNG+,/SP
기업애로	기업/NNG+애로/NNG
해소	해소/NNG
맞춤형	맞춤/NNG+형/XSN
지원,	지원/NNG+,/SP
창업	창업/NNG
활동	활동/NNG
중소기업	중소기업/NNG
경영	경영/NNG
1사	1/SN+사/NNG
1촌	1/SN+촌/NNG
자매결연,	자매결연/NNG+,/SP
지역경제	지역/NNG+경제/NNG
동참협약제	동참/NNG+협약/NNG+제/XSN
기업과	기업/NNG+과/JC
주민의	주민/NNG+의/JKG
상생	상생/NNG
분위기	분위기/NNG
공장	공장/NNG
민원	민원/NNG
원스톱	원스톱/NNG
처리제	처리제/NNG
기업상담실	기업/NNG+상담실/NNG
연중	연중/NNG
운영,	운영/NNG+,/SP
민간	민간/NNG
투자	투자/NNG
확대를	확대/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
외국인	외국인/NNG
노력,	노력/NNG+,/SP
취업	취업/NNG
박람회	박람회/NNG
개최	개최/NNG
취업정보센터	취업/NNG+정보/NNG+센터/NNG
상거래	상거래/NNG
활성화	활성/NNG+화/XSN
소상공인	소/XPN+상공인/NNG
지원	지원/NNG
조례	조례/NNG
제정으로	제정/NNG+으로/JKB
발판	발판/NNG
마련,	마련/NNG+,/SP
전통시장	전통/NNG+시장/NNG
정비를	정비/NNG+를/JKO
통하여	통하/VV+아/EC
지역	지역/NNG
상권	상권/NNG
도모,	도모/NNG+,/SP
마을기업	마을/NNG+기업/NNG
지원으로	지원/NNG+으로/JKB
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
일자리	일자리/NNG
창출	창출/NNG
눈길	눈길/NNG
끄는	끌/VV+는/ETM
업적을	업적/NNG+을/JKO
이뤄	이루/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.81.3.1
황 군수는 민선 6기 출범 이후 군민의 눈높이에 맞는 현장 중심의 소통 행정과 신뢰받는 섬김행정을 적극 구현하는 가운데, 기업하기 좋은 환경조성과 실질적 성과 중심의 전략적인 기업 세일즈 행정을 펼쳐 유망 기업 유치와 양질의 안정적인 일자리 창출에 기여하는 등 창의적인 경영 문화 확산과 뼈를 깎는 혁신으로 지속 가능한 미래와 국가 경쟁력 발전에 이바지한 탁월한 업적으로 대상을 차지했다.

황	황/NNP
군수는	군수/NNG+는/JX
민선	민선/NNG
6기	6/SN+기/NNG
출범	출범/NNG
이후	이후/NNG
군민의	군민/NNG+의/JKG
눈높이에	눈높이/NNG+에/JKB
맞는	맞/VV+는/ETM
현장	현장/NNG
중심의	중심/NNG+의/JKG
소통	소통/NNG
행정과	행정/NNG+과/JC
신뢰받는	신뢰/NNG+받/XSV+는/ETM
섬김행정을	섬기/VV+ㅁ/ETN+행정/NNG+을/JKO
적극	적극/NNG
구현하는	구현/NNG+하/XSV+는/ETM
가운데,	가운데/NNG+,/SP
기업하기	기업/NNG+하/XSV+기/ETN
좋은	좋/VA+은/ETM
환경조성과	환경/NNG+조성/NNG+과/JC
실질적	실질/NNG+적/XSN
성과	성과/NNG
전략적인	전략/NNG+적/XSN+이/VCP+ㄴ/ETM
기업	기업/NNG
세일즈	세일즈/NNG
행정을	행정/NNG+을/JKO
펼쳐	펼치/VV+어/EC
유망	유망/NNG
유치와	유치/NNG+와/JC
양질의	양질/NNG+의/JKG
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
일자리	일자리/NNG
창출에	창출/NNG+에/JKB
기여하는	기여/NNG+하/XSV+는/ETM
등	등/NNB
