# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.248
metadata : {}


# id : NWRW1800000054.248.1.1
[행복한 기부 아너 소사이어티 10년] (5·끝) 해외서도 나눔 잇따라

[행복한	[/SS+행복/NNG+하/XSA+ㄴ/ETM
기부	기부/NNG
아너	아너/NNP
소사이어티	소사이어티/NNP
10년]	10/SN+년/NNB+]/SS
(5·끝)	(/SS+5/SN+·/SP+끝/NNG+)/SS
해외서도	해외/NNG+서/JKB+도/JX
나눔	나누/VV+ㅁ/ETN
잇따라	잇따르/VV+아/EF


# id : NWRW1800000054.248.2.1
교포도 1억씩 기부… 태평양 건넌 고국 사랑

교포도	교포/NNG+도/JX
1억씩	1/SN+억/NR+씩/XSN
기부…	기부/NNG+…/SE
태평양	태평양/NNP
건넌	건너/VV+ㄴ/ETM
고국	고국/NNG
사랑	사랑/NNG


# id : NWRW1800000054.248.3.1
"나는 '한국 사람'입니다.

"나는	"/SS+나/NP+는/JX
'한국	'/SS+한국/NNP
사람'입니다.	사람/NNG+'/SS+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000054.248.3.2
고국인 한국에 기부하는 건 당연한 일이지요."

고국인	고국/NNG+이/VCP+ㄴ/ETM
한국에	한국/NNP+에/JKB
기부하는	기부/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
당연한	당연/NNG+하/XSA+ㄴ/ETM
일이지요."	일/NNG+이/VCP+지요/EF+./SF+"/SS


# id : NWRW1800000054.248.4.1
미국 최대 한인은행인 뱅크오브호프(Bank of Hope)의 케빈 김(60) 행장은 본지 전화 인터뷰에서 '한국에 1억원이라는 큰 기부금을 선뜻 내놓은 이유가 무엇인지' 묻자 "한국계 미국인이지만 한국이 잘돼야 여기(한국 동포)도 잘되기 때문에 당연히 고국의 어려운 이웃을 돕고 싶었다"고 했다.

미국	미국/NNP
최대	최대/NNG
한인은행인	한인/NNG+은행/NNG+이/VCP+ㄴ/ETM
뱅크오브호프(Bank	뱅크오브호프/NNP+(/SS+Bank/SL
of	of/SL
Hope)의	Hope/SL+)/SS+의/JKG
케빈	케빈/NNP
김(60)	김/NNP+(/SS+60/SN+)/SS
