# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.236
metadata : {}


# id : NWRW1800000046.236.1.1
2:9 → 4:9 → 5:9 → 11:9 … '의지'의 두산

2:9	2/SN+:/SP+9/SN
→	→/SW
4:9	4/SN+:/SP+9/SN
5:9	5/SN+:/SP+9/SN
11:9	11/SN+:/SP+9/SN
…	…/SE
'의지'의	'/SS+의지/NNG+'/SS+의/JKG
두산	두산/NNP


# id : NWRW1800000046.236.2.1
두산 양의지 역전타 등 9회만 6득점… 넥센에 포스트시즌 최다점수차 역전해 PO 진출

두산	두산/NNP
양의지	양의지/NNP
역전타	역전타/NNG
등	등/NNB
9회만	9/SN+회/NNB+만/JX
6득점…	6/SN+득점/NNG+…/SE
넥센에	넥센/NNP+에/JKB
포스트시즌	포스트시즌/NNG
최다점수차	최다/NNG+점수/NNG+차/NNG
역전해	역전/NNG+하/XSV+아/EC
PO	PO/SL
진출	진출/NNG


# id : NWRW1800000046.236.3.1
14일 두산과 넥센의 프로야구 준플레이오프 4차전이 열린 서울 목동구장.

14일	14/SN+일/NNB
두산과	두산/NNP+과/JC
넥센의	넥센/NNP+의/JKG
프로야구	프로/NNG+야구/NNG
준플레이오프	준/XPN+플레이오프/NNG
4차전이	4/SN+차전/NNB+이/JKS
열린	열리/VV+ㄴ/ETM
서울	서울/NNP
목동구장.	목동구장/NNP+./SF


# id : NWRW1800000046.236.4.1
8회말 넥센 공격이 끝나자 1루 쪽 두산 응원석에 있던 일부 팬은 주섬주섬 짐을 챙기고 있었다.

8회말	8/SN+회/NNB+말/NNB
넥센	넥센/NNP
공격이	공격/NNG+이/JKS
끝나자	끝나/VV+자/EC
1루	1루/NNG
쪽	쪽/NNB
두산	두산/NNP
응원석에	응원석/NNG+에/JKB
있던	있/VA+던/ETM
일부	일부/NNG
팬은	팬/NNG+은/JX
주섬주섬	주섬주섬/MAG
짐을	짐/NNG+을/JKO
챙기고	챙기/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.236.4.2
5―9로 뒤진 팀의 마지막 이닝을 보기 싫은 듯했다.

5―9로	5/SN+―/SS+9/SN+로/JKB
뒤진	뒤지/VV+ㄴ/ETM
팀의	팀/NNG+의/JKG
마지막	마지막/NNG
이닝을	이닝/NNG+을/JKO
보기	보/VV+기/ETN
싫은	싫/VA+은/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000046.236.4.3
하지만 먼저 자리를 뜬 두산 팬들이 땅을 칠 만한 기적의 드라마가 펼쳐졌다.

하지만	하지만/MAJ
먼저	먼저/MAG
자리를	자리/NNG+를/JKO
뜬	뜨/VV+ㄴ/ETM
두산	두산/NNP
팬들이	팬/NNG+들/XSN+이/JKS
땅을	땅/NNG+을/JKO
칠	치/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
기적의	기적/NNG+의/JKG
드라마가	드라마/NNG+가/JKS
펼쳐졌다.	펼쳐지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.236.4.4
두산은 9회초에 6점을 뽑으며 단숨에 승부를 뒤집고 11대9 역전승을 거뒀다.

두산은	두산/NNP+은/JX
9회초에	9/SN+회/NNB+초/NNB+에/JKB
6점을	6/SN+점/NNB+을/JKO
뽑으며	뽑/VV+으며/EC
단숨에	단숨에/MAG
승부를	승부/NNG+를/JKO
뒤집고	뒤집/VV+고/EC
11대9	11/SN+대/NNB+9/SN
역전승을	역전승/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.236.4.5
두산은 시리즈(5전3선승제) 전적 3승1패로 시리즈를 마감하며 18일 2위 NC와 플레이오프(5전3선승제)를 치른다.

두산은	두산/NNP+은/JX
시리즈(5전3선승제)	시리즈/NNG+(/SS+5/SN+전/NNB+3/SN+선승/NNG+제/XSN+)/SS
전적	전적/NNG
3승1패로	3/SN+승/NNB+1/SN+패/NNB+로/JKB
시리즈를	시리즈/NNG+를/JKO
마감하며	마감/NNG+하/XSV+며/EC
18일	18/SN+일/NNB
2위	2/SN+위/NNB
NC와	NC/SL+와/JC
플레이오프(5전3선승제)를	플레이오프/NNG+(/SS+5/SN+전/NNB+3/SN+선승/NNG+제/XSN+)/SS+를/JKO
치른다.	치르/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.236.5.1
◇가을 야구 '역전의 명수'

◇가을	◇/SW+가을/NNG
야구	야구/NNG
'역전의	'/SS+역전/NNG+의/JKG
명수'	명수/NNG+'/SS


# id : NWRW1800000046.236.6.1
두산은 4차전에서 넥센 화력에 밀려 6회말까지 2―9로 밀렸다.

두산은	두산/NNP+은/JX
4차전에서	4/SN+차전/NNB+에서/JKB
넥센	넥센/NNP
화력에	화력/NNG+에/JKB
밀려	밀리/VV+어/EC
6회말까지	6/SN+회/NNB+말/NNB+까지/JX
2―9로	2/SN+―/SS+9/SN+로/JKB
밀렸다.	밀리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.236.6.2
하지만 7회 2점, 8회에 1점을 뽑아내며 넥센 마운드를 압박했다.

하지만	하지만/MAJ
7회	7/SN+회/NNB
2점,	2/SN+점/NNB+,/SP
8회에	8/SN+회/NNB+에/JKB
1점을	1/SN+점/NNB+을/JKO
뽑아내며	뽑아내/VV+며/EC
넥센	넥센/NNP
마운드를	마운드/NNG+를/JKO
압박했다.	압박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.236.6.3
두산은 4점을 뒤진 상태에서 9회를 맞았다.

두산은	두산/NNP+은/JX
4점을	4/SN+점/NNB+을/JKO
뒤진	뒤지/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
9회를	9/SN+회/NNB+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.236.6.4
모두 넥센의 승리를 예감한 상황에서 두산의 뚝심이 발휘됐다.

모두	모두/MAG
넥센의	넥센/NNP+의/JKG
승리를	승리/NNG+를/JKO
예감한	예감/NNG+하/XSV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
두산의	두산/NNP+의/JKG
뚝심이	뚝심/NNG+이/JKS
발휘됐다.	발휘/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.236.6.5
오재원과 김재호가 연속 안타로 1사 1·3루 찬스를 만들었다.

오재원과	오재원/NNP+과/JC
김재호가	김재호/NNP+가/JKS
연속	연속/NNG
안타로	안타/NNG+로/JKB
1사	1/SN+사/NNG
1·3루	1/SN+·/SP+3루/NNG
찬스를	찬스/NNG+를/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.236.6.6
그러자 넥센은 아껴뒀던 마무리 투수 조상우를 마운드에 올렸다.

그러자	그러/VV+자/EC
넥센은	넥센/NNP+은/JX
아껴뒀던	아끼/VV+어/EC+두/VX+었/EP+던/ETM
마무리	마무리/NNG
투수	투수/NNG
조상우를	조상우/NNP+를/JKO
마운드에	마운드/NNG+에/JKB
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.236.6.7
불붙은 두산의 타선은 150㎞를 넘나드는 강속구를 뿌리는 '소방수' 조상우를 완벽하게 무너뜨렸다.

불붙은	불붙/VV+은/ETM
두산의	두산/NNP+의/JKG
타선은	타선/NNG+은/JX
150㎞를	150/SN+㎞/SW+를/JKO
넘나드는	넘나들/VV+는/ETM
강속구를	강속구/NNG+를/JKO
뿌리는	뿌리/VV+는/ETM
'소방수'	'/SS+소방수/NNG+'/SS
조상우를	조상우/NNP+를/JKO
완벽하게	완벽/NNG+하/XSA+게/EC
무너뜨렸다.	무너뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.236.6.8
볼넷 1개와 안타 3개를 집중시켜 대거 6점을 뽑았다.

볼넷	볼넷/NNG
