# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.184
metadata : {}


# id : NWRW1800000038.184.1.1
공참총장 "조종사 선발 때 흡연자는 원천 배제"

공참총장	공참/NNG+총장/NNG
"조종사	"/SS+조종사/NNG
선발	선발/NNG
때	때/NNG
흡연자는	흡연자/NNG+는/JX
원천	원천/NNG
배제"	배제/NNG+"/SS


# id : NWRW1800000038.184.2.1
"全부대 금연, 논란 감수할 것"

"全부대	"/SS+全/SH+부대/NNG
금연,	금연/NNG+,/SP
논란	논란/NNG
감수할	감수/NNG+하/XSV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000038.184.3.1
공군이 7월 1일부터 모든 부대 내 흡연을 금지키로 한 데 이어, 조종사 선발 시 흡연자를 원천 배제키로 했다고 5일 밝혔다.

공군이	공군/NNG+이/JKS
7월	7/SN+월/NNB
1일부터	1/SN+일/NNB+부터/JX
모든	모든/MMN
부대	부대/NNG
내	내/NNB
흡연을	흡연/NNG+을/JKO
금지키로	금지/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
데	데/NNB
이어,	잇/VV+어/EC+,/SP
조종사	조종사/NNG
선발	선발/NNG
시	시/NNB
흡연자를	흡연자/NNG+를/JKO
원천	원천/NNG
배제키로	배제/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
5일	5/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.184.3.2
공군의 이런 강력한 금연 정책은 성일환(59·공사 26기·사진) 공군참모총장의 지시에 따른 것이다.

공군의	공군/NNG+의/JKG
이런	이런/MMD
강력한	강력/NNG+하/XSA+ㄴ/ETM
금연	금연/NNG
정책은	정책/NNG+은/JX
성일환(59·공사	성일환/NNP+(/SS+59/SN+·/SP+공사/NNG
26기·사진)	26/SN+기/NNG+·/SP+사진/NNG+)/SS
공군참모총장의	공군/NNG+참모/NNG+총장/NNG+의/JKG
지시에	지시/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.184.4.1
성 총장은 5일 본지 전화 인터뷰에서 "일부 흡연 장병들 사이에선 당연히 볼멘소리가 있으리라 생각한다"며 "금연 정책은 여러 가지 부담들을 감수할 만한 가치가 있다고 믿는다"고 말했다.

성	성/NNP
총장은	총장/NNG+은/JX
5일	5/SN+일/NNB
본지	본지/NNG
전화	전화/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
"일부	"/SS+일부/NNG
흡연	흡연/NNG
장병들	장병/NNG+들/XSN
사이에선	사이/NNG+에서/JKB+ㄴ/JX
당연히	당연히/MAG
볼멘소리가	볼멘소리/NNG+가/JKS
있으리라	있/VA+으리라/EF
생각한다"며	생각/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"금연	"/SS+금연/NNG
정책은	정책/NNG+은/JX
여러	여러/MMN
가지	가지/NNB
부담들을	부담/NNG+들/XSN+을/JKO
감수할	감수/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
가치가	가치/NNG+가/JKS
있다고	있/VA+다고/EC
믿는다"고	믿/VV+는다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.184.5.1
성 총장은 30년 동안 매일 담배 한 갑 정도를 피워온 애연가(愛煙家)였다.

성	성/NNP
총장은	총장/NNG+은/JX
30년	30/SN+년/NNB
동안	동안/NNG
매일	매일/MAG
담배	담배/NNG
한	한/MMN
갑	갑/NNG
정도를	정도/NNG+를/JKO
피워온	피우/VV+어/EC+오/VX+ㄴ/ETM
애연가(愛煙家)였다.	애연가/NNG+(/SS+愛煙家/SH+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.184.5.2
그는 2008년 공군사관학교장에 취임했을 때 금연을 결심했다고 한다.

그는	그/NP+는/JX
2008년	2008/SN+년/NNB
공군사관학교장에	공군사관학교장/NNG+에/JKB
취임했을	취임/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
금연을	금연/NNG+을/JKO
결심했다고	결심/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.184.5.3
공사에선 생도 흡연을 적발했을 경우 퇴교 조치를 하고 있다.

공사에선	공사/NNP+에서/JKB+ㄴ/JX
생도	생도/NNG
흡연을	흡연/NNG+을/JKO
적발했을	적발/NNG+하/XSV+았/EP+을/ETM
경우	경우/NNG
퇴교	퇴교/NNG
조치를	조치/NNG+를/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.184.6.1
성 총장은 "생도들은 엄격한 금연 규정을 적용받는데 교장도 금연에 동참하는 것이 마땅하다고 생각했다"며 "당시 금연 교육을 받으면서 흡연이 타인이나 공동체에 얼마나 해악을 끼치는지 깨닫게 됐다"고 말했다.

성	성/NNP
총장은	총장/NNG+은/JX
"생도들은	"/SS+생도/NNG+들/XSN+은/JX
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
금연	금연/NNG
규정을	규정/NNG+을/JKO
적용받는데	적용/NNG+받/XSV+는데/EC
교장도	교장/NNG+도/JX
금연에	금연/NNG+에/JKB
동참하는	동참/NNG+하/XSV+는/ETM
