# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.350
metadata : {}


# id : NWRW1800000029.350.1.1
‘LH 경남진주로 일괄이전’ 가닥

‘LH	‘/SS+LH/SL
경남진주로	경남/NNP+진주/NNP+로/JKB
일괄이전’	일괄/NNG+이전/NNG+’/SS
가닥	가닥/NNG


# id : NWRW1800000029.350.2.1
이전도시 이달 중순쯤 발표… 과학도시 18일경 최종 확정

이전도시	이전/NNG+도시/NNG
이달	이달/NNG
중순쯤	중순/NNG+쯤/XSN
발표…	발표/NNG+…/SE
과학도시	과학/NNG+도시/NNG
18일경	18/SN+일/NNB+경/XSN
최종	최종/NNG
확정	확정/NNG


# id : NWRW1800000029.350.3.1
정부는 진주(경남)와 전주(전북)가 유치 경쟁을 벌여온 한국토지주택공사(LH)를 진주로 일괄 이전하되 전주에 대안을 찾는 방식으로 가닥을 잡은 것으로 전해졌다.

정부는	정부/NNG+는/JX
진주(경남)와	진주/NNP+(/SS+경남/NNP+)/SS+와/JC
전주(전북)가	전주/NNP+(/SS+전북/NNP+)/SS+가/JKS
유치	유치/NNG
경쟁을	경쟁/NNG+을/JKO
벌여온	벌이/VV+어/EC+오/VX+ㄴ/ETM
한국토지주택공사(LH)를	한국토지주택공사/NNP+(/SS+LH/SL+)/SS+를/JKO
진주로	진주/NNP+로/JKB
일괄	일괄/NNG
이전하되	이전/NNG+하/XSV+되/EC
전주에	전주/NNP+에/JKB
대안을	대안/NNG+을/JKO
찾는	찾/VV+는/ETM
방식으로	방식/NNG+으로/JKB
가닥을	가닥/NNG+을/JKO
잡은	잡/VV+은/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.350.4.1
정부 고위관계자는 1일 “아직 확정되지는 않았다”고 전제한 뒤 “내부 검토과정에 비춰볼 때 (진주로의) 일괄 이전이 더 수긍할 수 있는 방안”이라고 말했다.

정부	정부/NNG
고위관계자는	고위/NNG+관계자/NNG+는/JX
1일	1/SN+일/NNB
“아직	“/SS+아직/MAG
확정되지는	확정/NNG+되/XSV+지/EC+는/JX
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
전제한	전제/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
“내부	“/SS+내부/NNG
검토과정에	검토/NNG+과정/NNG+에/JKB
비춰볼	비추/VV+어/EC+보/VX+ㄹ/ETM
때	때/NNG
(진주로의)	(/SS+진주/NNP+로/JKB+의/JKG+)/SS
일괄	일괄/NNG
이전이	이전/NNG+이/JKS
더	더/MAG
수긍할	수긍/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방안”이라고	방안/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.350.4.2
또 다른 관계자는 “분리 이전 방안도 검토했지만 업무 비효율 때문에 불가능하다는 쪽으로 의견이 모아졌다”며 “두 조직을 합병하면서 중복 부서를 정리해 직원을 (절반 정도인) 1500명으로 경량화한 만큼 분리할 수 없다”고 말했다.

또	또/MAG
다른	다른/MMD
관계자는	관계자/NNG+는/JX
“분리	“/SS+분리/NNG
이전	이전/NNG
방안도	방안/NNG+도/JX
검토했지만	검토/NNG+하/XSV+았/EP+지만/EC
업무	업무/NNG
비효율	비/XPN+효율/NNG
때문에	때문/NNB+에/JKB
불가능하다는	불/XPN+가능/NNG+하/XSA+다는/ETM
쪽으로	쪽/NNB+으로/JKB
의견이	의견/NNG+이/JKS
모아졌다”며	모으/VV+아/EC+지/VX+었/EP+다/EF+”/SS+며/EC
“두	“/SS+두/MMN
조직을	조직/NNG+을/JKO
합병하면서	합병/NNG+하/XSV+면서/EC
중복	중복/NNG
부서를	부서/NNG+를/JKO
정리해	정리/NNG+하/XSV+아/EC
직원을	직원/NNG+을/JKO
(절반	(/SS+절반/NNG
정도인)	정도/NNG+이/VCP+ㄴ/ETM+)/SS
1500명으로	1500/SN+명/NNB+으로/JKB
경량화한	경량/NNG+화/XSN+하/XSV+ㄴ/ETM
만큼	만큼/NNB
분리할	분리/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.350.5.1
진주로의 LH 일괄 이전 쪽으로 가닥이 잡히면서 정부 내에서는 새만금개발청을 외청으로 신설해 전주에 설치하는 방안이 우선 검토되고 있다.

진주로의	진주/NNP+로/JKB+의/JKG
LH	LH/SL
일괄	일괄/NNG
이전	이전/NNG
쪽으로	쪽/NNB+으로/JKB
가닥이	가닥/NNG+이/JKS
잡히면서	잡히/VV+면서/EC
정부	정부/NNG
내에서는	내/NNB+에서/JKB+는/JX
새만금개발청을	새만금개발청/NNP+을/JKO
외청으로	외청/NNG+으로/JKB
신설해	신설/NNG+하/XSV+아/EC
전주에	전주/NNP+에/JKB
설치하는	설치/NNG+하/XSV+는/ETM
방안이	방안/NNG+이/JKS
우선	우선/MAG
검토되고	검토/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.350.5.2
이 밖에도 당초 진주로 이전하기로 돼 있던 국민연금관리공단(약 600명)을 전주로 수정 배치하는 방안도 대안의 하나인 것으로 알려졌다.

이	이/NP
밖에도	밖/NNG+에/JKB+도/JX
당초	당초/NNG
진주로	진주/NNP+로/JKB
이전하기로	이전/NNG+하/XSV+기/ETN+로/JKB
돼	되/VV+어/EC
있던	있/VX+던/ETM
국민연금관리공단(약	국민연금관리공단/NNP+(/SS+약/MMA
600명)을	600/SN+명/NNB+)/SS+을/JKO
전주로	전주/NNP+로/JKB
수정	수정/NNG
배치하는	배치/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
대안의	대안/NNG+의/JKG
하나인	하나/NR+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.350.6.1
정부는 이 같은 내용이 확정되면 5월 중순경 발표할 것으로 전해졌다.

정부는	정부/NNG+는/JX
이	이/NP
같은	같/VA+은/ETM
내용이	내용/NNG+이/JKS
확정되면	확정/NNG+되/XSV+면/EC
5월	5/SN+월/NNB
중순경	중순/NNG+경/XSN
발표할	발표/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.350.7.1
청와대 관계자는 “이명박 대통령이 지역균형 발전을 위한 공공기관 지방이전 사업의 조속한 마무리를 지시했다”면서 “유럽 3개국 순방을 마치고 귀국하는 15일 이후 LH의 이전 도시에 대한 이 대통령의 최종 재가가 내려질 것”이라고 말했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
“이명박	“/SS+이명박/NNP
대통령이	대통령/NNG+이/JKS
지역균형	지역/NNG+균형/NNG
발전을	발전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공공기관	공공/NNG+기관/NNG
지방이전	지방/NNG+이전/NNG
사업의	사업/NNG+의/JKG
조속한	조속하/VA+ㄴ/ETM
마무리를	마무리/NNG+를/JKO
지시했다”면서	지시/NNG+하/XSV+았/EP+다/EF+”/SS+면서/EC
“유럽	“/SS+유럽/NNP
3개국	3/SN+개국/NNB
순방을	순방/NNG+을/JKO
마치고	마치/VV+고/EC
귀국하는	귀국/NNG+하/XSV+는/ETM
15일	15/SN+일/NNB
이후	이후/NNG
LH의	LH/SL+의/JKG
이전	이전/NNG
도시에	도시/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이	이/NNP
대통령의	대통령/NNG+의/JKG
최종	최종/NNG
재가가	재가/NNG+가/JKS
내려질	내려지/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.350.8.1
대통령 직속 지역발전위원회는 내부에 평가특별위원회를 구성해 국토해양부로부터 LH 이전을 위한 정부 초안이 넘어오면 심의해 의결하게 된다.

대통령	대통령/NNG
직속	직속/NNG
지역발전위원회는	지역/NNG+발전/NNG+위원회/NNG+는/JX
내부에	내부/NNG+에/JKB
평가특별위원회를	평가/NNG+특별/NNG+위원회/NNG+를/JKO
구성해	구성/NNG+하/XSV+아/EC
국토해양부로부터	국토/NNG+해양부/NNG+로부터/JKB
LH	LH/SL
이전을	이전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정부	정부/NNG
초안이	초안/NNG+이/JKS
넘어오면	넘어오/VV+면/EC
심의해	심의/NNG+하/XSV+아/EC
의결하게	의결/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.350.8.2
한국토지공사와 대한주택공사가 통합된 LH는 노무현 정부 때 주택공사는 진주로, 토지공사는 전주로 이전한다는 방침이 결정됐다.

한국토지공사와	한국토지공사/NNP+와/JC
대한주택공사가	대한주택공사/NNP+가/JKS
통합된	통합/NNG+되/XSV+ㄴ/ETM
LH는	LH/SL+는/JX
노무현	노무현/NNP
정부	정부/NNG
때	때/NNG
주택공사는	주택공사/NNP+는/JX
진주로,	진주/NNP+로/JKB+,/SP
토지공사는	토지공사/NNP+는/JX
전주로	전주/NNP+로/JKB
이전한다는	이전/NNG+하/XSV+ㄴ다는/ETM
방침이	방침/NNG+이/JKS
결정됐다.	결정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.350.8.3
이후 진주는 주택관리공단 등 주택 관련 공기업이 다수 배치될 진주로의 일괄 이전을, 전주는 규모가 큰 주택공사가 옮겨가기로 했던 진주에 3, 전주에 1의 비중을 두는 ‘3 대 1 분할 이전’을 요구하며 갈등이 있었다.

이후	이후/NNG
진주는	진주/NNP+는/JX
주택관리공단	주택관리공단/NNP
등	등/NNB
주택	주택/NNG
관련	관련/NNG
공기업이	공기업/NNG+이/JKS
다수	다수/NNG
배치될	배치/NNG+되/XSV+ㄹ/ETM
진주로의	진주/NNP+로/JKB+의/JKG
일괄	일괄/NNG
이전을,	이전/NNG+을/JKO+,/SP
전주는	전주/NNP+는/JX
규모가	규모/NNG+가/JKS
큰	크/VA+ㄴ/ETM
주택공사가	주택공사/NNP+가/JKS
옮겨가기로	옮기/VV+어/EC+가/VX+기/ETN+로/JKB
했던	하/VV+았/EP+던/ETM
진주에	진주/NNP+에/JKB
3,	3/SN+,/SP
전주에	전주/NNP+에/JKB
1의	1/SN+의/JKG
비중을	비중/NNG+을/JKO
두는	두/VV+는/ETM
‘3	‘/SS+3/SN
대	대/NNB
1	1/SN
분할	분할/NNG
이전’을	이전/NNG+’/SS+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
갈등이	갈등/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.350.9.1
한편 국제과학비즈니스벨트 최종 후보지도 이달 18일 발표될 것으로 알려졌다.

한편	한편/MAG
국제과학비즈니스벨트	국제/NNG+과학/NNG+비즈니스/NNG+벨트/NNG
최종	최종/NNG
후보지도	후보지/NNG+도/JX
이달	이달/NNG
18일	18/SN+일/NNB
발표될	발표/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.350.9.2
청와대의 다른 관계자는 “18일 최종 입지를 확정한 뒤 발표할 것으로 안다”고 말했다.

청와대의	청와대/NNP+의/JKG
다른	다른/MMD
관계자는	관계자/NNG+는/JX
“18일	“/SS+18/SN+일/NNB
최종	최종/NNG
입지를	입지/NNG+를/JKO
확정한	확정/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
발표할	발표/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
안다”고	알/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.350.9.3
최종 입지는 3개 안팎의 도시가 될 가능성이 높게 점쳐지고 있다.

최종	최종/NNG
입지는	입지/NNG+는/JX
3개	3/SN+개/NNB
안팎의	안팎/NNG+의/JKG
도시가	도시/NNG+가/JKC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높게	높/VA+게/EC
점쳐지고	점치/VV+어/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.350.9.4
정부는 지난달 과학벨트 후보지를 10곳으로 압축한 바 있다.

정부는	정부/NNG+는/JX
지난달	지난달/NNG
과학벨트	과학/NNG+벨트/NNG
후보지를	후보지/NNG+를/JKO
10곳으로	10/SN+곳/NNG+으로/JKB
압축한	압축/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


