# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.396
metadata : {}


# id : NWRW1800000030.396.1.1
[수도권Ⅲ] 광주에 '토마토 테마마을' 만든다

[수도권Ⅲ]	[/SS+수도/NNG+권/XSN+Ⅲ/SL+]/SS
광주에	광주/NNP+에/JKB
'토마토	'/SS+토마토/NNG
테마마을'	테마/NNG+마을/NNG+'/SS
만든다	만들/VV+ㄴ다/EF


# id : NWRW1800000030.396.2.1
삼색 토마토로 유명한 광주시에 국내 최대의 토마토 테마마을이 조성된다.

삼색	삼색/NNG
토마토로	토마토/NNG+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
광주시에	광주시/NNP+에/JKB
국내	국내/NNG
최대의	최대/NNG+의/JKG
토마토	토마토/NNG
테마마을이	테마/NNG+마을/NNG+이/JKS
조성된다.	조성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.396.2.2
탐방객들은 토마토 밭 사이로 난 둘레길을 걸으며 토마토 수확과 시식 체험을 할 수 있다.

탐방객들은	탐방객/NNG+들/XSN+은/JX
토마토	토마토/NNG
밭	밭/NNG
사이로	사이/NNG+로/JKB
난	나/VV+ㄴ/ETM
둘레길을	둘레/NNG+길/NNG+을/JKO
걸으며	걷/VV+으며/EC
수확과	수확/NNG+과/JC
시식	시식/NNG
체험을	체험/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.396.3.1
광주시는 26일 "총 사업비 46억원을 투입해 오는 2015년까지 초월읍 서하리와 퇴촌면 정지리를 토마토를 테마로 한 '토마루권역'으로 개발한다"고 밝혔다.

광주시는	광주시/NNP+는/JX
26일	26/SN+일/NNB
"총	"/SS+총/MMA
사업비	사업비/NNG
46억원을	46/SN+억/NR+원/NNB+을/JKO
투입해	투입/NNG+하/XSV+아/EC
오는	오/VV+는/ETM
2015년까지	2015/SN+년/NNB+까지/JX
초월읍	초월읍/NNP
서하리와	서하리/NNP+와/JC
퇴촌면	퇴촌면/NNP
정지리를	정지리/NNP+를/JKO
토마토를	토마토/NNG+를/JKO
테마로	테마/NNG+로/JKB
한	하/VV+ㄴ/ETM
