# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.73
metadata : {}


# id : NWRW1800000044.73.1.1
북-일, 1년4개월만에 국장급 회담 ‘일본인 납치문제’ 해법 찾을까

북-일,	북-일/NNP+,/SP
1년4개월만에	1/SN+년/NNB+4/SN+개월/NNB+만/NNB+에/JKB
국장급	국장급/NNG
회담	회담/NNG
‘일본인	‘/SS+일본인/NNG
납치문제’	납치/NNG+문제/NNG+’/SS
해법	해법/NNG
찾을까	찾/VV+을까/EF


# id : NWRW1800000044.73.2.1
[한겨레] 북-일 국장급 협의가 30일 중국 베이징에서 이틀 일정으로 시작됐다.

[한겨레]	[/SS+한겨레/NNP+]/SS
북-일	북-일/NNP
국장급	국장급/NNG
협의가	협의/NNG+가/JKS
30일	30/SN+일/NNB
중국	중국/NNP
베이징에서	베이징/NNP+에서/JKB
이틀	이틀/NNG
일정으로	일정/NNG+으로/JKB
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.73.2.2
일본의 최대 관심사인 ‘납치 문제’에 북한이 얼마나 전향적 태도를 보이는가에 따라 1년4개월 만에 재개된 협의의 성패가 판가름날 것으로 전망된다.

일본의	일본/NNP+의/JKG
최대	최대/NNG
관심사인	관심사/NNG+이/VCP+ㄴ/ETM
‘납치	‘/SS+납치/NNG
문제’에	문제/NNG+’/SS+에/JKB
북한이	북한/NNP+이/JKS
얼마나	얼마나/MAG
전향적	전향/NNG+적/XSN
태도를	태도/NNG+를/JKO
보이는가에	보이/VV+는가/EF+에/JKB
따라	따르/VV+아/EC
1년4개월	1/SN+년/NNB+4/SN+개월/NNB
만에	만/NNB+에/JKB
재개된	재개/NNG+되/XSV+ㄴ/ETM
협의의	협의/NNG+의/JKG
성패가	성패/NNG+가/JKS
판가름날	판가름/NNG+나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.73.3.1
일본 <엔에이치케이>(NHK) 방송은 이날 오전 11시 베이징의 북한대사관에서 북한의 송일호 북일국교정상화 담당대사와 일본의 이하라 준이치 외무성 아시아·대양주국장을 수석대표로 한 국장급 협의가 시작돼 오후 6시께 종료됐다고 보도했다.

일본	일본/NNP
<엔에이치케이>(NHK)	</SS+엔에이치케이/NNP+>/SS+(/SS+NHK/SL+)/SS
방송은	방송/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
11시	11/SN+시/NNB
베이징의	베이징/NNP+의/JKG
북한대사관에서	북한대사관/NNP+에서/JKB
북한의	북한/NNP+의/JKG
송일호	송일호/NNP
북일국교정상화	북일/NNP+국교/NNG+정상/NNG+화/XSN
담당대사와	담당/NNG+대사/NNG+와/JC
일본의	일본/NNP+의/JKG
이하라	이하라/NNP
준이치	준이치/NNP
외무성	외무성/NNG
아시아·대양주국장을	아시아/NNP+·/SP+대양주/NNP+국장/NNG+을/JKO
수석대표로	수석대표/NNG+로/JKB
한	하/VV+ㄴ/ETM
국장급	국장급/NNG
협의가	협의/NNG+가/JKS
시작돼	시작/NNG+되/XSV+어/EC
오후	오후/NNG
6시께	6/SN+시/NNB+께/XSN
종료됐다고	종료/NNG+되/XSV+었/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.73.3.2
이하라 국장은 첫날 회담이 끝난 뒤 납치 문제에 대한 논의가 가능했냐는 질문을 받자, “그렇게 생각한다”고 답했다.

이하라	이하라/NNP
국장은	국장/NNG+은/JX
첫날	첫날/NNG
회담이	회담/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
납치	납치/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
논의가	논의/NNG+가/JKS
가능했냐는	가능/NNG+하/XSA+았/EP+냐는/ETM
질문을	질문/NNG+을/JKO
받자,	받/VV+자/EC+,/SP
“그렇게	“/SS+그렇/VA+게/EC
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.73.3.3
그는 “진지하고 매우 솔직한 논의가 가능했다”며 “모든 기회를 이용해 실질적인 의견 교환을 계속하도록 노력하겠다”고 덧붙였다.

그는	그/NP+는/JX
“진지하고	“/SS+진지하/VA+고/EC
매우	매우/MAG
솔직한	솔직하/VA+ㄴ/ETM
논의가	논의/NNG+가/JKS
가능했다”며	가능/NNG+하/XSA+았/EP+다/EF+”/SS+며/EC
“모든	“/SS+모든/MMN
기회를	기회/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
의견	의견/NNG
교환을	교환/NNG+을/JKO
계속하도록	계속/NNG+하/XSV+도록/EC
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.73.4.1
회담에 앞서 이하라 국장은 모두발언에서 “1년4개월 만에 일-조(북한) 정부간 협의가 재개될 수 있어 다행이다”라고 말했다.

회담에	회담/NNG+에/JKB
앞서	앞서/VV+어/EC
이하라	이하라/NNP
국장은	국장/NNG+은/JX
모두발언에서	모두/NNG+발언/NNG+에서/JKB
“1년4개월	“/SS+1/SN+년/NNB+4/SN+개월/NNB
만에	만/NNB+에/JKB
일-조(북한)	일/NNP+-/SO+조/NNP+(/SS+북한/NNP+)/SS
정부간	정부/NNG+간/NNB
협의가	협의/NNG+가/JKS
재개될	재개/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
다행이다”라고	다행/NNG+이/VCP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.73.4.2
송일호 대사도 “상호간에 솔직하고 진지한 태도로 협의할 수 있기를 바란다”고 화답했다.

송일호	송일호/NNP
대사도	대사/NNG+도/JX
“상호간에	“/SS+상호/NNG+간/NNB+에/JKB
솔직하고	솔직하/VA+고/EC
진지한	진지하/VA+ㄴ/ETM
태도로	태도/NNG+로/JKB
협의할	협의/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있기를	있/VV+기/ETN+를/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
화답했다.	화답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.73.4.3
<엔에이치케이> 방송은 “일본은 이번 협의에서 납치 문제뿐 아니라 북핵과 미사일 등 다른 현안 등도 다룬다는 방침”이라고 전했다.

<엔에이치케이>	</SS+엔에이치케이/NNP+>/SS
방송은	방송/NNG+은/JX
“일본은	“/SS+일본/NNP+은/JX
이번	이번/NNG
협의에서	협의/NNG+에서/JKB
납치	납치/NNG
문제뿐	문제/NNG+뿐/JX
아니라	아니/VCN+라/EC
북핵과	북핵/NNG+과/JC
미사일	미사일/NNG
등	등/NNB
다른	다른/MMD
현안	현안/NNG
등도	등/NNB+도/JX
다룬다는	다루/VV+ㄴ다는/ETM
방침”이라고	방침/NNG+”/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.73.5.1
일본은 북한에 상당한 ‘당근’을 제시한 상태다.

일본은	일본/NNP+은/JX
북한에	북한/NNP+에/JKB
상당한	상당/NNG+하/XSA+ㄴ/ETM
‘당근’을	‘/SS+당근/NNG+’/SS+을/JKO
제시한	제시/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.73.5.2
일본 정부는 지난 26일 북한이 탄도미사일을 발사했는데도 회담을 그대로 추진했다.

일본	일본/NNP
정부는	정부/NNG+는/JX
지난	지나/VV+ㄴ/ETM
26일	26/SN+일/NNB
북한이	북한/NNP+이/JKS
탄도미사일을	탄도/NNG+미사일/NNG+을/JKO
발사했는데도	발사/NNG+하/XSV+았/EP+는데/EC+도/JX
회담을	회담/NNG+을/JKO
그대로	그대로/MAG
추진했다.	추진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.73.5.3
게다가 대북한 강경파로 알려진 후루야 게이지 납치문제 담당상은 28일 “납치 문제에 북한이 성의있는 노력을 한다면 우리가 독자적으로 내린 (제재) 조처를 단계적으로 해제하는 것은 당연히 있을 수 있다”고 말했다.

게다가	게다가/MAG
대북한	대북한/NNG
강경파로	강경파/NNG+로/JKB
알려진	알려지/VV+ㄴ/ETM
후루야	후루야/NNP
게이지	게이지/NNP
납치문제	납치/NNG+문제/NNG
담당상은	담당상/NNG+은/JX
28일	28/SN+일/NNB
“납치	“/SS+납치/NNG
문제에	문제/NNG+에/JKB
북한이	북한/NNP+이/JKS
성의있는	성의/NNG+있/VA+는/ETM
노력을	노력/NNG+을/JKO
한다면	하/VV+ㄴ다면/EC
우리가	우리/NP+가/JKS
독자적으로	독자/NNG+적/XSN+으로/JKB
내린	내리/VV+ㄴ/ETM
(제재)	(/SS+제재/NNG+)/SS
조처를	조처/NNG+를/JKO
단계적으로	단계/NNG+적/XSN+으로/JKB
해제하는	해제/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
당연히	당연히/MAG
있을	있/VA+을/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.73.5.4
송 대사도 29일 납치 문제 의제화에 대한 질문을 받고 “어떤 문제를 토론할까는 얘기해봐야 한다”며 여지를 뒀다.

송	송/NNP
대사도	대사/NNG+도/JX
29일	29/SN+일/NNB
납치	납치/NNG
문제	문제/NNG
의제화에	의제/NNG+화/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
질문을	질문/NNG+을/JKO
받고	받/VV+고/EC
“어떤	“/SS+어떤/MMD
문제를	문제/NNG+를/JKO
