# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.141
metadata : {}


# id : NWRW1800000056.141.1.1
“아버지에 불효한 회한 비로소 사그라든다”

“아버지에	“/SS+아버지/NNG+에/JKB
불효한	불효/NNG+하/XSV+ㄴ/ETM
회한	회한/NNG
비로소	비로소/MAG
사그라든다”	사그라들/VV+ㄴ다/EF+”/SS


# id : NWRW1800000056.141.2.1
[한겨레] ‘조종현 조정래 김초혜 가족문학관’ 고흥서 개관

[한겨레]	[/SS+한겨레/NNP+]/SS
‘조종현	‘/SS+조종현/NNP
조정래	조정래/NNP
김초혜	김초혜/NNP
가족문학관’	가족/NNG+문학관/NNG+’/SS
고흥서	고흥/NNP+서/JKB
개관	개관/NNG


# id : NWRW1800000056.141.3.1
육필원고·소품·사진 등 1270여점 전시

육필원고·소품·사진	육필/NNG+원고/NNG+·/SP+소품/NNG+·/SP+사진/NNG
등	등/NNB
1270여점	1270/SN+여/XSN+점/NNB
전시	전시/NNG


# id : NWRW1800000056.141.4.1
김훈 축사 “‘태백산맥’ 씨앗이 여기 있어”

김훈	김훈/NNP
축사	축사/NNG
“‘태백산맥’	“/SS+‘/SS+태백산맥/NNP+’/SS
씨앗이	씨앗/NNG+이/JKS
여기	여기/NP
있어”	있/VA+어/EF+”/SS


# id : NWRW1800000056.141.5.1
“링컨은 ‘나는 어머니란 말만 들어도 눈물이 난다’고 말했습니다만, 저는 아버지만 생각하면 눈물이 납니다.

“링컨은	“/SS+링컨/NNP+은/JX
‘나는	‘/SS+나/NP+는/JX
어머니란	어머니/NNG+이/VCP+란/ETM
말만	말/NNG+만/JX
들어도	듣/VV+어도/EC
눈물이	눈물/NNG+이/JKS
난다’고	나/VV+ㄴ다/EF+’/SS+고/JKQ
말했습니다만,	말/NNG+하/XSV+았/EP+습니다/EF+만/JX+,/SP
저는	저/NP+는/JX
아버지만	아버지/NNG+만/JX
생각하면	생각/NNG+하/XSV+면/EC
납니다.	나/VV+ㅂ니다/EF+./SF


# id : NWRW1800000056.141.5.2
평생 가난 속에 종교와 문학과 교육에 매진하신 아버님인데, 제 책이 잘 팔려서 비로소 효도를 할 수 있겠다 싶은 시점에 돌아가시고 말았습니다.

평생	평생/NNG
가난	가난/NNG
속에	속/NNG+에/JKB
종교와	종교/NNG+와/JC
문학과	문학/NNG+과/JC
교육에	교육/NNG+에/JKB
매진하신	매진/NNG+하/XSV+시/EP+ㄴ/ETM
아버님인데,	아버님/NNG+이/VCP+ㄴ데/EC+,/SP
제	저/NP+의/JKG
책이	책/NNG+이/JKS
잘	잘/MAG
팔려서	팔리/VV+어서/EC
비로소	비로소/MAG
효도를	효도/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있겠다	있/VA+겠/EP+다/EF
싶은	싶/VX+은/ETM
시점에	시점/NNG+에/JKB
돌아가시고	돌아가/VV+시/EP+고/EC
말았습니다.	말/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000056.141.5.3
게다가 아버지의 문학이 세월에 따라 잊혀 가는 게 안타깝고 아쉽기만 했습니다.

게다가	게다가/MAG
아버지의	아버지/NNG+의/JKG
문학이	문학/NNG+이/JKS
세월에	세월/NNG+에/JKB
따라	따르/VV+아/EC
잊혀	잊히/VV+어/EC
가는	가/VX+는/ETM
게	거/NNB+이/JKS
안타깝고	안타깝/VA+고/EC
아쉽기만	아쉽/VA+기/ETN+만/JX
했습니다.	하/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000056.141.5.4
다행히 아버님의 고향인 고흥군에서 이렇게 문학관을 만들어 주어서 제가 불효한 회한이 비로소 사그라드는 것 같아 감사하게 생각합니다.”

다행히	다행히/MAG
아버님의	아버님/NNG+의/JKG
고향인	고향/NNG+이/VCP+ㄴ/ETM
고흥군에서	고흥군/NNP+에서/JKB
이렇게	이렇/VA+게/EC
문학관을	문학관/NNG+을/JKO
만들어	만들/VV+어/EC
주어서	주/VX+어서/EC
제가	제/NP+가/JKS
불효한	불효/NNG+하/XSV+ㄴ/ETM
회한이	회한/NNG+이/JKS
비로소	비로소/MAG
사그라드는	사그라들/VV+는/ETM
것	것/NNB
같아	같/VA+아/EC
감사하게	감사/NNG+하/XSA+게/EC
생각합니다.”	생각/NNG+하/XSV+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000056.141.6.1
대하소설 3부작 <태백산맥> <아리랑> <한강>의 작가 조정래(사진)씨가 울먹이며 말을 이었다.

대하소설	대하소설/NNG
3부작	3/SN+부작/NNB
<태백산맥>	</SS+태백산맥/NNP+>/SS
<아리랑>	</SS+아리랑/NNP+>/SS
<한강>의	</SS+한강/NNP+>/SS+의/JKG
작가	작가/NNG
조정래(사진)씨가	조정래/NNP+(/SS+사진/NNG+)/SS+씨/NNB+가/JKS
울먹이며	울먹이/VV+며/EC
말을	말/NNG+을/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.141.6.2
30일 오후 전남 고흥군 두원면 운대리에서 열린 ‘조종현 조정래 김초혜 가족문학관’ 개관식에서 행한 답사였다.

30일	30/SN+일/NNB
오후	오후/NNG
전남	전남/NNP
고흥군	고흥군/NNP
두원면	두원면/NNP
운대리에서	운대리/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘조종현	‘/SS+조종현/NNP
조정래	조정래/NNP
김초혜	김초혜/NNP
가족문학관’	가족/NNG+문학관/NNG+’/SS
개관식에서	개관식/NNG+에서/JKB
행한	행하/VV+ㄴ/ETM
답사였다.	답사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.141.6.3
이 문학관은 조정래 작가의 부친인 시조시인 조종현, 조정래씨의 부인인 시인 김초혜씨, 그리고 조정래 작가까지 문학인 2대 세사람의 문학 세계를 기리고자 고흥군이 세웠다.

이	이/MMD
문학관은	문학관/NNG+은/JX
조정래	조정래/NNP
작가의	작가/NNG+의/JKG
부친인	부친/NNG+이/VCP+ㄴ/ETM
시조시인	시조/NNG+시인/NNG
조종현,	조종현/NNP+,/SP
조정래씨의	조정래/NNP+씨/NNB+의/JKG
부인인	부인/NNG+이/VCP+ㄴ/ETM
시인	시인/NNG
김초혜씨,	김초혜/NNP+씨/NNB+,/SP
그리고	그리고/MAJ
작가까지	작가/NNG+까지/JX
문학인	문학인/NNG
2대	2/SN+대/NNB
세사람의	세/MMN+사람/NNG+의/JKG
문학	문학/NNG
세계를	세계/NNG+를/JKO
기리고자	기리/VV+고자/EC
고흥군이	고흥군/NNP+이/JKS
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.141.6.4
지난달 말 개관한 분청문화박물관 옆에 자리한 이 문학관은 조종현 문학실, 조정래 문학실, 김초혜 문학실 등 3개 방으로 이루어져 있다.

지난달	지난달/NNG
말	말/NNB
개관한	개관/NNG+하/XSV+ㄴ/ETM
분청문화박물관	분청문화박물관/NNP
옆에	옆/NNG+에/JKB
자리한	자리/NNG+하/XSV+ㄴ/ETM
이	이/MMD
문학관은	문학관/NNG+은/JX
조종현	조종현/NNP
문학실,	문학실/NNG+,/SP
조정래	조정래/NNP
김초혜	김초혜/NNP
문학실	문학실/NNG
등	등/NNB
3개	3/SN+개/NNB
방으로	방/NNG+으로/JKB
이루어져	이루어지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.141.6.5
세 문인의 육필원고와 집필 도구, 생활 소품, 사진 자료 등 모두 1274점이 전시된다.

세	세/MMN
문인의	문인/NNG+의/JKG
육필원고와	육필/NNG+원고/NNG+와/JC
집필	집필/NNG
도구,	도구/NNG+,/SP
생활	생활/NNG
소품,	소품/NNG+,/SP
사진	사진/NNG
자료	자료/NNG
등	등/NNB
