# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.23
metadata : {}


# id : NWRW1800000026.23.1.1
강추위 녹이는 뜨거운 인문학 열풍;2007년 시작 '석학강좌' 성황 "굶주린 지적 욕구 채워주는 12첩 반상" 수강생들 호평

강추위	강추위/NNG
녹이는	녹이/VV+는/ETM
뜨거운	뜨겁/VA+ㄴ/ETM
인문학	인문학/NNG
열풍;2007년	열풍/NNG+;/SP+2007/SN+년/NNB
시작	시작/NNG
'석학강좌'	'/SS+석학/NNG+강좌/NNG+'/SS
성황	성황/NNG
"굶주린	"/SS+굶주리/VV+ㄴ/ETM
지적	지/NNG+적/XSN
욕구	욕구/NNG
채워주는	채우/VV+어/EC+주/VX+는/ETM
12첩	12/SN+첩/NNB
반상"	반상/NNG+"/SS
수강생들	수강/NNG+생/XSN+들/XSN
호평	호평/NNG


# id : NWRW1800000026.23.2.1
토요일인 지난 16일 주부 태순자(63·서울 신정동)씨는 남편과 아들에게 아침을 차려주고 집을 나섰다.

토요일인	토요일/NNG+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
주부	주부/NNG
태순자(63·서울	태순자/NNP+(/SS+63/SN+·/SP+서울/NNP
신정동)씨는	신정동/NNP+)/SS+씨/NNB+는/JX
남편과	남편/NNG+과/JC
아들에게	아들/NNG+에게/JKB
아침을	아침/NNG+을/JKO
차려주고	차리/VV+어/EC+주/VX+고/EC
집을	집/NNG+을/JKO
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.23.2.2
인사동에 들러 전시회를 보고 점심을 먹은 뒤 향한 곳은 서울역사박물관.

인사동에	인사동/NNP+에/JKB
들러	들르/VV+어/EC
전시회를	전시회/NNG+를/JKO
보고	보/VV+고/EC
점심을	점심/NNG+을/JKO
먹은	먹/VV+은/ETM
뒤	뒤/NNG
향한	향하/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
서울역사박물관.	서울역사박물관/NNP+./SF


# id : NWRW1800000026.23.2.3
한국연구재단(이사장 박찬모)이 주최하는 '제3기 석학과 함께 하는 인문강좌'에서 정옥자 국사편찬위원장의 '법고창신(法古創新)의 길, 지식기반 문화국가 조선' 강좌를 듣기 위해서였다.

한국연구재단(이사장	한국연구재단/NNP+(/SS+이사장/NNG
박찬모)이	박찬모/NNP+)/SS+이/JKS
주최하는	주최/NNG+하/XSV+는/ETM
'제3기	'/SS+제/XPN+3/SN+기/NNG
석학과	석학/NNG+과/JKB
함께	함께/MAG
하는	하/VV+는/ETM
인문강좌'에서	인문/NNG+강좌/NNG+'/SS+에서/JKB
정옥자	정옥자/NNP
국사편찬위원장의	국사/NNG+편찬위원장/NNG+의/JKG
'법고창신(法古創新)의	'/SS+법고창신/NNG+(/SS+法古創新/SH+)/SS+의/JKG
길,	길/NNG+,/SP
지식기반	지식/NNG+기반/NNG
문화국가	문화/NNG+국가/NNG
조선'	조선/NNP+'/SS
강좌를	강좌/NNG+를/JKO
듣기	듣/VV+기/ETN
위해서였다.	위하/VV+아서/EC+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.23.3.1
오후 3시 강의 시작을 20분 앞두고 강의실에 도착했을 때 강당 안 좌석 287곳은 이미 가득차 있었다.

오후	오후/NNG
3시	3/SN+시/NNB
강의	강의/NNG
시작을	시작/NNG+을/JKO
20분	20/SN+분/NNB
앞두고	앞두/VV+고/EC
강의실에	강의실/NNG+에/JKB
도착했을	도착/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
강당	강당/NNG
안	안/NNG
좌석	좌석/NNG
287곳은	287/SN+곳/NNG+은/JX
이미	이미/MAG
가득차	가득/MAG+차/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.23.3.2
간이의자 20여개도 동났다.

간이의자	간이/NNG+의자/NNG
20여개도	20/SN+여/XSN+개/NNB+도/JX
동났다.	동나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.23.3.3
청중은 50~60대 이상이 대부분이었다.

청중은	청중/NNG+은/JX
50~60대	50/SN+~/SO+60/SN+대/NNB
이상이	이상/NNG+이/JKS
대부분이었다.	대/XPN+부분/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.23.4.1
지난 4주간의 강의에 이어 종합토론으로 이뤄진 이날 마지막 강의는 일문일답으로 진행됐다.

지난	지나/VV+ㄴ/ETM
4주간의	4/SN+주간/NNB+의/JKG
강의에	강의/NNG+에/JKB
이어	잇/VV+어/EC
종합토론으로	종합/NNG+토론/NNG+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
이날	이날/NNG
마지막	마지막/NNG
강의는	강의/NNG+는/JX
일문일답으로	일문일답/NNG+으로/JKB
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.23.4.2
"현대에 선비정신이 필요한 분야는 어디라고 보느냐"는 질문에 정 위원장이 "'자신을 이겨내 예로 돌아간다'는 극기복례(克己復禮)다.

"현대에	"/SS+현대/NNG+에/JKB
선비정신이	선비/NNG+정신/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
분야는	분야/NNG+는/JX
어디라고	어디/NP+이/VCP+라고/EC
보느냐"는	보/VV+느냐/EF+"/SS+는/ETM
질문에	질문/NNG+에/JKB
정	정/NNP
위원장이	위원장/NNG+이/JKS
"'자신을	"/SS+'/SS+자신/NNG+을/JKO
이겨내	이기/VV+어/EC+내/VX+어/EC
예로	예/NNG+로/JKB
돌아간다'는	돌아가/VV+ㄴ다/EF+'/SS+는/ETM
극기복례(克己復禮)다.	극기복례/NNG+(/SS+克己復禮/SH+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000026.23.4.3
밥 먹으러 가서 어떻게 하면 내가 돈 안 낼까 궁리하지 않고 있는 사람이 먼저 내는 것도 극기복례"라고 하자 청중들 사이에서 와르르 웃음이 터졌다.

밥	밥/NNG
먹으러	먹/VV+으러/EC
가서	가/VV+아서/EC
어떻게	어떻/VA+게/EC
하면	하/VV+면/EC
내가	내/NP+가/JKS
돈	돈/NNG
안	안/MAG
낼까	내/VV+ㄹ까/EF
궁리하지	궁리/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
사람이	사람/NNG+이/JKS
먼저	먼저/MAG
내는	내/VV+는/ETM
것도	것/NNB+도/JX
극기복례"라고	극기복례/NNG+"/SS+라고/JKQ
하자	하/VV+자/EC
청중들	청중/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
와르르	와르르/MAG
웃음이	웃음/NNG+이/JKS
터졌다.	터지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.23.5.1
태씨는 12년 전 덕수궁에 놀러 갔다가 당시 궁중유물전시관(지금의 국립고궁박물관) 문화강좌를 알게 돼 신청한 이후 인문학 강좌가 열리는 곳이면 어디든 들으러 다녔다.

태씨는	태/NNP+씨/NNB+는/JX
12년	12/SN+년/NNB
전	전/NNG
덕수궁에	덕수궁/NNP+에/JKB
놀러	놀/VV+러/EC
갔다가	가/VV+았/EP+다가/EC
당시	당시/NNG
궁중유물전시관(지금의	궁중유물전시관/NNP+(/SS+지금/NNG+의/JKG
국립고궁박물관)	국립고궁박물관/NNP+)/SS
문화강좌를	문화/NNG+강좌/NNG+를/JKO
알게	알/VV+게/EC
돼	되/VV+어/EC
신청한	신청/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
인문학	인문학/NNG
강좌가	강좌/NNG+가/JKS
열리는	열리/VV+는/ETM
곳이면	곳/NNG+이/VCP+면/EC
어디든	어디/NP+든/JX
들으러	듣/VV+으러/EC
다녔다.	다니/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.23.5.2
"간호사가 되고 싶었지만 위로 언니가 둘 있고 아버지도 연로해 그럴 수 없었어요.

"간호사가	"/SS+간호사/NNG+가/JKC
되고	되/VV+고/EC
싶었지만	싶/VX+었/EP+지만/EC
위로	위/NNG+로/JKB
언니가	언니/NNG+가/JKS
둘	둘/NR
있고	있/VA+고/EC
아버지도	아버지/NNG+도/JX
연로해	연로/NNG+하/XSA+아/EC
그럴	그러/VV+ㄹ/ETM
수	수/NNB
없었어요.	없/VA+었/EP+어요/EF+./SF


# id : NWRW1800000026.23.5.3
그런 내게 고급 학문을 쉽게 들려주는 인문학 강좌는 한껏 굶주린 지적 욕구를 차지게 채워주는 12첩 반상이나 마찬가지죠."

그런	그런/MMD
내게	나/NP+에게/JKB
고급	고급/NNG
학문을	학문/NNG+을/JKO
쉽게	쉽/VA+게/EC
들려주는	들려주/VV+는/ETM
인문학	인문학/NNG
강좌는	강좌/NNG+는/JX
한껏	한껏/MAG
굶주린	굶주리/VV+ㄴ/ETM
지적	지/NNG+적/XSN
욕구를	욕구/NNG+를/JKO
차지게	차지/VA+게/EC
채워주는	채우/VV+어/EC+주/VX+는/ETM
12첩	12/SN+첩/NNB
반상이나	반상/NNG+이나/JX
마찬가지죠."	마찬가지/NNG+이/VCP+죠/EF+./SF+"/SS


# id : NWRW1800000026.23.6.1
2시간여의 강연이 끝나자 청중들이 단상으로 달려나가 정옥자 위원장에게 사인을 청했다.

2시간여의	2/SN+시간/NNB+여/XSN+의/JKG
강연이	강연/NNG+이/JKS
끝나자	끝나/VV+자/EC
청중들이	청중/NNG+들/XSN+이/JKS
단상으로	단상/NNG+으로/JKB
달려나가	달리/VV+어/EC+나가/VV+아/EC
정옥자	정옥자/NNP
위원장에게	위원장/NNG+에게/JKB
사인을	사인/NNG+을/JKO
청했다.	청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.23.6.2
25년간 무역업을 하다 8년 전 퇴직했다는 김영휘(60·서울 화양동)씨는 떠나는 정 위원장을 붙들고 질문 3개를 연달아 퍼부었다.

25년간	25/SN+년/NNB+간/XSN
무역업을	무역업/NNG+을/JKO
하다	하/VV+다/EC
8년	8/SN+년/NNB
전	전/NNG
퇴직했다는	퇴직/NNG+하/XSV+았/EP+다는/ETM
김영휘(60·서울	김영휘/NNP+(/SS+60/SN+·/SP+서울/NNP
화양동)씨는	화양동/NNP+)/SS+씨/NNB+는/JX
떠나는	떠나/VV+는/ETM
정	정/NNP
위원장을	위원장/NNG+을/JKO
