# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.315
metadata : {}


# id : NWRW1800000038.315.1.1
[특파원 리포트] 과잉 규제 그냥 둔 채 창조경제 어렵다

[특파원	[/SS+특파원/NNG
리포트]	리포트/NNG+]/SS
과잉	과잉/NNG
규제	규제/NNG
그냥	그냥/MAG
둔	두/VV+ㄴ/ETM
채	채/NNB
창조경제	창조/NNG+경제/NNG
어렵다	어렵/VA+다/EF


# id : NWRW1800000038.315.2.1
병원에서 수백만원씩 받는 유전자 정보 분석을, 한 벤처기업이 단돈 10만원에 제공한다고 치자.

병원에서	병원/NNG+에서/JKB
수백만원씩	수백만/NR+원/NNB+씩/XSN
받는	받/VV+는/ETM
유전자	유전자/NNG
정보	정보/NNG
분석을,	분석/NNG+을/JKO+,/SP
한	한/MMN
벤처기업이	벤처/NNG+기업/NNG+이/JKS
단돈	단돈/NNG
10만원에	10/SN+만/NR+원/NNB+에/JKB
제공한다고	제공/NNG+하/XSV+ㄴ다고/EC
치자.	치/VV+자/EF+./SF


# id : NWRW1800000038.315.2.2
이 벤처기업은 특정 질병에 대해 진단하거나 처방하지 않는다.

이	이/MMD
벤처기업은	벤처/NNG+기업/NNG+은/JX
특정	특정/NNG
질병에	질병/NNG+에/JKB
대해	대하/VV+아/EC
진단하거나	진단/NNG+하/XSV+거나/EC
처방하지	처방/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000038.315.2.3
단지 유전자 정보 분석을 통해 특정 질병에 걸릴 확률만 고객에게 알려준다.

단지	단지/MAG
유전자	유전자/NNG
정보	정보/NNG
분석을	분석/NNG+을/JKO
통해	통하/VV+아/EC
특정	특정/NNG
질병에	질병/NNG+에/JKB
걸릴	걸리/VV+ㄹ/ETM
확률만	확률/NNG+만/JX
고객에게	고객/NNG+에게/JKB
알려준다.	알리/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.315.2.4
그렇다면 이 업체는 보건 당국의 규제 대상인가 아닌가.

그렇다면	그렇/VA+다면/EC
이	이/MMD
업체는	업체/NNG+는/JX
보건	보건/NNG
당국의	당국/NNG+의/JKG
규제	규제/NNG
대상인가	대상/NNG+이/VCP+ㄴ가/EF
아닌가.	아니/VCN+ㄴ가/EF+./SF


# id : NWRW1800000038.315.2.5
이 논쟁이 미국에서 핫이슈로 부상했다.

이	이/MMD
논쟁이	논쟁/NNG+이/JKS
미국에서	미국/NNP+에서/JKB
핫이슈로	핫이슈/NNG+로/JKB
부상했다.	부상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.315.3.1
미국 식품의약국(FDA)은 지난 22일 유전자 정보 분석업체인 '23앤드미(23andMe)'에 대해 영업정지 명령을 내렸다.

미국	미국/NNP
식품의약국(FDA)은	식품/NNG+의약국/NNG+(/SS+FDA/SL+)/SS+은/JX
지난	지나/VV+ㄴ/ETM
22일	22/SN+일/NNB
유전자	유전자/NNG
정보	정보/NNG
분석업체인	분석/NNG+업체/NNG+이/VCP+ㄴ/ETM
'23앤드미(23andMe)'에	'/SS+23앤드미/NNP+(/SS+23/SN+andMe/SL+)/SS+'/SS+에/JKB
대해	대하/VV+아/EC
영업정지	영업/NNG+정지/NNG
명령을	명령/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.315.3.2
구글의 창업자인 세르게이 브린의 부인 앤 보이치키가 지난 2006년 창업한 이 회사는 고객의 타액(침)에서 채취한 유전자 정보를 통해 유방암 등 총 254개 질병에 걸릴 확률을 제시해주는 서비스를 99달러에 제공하고 있다.

구글의	구글/NNP+의/JKG
창업자인	창업자/NNG+이/VCP+ㄴ/ETM
세르게이	세르게이/NNP
브린의	브린/NNP+의/JKG
부인	부인/NNG
앤	앤/NNP
보이치키가	보이치키/NNP+가/JKS
지난	지나/VV+ㄴ/ETM
2006년	2006/SN+년/NNB
창업한	창업/NNG+하/XSV+ㄴ/ETM
이	이/MMD
회사는	회사/NNG+는/JX
고객의	고객/NNG+의/JKG
타액(침)에서	타액/NNG+(/SS+침/NNG+)/SS+에서/JKB
채취한	채취/NNG+하/XSV+ㄴ/ETM
유전자	유전자/NNG
정보를	정보/NNG+를/JKO
통해	통하/VV+아/EC
유방암	유방암/NNG
등	등/NNB
총	총/MMA
254개	254/SN+개/NNB
질병에	질병/NNG+에/JKB
걸릴	걸리/VV+ㄹ/ETM
확률을	확률/NNG+을/JKO
제시해주는	제시/NNG+하/XSV+아/EC+주/VX+는/ETM
서비스를	서비스/NNG+를/JKO
99달러에	99/SN+달러/NNB+에/JKB
제공하고	제공/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.315.3.3
병원에서 유방암을 일으키는 변이 유전자 검사를 받는 데만 3000달러가 넘게 드는 미국에서 이 회사의 99달러짜리 '타액채취키트'는 큰 인기를 끌었다.

병원에서	병원/NNG+에서/JKB
