# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.212
metadata : {}


# id : NWRW1800000028.212.1.1
안양옥 새 교총회장 /“교원평가 개선해야”

안양옥	안양옥/NNP
새	새/MMA
교총회장	교총/NNP+회장/NNG
/“교원평가	//SP+“/SS+교원/NNG+평가/NNG
개선해야”	개선/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000028.212.2.1
지난 20일 한국교원단체총연합회(교총)의 제34대 회장으로 선출된 안양옥(53) 서울교대 교수는 21일 “현행 교원평가제는 큰 문제가 있는 만큼, 개선이 필요하다”고 밝혔다.

지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
한국교원단체총연합회(교총)의	한국교원단체총연합회/NNP+(/SS+교총/NNP+)/SS+의/JKG
제34대	제/XPN+34/SN+대/NNB
회장으로	회장/NNG+으로/JKB
선출된	선출/NNG+되/XSV+ㄴ/ETM
안양옥(53)	안양옥/NNP+(/SS+53/SN+)/SS
서울교대	서울교대/NNP
교수는	교수/NNG+는/JX
21일	21/SN+일/NNB
“현행	“/SS+현행/NNG
교원평가제는	교원/NNG+평가/NNG+제/XSN+는/JX
큰	크/VA+ㄴ/ETM
문제가	문제/NNG+가/JKS
있는	있/VA+는/ETM
만큼,	만큼/NNB+,/SP
개선이	개선/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.212.3.1
안 신임 회장은 이날 오전 서울 서초구 교총 대회의실에서 열린 기자회견에서 “(교원평가제는) 빨리 대전환을 하지 않으면 큰 혼란이 불가피하다”고 말했다.

안	안/NNP
신임	신임/NNG
회장은	회장/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
서울	서울/NNP
서초구	서초구/NNP
교총	교총/NNP
대회의실에서	대/XPN+회의실/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“(교원평가제는)	“/SS+(/SS+교원/NNG+평가/NNG+제/XSN+는/JX+)/SS
빨리	빨리/MAG
대전환을	대/XPN+전환/NNG+을/JKO
하지	하/VV+지/EC
않으면	않/VX+으면/EC
큰	크/VA+ㄴ/ETM
혼란이	혼란/NNG+이/JKS
불가피하다”고	불가피하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.212.3.2
그는 “교원평가 결과를 성과급과 승진 등과 연계하려는 것은 교사들의 자발성과 자생능력을 무시하는 것”이라며 “교사들이 꾸준히 교실에서 자기능력을 개발할 수 있도록 과정지향적으로 유도해야 한다”고 밝혔다.

그는	그/NP+는/JX
“교원평가	“/SS+교원/NNG+평가/NNG
결과를	결과/NNG+를/JKO
성과급과	성과급/NNG+과/JC
승진	승진/NNG
등과	등/NNB+과/JKB
연계하려는	연계/NNG+하/XSV+려는/ETM
것은	것/NNB+은/JX
교사들의	교사/NNG+들/XSN+의/JKG
자발성과	자발/NNG+성/XSN+과/JC
자생능력을	자생/NNG+능력/NNG+을/JKO
무시하는	무시/NNG+하/XSV+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“교사들이	“/SS+교사/NNG+들/XSN+이/JKS
꾸준히	꾸준히/MAG
교실에서	교실/NNG+에서/JKB
자기능력을	자기/NNG+능력/NNG+을/JKO
개발할	개발/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
과정지향적으로	과정/NNG+지향/NNG+적/XSN+으로/JKB
유도해야	유도/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.212.3.3
안 회장은 교총 전체 회원 18만3000여명 가운데 15만5600여명이 참여한 이번 회장 선거에서 40.3%의 지지를 얻어 당선됐다.

안	안/NNP
회장은	회장/NNG+은/JX
교총	교총/NNP
전체	전체/NNG
회원	회원/NNG
18만3000여명	18/SN+만/NR+3000/SN+여/XSN+명/NNB
가운데	가운데/NNG
15만5600여명이	15/SN+만/NR+5600/SN+여/XSN+명/NNB+이/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
이번	이번/NNG
회장	회장/NNG
선거에서	선거/NNG+에서/JKB
40.3%의	40/SN+./SP+3/SN+%/SW+의/JKG
지지를	지지/NNG+를/JKO
얻어	얻/VV+어/EC
당선됐다.	당선/NNG+되/XSV+었/EP+다/EF+./SF


