# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.171
metadata : {}


# id : NWRW1800000030.171.1.1
선생님에 욕설·성희롱·폭행… 올 1학기 학생징계 1800건

선생님에	선생/NNG+님/XSN+에/JKB
욕설·성희롱·폭행…	욕설/NNG+·/SP+성희롱/NNG+·/SP+폭행/NNG+…/SE
올	올/NNG
1학기	1/SN+학기/NNG
학생징계	학생/NNG+징계/NNG
1800건	1800/SN+건/NNB


# id : NWRW1800000030.171.2.1
•교과부, 첫 전수조사 - 폭언·욕설 1010건으로 최다… 서울 718건 전국 1위

•교과부,	•/SW+교과부/NNG+,/SP
첫	첫/MMN
전수조사	전수/NNG+조사/NNG
-	-/SO
폭언·욕설	폭언/NNG+·/SP+욕설/NNG
1010건으로	1010/SN+건/NNB+으로/JKB
최다…	최다/NNG+…/SE
서울	서울/NNP
718건	718/SN+건/NNB
전국	전국/NNG
1위	1/SN+위/NNB


# id : NWRW1800000030.171.3.1
정부가 전국 초·중·고교를 전수(全數)조사한 결과 올해 1학기에 교사를 성희롱하거나 폭행하는 등 교권(敎權)을 침해해 학생이 징계를 받은 경우가 1800건에 달했다.

정부가	정부/NNG+가/JKS
전국	전국/NNG
초·중·고교를	초·중·고교/NNG+를/JKO
전수(全數)조사한	전수/NNG+(/SS+全數/SH+)/SS+조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
올해	올해/NNG
1학기에	1/SN+학기/NNG+에/JKB
교사를	교사/NNG+를/JKO
성희롱하거나	성희롱/NNG+하/XSV+거나/EC
폭행하는	폭행/NNG+하/XSV+는/ETM
등	등/NNB
교권(敎權)을	교권/NNG+(/SS+敎權/SH+)/SS+을/JKO
침해해	침해/NNG+하/XSV+아/EC
학생이	학생/NNG+이/JKS
징계를	징계/NNG+를/JKO
받은	받/VV+은/ETM
경우가	경우/NNG+가/JKS
1800건에	1800/SN+건/NNB+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.171.3.2
교권침해문제와 관련해 전수조사가 이뤄진 것은 처음이다.

교권침해문제와	교권/NNG+침해/NNG+문제/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
전수조사가	전수/NNG+조사/NNG+가/JKS
이뤄진	이뤄지/VV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.171.4.1
14일 교육과학기술부가 국회 교과위 소속 한나라당 주광덕 의원에게 제출한 자료에 따르면 올 1학기 전국 1만1000여개 초·중·고교에서 교권을 침해했다는 이유로 학생이 징계받은 건수는 1795건이었다.

14일	14/SN+일/NNB
교육과학기술부가	교육/NNG+과학/NNG+기술부/NNG+가/JKS
국회	국회/NNG
교과위	교과위/NNG
소속	소속/NNG
한나라당	한나라당/NNP
주광덕	주광덕/NNP
의원에게	의원/NNG+에게/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
올	올/NNG
1학기	1/SN+학기/NNG
전국	전국/NNG
1만1000여개	1/SN+만/NR+1000/SN+여/XSN+개/NNB
초·중·고교에서	초·중·고교/NNG+에서/JKB
교권을	교권/NNG+을/JKO
침해했다는	침해/NNG+하/XSV+았/EP+다는/ETM
이유로	이유/NNG+로/JKB
학생이	학생/NNG+이/JKS
징계받은	징계/NNG+받/XSV+은/ETM
건수는	건수/NNG+는/JX
1795건이었다.	1795/SN+건/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.171.4.2
이번 조사는 일정한 기준 없이 "교권 침해 현황을 보고하라"고 각 학교에 했던 기존 방식과 달리 학교별로 학생들의 징계 현황을 기록하는 '학생징계대장'을 기준으로 했다.

이번	이번/NNG
조사는	조사/NNG+는/JX
일정한	일정/NNG+하/XSA+ㄴ/ETM
기준	기준/NNG
없이	없이/MAG
"교권	"/SS+교권/NNG
침해	침해/NNG
현황을	현황/NNG+을/JKO
보고하라"고	보고/NNG+하/XSV+라/EF+"/SS+고/JKQ
각	각/MMD
학교에	학교/NNG+에/JKB
했던	하/VV+았/EP+던/ETM
기존	기존/NNG
방식과	방식/NNG+과/JKB
달리	달리/MAG
학교별로	학교/NNG+별/XSN+로/JKB
학생들의	학생/NNG+들/XSN+의/JKG
징계	징계/NNG
기록하는	기록/NNG+하/XSV+는/ETM
'학생징계대장'을	'/SS+학생/NNG+징계/NNG+대장/NNG+'/SS+을/JKO
기준으로	기준/NNG+으로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.171.5.1
교권을 침해해 초중등교육법 시행령에 나오는 5가지 징계(교내봉사·사회봉사·특별교육이수·출석정지·퇴학)나 학교별 학칙으로 정하는 징계를 받은 경우가 모두 조사 대상에 포함됐다.

교권을	교권/NNG+을/JKO
침해해	침해/NNG+하/XSV+아/EC
초중등교육법	초중등/NNG+교육법/NNG
시행령에	시행령/NNG+에/JKB
나오는	나오/VV+는/ETM
5가지	5/SN+가지/NNB
