# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.352
metadata : {}


# id : NWRW1800000045.352.1.1
“저소득층 보험료 지원대상 확대… 국민연금 사각지대부터 줄여야”

“저소득층	“/SS+저/XPN+소득/NNG+층/XSN
보험료	보험료/NNG
지원대상	지원/NNG+대상/NNG
확대…	확대/NNG+…/SE
국민연금	국민연금/NNG
사각지대부터	사각지대/NNG+부터/JX
줄여야”	줄이/VV+어야/EC+”/SS


# id : NWRW1800000045.352.2.1
전문가들이 말하는 공적연금 강화 대안

전문가들이	전문가/NNG+들/XSN+이/JKS
말하는	말/NNG+하/XSV+는/ETM
공적연금	공/NNG+적/XSN+연금/NNG
강화	강화/NNG
대안	대안/NNG


# id : NWRW1800000045.352.3.1
새정치민주연합이 공무원연금 개혁의 조건으로 내걸고 있는 국민연금 소득대체율 인상이 공적연금 강화의 유일한 방법이 아니라는 목소리가 커지고 있다.

새정치민주연합이	새정치민주연합/NNP+이/JKS
공무원연금	공무원/NNG+연금/NNG
개혁의	개혁/NNG+의/JKG
조건으로	조건/NNG+으로/JKB
내걸고	내걸/VV+고/EC
있는	있/VX+는/ETM
국민연금	국민연금/NNG
소득대체율	소득/NNG+대체/NNG+율/XSN
인상이	인상/NNG+이/JKS
공적연금	공/NNG+적/XSN+연금/NNG
강화의	강화/NNG+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
방법이	방법/NNG+이/JKC
아니라는	아니/VCN+라는/ETM
목소리가	목소리/NNG+가/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.352.4.1
현재 65세 노인 중 국민연금을 받는 비율은 35.7%에 불과하다.

현재	현재/MAG
65세	65/SN+세/NNB
노인	노인/NNG
중	중/NNB
국민연금을	국민연금/NNG+을/JKO
받는	받/VV+는/ETM
비율은	비율/NNG+은/JX
35.7%에	35/SN+./SP+7/SN+%/SW+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000045.352.4.2
10명 중 6명은 국민연금을 전혀 받지 못하고 있는 것이다.

10명	10/SN+명/NNB
중	중/NNB
6명은	6/SN+명/NNB+은/JX
국민연금을	국민연금/NNG+을/JKO
전혀	전혀/MAG
받지	받/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.352.4.3
이러한 추세는 한동안 계속될 것으로 전망된다.

이러한	이러하/VA+ㄴ/ETM
추세는	추세/NNG+는/JX
한동안	한/XPN+동안/NNG
계속될	계속/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.352.4.4
65세 이상 노인 중 국민연금을 받는 비율은 2030년에 가서야 50%대로 올라선다.

65세	65/SN+세/NNB
이상	이상/NNG
노인	노인/NNG
중	중/NNB
국민연금을	국민연금/NNG+을/JKO
받는	받/VV+는/ETM
비율은	비율/NNG+은/JX
2030년에	2030/SN+년/NNB+에/JKB
가서야	가/VV+아서/EC+야/JX
50%대로	50/SN+%/SW+대/XSN+로/JKB
올라선다.	올라서/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.352.4.5
시간이 흘러도 국민연금을 받지 못하는 사람들이 상당할 거라는 얘기다.

시간이	시간/NNG+이/JKS
흘러도	흐르/VV+어도/EC
국민연금을	국민연금/NNG+을/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
상당할	상당/NNG+하/XSA+ㄹ/ETM
거라는	거/NNB+이/VCP+라는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.352.4.6
소득대체율을 높여도 혜택을 받지 못하는 사람이 많을 거라는 지적이 나오는 이유다.

소득대체율을	소득/NNG+대체/NNG+율/XSN+을/JKO
높여도	높이/VV+어도/EC
혜택을	혜택/NNG+을/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
사람이	사람/NNG+이/JKS
많을	많/VA+을/ETM
거라는	거/NNB+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
나오는	나오/VV+는/ETM
