# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.279
metadata : {}


# id : NWRW1800000056.279.1.1
돌아온 샤라포바, US오픈 3회전 진출

돌아온	돌아오/VV+ㄴ/ETM
샤라포바,	샤라포바/NNP+,/SP
US오픈	US/SL+오픈/NNG
3회전	3/SN+회전/NNB
진출	진출/NNG


# id : NWRW1800000056.279.2.1
티메아 바보스한테 2-1 역전승

티메아	티메아/NNP
바보스한테	바보스/NNP+한테/JKB
2-1	2/SN+-/SO+1/SN
역전승	역전승/NNG


# id : NWRW1800000056.279.3.1
1회전에선 세계 2위 시모나 할렙 제압

1회전에선	1/SN+회전/NNB+에서/JKB+ㄴ/JX
세계	세계/NNG
2위	2/SN+위/NNB
시모나	시모나/NNP
할렙	할렙/NNP
제압	제압/NNG


# id : NWRW1800000056.279.4.1
정현은 2회전에서 존 이스너에 0-3 패배

정현은	정현/NNP+은/JX
2회전에서	2/SN+회전/NNB+에서/JKB
존	존/NNP
이스너에	이스너/NNP+에/JKB
0-3	0/SN+-/SO+3/SN
패배	패배/NNG


# id : NWRW1800000056.279.5.1
이제 그의 나이 만 30살.

이제	이제/MAG
그의	그/NP+의/JKG
나이	나이/NNG
만	만/MMA
30살.	30/SN+살/NNB+./SF


# id : NWRW1800000056.279.5.2
지난해초 금지약물 양성반응으로 오랜 동안 코트를 떠나야 했지만 기량은 녹슬지 않았다.

지난해초	지난해/NNG+초/NNB
금지약물	금지/NNG+약물/NNG
양성반응으로	양성/NNG+반응/NNG+으로/JKB
오랜	오랜/MMA
동안	동안/NNG
코트를	코트/NNG+를/JKO
떠나야	떠나/VV+아야/EC
했지만	하/VX+았/EP+지만/EC
기량은	기량/NNG+은/JX
녹슬지	녹슬/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.279.6.1
마리야 샤라포바(30·세계 146위·러시아)가 30일(현지시각) 미국 뉴욕 아더 애시 스타디움에서 열린 2017 유에스(US)오픈테니스(총상금 5040만달러:565억원) 여자단식 2회전에서 세계 56위 티메아 바보스(24·헝가리)를 맞아 초반 고전했으나 2-1(6:7<4:7>/6:4/6:1)로 역전승을 거두고 32강에 올랐다.

마리야	마리야/NNP
샤라포바(30·세계	샤라포바/NNP+(/SS+30/SN+·/SP+세계/NNG
146위·러시아)가	146/SN+위/NNB+·/SP+러시아/NNP+)/SS+가/JKS
30일(현지시각)	30/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
미국	미국/NNP
뉴욕	뉴욕/NNP
아더	아더/NNP
애시	애시/NNP
스타디움에서	스타디움/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
2017	2017/SN
유에스(US)오픈테니스(총상금	유에스/NNP+(/SS+US/SL+)/SS+오픈/NNG+테니스/NNG+(/SS+총상금/NNG
5040만달러:565억원)	5040/SN+만/NR+달러/NNB+:/SP+565/SN+억/NR+원/NNB+)/SS
여자단식	여자/NNG+단식/NNG
2회전에서	2/SN+회전/NNB+에서/JKB
세계	세계/NNG
56위	56/SN+위/NNB
티메아	티메아/NNP
바보스(24·헝가리)를	바보스/NNP+(/SS+24/SN+·/SP+헝가리/NNP+)/SS+를/JKO
맞아	맞/VV+아/EC
초반	초반/NNG
고전했으나	고전/NNG+하/XSV+았/EP+으나/EC
2-1(6:7<4:7>/6:4/6:1)로	2/SN+-/SO+1/SN+(/SS+6/SN+:/SP+7/SN+</SS+4/SN+:/SP+7/SN+>/SS+//SP+6/SN+:/SP+4/SN+//SP+6/SN+:/SP+1/SN+)/SS+로/JKB
역전승을	역전승/NNG+을/JKO
거두고	거두/VV+고/EC
32강에	32/SN+강/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.279.6.2
와일드 카드로 출전한 그는 앞선 1회전에서 2번 시드이자 세계 2위 시모나 할레프(26·루마니아)를 2-1(6:4/4:6/6:3)로 잡고 건재를 과시했다.

와일드	와일드/NNG
카드로	카드/NNG+로/JKB
출전한	출전/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
앞선	앞서/VV+ㄴ/ETM
1회전에서	1/SN+회전/NNB+에서/JKB
2번	2/SN+번/NNB
시드이자	시드/NNG+이/VCP+자/EC
세계	세계/NNG
2위	2/SN+위/NNB
시모나	시모나/NNP
할레프(26·루마니아)를	할레프/NNP+(/SS+26/SN+·/SP+루마니아/NNP+)/SS+를/JKO
2-1(6:4/4:6/6:3)로	2/SN+-/SO+1/SN+(/SS+6/SN+:/SP+4/SN+//SP+4/SN+:/SP+6/SN+//SP+6/SN+:/SP+3/SN+)/SS+로/JKB
잡고	잡/VV+고/EC
건재를	건재/NNG+를/JKO
과시했다.	과시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.279.7.1
2006 유에스오픈 여자단식 챔피언인 샤라포바는 2015년 이 대회에 부상으로 불참했고, 지난해에는 약물 양성반응에 따른 징계로 출전하지 못했다.

2006	2006/SN
유에스오픈	유에스/NNP+오픈/NNG
여자단식	여자/NNG+단식/NNG
챔피언인	챔피언/NNG+이/VCP+ㄴ/ETM
샤라포바는	샤라포바/NNP+는/JX
2015년	2015/SN+년/NNB
이	이/MMD
대회에	대회/NNG+에/JKB
부상으로	부상/NNG+으로/JKB
불참했고,	불참/NNG+하/XSV+았/EP+고/EC+,/SP
지난해에는	지난해/NNG+에/JKB+는/JX
약물	약물/NNG
양성반응에	양성/NNG+반응/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
징계로	징계/NNG+로/JKB
출전하지	출전/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.279.7.2
지난해 1월 호주오픈에서 약물 양성반응이 나온 뒤 15개월 자격정지 징계를 받고 올해 4월 코트에 복귀했다.

지난해	지난해/NNG
1월	1/SN+월/NNB
호주오픈에서	호주/NNP+오픈/NNG+에서/JKB
약물	약물/NNG
양성반응이	양성/NNG+반응/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
뒤	뒤/NNG
15개월	15/SN+개월/NNB
자격정지	자격/NNG+정지/NNG
징계를	징계/NNG+를/JKO
받고	받/VV+고/EC
올해	올해/NNG
4월	4/SN+월/NNB
코트에	코트/NNG+에/JKB
복귀했다.	복귀/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.279.7.3
샤라포바로서는 3년 만에 출전하는 유에스오픈.

샤라포바로서는	샤라포바/NNP+로서/JKB+는/JX
3년	3/SN+년/NNB
만에	만/NNB+에/JKB
출전하는	출전/NNG+하/XSV+는/ETM
유에스오픈.	유에스/NNP+오픈/NNG+./SF


# id : NWRW1800000056.279.7.4
그랜드슬램대회에서는 지난해 1월 호주오픈 이후 1년7개월 만의 출전이다.

그랜드슬램대회에서는	그랜드슬램/NNG+대회/NNG+에서/JKB+는/JX
지난해	지난해/NNG
1월	1/SN+월/NNB
호주오픈	호주/NNP+오픈/NNG
이후	이후/NNG
1년7개월	1/SN+년/NNB+7/SN+개월/NNB
만의	만/NNB+의/JKG
출전이다.	출전/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.279.7.5
샤라포바의 3회전 상대는 러시아 모스크바 태생의 19살 신예 소피아 케닌(139위·미국)이다.

샤라포바의	샤라포바/NNP+의/JKG
3회전	3/SN+회전/NNB
상대는	상대/NNG+는/JX
러시아	러시아/NNP
모스크바	모스크바/NNP
태생의	태생/NNG+의/JKG
19살	19/SN+살/NNB
신예	신예/NNG
소피아	소피아/NNP
케닌(139위·미국)이다.	케닌/NNP+(/SS+139/SN+위/NNB+·/SP+미국/NNP+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000056.279.8.1
한편 세계 47위 정현(21·한국체대)은 이날 남자단식 2회전에서 10번 시드은 208㎝ 장신 존 이스너(32·15위·미국)한테 0-3(3:6/4:6/5:7)으로 졌다.

한편	한편/MAG
세계	세계/NNG
47위	47/SN+위/NNB
정현(21·한국체대)은	정현/NNP+(/SS+21/SN+·/SP+한국체대/NNP+)/SS+은/JX
이날	이날/NNG
남자단식	남자/NNG+단식/NNG
2회전에서	2/SN+회전/NNB+에서/JKB
10번	10/SN+번/NNB
시드은	시드/NNG+은/JX
208㎝	208/SN+㎝/SW
장신	장신/NNG
존	존/NNP
이스너(32·15위·미국)한테	이스너/NNP+(/SS+32/SN+·/SP+15/SN+위/NNB+·/SP+미국/NNP+)/SS+한테/JKB
0-3(3:6/4:6/5:7)으로	0/SN+-/SO+3/SN+(/SS+3/SN+:/SP+6/SN+//SP+4/SN+:/SP+6/SN+//SP+5/SN+:/SP+7/SN+)/SS+으로/JKB
졌다.	지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.279.8.2
