# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.294
metadata : {}


# id : NWRW1800000030.294.1.1
北, 이번엔 금강산관광·개성공단 회담 요구

北,	北/SH+,/SP
이번엔	이번/NNG+에/JKB+ㄴ/JX
금강산관광·개성공단	금강산/NNP+관광/NNG+·/SP+개성공단/NNP
회담	회담/NNG
요구	요구/NNG


# id : NWRW1800000030.294.2.1
북한이 12일 또 대남 통지문을 보내 금강산관광 재개 회담과 개성공단 실무회담 개최를 요구했다.

북한이	북한/NNP+이/JKS
12일	12/SN+일/NNB
또	또/MAG
대남	대남/NNG
통지문을	통지문/NNG+을/JKO
보내	보내/VV+어/EC
금강산관광	금강산/NNP+관광/NNG
재개	재개/NNG
회담과	회담/NNG+과/JC
개성공단	개성공단/NNP
실무회담	실무/NNG+회담/NNG
개최를	개최/NNG+를/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.294.2.2
10일 남북 당국 및 적십자회담 제의에 이어 '대화 공세'를 계속한 것이다.

10일	10/SN+일/NNB
남북	남북/NNP
당국	당국/NNG
및	및/MAG
적십자회담	적십자/NNP+회담/NNG
제의에	제의/NNG+에/JKB
이어	잇/VV+어/EC
'대화	'/SS+대화/NNG
공세'를	공세/NNG+'/SS+를/JKO
계속한	계속/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.294.3.1
통일부에 따르면 북한은 명승지종합개발지도국(금강산관광 담당) 명의로 2월 11일 개성에서 금강산관광 회담을 열자는 통지문을 통일부 앞으로 보냈다.

통일부에	통일부/NNG+에/JKB
따르면	따르/VV+면/EC
북한은	북한/NNP+은/JX
명승지종합개발지도국(금강산관광	명승지/NNG+종합/NNG+개발/NNG+지도국/NNG+(/SS+금강산/NNP+관광/NNG
담당)	담당/NNG+)/SS
명의로	명의/NNG+로/JKB
2월	2/SN+월/NNB
11일	11/SN+일/NNB
개성에서	개성/NNP+에서/JKB
금강산관광	금강산/NNP+관광/NNG
회담을	회담/NNG+을/JKO
열자는	열/VV+자는/ETM
통지문을	통지문/NNG+을/JKO
통일부	통일부/NNG
앞으로	앞/NNG+으로/JKB
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.294.3.2
북한 중앙특구개발지도총국(개성공단 담당)도 2월 9일 개성에서 개성공단 실무회담을 갖자고 통일부에 제안했다.

북한	북한/NNP
중앙특구개발지도총국(개성공단	중앙/NNG+특구/NNG+개발/NNG+지도/NNG+총국/NNG+(/SS+개성공단/NNP
담당)도	담당/NNG+)/SS+도/JX
2월	2/SN+월/NNB
9일	9/SN+일/NNB
개성에서	개성/NNP+에서/JKB
개성공단	개성공단/NNP
실무회담을	실무/NNG+회담/NNG+을/JKO
갖자고	갖/VV+자고/EC
통일부에	통일부/NNG+에/JKB
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.294.3.3
개성공단의 경제협력협의사무소 북측 소장도 통지문에서 우리측 인원들이 복귀하지 않은 데 대해 유감을 표하면서 경협사무소의 정상 운영을 촉구했다.

개성공단의	개성공단/NNP+의/JKG
경제협력협의사무소	경제협력협의사무소/NNP
북측	북측/NNG
소장도	소장/NNG+도/JX
통지문에서	통지문/NNG+에서/JKB
우리측	우리/NP+측/NNB
인원들이	인원/NNG+들/XSN+이/JKS
복귀하지	복귀/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
데	데/NNB
대해	대하/VV+아/EC
유감을	유감/NNG+을/JKO
표하면서	표/NNG+하/XSV+면서/EC
경협사무소의	경협/NNG+사무소/NNG+의/JKG
정상	정상/NNG
운영을	운영/NNG+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.294.4.1
이에 대해 통일부는 "천안함·연평도 도발에 대한 북측의 책임 있는 조치 및 추가 도발 방지에 대한 확약, 비핵화에 대한 진정성 확인을 위한 남북 당국 간 회담을 제의한 바 있음을 다시 한번 강조한다"고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
통일부는	통일부/NNG+는/JX
"천안함·연평도	"/SS+천안함/NNP+·/SP+연평도/NNP
도발에	도발/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
북측의	북측/NNG+의/JKG
책임	책임/NNG
있는	있/VA+는/ETM
조치	조치/NNG
및	및/MAG
추가	추가/NNG
도발	도발/NNG
방지에	방지/NNG+에/JKB
확약,	확약/NNG+,/SP
비핵화에	비핵/NNG+화/XSN+에/JKB
진정성	진정/NNG+성/XSN
확인을	확인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
남북	남북/NNP
당국	당국/NNG
간	간/NNB
회담을	회담/NNG+을/JKO
제의한	제의/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있음을	있/VA+음/ETN+을/JKO
다시	다시/MAG
한번	한/MMN+번/NNB
강조한다"고	강조/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.294.5.1
이날 판문점 적십자 채널은 끊긴 지 8개월 만에 다시 연결됐다.

이날	이날/NNG
판문점	판문점/NNP
적십자	적십자/NNP
채널은	채널/NNG+은/JX
끊긴	끊기/VV+ㄴ/ETM
지	지/NNB
8개월	8/SN+개월/NNB
만에	만/NNB+에/JKB
다시	다시/MAG
연결됐다.	연결/NNG+되/XSV+었/EP+다/EF+./SF


