# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.201
metadata : {}


# id : NWRW1800000029.201.1.1
[휴지통]“5년간 ‘메모지 대화’ 노부부 이혼하라”

[휴지통]“5년간	[/SS+휴지통/NNG+]/SS+“/SS+5/SN+년/NNB+간/XSN
‘메모지	‘/SS+메모지/NNG
대화’	대화/NNG+’/SS
노부부	노/XPN+부부/NNG
이혼하라”	이혼/NNG+하/XSV+라/EF+”/SS


# id : NWRW1800000029.201.2.1
말없이 살아온 81세 남편… 대법, 재산분할 판결 확정

말없이	말없이/MAG
살아온	살아오/VV+ㄴ/ETM
81세	81/SN+세/NNB
남편…	남편/NNG+…/SE
대법,	대법/NNG+,/SP
재산분할	재산/NNG+분할/NNG
판결	판결/NNG
확정	확정/NNG


# id : NWRW1800000029.201.3.1
“지난번 메모지에 교회를 나가지 말고 가사에 신경 쓰라고 분명히 말했음.

“지난번	“/SS+지난번/NNG
메모지에	메모지/NNG+에/JKB
교회를	교회/NNG+를/JKO
나가지	나가/VV+지/EC
말고	말/VX+고/EC
가사에	가사/NNG+에/JKB
신경	신경/NNG
쓰라고	쓰/VV+라고/EC
분명히	분명히/MAG
말했음.	말/NNG+하/XSV+았/EP+음/ETN+./SF


# id : NWRW1800000029.201.3.2
앞으로도 계속 교회에 나갈 때는 현관문 잠그고 절대 열어주지 않을 것임.

앞으로도	앞/NNG+으로/JKB+도/JX
계속	계속/MAG
교회에	교회/NNG+에/JKB
나갈	나가/VV+ㄹ/ETM
때는	때/NNG+는/JX
현관문	현관문/NNG
잠그고	잠그/VV+고/EC
절대	절대/MAG
열어주지	열/VV+어/EC+주/VX+지/EC
않을	않/VX+을/ETM
것임.	것/NNB+이/VCP+ㅁ/ETN+./SF


# id : NWRW1800000029.201.3.3
각오할 것.”

각오할	각오/NNG+하/XSV+ㄹ/ETM
것.”	것/NNB+./SF+”/SS


# id : NWRW1800000029.201.4.1
“두부는 비싸니 많이 넣어서 두부찌개 식으로 하지 말고 각종 찌개에는 서너 점씩만 양념으로 사용할 것(국산 2개=2700원).”

“두부는	“/SS+두부/NNG+는/JX
비싸니	비싸/VA+니/EC
많이	많이/MAG
넣어서	넣/VV+어서/EC
두부찌개	두부찌개/NNG
식으로	식/NA+으로/JKB
하지	하/VV+지/EC
말고	말/VX+고/EC
각종	각종/NNG
찌개에는	찌개/NNG+에/JKB+는/JX
서너	서너/MMN
점씩만	점/NNB+씩/XSN+만/JX
양념으로	양념/NNG+으로/JKB
사용할	사용/NNG+하/XSV+ㄹ/ETM
것(국산	것/NNB+(/SS+국산/NNG
2개=2700원).”	2/SN+개/NNB+=/SW+2700/SN+원/NNB+)/SS+./SF+”/SS


# id : NWRW1800000029.201.5.1
한 집에 살면서 5년여간 말 한 마디 없이 메모만을 주고받은 노부부의 이혼이 확정됐다.

한	한/MMN
집에	집/NNG+에/JKB
살면서	살/VV+면서/EC
5년여간	5/SN+년/NNB+여/XSN+간/XSN
말	말/NNG
마디	마디/NNG
없이	없이/MAG
메모만을	메모/NNG+만/JX+을/JKO
주고받은	주고받/VV+은/ETM
노부부의	노/XPN+부부/NNG+의/JKG
이혼이	이혼/NNG+이/JKS
확정됐다.	확정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.201.5.2
대법원 2부(주심 김지형 대법관)는 부인 박모 씨(77)가 남편 이모 씨(81)를 상대로 낸 이혼 청구소송에서 “두 사람은 이혼하고 이 씨는 박 씨에게 재산 분할로 2억9000만 원을 지급하라”는 항소심 판결을 확정했다고 13일 밝혔다.

대법원	대/XPN+법원/NNG
2부(주심	2/SN+부/NNG+(/SS+주심/NNG
김지형	김지형/NNP
대법관)는	대/XPN+법관/NNG+)/SS+는/JX
부인	부인/NNG
박모	박/NNP+모/NP
씨(77)가	씨/NNB+(/SS+77/SN+)/SS+가/JKS
남편	남편/NNG
이모	이/NNP+모/NP
씨(81)를	씨/NNB+(/SS+81/SN+)/SS+를/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
이혼	이혼/NNG
청구소송에서	청구/NNG+소송/NNG+에서/JKB
“두	“/SS+두/MMN
사람은	사람/NNG+은/JX
이혼하고	이혼/NNG+하/XSV+고/EC
이	이/NNP
씨는	씨/NNB+는/JX
박	박/NNP
씨에게	씨/NNB+에게/JKB
재산	재산/NNG
분할로	분할/NNG+로/JKB
2억9000만	2/SN+억/NR+9000/SN+만/NR
원을	원/NNB+을/JKO
지급하라”는	지급/NNG+하/XSV+라/EF+”/SS+는/ETM
항소심	항소심/NNG
판결을	판결/NNG+을/JKO
확정했다고	확정/NNG+하/XSV+았/EP+다고/EC
13일	13/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.201.5.3
다만 재판부는 박 씨의 위자료 청구에 대해선 “혼인관계를 파탄에 이르게 한 공동 책임이 있다”며 받아들이지 않았다.

다만	다만/MAG
재판부는	재판부/NNG+는/JX
박	박/NNP
씨의	씨/NNB+의/JKG
위자료	위자료/NNG
청구에	청구/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“혼인관계를	“/SS+혼인/NNG+관계/NNG+를/JKO
파탄에	파탄/NNG+에/JKB
이르게	이르/VV+게/EC
한	하/VX+ㄴ/ETM
공동	공동/NNG
책임이	책임/NNG+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
받아들이지	받아들이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.201.6.1
꼼꼼하고 경제관념이 투철한 남편 이 씨와 비교적 자유로운 사고방식을 가진 박 씨는 1969년 결혼했지만 줄곧 성격 차이로 갈등을 빚어 왔다.

꼼꼼하고	꼼꼼/MAG+하/XSA+고/EC
경제관념이	경제관념/NNG+이/JKS
투철한	투철하/VA+ㄴ/ETM
남편	남편/NNG
이	이/NNP
씨와	씨/NNB+와/JC
비교적	비교/NNG+적/XSN
자유로운	자유/NNG+롭/XSA+ㄴ/ETM
사고방식을	사고방식/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
박	박/NNP
씨는	씨/NNB+는/JX
1969년	1969/SN+년/NNB
결혼했지만	결혼/NNG+하/XSV+았/EP+지만/EC
줄곧	줄곧/MAG
성격	성격/NNG
차이로	차이/NNG+로/JKB
갈등을	갈등/NNG+을/JKO
빚어	빚/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.201.6.2
결국 이 씨는 2003년 “메모지로만 대화하자”고 제의했고 박 씨의 외출시간, 시장에서 살 품목 등을 메모지로 일일이 지시하는 생활이 이어졌다.

결국	결국/MAG
이	이/NNP
씨는	씨/NNB+는/JX
2003년	2003/SN+년/NNB
“메모지로만	“/SS+메모지/NNG+로/JKB+만/JX
대화하자”고	대화/NNG+하/XSV+자/EF+”/SS+고/JKQ
제의했고	제의/NNG+하/XSV+았/EP+고/EC
박	박/NNP
씨의	씨/NNB+의/JKG
외출시간,	외출/NNG+시간/NNG+,/SP
시장에서	시장/NNG+에서/JKB
살	사/VV+ㄹ/ETM
품목	품목/NNG
등을	등/NNB+을/JKO
메모지로	메모지/NNG+로/JKB
일일이	일일이/MAG
지시하는	지시/NNG+하/XSV+는/ETM
생활이	생활/NNG+이/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.201.6.3
박 씨는 2008년 8월 ‘깻잎 반찬이 상에 오르지 않았다’는 이유로 이 씨에게 멱살을 잡힌 뒤 병원으로 이송됐고 곧바로 이혼 청구소송을 냈다.

박	박/NNP
씨는	씨/NNB+는/JX
2008년	2008/SN+년/NNB
8월	8/SN+월/NNB
‘깻잎	‘/SS+깻잎/NNG
반찬이	반찬/NNG+이/JKS
상에	상/NNG+에/JKB
오르지	오르/VV+지/EC
않았다’는	않/VX+았/EP+다/EF+’/SS+는/ETM
이유로	이유/NNG+로/JKB
이	이/NNP
씨에게	씨/NNB+에게/JKB
멱살을	멱살/NNG+을/JKO
잡힌	잡히/VV+ㄴ/ETM
뒤	뒤/NNG
병원으로	병원/NNG+으로/JKB
이송됐고	이송/NNG+되/XSV+었/EP+고/EC
곧바로	곧바로/MAG
이혼	이혼/NNG
청구소송을	청구/NNG+소송/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


