# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.95
metadata : {}


# id : NWRW1800000049.95.1.1
[산학협력]중기청의 ‘맞춤형 사업’ 주관기관… 3년간 37억 지원받아

[산학협력]중기청의	[/SS+산학/NNG+협력/NNG+]/SS+중기청/NNG+의/JKG
‘맞춤형	‘/SS+맞춤/NNG+형/XSN
사업’	사업/NNG+’/SS
주관기관…	주관/NNG+기관/NNG+…/SE
3년간	3/SN+년/NNB+간/XSN
37억	37/SN+억/NR
지원받아	지원/NNG+받/XSV+아/EF


# id : NWRW1800000049.95.2.1
‘여풍 프로포즈’ 성공사례 특강 인기 서울시와 ‘실감형 창업 경진대회’도

‘여풍	‘/SS+여풍/NNG
프로포즈’	프로포즈/NNG+’/SS
성공사례	성공/NNG+사례/NNG
특강	특강/NNG
인기	인기/NNG
서울시와	서울시/NNP+와/JKB
‘실감형	‘/SS+실감/NNG+형/XSN
창업	창업/NNG
경진대회’도	경진/NNG+대회/NNG+’/SS+도/JX


# id : NWRW1800000049.95.3.1
성신여대(총장 심화진)는 여대라는 강점을 내세운 창업 지원과 산학협력을 통해 살아있는 교육의 효과를 거두고 있다는 평가를 받고 있다.

성신여대(총장	성신여대/NNP+(/SS+총장/NNG
심화진)는	심화진/NNP+)/SS+는/JX
여대라는	여대/NNG+이/VCP+라는/ETM
강점을	강점/NNG+을/JKO
내세운	내세우/VV+ㄴ/ETM
창업	창업/NNG
지원과	지원/NNG+과/JC
산학협력을	산학/NNG+협력/NNG+을/JKO
통해	통하/VV+아/EC
살아있는	살/VV+아/EC+있/VX+는/ETM
교육의	교육/NNG+의/JKG
효과를	효과/NNG+를/JKO
거두고	거두/VV+고/EC
있다는	있/VX+다는/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.95.4.1
성신여대 창업맞춤형사업화 지원센터는 중소기업청이 실시하는 ‘2015 창업맞춤형사업화 지원 사업’ 주관기관으로 선정됐다.

성신여대	성신여대/NNP
창업맞춤형사업화	창업/NNG+맞춤/NNG+형/XSN+사업/NNG+화/XSN
지원센터는	지원/NNG+센터/NNG+는/JX
중소기업청이	중소기업청/NNG+이/JKS
실시하는	실시/NNG+하/XSV+는/ETM
‘2015	‘/SS+2015/SN
지원	지원/NNG
사업’	사업/NNG+’/SS
주관기관으로	주관/NNG+기관/NNG+으로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.95.4.2
3년간 37억5000만 원을 지원받는다.

3년간	3/SN+년/NNB+간/XSN
37억5000만	37/SN+억/NR+5000/SN+만/NR
원을	원/NNB+을/JKO
지원받는다.	지원/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000049.95.4.3
특히 지난해 창업맞춤형사업화 참가자인 공예과 졸업생 이연 써리미 대표는 디자이너들의 의류와 핸드메이드 제품을 온라인을 통해 파는 O2O 플랫폼 서비스로 첫해 1억7000만 원의 매출을 올렸으며, 올해는 약 8억원의 매출을 올릴 것으로 기대된다.

특히	특히/MAG
지난해	지난해/NNG
창업맞춤형사업화	창업/NNG+맞춤/NNG+형/XSN+사업/NNG+화/XSN
참가자인	참가자/NNG+이/VCP+ㄴ/ETM
공예과	공예과/NNG
졸업생	졸업/NNG+생/XSN
이연	이연/NNP
써리미	써리미/NNP
대표는	대표/NNG+는/JX
디자이너들의	디자이너/NNG+들/XSN+의/JKG
의류와	의류/NNG+와/JC
핸드메이드	핸드메이드/NNG
제품을	제품/NNG+을/JKO
온라인을	온라인/NNG+을/JKO
통해	통하/VV+아/EC
파는	팔/VV+는/ETM
O2O	O/SL+2/SN+O/SL
플랫폼	플랫폼/NNG
서비스로	서비스/NNG+로/JKB
첫해	첫해/NNG
1억7000만	1/SN+억/NR+7000/SN+만/NR
원의	원/NNB+의/JKG
매출을	매출/NNG+을/JKO
올렸으며,	올리/VV+었/EP+으며/EC+,/SP
올해는	올해/NNG+는/JX
약	약/MMA
8억원의	8/SN+억/NR+원/NNB+의/JKG
올릴	올리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대된다.	기대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.95.5.1
또 중소기업청 지원 사업 중 예비창업자 중심의 스마트창작터 창업지원사업은 지식서비스 분야에 대한 교육·개발 및 사업화 지원을 통해 전문기업 육성을 위한 목적으로 추진되고 있다.

또	또/MAG
중소기업청	중소기업청/NNG
지원	지원/NNG
사업	사업/NNG
중	중/NNB
예비창업자	예비/NNG+창업자/NNG
중심의	중심/NNG+의/JKG
스마트창작터	스마트/NNG+창작/NNG+터/NNG
창업지원사업은	창업/NNG+지원/NNG+사업/NNG+은/JX
지식서비스	지식/NNG+서비스/NNG
분야에	분야/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
교육·개발	교육/NNG+·/SP+개발/NNG
및	및/MAG
사업화	사업/NNG+화/XSN
지원을	지원/NNG+을/JKO
통해	통하/VV+아/EC
전문기업	전문/NNG+기업/NNG
육성을	육성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
목적으로	목적/NNG+으로/JKB
추진되고	추진/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.95.5.2
성신여대도 전국의 19개 주관기관에 선정되어 우수한 창업 아이템을 발굴하고 비즈니스 모델을 검증한 후 창업기업 육성에 3년간 약 15억2500만 원을 지원한다.

성신여대도	성신여대/NNP+도/JX
전국의	전국/NNG+의/JKG
19개	19/SN+개/NNB
주관기관에	주관/NNG+기관/NNG+에/JKB
선정되어	선정/NNG+되/XSV+어/EC
우수한	우수/NNG+하/XSA+ㄴ/ETM
창업	창업/NNG
아이템을	아이템/NNG+을/JKO
발굴하고	발굴/NNG+하/XSV+고/EC
비즈니스	비즈니스/NNG
모델을	모델/NNG+을/JKO
검증한	검증/NNG+하/XSV+ㄴ/ETM
후	후/NNG
창업기업	창업/NNG+기업/NNG
육성에	육성/NNG+에/JKB
3년간	3/SN+년/NNB+간/XSN
