# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.430
metadata : {}


# id : NWRW1800000054.430.1.1
밀월은 밀월, 계산은 계산… 아베에 '칼같은 청구서(무역 압박)' 내밀다

밀월은	밀월/NNG+은/JX
밀월,	밀월/NNG+,/SP
계산은	계산/NNG+은/JX
계산…	계산/NNG+…/SE
아베에	아베/NNP+에/JKB
'칼같은	'/SS+칼같/VA+은/ETM
청구서(무역	청구서/NNG+(/SS+무역/NNG
압박)'	압박/NNG+)/SS+'/SS
내밀다	내밀/VV+다/EF


# id : NWRW1800000054.430.2.1
한국에 거센 공세 예고… 트럼프, 中에도 "정말 부당"

한국에	한국/NNP+에/JKB
거센	거세/VA+ㄴ/ETM
공세	공세/NNG
예고…	예고/NNG+…/SE
트럼프,	트럼프/NNP+,/SP
中에도	中/SH+에/JKB+도/JX
"정말	"/SS+정말/MAG
부당"	부당/NNG+"/SS


# id : NWRW1800000054.430.3.1
6일 오전 9시, 일본 재계 총수들이 도널드 트럼프 미국 대통령의 강연을 듣기 위해 도쿄 도심 주일 미국 대사관에 모였다.

6일	6/SN+일/NNB
오전	오전/NNG
9시,	9/SN+시/NNB+,/SP
일본	일본/NNP
재계	재계/NNG
총수들이	총수/NNG+들/XSN+이/JKS
도널드	도널드/NNP
트럼프	트럼프/NNP
미국	미국/NNP
대통령의	대통령/NNG+의/JKG
강연을	강연/NNG+을/JKO
듣기	듣/VV+기/ETN
위해	위하/VV+아/EC
도쿄	도쿄/NNP
도심	도심/NNG
주일	주일/NNG
대사관에	대사관/NNG+에/JKB
모였다.	모이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.430.3.2
연단에 선 트럼프는 박수가 가라앉자마자 직설적으로 하고 싶은 얘기를 했다.

연단에	연단/NNG+에/JKB
선	서/VV+ㄴ/ETM
트럼프는	트럼프/NNP+는/JX
박수가	박수/NNG+가/JKS
가라앉자마자	가라앉/VV+자마자/EC
직설적으로	직설/NNG+적/XSN+으로/JKB
하고	하/VV+고/EC
싶은	싶/VX+은/ETM
얘기를	얘기/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.430.3.3
"우리는 공정하고 열린 무역을 원하는데 지금 일본과의 무역은 공정하지도 않고 열려있지도 않습니다.

"우리는	"/SS+우리/NP+는/JX
공정하고	공정/NNG+하/XSA+고/EC
열린	열리/VV+ㄴ/ETM
무역을	무역/NNG+을/JKO
원하는데	원/NNG+하/XSV+는데/EC
지금	지금/MAG
일본과의	일본/NNP+과/JKB+의/JKG
무역은	무역/NNG+은/JX
공정하지도	공정/NNG+하/XSA+지/EC+도/JX
않고	않/VX+고/EC
열려있지도	열리/VV+어/EC+있/VX+지/EC+도/JX
않습니다.	않/VX+습니다/EF+./SF


# id : NWRW1800000054.430.3.4
하지만 곧 그렇게 될 겁니다."

하지만	하지만/MAJ
곧	곧/MAG
그렇게	그렇/VA+게/EC
될	되/VV+ㄹ/ETM
겁니다."	거/NNB+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000054.430.4.1
트럼프 대통령은 이번 방일 기간 중 가는 곳마다 미·일의 밀월을 과시했다.

트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
이번	이번/NNG
방일	방일/NNG
기간	기간/NNG
중	중/NNB
가는	가/VV+는/ETM
곳마다	곳/NNG+마다/JX
미·일의	미/NNP+·/SP+일/NNP+의/JKG
밀월을	밀월/NNG+을/JKO
과시했다.	과시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.430.4.2
하지만 미·일이 함께 가는 건 외교·안보까지였다.

하지만	하지만/MAJ
미·일이	미/NNP+·/SP+일/NNP+이/JKS
함께	함께/MAG
가는	가/VV+는/ETM
건	거/NNB+ㄴ/JX
외교·안보까지였다.	외교/NNG+·/SP+안보/NNG+까지/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.430.4.3
