# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.318
metadata : {}


# id : NWRW1800000022.318.1.1
['화려한 싱글'은 없다] (上) 가난한 '1인가구' 급증;나홀로 가구 절반, 한 달 수입 100만원 안돼

['화려한	[/SS+'/SS+화려하/VA+ㄴ/ETM
싱글'은	싱글/NNG+'/SS+은/JX
없다]	없/VA+다/EF+]/SS
(上)	(/SS+上/SH+)/SS
가난한	가난/NNG+하/XSA+ㄴ/ETM
'1인가구'	'/SS+1/SN+인/NNG+가구/NNG+'/SS
급증;나홀로	급증/NNG+;/SP+나/NP+홀로/MAG
가구	가구/NNG
절반,	절반/NNG+,/SP
한	한/MMN
달	달/NNG
수입	수입/NNG
100만원	100/SN+만/NR+원/NNB
안돼	안/MAG+되/XSV+어/EF


# id : NWRW1800000022.318.2.1
서울 종로구 낙원동에 사는 김오태(63)씨는 매일 아침 5시30분 두 평(6.6㎡)이 채 안되는 단칸방에서 혼자 깨어나 물에 만 밥을 먹는다.

서울	서울/NNP
종로구	종로구/NNP
낙원동에	낙원동/NNP+에/JKB
사는	살/VV+는/ETM
김오태(63)씨는	김오태/NNP+(/SS+63/SN+)/SS+씨/NNB+는/JX
매일	매일/MAG
아침	아침/NNG
5시30분	5/SN+시/NNB+30/SN+분/NNB
두	두/MMN
평(6.6㎡)이	평/NNB+(/SS+6/SN+./SP+6/SN+㎡/SW+)/SS+이/JKS
채	채/MAG
안되는	안/MAG+되/XSV+는/ETM
단칸방에서	단칸방/NNG+에서/JKB
혼자	혼자/NNG
깨어나	깨어나/VV+아/EC
물에	물/NNG+에/JKB
만	말/VV+ㄴ/ETM
밥을	밥/NNG+을/JKO
먹는다.	먹/VV+는다/EF+./SF


# id : NWRW1800000022.318.2.2
간밤에 빨아 말린 작업복을 입고 일터에 갔다가 오후 5시쯤 돌아와 맨밥에 양파 몇 조각과 고추장을 반찬으로 먹는다.

간밤에	간밤/NNG+에/JKB
빨아	빨/VV+아/EC
말린	말리/VV+ㄴ/ETM
작업복을	작업복/NNG+을/JKO
입고	입/VV+고/EC
일터에	일터/NNG+에/JKB
갔다가	가/VV+았/EP+다가/EC
오후	오후/NNG
5시쯤	5/SN+시/NNB+쯤/XSN
돌아와	돌아오/VV+아/EC
맨밥에	맨/XPN+밥/NNG+에/JKB
양파	양파/NNG
몇	몇/NR
조각과	조각/NNG+과/JC
고추장을	고추장/NNG+을/JKO
반찬으로	반찬/NNG+으로/JKB
먹는다.	먹/VV+는다/EF+./SF


# id : NWRW1800000022.318.2.3
집 근처 탑골공원을 산책한 뒤 우두커니 TV를 보다 잠든다.

집	집/NNG
근처	근처/NNG
탑골공원을	탑골공원/NNP+을/JKO
산책한	산책/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
우두커니	우두커니/MAG
TV를	TV/SL+를/JKO
보다	보/VV+다/EC
잠든다.	잠들/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.318.3.1
그의 고향은 전남 신안이다.

그의	그/NP+의/JKG
고향은	고향/NNG+은/JX
전남	전남/NNP
신안이다.	신안/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000022.318.3.2
젊어서는 리어카를 끌며 고물을 주웠다.

젊어서는	젊/VA+어서/EC+는/JX
리어카를	리어카/NNG+를/JKO
끌며	끌/VV+며/EC
고물을	고물/NNG+을/JKO
주웠다.	줍/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.318.3.3
지금은 주민센터 희망근로로 월 90만원을 번다.

지금은	지금/NNG+은/JX
주민센터	주민/NNG+센터/NNG
희망근로로	희망/NNG+근로/NNG+로/JKB
월	월/NNG
90만원을	90/SN+만/NR+원/NNB+을/JKO
번다.	벌/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.318.3.4
방값 23만원, 각종 공과금 12만원, 식비 30만원에 관절염·두통 약을 사먹는다.

방값	방/NNG+값/NNG
23만원,	23/SN+만/NR+원/NNB+,/SP
각종	각종/NNG
공과금	공과금/NNG
12만원,	12/SN+만/NR+원/NNB+,/SP
식비	식비/NNG
30만원에	30/SN+만/NR+원/NNB+에/JKB
관절염·두통	관절염/NNG+·/SP+두통/NNG
약을	약/NNG+을/JKO
사먹는다.	사/VV+아/EC+먹/VV+는다/EF+./SF


# id : NWRW1800000022.318.4.1
그는 20살에 결혼한 부인과 11년만에 사별하고 서울 삼청동에서 남매를 키우며 살았다.

그는	그/NP+는/JX
20살에	20/SN+살/NNB+에/JKB
결혼한	결혼/NNG+하/XSV+ㄴ/ETM
부인과	부인/NNG+과/JKB
11년만에	11/SN+년/NNB+만/NNB+에/JKB
사별하고	사별/NNG+하/XSV+고/EC
서울	서울/NNP
삼청동에서	삼청동/NNP+에서/JKB
