# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.267
metadata : {}


# id : NWRW1800000046.267.1.1
[만물상] 셰이카 모자

[만물상]	[/SS+만물상/NNG+]/SS
셰이카	셰이카/NNP
모자	모자/NNP


# id : NWRW1800000046.267.2.1
카타르 수도 도하 서쪽 지역에 '에듀케이션 시티'가 있다.

카타르	카타르/NNP
수도	수도/NNG
도하	도하/NNP
서쪽	서쪽/NNG
지역에	지역/NNG+에/JKB
'에듀케이션	'/SS+에듀케이션/NNP
시티'가	시티/NNP+'/SS+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.267.2.2
990만㎡(300만평) 부지에 조지타운대, 코넬 의대 같은 미국 명문대 분교가 있는 '교육 특구'다.

990만㎡(300만평)	990/SN+만/NR+㎡/SW+(/SS+300/SN+만/NR+평/NNB+)/SS
부지에	부지/NNG+에/JKB
조지타운대,	조지타운대/NNP+,/SP
코넬	코넬/NNP
의대	의대/NNG
같은	같/VA+은/ETM
미국	미국/NNP
명문대	명문대/NNG
분교가	분교/NNG+가/JKS
있는	있/VA+는/ETM
'교육	'/SS+교육/NNG
특구'다.	특구/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.267.2.3
카타르는 2006년 말 아시안게임 개막 며칠 전 이곳에서 성화 점화식을 열었다.

카타르는	카타르/NNP+는/JX
2006년	2006/SN+년/NNB
말	말/NNB
아시안게임	아시안/NNP+게임/NNG
개막	개막/NNG
며칠	며칠/NNG
전	전/NNG
이곳에서	이곳/NP+에서/JKB
성화	성화/NNG
점화식을	점화식/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.267.2.4
수천 관중의 박수와 환호 속에 한 중년 여성이 불을 붙였다.

수천	수천/NR
관중의	관중/NNG+의/JKG
박수와	박수/NNG+와/JC
환호	환호/NNG
속에	속/NNG+에/JKB
한	한/MMN
중년	중년/NNG
여성이	여성/NNG+이/JKS
불을	불/NNG+을/JKO
