# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.218
metadata : {}


# id : NWRW1800000033.218.1.1
호주오픈테니스 男단식 결승 5시간 53분 명승부… 프로스포츠 최장 시간 경기들

호주오픈테니스	호주/NNP+오픈/NNG+테니스/NNG
男단식	男/SH+단식/NNG
결승	결승/NNG
5시간	5/SN+시간/NNB
53분	53/SN+분/NNB
명승부…	명승부/NNG+…/SE
프로스포츠	프로/NNG+스포츠/NNG
최장	최장/NNG
시간	시간/NNG
경기들	경기/NNG+들/XSN


# id : NWRW1800000033.218.2.1
체력도 정신력도 동난 밤… 습관이 실력!

체력도	체력/NNG+도/JX
정신력도	정신력/NNG+도/JX
동난	동나/VV+ㄴ/ETM
밤…	밤/NNG+…/SE
습관이	습관/NNG+이/JKS
실력!	실력/NNG+!/SF


# id : NWRW1800000033.218.3.1
“트로피가 두 개라면 좋겠지만 불행하게도 그렇지 못해 아쉽다.”

“트로피가	“/SS+트로피/NNG+가/JKS
두	두/MMN
개라면	개/NNB+이/VCP+라면/EC
좋겠지만	좋/VA+겠/EP+지만/EC
불행하게도	불행/NNG+하/XSA+게/EC+도/JX
그렇지	그렇/VA+지/EC
못해	못하/VX+아/EC
아쉽다.”	아쉽/VA+다/EF+./SF+”/SS


# id : NWRW1800000033.218.4.1
노바크 조코비치(세르비아)는 6시간 가까이 네트를 마주하고 사투를 벌인 라파엘 나달(스페인)에게 찬사를 보냈다.

노바크	노바크/NNP
조코비치(세르비아)는	조코비치/NNP+(/SS+세르비아/NNP+)/SS+는/JX
6시간	6/SN+시간/NNB
가까이	가까이/MAG
네트를	네트/NNG+를/JKO
마주하고	마주/MAG+하/XSV+고/EC
사투를	사투/NNG+를/JKO
벌인	벌이/VV+ㄴ/ETM
라파엘	라파엘/NNP
나달(스페인)에게	나달/NNP+(/SS+스페인/NNP+)/SS+에게/JKB
찬사를	찬사/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.218.4.2
세계 1위 조코비치는 30일(현지 시간) 새벽 호주 멜버른에서 끝난 호주오픈 테니스 남자 단식 결승에서 세계 2위 나달을 3-2로 꺾고 대회 2연패에 성공했다.

세계	세계/NNG
1위	1/SN+위/NNB
조코비치는	조코비치/NNP+는/JX
30일(현지	30/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
새벽	새벽/NNG
호주	호주/NNP
멜버른에서	멜버른/NNP+에서/JKB
끝난	끝나/VV+ㄴ/ETM
호주오픈	호주/NNP+오픈/NNG
테니스	테니스/NNG
남자	남자/NNG
단식	단식/NNG
결승에서	결승/NNG+에서/JKB
2위	2/SN+위/NNB
나달을	나달/NNP+을/JKO
3-2로	3/SN+-/SO+2/SN+로/JKB
꺾고	꺾/VV+고/EC
대회	대회/NNG
2연패에	2/SN+연패/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.218.4.3
경기 시간은 역대 메이저 대회 결승 최장 기록인 5시간 53분이었다.

경기	경기/NNG
시간은	시간/NNG+은/JX
역대	역대/NNG
메이저	메이저/NNG
대회	대회/NNG
결승	결승/NNG
최장	최장/NNG
기록인	기록/NNG+이/VCP+ㄴ/ETM
5시간	5/SN+시간/NNB
53분이었다.	53/SN+분/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.218.4.4
이 부문 종전 기록인 1988년 US오픈 결승에서 마츠 빌란데르가 이반 렌들을 누를 때의 4시간 54분보다 59분이 더 걸렸을 만큼 한 치의 양보도 없이 팽팽했다.

이	이/MMD
부문	부문/NNG
종전	종전/NNG
기록인	기록/NNG+이/VCP+ㄴ/ETM
1988년	1988/SN+년/NNB
US오픈	US/SL+오픈/NNG
결승에서	결승/NNG+에서/JKB
마츠	마츠/NNP
빌란데르가	빌란데르/NNP+가/JKS
이반	이반/NNP
렌들을	렌들/NNP+을/JKO
누를	누르/VV+ㄹ/ETM
때의	때/NNG+의/JKG
4시간	4/SN+시간/NNB
54분보다	54/SN+분/NNB+보다/JKB
59분이	59/SN+분/NNB+이/JKS
더	더/MAG
걸렸을	걸리/VV+었/EP+을/ETM
만큼	만큼/NNB
한	한/MMN
치의	치/NNB+의/JKG
양보도	양보/NNG+도/JX
없이	없이/MAG
팽팽했다.	팽팽하/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.218.4.5
조코비치가 승리의 환호에 땀에 흠뻑 젖은 티셔츠를 찢을 무렵 코트의 시계는 오전 1시 40분을 넘기고 있었다.

조코비치가	조코비치/NNP+가/JKS
승리의	승리/NNG+의/JKG
환호에	환호/NNG+에/JKB
땀에	땀/NNG+에/JKB
흠뻑	흠뻑/MAG
젖은	젖/VV+은/ETM
티셔츠를	티셔츠/NNG+를/JKO
찢을	찢/VV+을/ETM
무렵	무렵/NNB
코트의	코트/NNG+의/JKG
시계는	시계/NNG+는/JX
오전	오전/NNG
1시	1/SN+시/NNB
40분을	40/SN+분/NNB+을/JKO
넘기고	넘기/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.218.5.1
초인으로 불릴 만한 이들의 대결은 역사에 남을 명승부라는 찬사가 쏟아졌다.

초인으로	초인/NNG+으로/JKB
불릴	불리/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
이들의	이/NP+들/XSN+의/JKG
대결은	대결/NNG+은/JX
역사에	역사/NNG+에/JKB
남을	남/VV+을/ETM
명승부라는	명승부/NNG+이/VCP+라는/ETM
찬사가	찬사/NNG+가/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.218.5.2
조코비치와 나달은 코트의 최대 라이벌이다.

조코비치와	조코비치/NNP+와/JC
나달은	나달/NNP+은/JX
코트의	코트/NNG+의/JKG
최대	최대/NNG
