# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.147
metadata : {}


# id : NWRW1800000045.147.1.1
“안중근의사 유해, 뤼순감옥 500m 반경 죄수묘지에 매장 유력”

“안중근의사	“/SS+안중근/NNP+의사/NNG
유해,	유해/NNG+,/SP
뤼순감옥	뤼순감옥/NNP
500m	500/SN+m/SW
반경	반경/NNG
죄수묘지에	죄수/NNG+묘지/NNG+에/JKB
매장	매장/NNG
유력”	유력/NNG+”/SS


# id : NWRW1800000045.147.2.1
26일 이토 저격 106주년… 안태근 교수 ‘돌아오지 못하는 안중근’ 책 펴내

26일	26/SN+일/NNB
이토	이토/NNP
저격	저격/NNG
106주년…	106/SN+주년/NNB+…/SE
안태근	안태근/NNP
교수	교수/NNG
‘돌아오지	‘/SS+돌아오/VV+지/EC
못하는	못하/VX+는/ETM
안중근’	안중근/NNP+’/SS
책	책/NNG
펴내	펴내/VV+어/EF


# id : NWRW1800000045.147.3.1
《 “여러 근거를 통해 안중근 의사 매장 추정 지역과 발굴 방법을 제시했는데도 정부가 적극적으로 나서지 않는 것을 이해할 수없습니다.”

《	《/SS
“여러	“/SS+여러/MMN
근거를	근거/NNG+를/JKO
통해	통하/VV+아/EC
안중근	안중근/NNP
의사	의사/NNG
매장	매장/NNG
추정	추정/NNG
지역과	지역/NNG+과/JC
발굴	발굴/NNG
방법을	방법/NNG+을/JKO
제시했는데도	제시/NNG+하/XSV+았/EP+는데/EC+도/JX
정부가	정부/NNG+가/JKS
적극적으로	적극/NNG+적/XSN+으로/JKB
나서지	나서/VV+지/EC
않는	않/VX+는/ETM
것을	것/NNB+을/JKO
이해할	이해/NNG+하/XSV+ㄹ/ETM
수없습니다.”	수/NNB+없/VA+습니다/EF+./SF+”/SS


# id : NWRW1800000045.147.3.2
24일 만난 안태근 안중근뼈대찾기사업회장(호남대 문화산업경영학과 교수)은 안 의사 유골 발굴에 미온적인 정부를 강하게 비판했다.

24일	24/SN+일/NNB
만난	만나/VV+ㄴ/ETM
안태근	안태근/NNP
안중근뼈대찾기사업회장(호남대	안중근/NNP+뼈대/NNG+찾/VV+기/ETN+사업회장/NNG+(/SS+호남대/NNP
문화산업경영학과	문화/NNG+산업/NNG+경영학과/NNG
교수)은	교수/NNG+)/SS+은/JX
안	안/NNP
의사	의사/NNG
유골	유골/NNG
발굴에	발굴/NNG+에/JKB
미온적인	미온/NNG+적/XSN+이/VCP+ㄴ/ETM
정부를	정부/NNG+를/JKO
강하게	강하/VA+게/EC
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.147.3.3
26일은 안중근 의사가 1909년 중국 하얼빈(哈爾濱) 역에서 일본 이토 히로부미(伊藤博文)를 저격한 의거 106주년이 되는 날이다.

26일은	26/SN+일/NNB+은/JX
안중근	안중근/NNP
의사가	의사/NNG+가/JKS
1909년	1909/SN+년/NNB
중국	중국/NNP
하얼빈(哈爾濱)	하얼빈/NNP+(/SS+哈爾濱/SH+)/SS
역에서	역/NNG+에서/JKB
일본	일본/NNP
이토	이토/NNP
히로부미(伊藤博文)를	히로부미/NNP+(/SS+伊藤博文/SH+)/SS+를/JKO
저격한	저격/NNG+하/XSV+ㄴ/ETM
의거	의거/NNG
106주년이	106/SN+주년/NNB+이/JKC
되는	되/VV+는/ETM
날이다.	날/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.147.3.4
사업회는 광복 70주년과 의거 106주년을 기념해 신간 ‘돌아오지 못하는 안중근’(차이나하우스)을 펴냈다.

사업회는	사업회/NNG+는/JX
광복	광복/NNG
70주년과	70/SN+주년/NNB+과/JC
의거	의거/NNG
106주년을	106/SN+주년/NNB+을/JKO
기념해	기념/NNG+하/XSV+아/EC
신간	신간/NNG
‘돌아오지	‘/SS+돌아오/VV+지/EC
못하는	못하/VX+는/ETM
안중근’(차이나하우스)을	안중근/NNP+’/SS+(/SS+차이나하우스/NNP+)/SS+을/JKO
펴냈다.	펴내/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.147.3.5
이 책에는 안 의사의 유골 발굴 필요성과 매장 추정지역, 발굴 방법 등이 담겼다.》

이	이/MMD
책에는	책/NNG+에/JKB+는/JX
안	안/NNP
의사의	의사/NNG+의/JKG
유골	유골/NNG
발굴	발굴/NNG
필요성과	필요/NNG+성/XSN+과/JC
매장	매장/NNG
추정지역,	추정/NNG+지역/NNG+,/SP
방법	방법/NNG
등이	등/NNB+이/JKS
담겼다.》	담기/VV+었/EP+다/EF+./SF+》/SS


# id : NWRW1800000045.147.4.1
안 교수는 “정부가 2008년 안 의사가 의거 뒤 수감됐던 중국 다롄(大連) 시 뤼순(旅順) 감옥 근처를 발굴한 뒤로는 별다른 노력을 기울이지 않고 있다.

안	안/NNP
교수는	교수/NNG+는/JX
“정부가	“/SS+정부/NNG+가/JKS
2008년	2008/SN+년/NNB
의사가	의사/NNG+가/JKS
의거	의거/NNG
뒤	뒤/NNG
수감됐던	수감/NNG+되/XSV+었/EP+던/ETM
중국	중국/NNP
다롄(大連)	다롄/NNP+(/SS+大連/SH+)/SS
시	시/NNG
뤼순(旅順)	뤼순/NNP+(/SS+旅順/SH+)/SS
감옥	감옥/NNG
근처를	근처/NNG+를/JKO
발굴한	발굴/NNG+하/XSV+ㄴ/ETM
뒤로는	뒤/NNG+로/JKB+는/JX
별다른	별다르/VA+ㄴ/ETM
노력을	노력/NNG+을/JKO
기울이지	기울이/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.147.4.2
조속한 발굴을 촉구한다”고 했다.

조속한	조속하/VA+ㄴ/ETM
발굴을	발굴/NNG+을/JKO
촉구한다”고	촉구/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.147.5.1
안 교수는 유골 매장 추정지로 뤼순 감옥 동남쪽 500m 지점 옛 수인(囚人·죄수) 묘지 터를 지목했다.

안	안/NNP
교수는	교수/NNG+는/JX
유골	유골/NNG
매장	매장/NNG
추정지로	추정지/NNG+로/JKB
뤼순	뤼순/NNP
감옥	감옥/NNG
동남쪽	동남쪽/NNG
500m	500/SN+m/SW
지점	지점/NNG
옛	옛/MMA
수인(囚人·죄수)	수인/NNG+(/SS+囚人/SH+·/SP+죄수/NNG+)/SS
묘지	묘지/NNG
터를	터/NNG+를/JKO
지목했다.	지목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.147.5.2
당시 관동도독부(일제의 식민행정기관)의 문서, 안 의사 서거 당시 검시(檢屍) 의사와 통역관 등의 증언을 종합하면 수인 묘지에 묻혔을 가능성이 매우 높다는 것.

당시	당시/NNG
관동도독부(일제의	관동도독부/NNP+(/SS+일제/NNG+의/JKG
식민행정기관)의	식민/NNG+행정/NNG+기관/NNG+)/SS+의/JKG
문서,	문서/NNG+,/SP
안	안/NNP
의사	의사/NNG
서거	서거/NNG
검시(檢屍)	검시/NNG+(/SS+檢屍/SH+)/SS
의사와	의사/NNG+와/JC
통역관	통역관/NNG
등의	등/NNB+의/JKG
증언을	증언/NNG+을/JKO
종합하면	종합/NNG+하/XSV+면/EC
수인	수인/NNG
묘지에	묘지/NNG+에/JKB
묻혔을	묻히/VV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
매우	매우/MAG
높다는	높/VA+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000045.147.6.1
안 교수는 최근 지표투과레이더(GPR) 기술의 발달로 땅을 파지 않고도 유해 발굴이 가능하다고 주장했다.

안	안/NNP
교수는	교수/NNG+는/JX
최근	최근/NNG
지표투과레이더(GPR)	지표/NNG+투과/NNG+레이더/NNG+(/SS+GPR/SL+)/SS
기술의	기술/NNG+의/JKG
발달로	발달/NNG+로/JKB
땅을	땅/NNG+을/JKO
파지	파/VV+지/EC
않고도	않/VX+고/EC+도/JX
유해	유해/NNG
발굴이	발굴/NNG+이/JKS
가능하다고	가능/NNG+하/XSA+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.147.6.2
GPR는 땅 위에서 전파를 발사해 지하의 물체를 찾는 기술이다.

GPR는	GPR/SL+는/JX
땅	땅/NNG
