# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.232
metadata : {}


# id : NWRW1800000038.232.1.1
[평창 동계 스페셜올림픽] 꼴찌로 들어와도 시상대 위로… 모두가 승자

[평창	[/SS+평창/NNP
동계	동계/NNG
스페셜올림픽]	스페셜올림픽/NNG+]/SS
꼴찌로	꼴찌/NNG+로/JKB
들어와도	들어오/VV+아도/EC
시상대	시상대/NNG
위로…	위/NNG+로/JKB+…/SE
모두가	모두/NNG+가/JKS
승자	승자/NNG


# id : NWRW1800000038.232.2.1
선수 전원에 '리본 메달'… 한국팀 막내 스노보드 김대현, 수차례 넘어져도 레이스 완주

선수	선수/NNG
전원에	전원/NNG+에/JKB
'리본	'/SS+리본/NNG
메달'…	메달/NNG+'/SS+…/SE
한국팀	한국/NNP+팀/NNG
막내	막내/NNG
스노보드	스노보드/NNG
김대현,	김대현/NNP+,/SP
수차례	수차례/NNG
넘어져도	넘어지/VV+어도/EC
레이스	레이스/NNG
완주	완주/NNG


# id : NWRW1800000038.232.3.1
항상 산만하기만 했던 열두 살 꼬마가 눈 위에선 포기를 몰랐다.

항상	항상/MAG
산만하기만	산만하/VA+기/ETN+만/JX
했던	하/VX+았/EP+던/ETM
열두	열두/MMN
살	살/NNB
꼬마가	꼬마/NNG+가/JKS
눈	눈/NNG
위에선	위/NNG+에서/JKB+ㄴ/JX
포기를	포기/NNG+를/JKO
몰랐다.	모르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.232.4.1
지난 31일 강원도 평창 알펜시아 리조트에서 열린 평창 동계 스페셜올림픽 스노보드 대회전 중급 결선 디비전(Division) 4. 한국 선수단의 최연소 선수인 김대현(12·청주 혜원학교)이 190여m 높이의 출발선에서 레이스를 시작했다.

지난	지나/VV+ㄴ/ETM
31일	31/SN+일/NNB
강원도	강원도/NNP
평창	평창/NNP
알펜시아	알펜시아/NNP
리조트에서	리조트/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
동계	동계/NNG
스페셜올림픽	스페셜올림픽/NNG
스노보드	스노보드/NNG
대회전	대/XPN+회전/NNG
중급	중급/NNG
결선	결선/NNG
디비전(Division)	디비전/NNG+(/SS+Division/SL+)/SS
4.	4/SN+./SF
한국	한국/NNP
선수단의	선수단/NNG+의/JKG
최연소	최/XPN+연소/NNG
선수인	선수/NNG+이/VCP+ㄴ/ETM
김대현(12·청주	김대현/NNP+(/SS+12/SN+·/SP+청주/NNP
혜원학교)이	혜원학교/NNP+)/SS+이/JKS
190여m	190/SN+여/XSN+m/SW
높이의	높이/NNG+의/JKG
출발선에서	출발선/NNG+에서/JKB
레이스를	레이스/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.232.5.1
순조롭게 내려오던 그는 슬로프 중간쯤 기문에서 크게 넘어졌다.

순조롭게	순조/NNG+롭/XSA+게/EC
내려오던	내려오/VV+던/ETM
그는	그/NP+는/JX
슬로프	슬로프/NNG
중간쯤	중간/NNG+쯤/XSN
기문에서	기문/NNG+에서/JKB
크게	크/VA+게/EC
넘어졌다.	넘어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.232.5.2
김대현은 엎드린 채로 엉금엉금 기문으로 기어서 올라갔다.

김대현은	김대현/NNP+은/JX
엎드린	엎드리/VV+ㄴ/ETM
채로	채/NNB+로/JKB
엉금엉금	엉금엉금/MAG
기문으로	기문/NNG+으로/JKB
기어서	기/VV+어서/EC
올라갔다.	올라가/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.232.5.3
기문을 돌지 못해 실격당하기 싫어서였다.

기문을	기문/NNG+을/JKO
돌지	돌/VV+지/EC
못해	못하/VX+아/EC
실격당하기	실격/NNG+당하/XSV+기/ETN
싫어서였다.	싫/VA+어서/EC+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.232.5.4
기문에 다다르기 전에 다시 4~5m를 미끄러졌다.

기문에	기문/NNG+에/JKB
다다르기	다다르/VV+기/ETN
전에	전/NNG+에/JKB
다시	다시/MAG
4~5m를	4/SN+~/SO+5/SN+m/SW+를/JKO
미끄러졌다.	미끄러지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.232.6.1
이미 다른 선수는 레이스를 마친 시간을 훌쩍 넘어섰다.

이미	이미/MAG
다른	다른/MMD
선수는	선수/NNG+는/JX
레이스를	레이스/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
시간을	시간/NNG+을/JKO
훌쩍	훌쩍/MAG
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.232.6.2
그래도 김대현은 포기하지 않고 다시 레이스를 이어갔다.

그래도	그렇/VA+어도/EC
김대현은	김대현/NNP+은/JX
포기하지	포기/NNG+하/XSV+지/EC
않고	않/VX+고/EC
다시	다시/MAG
레이스를	레이스/NNG+를/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.232.6.3
"레츠 고(Let's go), 김대현." 그를 지켜보던 수백명의 관중은 한목소리로 외쳤다.

"레츠	"/SS+레츠/NA
고(Let's	고/NA+(/SS+Let/SL+'/SS+s/SL
go),	go/SL+)/SS+,/SP
김대현."	김대현/NNP+./SF+"/SS
그를	그/NP+를/JKO
지켜보던	지켜보/VV+던/ETM
수백명의	수백/NR+명/NNB+의/JKG
관중은	관중/NNG+은/JX
한목소리로	한목소리/NNG+로/JKB
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.232.7.1
1·2차 합계 2분33초32로 경기를 마친 김대현은 여섯 명의 참가자 가운데 꼴찌를 했다.

1·2차	1/SN+·/SP+2/SN+차/NNB
합계	합계/NNG
2분33초32로	2/SN+분/NNB+33/SN+초/NNB+32/SN+로/JKB
경기를	경기/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
김대현은	김대현/NNP+은/JX
여섯	여섯/NR
명의	명/NNB+의/JKG
참가자	참가자/NNG
가운데	가운데/NNG
꼴찌를	꼴찌/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.232.7.2
하지만 김대현도 시상식에 참가했고 그의 가슴엔 리본이 걸렸다.

하지만	하지만/MAJ
김대현도	김대현/NNP+도/JX
시상식에	시상식/NNG+에/JKB
참가했고	참가/NNG+하/XSV+았/EP+고/EC
그의	그/NP+의/JKG
가슴엔	가슴/NNG+에/JKB+ㄴ/JX
리본이	리본/NNG+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.232.8.1
승패보다는 도전과 노력에 의미를 두는 스페셜올림픽에선 1~3위 입상자는 메달, 나머지 참가자는 리본을 받는다.

승패보다는	승패/NNG+보다/JKB+는/JX
도전과	도전/NNG+과/JC
노력에	노력/NNG+에/JKB
의미를	의미/NNG+를/JKO
두는	두/VV+는/ETM
스페셜올림픽에선	스페셜올림픽/NNG+에서/JKB+ㄴ/JX
1~3위	1/SN+~/SO+3/SN+위/NNB
입상자는	입상자/NNG+는/JX
메달,	메달/NNG+,/SP
나머지	나머지/NNG
참가자는	참가자/NNG+는/JX
리본을	리본/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000038.232.8.2
개막식에서 성화 점화자 역할을 맡았던 황석일(24)은 스노보딩 대회전 상급 디비전 2에서 여덟명 가운데 7위를 해 리본을 받았다.

개막식에서	개막식/NNG+에서/JKB
성화	성화/NNG
점화자	점화자/NNG
역할을	역할/NNG+을/JKO
맡았던	맡/VV+았/EP+던/ETM
황석일(24)은	황석일/NNP+(/SS+24/SN+)/SS+은/JX
스노보딩	스노보딩/NNG
대회전	대/XPN+회전/NNG
상급	상급/NNG
디비전	디비전/NNG
2에서	2/SN+에서/JKB
여덟명	여덟/NR+명/NNB
가운데	가운데/NNG
7위를	7/SN+위/NNB+를/JKO
해	하/VV+아/EC
리본을	리본/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.232.9.1
네 살이 되도록 제대로 말을 못 했던 김대현은 2008년 주의력결핍과잉행동장애(ADHD) 진단을 받았고, 3년 뒤 3급 지적 발달 장애인이 됐다.

네	네/MMN
살이	살/NNB+이/JKC
되도록	되/VV+도록/EC
제대로	제대로/MAG
말을	말/NNG+을/JKO
못	못/MAG
했던	하/VV+았/EP+던/ETM
김대현은	김대현/NNP+은/JX
2008년	2008/SN+년/NNB
주의력결핍과잉행동장애(ADHD)	주의력/NNG+결핍/NNG+과잉/NNG+행동/NNG+장애/NNG+(/SS+ADHD/SL+)/SS
진단을	진단/NNG+을/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
3년	3/SN+년/NNB
뒤	뒤/NNG
3급	3/SN+급/NNG
지적	지/NNG+적/XSN
발달	발달/NNG
장애인이	장애인/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.232.9.2
자기 기분에 맞지 않으면 하던 일을 그만두기 일쑤였다.

자기	자기/NP
기분에	기분/NNG+에/JKB
맞지	맞/VV+지/EC
않으면	않/VX+으면/EC
하던	하/VX+던/ETM
일을	일/NNG+을/JKO
그만두기	그만두/VV+기/ETN
일쑤였다.	일쑤/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.232.9.3
