# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.374
metadata : {}


# id : NWRW1800000033.374.1.1
與 “상설특검 필요”… 文-安측 “차기정권서 재수사”

與	與/SH
“상설특검	“/SS+상설/NNG+특검/NNG
필요”…	필요/NNG+”/SS+…/SE
文-安측	文/SH+-/SO+安/SH+측/NNB
“차기정권서	“/SS+차기/NNG+정권/NNG+서/JKB
재수사”	재/XPN+수사/NNG+”/SS


# id : NWRW1800000033.374.2.1
청와대는 14일 내곡동 사저 터 특검의 수사 결과 발표를 강한 톤으로 비판하며 누적된 불만을 고스란히 드러냈다.

청와대는	청와대/NNP+는/JX
14일	14/SN+일/NNB
내곡동	내곡동/NNP
사저	사저/NNG
터	터/NNG
특검의	특검/NNG+의/JKG
수사	수사/NNG
결과	결과/NNG
발표를	발표/NNG+를/JKO
강한	강하/VA+ㄴ/ETM
톤으로	톤/NNG+으로/JKB
비판하며	비판/NNG+하/XSV+며/EC
누적된	누적/NNG+되/XSV+ㄴ/ETM
불만을	불만/NNG+을/JKO
고스란히	고스란히/MAG
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.374.3.1
최금락 대통령홍보수석비서관은 이날 오후 청와대에서 브리핑을 갖고 우선 이명박 대통령 아들 시형 씨가 사저 터 매입대금으로 빌린 12억 원을 증여로 판단한 데 대해 “도저히 수긍할 수 없다”고 반박했다.

최금락	최금락/NNP
대통령홍보수석비서관은	대통령/NNG+홍보/NNG+수석/NNG+비서관/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
청와대에서	청와대/NNP+에서/JKB
브리핑을	브리핑/NNG+을/JKO
갖고	갖/VV+고/EC
우선	우선/MAG
이명박	이명박/NNP
대통령	대통령/NNG
아들	아들/NNG
시형	시형/NNP
씨가	씨/NNB+가/JKS
사저	사저/NNG
터	터/NNG
매입대금으로	매입/NNG+대금/NNG+으로/JKB
빌린	빌리/VV+ㄴ/ETM
12억	12/SN+억/NR
원을	원/NNB+을/JKO
증여로	증여/NNG+로/JKB
판단한	판단/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
