# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.366
metadata : {}


# id : NWRW1800000049.366.1.1
與 잠룡 5인 “지도부 사퇴, 재창당해야”

與	與/SH
잠룡	잠룡/NNG
5인	5/SN+인/NNG
“지도부	“/SS+지도부/NNG
사퇴,	사퇴/NNG+,/SP
재창당해야”	재/XPN+창당/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000049.366.2.1
이정현 대표 “흔들리지 않겠다” 거부

이정현	이정현/NNP
대표	대표/NNG
“흔들리지	“/SS+흔들리/VV+지/EC
않겠다”	않/VX+겠/EP+다/EF+”/SS
거부	거부/NNG


# id : NWRW1800000049.366.3.1
여권의 잠재적 대선 주자 5명이 1일 ‘최순실 게이트’에 따른 당 수습책으로 지도부 사퇴 후 재창당을 요구했다.

여권의	여권/NNG+의/JKG
잠재적	잠재/NNG+적/XSN
대선	대선/NNG
주자	주자/NNG
5명이	5/SN+명/NNB+이/JKS
1일	1/SN+일/NNB
‘최순실	‘/SS+최순실/NNP
게이트’에	게이트/NNG+’/SS+에/JKB
따른	따르/VV+ㄴ/ETM
당	당/NNG
수습책으로	수습책/NNG+으로/JKB
지도부	지도부/NNG
사퇴	사퇴/NNG
후	후/NNG
재창당을	재/XPN+창당/NNG+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.366.3.2
새누리당에서 박근혜 대통령의 흔적을 완전히 지우고, 당의 주류인 친박(친박근혜)계는 당 운영에서 2선 후퇴하라는 얘기다.

새누리당에서	새누리당/NNP+에서/JKB
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
흔적을	흔적/NNG+을/JKO
완전히	완전히/MAG
지우고,	지우/VV+고/EC+,/SP
당의	당/NNG+의/JKG
주류인	주류/NNG+이/VCP+ㄴ/ETM
친박(친박근혜)계는	친/XPN+박/NNP+(/SS+친/XPN+박근혜/NNP+)/SS+계/XSN+는/JX
당	당/NNG
운영에서	운영/NNG+에서/JKB
2선	2/SN+선/NNG
후퇴하라는	후퇴/NNG+하/XSV+라는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.366.3.3
김무성 전 대표, 김문수 전 경기도지사, 남경필 경기도지사, 오세훈 전 서울시장, 원희룡 제주도지사 등 비박 진영 대선 주자 5명은 이날 국회에서 긴급 회동 후 공동발표에서 “국민의 신뢰를 상실한 새누리당은 재창당의 길로 가야 한다”며 “그 길을 향한 첫걸음은 현 지도부의 사퇴”라고 주장했다.

김무성	김무성/NNP
전	전/MMD
대표,	대표/NNG+,/SP
김문수	김문수/NNP
경기도지사,	경기/NNP+도지사/NNG+,/SP
남경필	남경필/NNP
오세훈	오세훈/NNP
서울시장,	서울시장/NNG+,/SP
원희룡	원희룡/NNP
제주도지사	제주/NNP+도지사/NNG
등	등/NNB
비박	비/XPN+박/NNP
진영	진영/NNG
대선	대선/NNG
주자	주자/NNG
5명은	5/SN+명/NNB+은/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
긴급	긴급/NNG
회동	회동/NNG
후	후/NNG
공동발표에서	공동/NNG+발표/NNG+에서/JKB
“국민의	“/SS+국민/NNG+의/JKG
신뢰를	신뢰/NNG+를/JKO
상실한	상실/NNG+하/XSV+ㄴ/ETM
새누리당은	새누리당/NNP+은/JX
재창당의	재/XPN+창당/NNG+의/JKG
길로	길/NNG+로/JKB
가야	가/VV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“그	“/SS+그/MMD
길을	길/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
첫걸음은	첫걸음/NNG+은/JX
현	현/MMD
지도부의	지도부/NNG+의/JKG
사퇴”라고	사퇴/NNG+”/SS+라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.366.4.1
비박(비박근혜) 진영이 주축인 3선 이상 중진 21명도 회동을 갖고 이정현 대표의 사퇴를 설득하기로 했다.

비박(비박근혜)	비/XPN+박/NNP+(/SS+비/XPN+박근혜/NNP+)/SS
진영이	진영/NNG+이/JKS
주축인	주축/NNG+이/VCP+ㄴ/ETM
3선	3/SN+선/NNB
이상	이상/NNG
중진	중진/NNG
21명도	21/SN+명/NNB+도/JX
회동을	회동/NNG+을/JKO
갖고	갖/VV+고/EC
이정현	이정현/NNP
대표의	대표/NNG+의/JKG
사퇴를	사퇴/NNG+를/JKO
설득하기로	설득/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.366.4.2
황영철 의원은 “(이 대표) 스스로 거취를 결정하게 하는 방법에 대해 논의했다”면서도 “다만 이 대표에게 주어진 시간이 많지 않다”고 말했다.

황영철	황영철/NNP
의원은	의원/NNG+은/JX
“(이	“/SS+(/SS+이/NNP
대표)	대표/NNG+)/SS
스스로	스스로/MAG
거취를	거취/NNG+를/JKO
결정하게	결정/NNG+하/XSV+게/EC
하는	하/VX+는/ETM
방법에	방법/NNG+에/JKB
대해	대하/VV+아/EC
논의했다”면서도	논의/NNG+하/XSV+았/EP+다/EF+”/SS+면서/EC+도/JX
“다만	“/SS+다만/MAG
이	이/NNP
대표에게	대표/NNG+에게/JKB
주어진	주어지/VV+ㄴ/ETM
시간이	시간/NNG+이/JKS
많지	많/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.366.5.1
그러나 이 대표는 “흔들리지 않겠다”며 사퇴를 거부하고 있다.

그러나	그러나/MAJ
이	이/NNP
대표는	대표/NNG+는/JX
“흔들리지	“/SS+흔들리/VV+지/EC
않겠다”며	않/VX+겠/EP+다/EF+”/SS+며/EC
사퇴를	사퇴/NNG+를/JKO
거부하고	거부/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.366.5.2
당 내홍이 깊어지는 상황에서 이르면 3일 열리는 의원총회가 당 지도부 거취의 중대 분수령이 될 것으로 보인다.

당	당/NNG
내홍이	내홍/NNG+이/JKS
깊어지는	깊어지/VV+는/ETM
상황에서	상황/NNG+에서/JKB
이르면	이르/VA+면/EC
3일	3/SN+일/NNB
