# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.237
metadata : {}


# id : NWRW1800000030.237.1.1
[조선데스크] 일본 축구, 일본 문화

[조선데스크]	[/SS+조선/NNP+데스크/NNG+]/SS
일본	일본/NNP
축구,	축구/NNG+,/SP
문화	문화/NNG


# id : NWRW1800000030.237.2.1
유럽 축구 최대의 앙숙 잉글랜드와 독일은 역대 명승부를 벌였지만 중요 고비마다 승리하는 쪽은 대부분 독일이었다.

유럽	유럽/NNP
축구	축구/NNG
최대의	최대/NNG+의/JKG
앙숙	앙숙/NNG
잉글랜드와	잉글랜드/NNP+와/JC
독일은	독일/NNP+은/JX
역대	역대/NNG
명승부를	명승부/NNG+를/JKO
벌였지만	벌이/VV+었/EP+지만/EC
중요	중요/NNG
고비마다	고비/NNG+마다/JX
승리하는	승리/NNG+하/XSV+는/ETM
쪽은	쪽/NNB+은/JX
대부분	대/XPN+부분/NNG
독일이었다.	독일/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.237.2.2
이를 두고 1980년대 잉글랜드의 간판 공격수 게리 리네커는 "축구는 22명이 싸워서 결국 독일이 이기는 게임"이라고 푸념했다.

이를	이/NP+를/JKO
두고	두/VV+고/EC
1980년대	1980/SN+년대/NNB
잉글랜드의	잉글랜드/NNP+의/JKG
간판	간판/NNG
공격수	공격수/NNG
게리	게리/NNP
리네커는	리네커/NNP+는/JX
"축구는	"/SS+축구/NNG+는/JX
22명이	22/SN+명/NNB+이/JKS
싸워서	싸우/VV+어서/EC
결국	결국/MAG
독일이	독일/NNP+이/JKS
이기는	이기/VV+는/ETM
게임"이라고	게임/NNG+"/SS+이라고/JKQ
푸념했다.	푸념/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.237.3.1
비슷한 상황이 아시아의 한·일 축구 라이벌전에서도 벌어지고 있었다.

비슷한	비슷하/VA+ㄴ/ETM
상황이	상황/NNG+이/JKS
아시아의	아시아/NNP+의/JKG
한·일	한·일/NNP
축구	축구/NNG
라이벌전에서도	라이벌전/NNG+에서/JKB+도/JX
벌어지고	벌어지/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.237.3.2
라이벌이라곤 해도 역대 전적은 40승22무12패로 한국의 압도적 우세였다.

라이벌이라곤	라이벌/NNG+이/VCP+라고/EC+ㄴ/JX
해도	하/VV+아도/EC
역대	역대/NNG
전적은	전적/NNG+은/JX
40승22무12패로	40/SN+승/NNB+22/SN+무/NNB+12/SN+패/NNB+로/JKB
한국의	한국/NNP+의/JKG
압도적	압도/NNG+적/XSN
우세였다.	우세/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.237.3.3
