# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.217
metadata : {}


# id : NWRW1800000021.217.1.1
[분석! 이 경기]타이거 “라이언, 더 크거든 오라”

[분석!	[/SS+분석/NNG+!/SF
이	이/MMD
경기]타이거	경기/NNG+]/SS+타이거/NNP
“라이언,	“/SS+라이언/NNP+,/SP
더	더/MAG
크거든	크/VV+거든/EC
오라”	오/VV+라/EF+”/SS


# id : NWRW1800000021.217.2.1
꿈은 이뤄질 것 같았다.

꿈은	꿈/NNG+은/JX
이뤄질	이뤄지/VV+ㄹ/ETM
것	것/NNB
같았다.	같/VA+았/EP+다/EF+./SF


# id : NWRW1800000021.217.2.2
2001년 세계주니어골프선수권대회에서 우승한 뒤 “호랑이(타이거 우즈·34·미국) 잡는 동물은 사자”라고 말해 ‘라이언 김’이라는 별명을 얻은 앤서니 김(24·나이키골프)이 우상이었던 우즈와 처음 대결했다.

2001년	2001/SN+년/NNB
세계주니어골프선수권대회에서	세계/NNG+주니어/NNG+골프/NNG+선수/NNG+권/XSN+대회/NNG+에서/JKB
우승한	우승/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
“호랑이(타이거	“/SS+호랑이/NNG+(/SS+타이거/NNP
우즈·34·미국)	우즈/NNP+·/SP+34/SN+·/SP+미국/NNP+)/SS
잡는	잡/VV+는/ETM
동물은	동물/NNG+은/JX
사자”라고	사자/NNG+”/SS+라고/JKQ
말해	말/NNG+하/XSV+아/EC
‘라이언	‘/SS+라이언/NNP
김’이라는	김/NNP+’/SS+이/VCP+라는/ETM
별명을	별명/NNG+을/JKO
얻은	얻/VV+은/ETM
앤서니	앤서니/NNP
김(24·나이키골프)이	김/NNP+(/SS+24/SN+·/SP+나이키/NNP+골프/NNG+)/SS+이/JKS
우상이었던	우상/NNG+이/VCP+었/EP+던/ETM
우즈와	우즈/NNP+와/JKB
처음	처음/NNG
대결했다.	대결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.217.3.1
6일 미국 메릴랜드 주 베세즈다의 콩그레셔널 골프장(파70)에서 열린 미국프로골프(PGA)투어 AT&T내셔널 최종 4라운드.

6일	6/SN+일/NNB
미국	미국/NNP
메릴랜드	메릴랜드/NNP
주	주/NNG
베세즈다의	베세즈다/NNP+의/JKG
콩그레셔널	콩그레셔널/NNG
골프장(파70)에서	골프장/NNG+(/SS+파/NNG+70/SN+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
미국프로골프(PGA)투어	미국/NNP+프로/NNG+골프/NNG+(/SS+PGA/SL+)/SS+투어/NNG
AT&T내셔널	AT/SL+&/SW+T/SL+내셔널/NNG
최종	최종/NNG
4라운드.	4/SN+라운드/NNG+./SF


# id : NWRW1800000021.217.3.2
대회를 주최한 우즈는 평소처럼 붉은 셔츠를 입었다.

대회를	대회/NNG+를/JKO
주최한	주최/NNG+하/XSV+ㄴ/ETM
우즈는	우즈/NNP+는/JX
평소처럼	평소/NNG+처럼/JKB
붉은	붉/VA+은/ETM
셔츠를	셔츠/NNG+를/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.217.3.3
별자리가 ‘염소자리’인 아들에게 힘을 준다며 어머니가 10대 시절부터 권한 색이다.

별자리가	별자리/NNG+가/JKS
‘염소자리’인	‘/SS+염소자리/NNG+’/SS+이/VCP+ㄴ/ETM
아들에게	아들/NNG+에게/JKB
힘을	힘/NNG+을/JKO
준다며	주/VV+ㄴ다며/EC
어머니가	어머니/NNG+가/JKS
10대	10/SN+대/NNB
시절부터	시절/NNG+부터/JX
권한	권/NNG+하/XSV+ㄴ/ETM
색이다.	색/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.217.4.1
3라운드까지 합계 10언더파 200타로 공동 선두가 된 앤서니 김은 마지막 날 파란색을 입겠다고 공언했다.

3라운드까지	3/SN+라운드/NNG+까지/JX
합계	합계/NNG
10언더파	10/SN+언더/NNG+파/NNG
