# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.48
metadata : {}


# id : NWRW1800000022.48.1.1
[뉴 테크놀로지] 로봇의 진화… 사막도 걸어다닌다;C자 모양의 유연한 발 보행 속도 줄여 성공

[뉴	[/SS+뉴/NNG
테크놀로지]	테크놀로지/NNG+]/SS
로봇의	로봇/NNG+의/JKG
진화…	진화/NNG+…/SE
사막도	사막/NNG+도/JX
걸어다닌다;C자	걷/VV+어/EC+다니/VV+ㄴ다/EF+;/SW+C/SL+자/NNG
모양의	모양/NNG+의/JKG
유연한	유연하/VA+ㄴ/ETM
발	발/NNG
보행	보행/NNG
속도	속도/NNG
줄여	줄이/VV+어/EC
성공	성공/NNG


# id : NWRW1800000022.48.2.1
개펄에 가면 종종걸음으로 돌아다니는 게들을 볼 수 있다.

개펄에	개펄/NNG+에/JKB
가면	가/VV+면/EC
종종걸음으로	종종걸음/NNG+으로/JKB
돌아다니는	돌아다니/VV+는/ETM
게들을	게/NNG+들/XSN+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.48.2.2
하지만 첨단 기술의 총아라는 로봇은 개펄에서 허우적거리기만 한다.

하지만	하지만/MAJ
첨단	첨단/NNG
기술의	기술/NNG+의/JKG
총아라는	총아/NNG+이/VCP+라는/ETM
로봇은	로봇/NNG+은/JX
개펄에서	개펄/NNG+에서/JKB
허우적거리기만	허우적거리/VV+기/ETN+만/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.48.2.3
사막이나 낙엽더미처럼 입자가 성글게 된 곳에서는 어김없이 앞으로 가지 못하고 바닥으로 빨려 들어간다.

사막이나	사막/NNG+이나/JC
낙엽더미처럼	낙엽/NNG+더미/NNG+처럼/JKB
입자가	입자/NNG+가/JKS
성글게	성글/VA+게/EC
된	되/VV+ㄴ/ETM
곳에서는	곳/NNG+에서/JKB+는/JX
어김없이	어김없이/MAG
앞으로	앞/NNG+으로/JKB
가지	가/VV+지/EC
못하고	못하/VX+고/EC
바닥으로	바닥/NNG+으로/JKB
빨려	빨리/VV+어/EC
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.48.3.1
이런 단점을 보완해 사막에서도 자유자재로 돌아다니는 로봇이 개발됐다.

이런	이런/MMD
단점을	단점/NNG+을/JKO
보완해	보완/NNG+하/XSV+아/EC
사막에서도	사막/NNG+에서/JKB+도/JX
자유자재로	자유자재/NNG+로/JKB
돌아다니는	돌아다니/VV+는/ETM
로봇이	로봇/NNG+이/JKS
개발됐다.	개발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.48.3.2
미 조지아 공대 물리학과의 다니엘 골드만(Goldman) 교수는 지난 10일 '미국립과학원회보(PNAS)' 인터넷판에 발표한 논문에서 모래 위를 쉽게 걸어갈 수 있는 로봇 '샌드봇(SandBot)'을 개발했다고 밝혔다.

미	미/NNP
조지아	조지아/NNP
공대	공대/NNG
물리학과의	물리학과/NNG+의/JKG
다니엘	다니엘/NNP
골드만(Goldman)	골드만/NNP+(/SS+Goldman/SL+)/SS
교수는	교수/NNG+는/JX
지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
'미국립과학원회보(PNAS)'	'/SS+미국립과학원회보/NNP+(/SS+PNAS/SL+)/SS+'/SS
인터넷판에	인터넷판/NNG+에/JKB
발표한	발표/NNG+하/XSV+ㄴ/ETM
논문에서	논문/NNG+에서/JKB
모래	모래/NNG
위를	위/NNG+를/JKO
쉽게	쉽/VA+게/EC
걸어갈	걸어가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
로봇	로봇/NNG
'샌드봇(SandBot)'을	'/SS+샌드봇/NNG+(/SS+SandBot/SL+)/SS+'/SS+을/JKO
개발했다고	개발/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.48.4.1
샌드봇은 무게 3㎏에 몸길이 30㎝이며, 'C'자 모양의 부드럽고 유연한 발이 좌우에 각각 3개씩 있다.

샌드봇은	샌드봇/NNG+은/JX
무게	무게/NNG
3㎏에	3/SN+㎏/SW+에/JKB
몸길이	몸길이/NNG
30㎝이며,	30/SN+㎝/SW+이/VCP+며/EC+,/SP
'C'자	'/SS+C/SL+'/SS+자/NNG
모양의	모양/NNG+의/JKG
부드럽고	부드럽/VA+고/EC
유연한	유연하/VA+ㄴ/ETM
발이	발/NNG+이/JKS
좌우에	좌우/NNG+에/JKB
각각	각각/MAG
3개씩	3/SN+개/NNB+씩/XSN
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.48.4.2
연구진은 처음에는 눈 위를 걸을 때 신발에 부드럽고 넓적한 판을 덧대는 것처럼 로봇의 부드럽고 유연한 발이 몸무게를 분산시켜 모래에 빠지지 않게 해줄 것으로 기대했다.

연구진은	연구진/NNG+은/JX
처음에는	처음/NNG+에/JKB+는/JX
눈	눈/NNG
위를	위/NNG+를/JKO
걸을	걷/VV+을/ETM
때	때/NNG
신발에	신발/NNG+에/JKB
부드럽고	부드럽/VA+고/EC
넓적한	넓적하/VA+ㄴ/ETM
판을	판/NNG+을/JKO
덧대는	덧대/VV+는/ETM
것처럼	것/NNB+처럼/JKB
로봇의	로봇/NNG+의/JKG
유연한	유연하/VA+ㄴ/ETM
발이	발/NNG+이/JKS
몸무게를	몸무게/NNG+를/JKO
분산시켜	분산/NNG+시키/XSV+어/EC
모래에	모래/NNG+에/JKB
빠지지	빠지/VV+지/EC
않게	않/VX+게/EC
해줄	하/VX+아/EC+주/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대했다.	기대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.48.4.3
하지만 예상과 달리 로봇은 몇 걸음 가지 않아 진흙에 빠진 자동차 바퀴처럼 허우적거리며 아래로 빠져 들었다.

하지만	하지만/MAJ
예상과	예상/NNG+과/JKB
달리	달리/MAG
로봇은	로봇/NNG+은/JX
몇	몇/NR
걸음	걸음/NNG
가지	가/VV+지/EC
않아	않/VX+아/EC
진흙에	진흙/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
자동차	자동차/NNG
바퀴처럼	바퀴/NNG+처럼/JKB
허우적거리며	허우적거리/VV+며/EC
아래로	아래/NNG+로/JKB
빠져	빠지/VV+어/EC
들었다.	들/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.48.5.1
문제는 발 동작에 있었다.

문제는	문제/NNG+는/JX
발	발/NNG
동작에	동작/NNG+에/JKB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.48.5.2
단단한 바닥을 걸을 때와 같은 속도이면 발들이 갈고리마냥 바닥의 부드러운 입자 속을 헤집고 들어가 이내 움직임이 둔해졌다.

단단한	단단하/VA+ㄴ/ETM
바닥을	바닥/NNG+을/JKO
걸을	걷/VV+을/ETM
때와	때/NNG+와/JKB
같은	같/VA+은/ETM
속도이면	속도/NNG+이/VCP+면/EC
발들이	발/NNG+들/XSN+이/JKS
갈고리마냥	갈고리/NNG+마냥/JKB
바닥의	바닥/NNG+의/JKG
부드러운	부드럽/VA+ㄴ/ETM
입자	입자/NNG
속을	속/NNG+을/JKO
헤집고	헤집/VV+고/EC
들어가	들어가/VV+아/EC
이내	이내/MAG
움직임이	움직임/NNG+이/JKS
둔해졌다.	둔하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.48.5.3
보행 속도를 절반으로 줄이고 발이 바닥에 닿는 시간을 늘리자 이 문제는 해결됐다.

보행	보행/NNG
속도를	속도/NNG+를/JKO
절반으로	절반/NNG+으로/JKB
줄이고	줄이/VV+고/EC
발이	발/NNG+이/JKS
바닥에	바닥/NNG+에/JKB
닿는	닿/VV+는/ETM
시간을	시간/NNG+을/JKO
늘리자	늘리/VV+자/EC
이	이/MMD
문제는	문제/NNG+는/JX
해결됐다.	해결/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.48.5.4
천천히 바닥을 다지면서 걷는 식으로 걸음걸이를 바꾼 것이다.

천천히	천천히/MAG
바닥을	바닥/NNG+을/JKO
다지면서	다지/VV+면서/EC
걷는	걷/VV+는/ETM
식으로	식/NNB+으로/JKB
걸음걸이를	걸음걸이/NNG+를/JKO
바꾼	바꾸/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.48.6.1
동시에 로봇의 발도 딱딱한 재질로 바꿨다.

동시에	동시/NNG+에/JKB
로봇의	로봇/NNG+의/JKG
발도	발/NNG+도/JX
딱딱한	딱딱하/VA+ㄴ/ETM
재질로	재질/NNG+로/JKB
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.48.6.2
딱딱한 발은 모래에 더 잘 빠져 보행속도를 늦출 것으로 예상했지만 실험에서는 속도를 증가시키는 것으로 나타났다.

딱딱한	딱딱하/VA+ㄴ/ETM
발은	발/NNG+은/JX
모래에	모래/NNG+에/JKB
더	더/MAG
잘	잘/MAG
빠져	빠지/VV+어/EC
보행속도를	보행/NNG+속도/NNG+를/JKO
늦출	늦추/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했지만	예상/NNG+하/XSV+았/EP+지만/EC
실험에서는	실험/NNG+에서/JKB+는/JX
속도를	속도/NNG+를/JKO
증가시키는	증가/NNG+시키/XSV+는/ETM
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.48.6.3
실제로 개펄을 걷는 게의 발도 딱딱하다.

실제로	실제로/MAG
개펄을	개펄/NNG+을/JKO
걷는	걷/VV+는/ETM
게의	게/NNG+의/JKG
발도	발/NNG+도/JX
딱딱하다.	딱딱하/VA+다/EF+./SF


# id : NWRW1800000022.48.6.4
수백만년 진화 끝에 터득한 자연의 지혜를 배운 것이다.

수백만년	수백만/NR+년/NNB
진화	진화/NNG
끝에	끝/NNG+에/JKB
터득한	터득/NNG+하/XSV+ㄴ/ETM
자연의	자연/NNG+의/JKG
지혜를	지혜/NNG+를/JKO
배운	배우/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.48.7.1
골드만 교수는 샌드봇이 특히 우주탐사에 적합할 것으로 보고 있다.

골드만	골드만/NNP
교수는	교수/NNG+는/JX
샌드봇이	샌드봇/NNG+이/JKS
특히	특히/MAG
우주탐사에	우주/NNG+탐사/NNG+에/JKB
적합할	적합/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.48.7.2
우주탐사 로봇은 대부분 바퀴로 움직인다.

우주탐사	우주/NNG+탐사/NNG
로봇은	로봇/NNG+은/JX
대부분	대/XPN+부분/NNG
바퀴로	바퀴/NNG+로/JKB
움직인다.	움직이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.48.7.3
바퀴는 바닥이 평평하고 단단해야 잘 움직인다.

바퀴는	바퀴/NNG+는/JX
바닥이	바닥/NNG+이/JKS
평평하고	평평하/VA+고/EC
단단해야	단단하/VA+아야/EC
잘	잘/MAG
움직인다.	움직이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.48.7.4
하지만 달이나 화성의 지표면은 부드러운 먼지나 모래로 덮여 있는 데다 바닥도 고르지 못하다.

하지만	하지만/MAJ
달이나	달/NNG+이나/JX
화성의	화성/NNP+의/JKG
지표면은	지표면/NNG+은/JX
부드러운	부드럽/VA+ㄴ/ETM
먼지나	먼지/NNG+나/JC
모래로	모래/NNG+로/JKB
덮여	덮이/VV+어/EC
있는	있/VX+는/ETM
데다	데/NNB+다/JX
바닥도	바닥/NNG+도/JX
고르지	고르/VA+지/EC
못하다.	못하/VX+다/EF+./SF


# id : NWRW1800000022.48.8.1
머지않아 달에서 종종걸음을 하는 탐사로봇을 볼 수 있을지 모른다.

머지않아	머지않/VA+아/EC
달에서	달/NNG+에서/JKB
종종걸음을	종종걸음/NNG+을/JKO
하는	하/VV+는/ETM
탐사로봇을	탐사/NNG+로봇/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
모른다.	모르/VV+ㄴ다/EF+./SF


