# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.188
metadata : {}


# id : NWRW1800000028.188.1.1
유물과 디지털로 복원한 ‘백제의 꿈’

유물과	유물/NNG+과/JC
디지털로	디지털/NNG+로/JKB
복원한	복원/NNG+하/XSV+ㄴ/ETM
‘백제의	‘/SS+백제/NNP+의/JKG
꿈’	꿈/NNG+’/SS


# id : NWRW1800000028.188.2.1
백제 금동대향로(국보 287호)와 백제 창왕명 석조사리감(국보 288호) 등이 출토된 충남 부여 능산리 사지(절터) 출토유물 특별전이 8일 국립 부여박물관에서 막을 올렸다.

백제	백제/NNP
금동대향로(국보	금동대향로/NNG+(/SS+국보/NNG
287호)와	287/SN+호/NNB+)/SS+와/JC
창왕명	창왕/NNP+명/NNG
석조사리감(국보	석조/NNG+사리감/NNG+(/SS+국보/NNG
288호)	288/SN+호/NNB+)/SS
등이	등/NNB+이/JKS
출토된	출토/NNG+되/XSV+ㄴ/ETM
충남	충남/NNP
부여	부여/NNP
능산리	능산리/NNP
사지(절터)	사지/NNG+(/SS+절터/NNG+)/SS
출토유물	출토/NNG+유물/NNG
특별전이	특별전/NNG+이/JKS
8일	8/SN+일/NNB
국립	국립/NNG
부여박물관에서	부여박물관/NNP+에서/JKB
막을	막/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.188.3.1
‘백제 중흥을 꿈꾸다-능산리 사지’ 부제가 붙은 이 특별전은 8월15일까지 계속되며, 금동대향로에 가려 널리 알려지지 않은 ‘꽃무늬 주칠편’ 등 유물 400여점이 공개돼 능산리 사지 발굴 16년을 집대성했다.

‘백제	‘/SS+백제/NNP
중흥을	중흥/NNG+을/JKO
꿈꾸다-능산리	꿈꾸/VV+다/EF+-/SO+능산리/NNP
사지’	사지/NNG+’/SS
부제가	부제/NNG+가/JKS
붙은	붙/VV+은/ETM
이	이/MMD
특별전은	특별전/NNG+은/JX
8월15일까지	8/SN+월/NNB+15/SN+일/NNB+까지/JX
계속되며,	계속/NNG+되/XSV+며/EC+,/SP
금동대향로에	금동대향로/NNG+에/JKB
가려	가리/VV+어/EC
널리	널리/MAG
알려지지	알려지/VV+지/EC
않은	않/VX+은/ETM
‘꽃무늬	‘/SS+꽃무늬/NNG
주칠편’	주칠편/NNG+’/SS
등	등/NNB
유물	유물/NNG
400여점이	400/SN+여/XSN+점/NNB+이/JKS
공개돼	공개/NNG+되/XSV+어/EC
능산리	능산리/NNP
사지	사지/NNG
발굴	발굴/NNG
16년을	16/SN+년/NNB+을/JKO
집대성했다.	집대성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.188.3.2
특별전은 7부로 나뉘어 있으며, 1~3부는 절의 창건 배경과 백제 중흥의 꿈과 멸망, 절의 창건과 기능, 소멸 역사를 소개했다.

특별전은	특별전/NNG+은/JX
7부로	7/SN+부/NNB+로/JKB
나뉘어	나뉘/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
1~3부는	1/SN+~/SO+3/SN+부/NNB+는/JX
절의	절/NNG+의/JKG
창건	창건/NNG
배경과	배경/NNG+과/JC
백제	백제/NNP
중흥의	중흥/NNG+의/JKG
꿈과	꿈/NNG+과/JC
멸망,	멸망/NNG+,/SP
창건과	창건/NNG+과/JC
기능,	기능/NNG+,/SP
소멸	소멸/NNG
역사를	역사/NNG+를/JKO
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.188.3.3
4~5부는 발굴된 목간(글씨 쓴 나무쪽)과 백제 창왕명 석조사리감을 통해 백제인의 의식 세계를 살펴보고, 사리감과 함께 봉양된 다양한 사리 공양구가 한국 사리장엄의 첫 장을 열었다는 역사적인 사실을 밝혔다.

4~5부는	4/SN+~/SO+5/SN+부/NNB+는/JX
발굴된	발굴/NNG+되/XSV+ㄴ/ETM
목간(글씨	목간/NNG+(/SS+글씨/NNG
쓴	쓰/VV+ㄴ/ETM
나무쪽)과	나무쪽/NNG+)/SS+과/JC
백제	백제/NNP
창왕명	창왕/NNP+명/NNG
석조사리감을	석조/NNG+사리감/NNG+을/JKO
통해	통하/VV+아/EC
백제인의	백제인/NNG+의/JKG
의식	의식/NNG
세계를	세계/NNG+를/JKO
살펴보고,	살펴보/VV+고/EC+,/SP
사리감과	사리감/NNG+과/JKB
함께	함께/MAG
봉양된	봉양/NNG+되/XSV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
사리	사리/NNG
공양구가	공양구/NNG+가/JKS
한국	한국/NNP
사리장엄의	사리/NNG+장엄/NNG+의/JKG
첫	첫/MMN
장을	장/NNG+을/JKO
열었다는	열/VV+었/EP+다는/ETM
역사적인	역사/NNG+적/XSN+이/VCP+ㄴ/ETM
사실을	사실/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.188.4.1
6~7부에서는 사비백제 시대의 나무공예품 및 다양한 도자기와 백제 금동대향로 등 발굴 유물을 통해 백제의 국제적인 위상과 전성기 예술 수준, 능산리 절의 마지막 운명 등을 엿볼 수 있다.

6~7부에서는	6/SN+~/SO+7/SN+부/NNB+에서/JKB+는/JX
사비백제	사비/NNP+백제/NNP
시대의	시대/NNG+의/JKG
나무공예품	나무/NNG+공예품/NNG
및	및/MAG
다양한	다양/NNG+하/XSA+ㄴ/ETM
도자기와	도자기/NNG+와/JC
백제	백제/NNP
금동대향로	금동대향로/NNG
등	등/NNB
발굴	발굴/NNG
유물을	유물/NNG+을/JKO
통해	통하/VV+아/EC
백제의	백제/NNP+의/JKG
국제적인	국제/NNG+적/XSN+이/VCP+ㄴ/ETM
위상과	위상/NNG+과/JC
전성기	전성기/NNG
예술	예술/NNG
수준,	수준/NNG+,/SP
능산리	능산리/NNP
절의	절/NNG+의/JKG
마지막	마지막/NNG
운명	운명/NNG
등을	등/NNB+을/JKO
엿볼	엿보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.188.4.2
