# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.33
metadata : {}


# id : NWRW1800000049.33.1.1
그룹내 ‘전산담당’ SI업체들, ICT 선봉대로 나선다

그룹내	그룹/NNG+내/NNB
‘전산담당’	‘/SS+전산/NNG+담당/NNG+’/SS
SI업체들,	SI/SL+업체/NNG+들/XSN+,/SP
ICT	ICT/SL
선봉대로	선봉대/NNG+로/JKB
나선다	나서/VV+ㄴ다/EF


# id : NWRW1800000049.33.2.1
SK C&C-한화 S&C-삼성 SDS 등 인공지능-빅데이터 대응력 빨라 벤처투자 펀드조성 중책맡아

SK	SK/SL
C&C-한화	C/SL+&/SW+C/SL+-/SO+한화/NNP
S&C-삼성	S/SL+&/SW+C/SL+-/SO+삼성/NNP
SDS	SDS/SL
등	등/NNB
인공지능-빅데이터	인공/NNG+지능/NNG+-/SO+빅데이터/NNG
대응력	대응력/NNG
빨라	빠르/VA+아/EC
벤처투자	벤처/NNG+투자/NNG
펀드조성	펀드/NNG+조성/NNG
중책맡아	중책/NNG+맡/VV+아/EF


# id : NWRW1800000049.33.3.1
대기업 계열사로 전산 관련 솔루션 사업을 벌였던 SK 주식회사 C&C와 한화 S&C, 삼성SDS 등 시스템통합(SI) 업체들이 최근 들어 벤처투자 펀드를 조성하는 등 창업 생태계 조성에 앞장서고 있다.

대기업	대/XPN+기업/NNG
계열사로	계열사/NNG+로/JKB
전산	전산/NNG
관련	관련/NNG
솔루션	솔루션/NNG
사업을	사업/NNG+을/JKO
벌였던	벌이/VV+었/EP+던/ETM
SK	SK/SL
주식회사	주식회사/NNG
C&C와	C/SL+&/SW+C/SL+와/JC
한화	한화/NNP
S&C,	S/SL+&/SW+C/SL+,/SP
삼성SDS	삼성SDS/NNP
등	등/NNB
시스템통합(SI)	시스템/NNG+통합/NNG+(/SS+SI/SL+)/SS
업체들이	업체/NNG+들/XSN+이/JKS
최근	최근/MAG
들어	들/VV+어/EC
벤처투자	벤처/NNG+투자/NNG
펀드를	펀드/NNG+를/JKO
조성하는	조성/NNG+하/XSV+는/ETM
창업	창업/NNG
생태계	생태/NNG+계/XSN
조성에	조성/NNG+에/JKB
앞장서고	앞장서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.33.3.2
그룹 관계사들로부터 하는 수주로는 성장의 한계를 느끼면서 인공지능(AI)과 빅데이터 등 유망 정보통신기술(ICT) 분야에서 새로운 성장 동력을 찾는 행보로 보인다.

그룹	그룹/NNG
관계사들로부터	관계사/NNG+들/XSN+로부터/JKB
하는	하/VV+는/ETM
수주로는	수주/NNG+로/JKB+는/JX
성장의	성장/NNG+의/JKG
한계를	한계/NNG+를/JKO
느끼면서	느끼/VV+면서/EC
인공지능(AI)과	인공/NNG+지능/NNG+(/SS+AI/SL+)/SS+과/JC
빅데이터	빅데이터/NNG
등	등/NNB
유망	유망/NNG
정보통신기술(ICT)	정보/NNG+통신/NNG+기술/NNG+(/SS+ICT/SL+)/SS
분야에서	분야/NNG+에서/JKB
새로운	새롭/VA+ㄴ/ETM
성장	성장/NNG
동력을	동력/NNG+을/JKO
찾는	찾/VV+는/ETM
행보로	행보/NNG+로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.33.3.3
유망 분야를 발굴해 투자함으로써 투자 수익뿐만 아니라 새로운 시장도 창출하겠다는 전략이다.

유망	유망/NNG
분야를	분야/NNG+를/JKO
발굴해	발굴/NNG+하/XSV+아/EC
