# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.415
metadata : {}


# id : NWRW1800000021.415.1.1
최고시속 394km 세계서 가장 빠른 中고속철 타보니

최고시속	최고/NNG+시속/NNG
394km	394/SN+km/SW
세계서	세계/NNG+서/JKB
가장	가장/MAG
빠른	빠르/VA+ㄴ/ETM
中고속철	中/SH+고속철/NNG
타보니	타/VV+아/EC+보/VX+니/EC


# id : NWRW1800000021.415.2.1
중국은 26일 후베이(湖北) 성 우한(武漢)에서 광둥(廣東) 성 광저우(廣州)를 잇는 우광고속철도를 개통하며 중국은 물론이고 세계 고속철도의 역사를 새로 썼다.

중국은	중국/NNP+은/JX
26일	26/SN+일/NNB
후베이(湖北)	후베이/NNP+(/SS+湖北/SH+)/SS
성	성/NNG
우한(武漢)에서	우한/NNP+(/SS+武漢/SH+)/SS+에서/JKB
광둥(廣東)	광둥/NNP+(/SS+廣東/SH+)/SS
광저우(廣州)를	광저우/NNP+(/SS+廣州/SH+)/SS+를/JKO
잇는	잇/VV+는/ETM
우광고속철도를	우광고속철도/NNP+를/JKO
개통하며	개통/NNG+하/XSV+며/EC
물론이고	물론/NNG+이/VCP+고/EC
세계	세계/NNG
고속철도의	고속/NNG+철도/NNG+의/JKG
역사를	역사/NNG+를/JKO
새로	새로/MAG
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.415.2.2
순간 최고속도, 운행 최고속도 등 세계기록을 쏟아냈다.

순간	순간/NNG
최고속도,	최고/NNG+속도/NNG+,/SP
운행	운행/NNG
최고속도	최고/NNG+속도/NNG
등	등/NNB
세계기록을	세계/NNG+기록/NNG+을/JKO
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.415.2.3
지난해 7월 베이징(北京)∼톈진(天津) 120km 구간에서 처음 고속철도를 운행한 중국이 어떻게 이렇게 빨리 발전할 수 있었을까.

지난해	지난해/NNG
7월	7/SN+월/NNB
베이징(北京)∼톈진(天津)	베이징/NNP+(/SS+北京/SH+)/SS+∼/SO+톈진/NNP+(/SS+天津/SH+)/SS
120km	120/SN+km/SW
구간에서	구간/NNG+에서/JKB
처음	처음/NNG
고속철도를	고속/NNG+철도/NNG+를/JKO
운행한	운행/NNG+하/XSV+ㄴ/ETM
중국이	중국/NNP+이/JKS
어떻게	어떻/VA+게/EC
이렇게	이렇/VA+게/EC
빨리	빨리/MAG
발전할	발전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었을까.	있/VA+었/EP+을까/EF+./SF


# id : NWRW1800000021.415.2.4
우광고속철을 직접 타 봤다.

우광고속철을	우광고속철/NNP+을/JKO
직접	직접/MAG
타	타/VV+아/EC
봤다.	보/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.415.3.1
○ 비행기 탑승 때처럼 귀 멍멍

○	○/SW
비행기	비행기/NNG
탑승	탑승/NNG
때처럼	때/NNG+처럼/JKB
귀	귀/NNG
멍멍	멍멍/XR


# id : NWRW1800000021.415.4.1
28일 오후 우한역은 아직 마무리 공사가 진행 중이었다.

28일	28/SN+일/NNB
오후	오후/NNG
우한역은	우한역/NNP+은/JX
아직	아직/MAG
마무리	마무리/NNG
공사가	공사/NNG+가/JKS
진행	진행/NNG
중이었다.	중/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.415.4.2
역사 입구로 올라가는 18m 높이의 에스컬레이터는 속의 기어를 훤히 드러낸 채 운행되고 있었다.

역사	역사/NNG
입구로	입구/NNG+로/JKB
올라가는	올라가/VV+는/ETM
18m	18/SN+m/SW
높이의	높이/NNG+의/JKG
에스컬레이터는	에스컬레이터/NNG+는/JX
속의	속/NNG+의/JKG
기어를	기어/NNG+를/JKO
훤히	훤히/MAG
드러낸	드러내/VV+ㄴ/ETM
채	채/NNB
운행되고	운행/NNG+되/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.415.4.3
내년 초 춘제(春節·설날) 귀성객 특별수송에 대비하려는 것도 서둘러 개통한 한 요인이다.

내년	내년/NNG
초	초/NNB
춘제(春節·설날)	춘제/NNG+(/SS+春節/SH+·/SP+설날/NNG+)/SS
귀성객	귀성객/NNG
특별수송에	특별/NNG+수송/NNG+에/JKB
대비하려는	대비/NNG+하/XSV+려는/ETM
것도	것/NNB+도/JX
서둘러	서두르/VV+어/EC
개통한	개통/NNG+하/XSV+ㄴ/ETM
한	한/MMN
요인이다.	요인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.415.4.4
도착역은 옛 기차역을 개조한 광저우 북역(北驛)으로 내년 말 남역(南驛)이 완공될 때까지 사용된다.

도착역은	도착역/NNG+은/JX
옛	옛/MMA
기차역을	기차역/NNG+을/JKO
개조한	개조/NNG+하/XSV+ㄴ/ETM
광저우	광저우/NNP
북역(北驛)으로	북/NNG+역/NNG+(/SS+北驛/SH+)/SS+으로/JKB
내년	내년/NNG
말	말/NNB
남역(南驛)이	남/NNG+역/NNG+(/SS+南驛/SH+)/SS+이/JKS
완공될	완공/NNG+되/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
사용된다.	사용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.415.5.1
오후 2시 45분(현지 시간) 후진타오(胡錦濤) 국가주석의 조화(和諧·허셰)사회 철학을 담아 명명한 G1043 허셰 고속열차가 출발했다.

오후	오후/NNG
2시	2/SN+시/NNB
45분(현지	45/SN+분/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
후진타오(胡錦濤)	후진타오/NNP+(/SS+胡錦濤/SH+)/SS
국가주석의	국가주석/NNG+의/JKG
조화(和諧·허셰)사회	조화/NNG+(/SS+和諧/SH+·/SP+허셰/NNP+)/SS+사회/NNG
철학을	철학/NNG+을/JKO
담아	담/VV+아/EC
명명한	명명/NNG+하/XSV+ㄴ/ETM
G1043	G/SL+1043/SN
허셰	허셰/NNP
고속열차가	고속/NNG+열차/NNG+가/JKS
출발했다.	출발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.415.5.2
열차는 출발 10여 분 만에 시속 300km를 훌쩍 넘겼다.

열차는	열차/NNG+는/JX
출발	출발/NNG
10여	10/SN+여/XSN
분	분/NNB
만에	만/NNB+에/JKB
시속	시속/NNG
300km를	300/SN+km/SW+를/JKO
훌쩍	훌쩍/MAG
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.415.5.3
26일 개통식 때는 순간속도 394.2km로 세계 최고속도를 기록했으나 이날은 전 구간에서 350km를 넘기지 않았다.

26일	26/SN+일/NNB
개통식	개통식/NNG
때는	때/NNG+는/JX
순간속도	순간/NNG+속도/NNG
394.2km로	394/SN+./SP+2/SN+km/SW+로/JKB
세계	세계/NNG
최고속도를	최고/NNG+속도/NNG+를/JKO
기록했으나	기록/NNG+하/XSV+았/EP+으나/EC
이날은	이날/NNG+은/JX
전	전/MMN
구간에서	구간/NNG+에서/JKB
350km를	350/SN+km/SW+를/JKO
넘기지	넘기/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.415.5.4
시속 330km 이상 달릴 때는 마치 비행기 고도가 올라갈 때처럼 귀가 멍멍했다.

시속	시속/NNG
330km	330/SN+km/SW
이상	이상/NNG
달릴	달리/VV+ㄹ/ETM
때는	때/NNG+는/JX
마치	마치/MAG
비행기	비행기/NNG
고도가	고도/NNG+가/JKS
올라갈	올라가/VV+ㄹ/ETM
때처럼	때/NNG+처럼/JKB
귀가	귀/NNG+가/JKS
멍멍했다.	멍멍하/VA+았/EP+다/EF+./SF


# id : NWRW1800000021.415.5.5
속도가 빠를 때나 터널을 지날 때는 휴대전화가 끊겨 불편했다.

속도가	속도/NNG+가/JKS
빠를	빠르/VA+ㄹ/ETM
때나	때/NNG+나/JC
터널을	터널/NNG+을/JKO
지날	지나/VV+ㄹ/ETM
때는	때/NNG+는/JX
휴대전화가	휴대/NNG+전화/NNG+가/JKS
끊겨	끊기/VV+어/EC
불편했다.	불편/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000021.415.6.1
A2면으로 이어집니다→

A2면으로	A/SL+2/SN+면/NNG+으로/JKB
이어집니다→	이어지/VV+ㅂ니다/EF+→/SW


# id : NWRW1800000021.415.7.1
우한∼광저우 구간을 운행하는 하루 편도 21편 중 2회만 3시간 이내에 주파하고 나머지는 3시간 50분대다.

우한∼광저우	우한/NNP+∼/SO+광저우/NNP
