# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.166
metadata : {}


# id : NWRW1800000044.166.1.1
정보 자기결정권 ‘헌법 기본권’ 인정 ‘수집제한의 원칙’ 국제규범 굳어져

정보	정보/NNG
자기결정권	자기/NNG+결정/NNG+권/XSN
‘헌법	‘/SS+헌법/NNG
기본권’	기본/NNG+권/XSN+’/SS
인정	인정/NNG
‘수집제한의	‘/SS+수집/NNG+제한/NNG+의/JKG
원칙’	원칙/NNG+’/SS
국제규범	국제/NNG+규범/NNG
굳어져	굳어지/VV+어/EF


# id : NWRW1800000044.166.2.1
[한겨레] 디지털시대 ‘인권’ 재해석

[한겨레]	[/SS+한겨레/NNP+]/SS
디지털시대	디지털/NNG+시대/NNG
‘인권’	‘/SS+인권/NNG+’/SS
재해석	재/XPN+해석/NNG


# id : NWRW1800000044.166.3.1
‘인권’ 개념은 시대에 맞춰 달라진다.

‘인권’	‘/SS+인권/NNG+’/SS
개념은	개념/NNG+은/JX
시대에	시대/NNG+에/JKB
맞춰	맞추/VV+어/EC
달라진다.	달라지/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.166.3.2
누구나 존엄성·행복·자유·평등을 누리며 사람답게 살 수 있어야 한다는 보편적 원칙은 그대로지만, 구체적 내용은 사회 변화에 따라 달라질 수밖에 없다.

누구나	누구/NP+나/JX
존엄성·행복·자유·평등을	존엄/NNG+성/XSN+·/SP+행복/NNG+·/SP+자유/NNG+·/SP+평등/NNG+을/JKO
누리며	누리/VV+며/EC
사람답게	사람/NNG+답/XSA+게/EC
살	살/VV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
한다는	하/VX+ㄴ다는/ETM
보편적	보편/NNG+적/XSN
원칙은	원칙/NNG+은/JX
그대로지만,	그대로/MAG+이/VCP+지만/EC+,/SP
구체적	구체/NNG+적/XSN
내용은	내용/NNG+은/JX
사회	사회/NNG
변화에	변화/NNG+에/JKB
따라	따르/VV+아/EC
달라질	달라지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.166.3.3
‘정보인권’은 정보사회와 함께 등장한 개념이다.

‘정보인권’은	‘/SS+정보/NNG+인권/NNG+’/SS+은/JX
정보사회와	정보/NNG+사회/NNG+와/JKB
함께	함께/MAG
등장한	등장/NNG+하/XSV+ㄴ/ETM
개념이다.	개념/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.166.4.1
정보인권이란, 한마디로 내 정보를 내 뜻대로 지킬 권리다.

정보인권이란,	정보/NNG+인권/NNG+이란/JX+,/SP
한마디로	한마디/NNG+로/JKB
내	나/NP+의/JKG
정보를	정보/NNG+를/JKO
뜻대로	뜻/NNG+대로/JX
지킬	지키/VV+ㄹ/ETM
권리다.	권리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.166.4.2
나도 모르게 쇼핑정보가 유통업체에 흘러들어가 원치 않는 ‘상품 세일 정보’에 시달리는 것은 흔한 경우다.

나도	나/NP+도/JX
모르게	모르/VV+게/EC
쇼핑정보가	쇼핑/NNG+정보/NNG+가/JKS
유통업체에	유통업체/NNG+에/JKB
흘러들어가	흘러들/VV+어/EC+가/VX+아/EC
원치	원/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
‘상품	‘/SS+상품/NNG
세일	세일/NNG
정보’에	정보/NNG+’/SS+에/JKB
시달리는	시달리/VV+는/ETM
것은	것/NNB+은/JX
흔한	흔하/VA+ㄴ/ETM
경우다.	경우/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.166.4.3
곳곳에 설치된 폐회로텔레비전(CCTV)이 내 뜻과 무관하게 나의 일거수일투족을 훑는 것 역시 정보인권 침해다.

곳곳에	곳곳/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
폐회로텔레비전(CCTV)이	폐회로/NNG+텔레비전/NNG+(/SS+CCTV/SL+)/SS+이/JKS
내	나/NP+의/JKG
뜻과	뜻/NNG+과/JKB
무관하게	무관하/VA+게/EC
나의	나/NP+의/JKG
일거수일투족을	일거수일투족/NNG+을/JKO
훑는	훑/VV+는/ETM
것	것/NNB
역시	역시/MAG
정보인권	정보/NNG+인권/NNG
침해다.	침해/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.166.5.1
