# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.355
metadata : {}


# id : NWRW1800000046.355.1.1
[공무원연금 개혁 무산] 朴대통령 "정치권, 黨이해관계 떠나 국민 위한 개혁을"

[공무원연금	[/SS+공무원/NNG+연금/NNG
개혁	개혁/NNG
무산]	무산/NNG+]/SS
朴대통령	朴/SH+대통령/NNG
"정치권,	"/SS+정치/NNG+권/XSN+,/SP
黨이해관계	黨/SH+이해관계/NNG
떠나	떠나/VV+아/EC
국민	국민/NNG
위한	위하/VV+ㄴ/ETM
개혁을"	개혁/NNG+을/JKO+"/SS


# id : NWRW1800000046.355.2.1
'法개정 불발' 우회적 비판, 새누리도 청와대에 불만

'法개정	'/SS+法/SH+개정/NNG
불발'	불발/NNG+'/SS
우회적	우회/NNG+적/XSN
비판,	비판/NNG+,/SP
새누리도	새누리/NNP+도/JX
청와대에	청와대/NNP+에/JKB
불만	불만/NNG


# id : NWRW1800000046.355.3.1
박근혜 대통령은 7일 삼성전자 평택반도체 공장 기공식 축사에서 "정치와 정치권은 각 당의 유불리와 정치적 이해관계를 떠나 오로지 국민을 위한 개혁의 길에 앞장서야 한다"고 말했다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
7일	7/SN+일/NNB
삼성전자	삼성전자/NNP
평택반도체	평택/NNP+반도체/NNG
공장	공장/NNG
기공식	기공식/NNG
축사에서	축사/NNG+에서/JKB
"정치와	"/SS+정치/NNG+와/JC
정치권은	정치/NNG+권/XSN+은/JX
각	각/MMD
당의	당/NNG+의/JKG
유불리와	유불리/NNG+와/JC
정치적	정치/NNG+적/XSN
이해관계를	이해관계/NNG+를/JKO
떠나	떠나/VV+아/EC
오로지	오로지/MAG
국민을	국민/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
개혁의	개혁/NNG+의/JKG
길에	길/NNG+에/JKB
앞장서야	앞장서/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.355.3.2
전날 공무원연금법 개정안의 국회 처리 불발에 대한 우회적인 비판을 담은 것이다.

전날	전날/NNG
공무원연금법	공무원/NNG+연금법/NNG
개정안의	개정안/NNG+의/JKG
국회	국회/NNG
처리	처리/NNG
불발에	불발/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우회적인	우회/NNG+적/XSN+이/VCP+ㄴ/ETM
비판을	비판/NNG+을/JKO
담은	담/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.355.4.1
박 대통령은 최근 정치권에 대한 '불신(不信)'을 수시로 드러내고 있다.

박	박/NNP
대통령은	대통령/NNG+은/JX
최근	최근/MAG
정치권에	정치/NNG+권/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
'불신(不信)'을	'/SS+불신/NNG+(/SS+不信/SH+)/SS+'/SS+을/JKO
수시로	수시로/MAG
드러내고	드러내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.355.4.2
6일 규제개혁장관회의에서는 "경제활성화 법안을 붙잡고 있는 것이 과연 국민을 위한 정치인지 묻고 싶다"고 했고, 4일 청와대 수석비서관 회의에서는 "과거의 낡은 정치를 국민이 원하는 정치로 바꿔나가야 한다"고 했다.

6일	6/SN+일/NNB
규제개혁장관회의에서는	규제/NNG+개혁/NNG+장관/NNG+회의/NNG+에서/JKB+는/JX
"경제활성화	"/SS+경제/NNG+활성/NNG+화/XSN
법안을	법안/NNG+을/JKO
붙잡고	붙잡/VV+고/EC
있는	있/VX+는/ETM
것이	것/NNB+이/JKS
과연	과연/MAG
국민을	국민/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정치인지	정치/NNG+이/VCP+ㄴ지/EC
묻고	묻/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
4일	4/SN+일/NNB
청와대	청와대/NNP
수석비서관	수석/NNG+비서관/NNG
회의에서는	회의/NNG+에서/JKB+는/JX
"과거의	"/SS+과거/NNG+의/JKG
낡은	낡/VV+은/ETM
정치를	정치/NNG+를/JKO
국민이	국민/NNG+이/JKS
원하는	원/NNG+하/XSV+는/ETM
정치로	정치/NNG+로/JKB
바꿔나가야	바꾸/VV+어/EC+나가/VX+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.355.4.3
또 이날 청와대 김성우 홍보수석은 브리핑에서 "여야가 공무원연금 개혁에 대해 난항을 거듭하다 결국 국민 약속을 지키지 못해 유감"이라며 "정치권이 진정 국민을 위한 정치를 한다면 공무원연금 개혁을 먼저 이루고 그다음에 국민연금을 강화하기 위한 방안을 도출하는 것이 맞는 일"이라고도 했다.

또	또/MAG
이날	이날/NNG
청와대	청와대/NNP
김성우	김성우/NNP
홍보수석은	홍보/NNG+수석/NNG+은/JX
브리핑에서	브리핑/NNG+에서/JKB
"여야가	"/SS+여야/NNG+가/JKS
공무원연금	공무원/NNG+연금/NNG
개혁에	개혁/NNG+에/JKB
대해	대하/VV+아/EC
난항을	난항/NNG+을/JKO
거듭하다	거듭/MAG+하/XSV+다/EC
결국	결국/MAG
국민	국민/NNG
약속을	약속/NNG+을/JKO
지키지	지키/VV+지/EC
못해	못하/VX+아/EC
유감"이라며	유감/NNG+"/SS+이/VCP+라며/EC
"정치권이	"/SS+정치/NNG+권/XSN+이/JKS
진정	진정/MAG
국민을	국민/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정치를	정치/NNG+를/JKO
한다면	하/VV+ㄴ다면/EC
개혁을	개혁/NNG+을/JKO
먼저	먼저/MAG
이루고	이루/VV+고/EC
그다음에	그다음/NNG+에/JKB
국민연금을	국민연금/NNG+을/JKO
강화하기	강화/NNG+하/XSV+기/ETN
방안을	방안/NNG+을/JKO
도출하는	도출/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
맞는	맞/VV+는/ETM
일"이라고도	일/NNG+"/SS+이라고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.355.5.1
이에 대해 여당도 청와대에 불만이 많다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
여당도	여당/NNG+도/JX
청와대에	청와대/NNP+에/JKB
불만이	불만/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000046.355.5.2
김 대표와 유 원내대표는 이날 이와 관련해 일절 반응도 하지 않으려 했다.

김	김/NNP
대표와	대표/NNG+와/JC
유	유/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
일절	일절/MAG
반응도	반응/NNG+도/JX
하지	하/VV+지/EC
않으려	않/VX+으려/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.355.5.3
대신 조해진 원내수석부대표는 "청와대도 (협상 과정을) 다 알았다"며 "다만 당청간 진실게임을 해봐야 무슨 득이 되겠느냐.

대신	대신/NNG
조해진	조해진/NNP
원내수석부대표는	원내/NNG+수석/NNG+부대표/NNG+는/JX
"청와대도	"/SS+청와대/NNP+도/JX
(협상	(/SS+협상/NNG
과정을)	과정/NNG+을/JKO+)/SS
다	다/MAG
알았다"며	알/VV+았/EP+다/EF+"/SS+며/EC
"다만	"/SS+다만/MAG
당청간	당청/NNG+간/NNB
진실게임을	진실/NNG+게임/NNG+을/JKO
