# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.211
metadata : {}


# id : NWRW1800000038.211.1.1
'범행 보조→주도' 공소장 변경에 SK 최재원(부회장) 반발

'범행	'/SS+범행/NNG
보조→주도'	보조/NNG+→/SW+주도/NNG+'/SS
공소장	공소장/NNG
변경에	변경/NNG+에/JKB
SK	SK/SL
최재원(부회장)	최재원/NNP+(/SS+부회장/NNG+)/SS
반발	반발/NNG


# id : NWRW1800000038.211.2.1
"기존 공소사실과 모순" 추가 심리 요청… 재판부, 내달 3일 崔부회장 변론 듣기로

"기존	"/SS+기존/NNG
공소사실과	공소/NNG+사실/NNG+과/JKB
모순"	모순/NNG+"/SS
추가	추가/NNG
심리	심리/NNG
요청…	요청/NNG+…/SE
재판부,	재판부/NNG+,/SP
내달	내달/NNG
3일	3/SN+일/NNB
崔부회장	崔/SH+부회장/NNG
변론	변론/NNG
듣기로	듣/VV+기/ETN+로/JKB


# id : NWRW1800000038.211.3.1
검찰이 최태원(53) SK그룹 회장의 횡령 사건 항소심에서 범행 동기 부분에 대한 공소 사실을 변경하자, 상황이 불리해진 최재원(49) 부회장 측이 반발했다.

검찰이	검찰/NNG+이/JKS
최태원(53)	최태원/NNP+(/SS+53/SN+)/SS
SK그룹	SK그룹/NNP
회장의	회장/NNG+의/JKG
횡령	횡령/NNG
사건	사건/NNG
항소심에서	항소심/NNG+에서/JKB
범행	범행/NNG
동기	동기/NNG
부분에	부분/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공소	공소/NNG
사실을	사실/NNG+을/JKO
변경하자,	변경/NNG+하/XSV+자/EC+,/SP
상황이	상황/NNG+이/JKS
불리해진	불리/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
최재원(49)	최재원/NNP+(/SS+49/SN+)/SS
부회장	부회장/NNG
측이	측/NNB+이/JKS
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.211.4.1
서울고법 형사4부(재판장 문용선)는 29일 재판에서 검찰이 신청한 공소장 변경을 허가했다.

서울고법	서울고법/NNP
형사4부(재판장	형사/NNG+4/SN+부/NNG+(/SS+재판장/NNG
문용선)는	문용선/NNP+)/SS+는/JX
29일	29/SN+일/NNB
재판에서	재판/NNG+에서/JKB
검찰이	검찰/NNG+이/JKS
신청한	신청/NNG+하/XSV+ㄴ/ETM
공소장	공소장/NNG
변경을	변경/NNG+을/JKO
허가했다.	허가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.211.4.2
재판부가 지난 27일 검찰에 범행 동기 부분의 공소장 변경을 요청했다.

재판부가	재판부/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
27일	27/SN+일/NNB
검찰에	검찰/NNG+에/JKB
범행	범행/NNG
동기	동기/NNG
부분의	부분/NNG+의/JKG
공소장	공소장/NNG
변경을	변경/NNG+을/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.211.5.1
검찰은 이를 받아들여 기존 공소 내용을 '주위적 공소 사실'로 하고, 법원이 요청한 부분은 '예비적 공소 사실'로 추가했다.

검찰은	검찰/NNG+은/JX
이를	이/NP+를/JKO
받아들여	받아들이/VV+어/EC
기존	기존/NNG
공소	공소/NNG
내용을	내용/NNG+을/JKO
'주위적	'/SS+주위/NNG+적/XSN
사실'로	사실/NNG+'/SS+로/JKB
하고,	하/VV+고/EC+,/SP
법원이	법원/NNG+이/JKS
요청한	요청/NNG+하/XSV+ㄴ/ETM
부분은	부분/NNG+은/JX
'예비적	'/SS+예비/NNG+적/XSN
추가했다.	추가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.211.5.2
예비적 공소 사실은 주위적 공소 사실이 무죄가 날 것에 대비해, 재판부에 '대안'으로 제시하는 것이다.

예비적	예비/NNG+적/XSN
공소	공소/NNG
사실은	사실/NNG+은/JX
주위적	주위/NNG+적/XSN
사실이	사실/NNG+이/JKS
무죄가	무죄/NNG+가/JKS
날	나/VV+ㄹ/ETM
것에	것/NNB+에/JKB
대비해,	대비/NNG+하/XSV+아/EC+,/SP
재판부에	재판부/NNG+에/JKB
'대안'으로	'/SS+대안/NNG+'/SS+으로/JKB
제시하는	제시/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.211.5.3
이번 사건은 법원이 먼저 공소장 변경을 요청한 만큼, 재판부는 새롭게 추가된 '예비적 공소 사실'로 판단할 가능성이 높다.

이번	이번/NNG
사건은	사건/NNG+은/JX
법원이	법원/NNG+이/JKS
먼저	먼저/MAG
공소장	공소장/NNG
변경을	변경/NNG+을/JKO
요청한	요청/NNG+하/XSV+ㄴ/ETM
만큼,	만큼/NNB+,/SP
재판부는	재판부/NNG+는/JX
새롭게	새롭/VA+게/EC
추가된	추가/NNG+되/XSV+ㄴ/ETM
'예비적	'/SS+예비/NNG+적/XSN
공소	공소/NNG
사실'로	사실/NNG+'/SS+로/JKB
판단할	판단/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000038.211.6.1
검찰이 추가한 예비적 공소 사실은 '김원홍 전 SK 고문의 투자 권유를 받은 최재원 부회장이 김준홍 전 대표에게 자금 조달 방법을 알아보고 최태원 회장의 승낙을 얻어' 횡령했다는 내용을 담고 있다.

검찰이	검찰/NNG+이/JKS
추가한	추가/NNG+하/XSV+ㄴ/ETM
예비적	예비/NNG+적/XSN
공소	공소/NNG
사실은	사실/NNG+은/JX
'김원홍	'/SS+김원홍/NNP
전	전/MMD
SK	SK/SL
고문의	고문/NNG+의/JKG
투자	투자/NNG
권유를	권유/NNG+를/JKO
받은	받/VV+은/ETM
최재원	최재원/NNP
부회장이	부회장/NNG+이/JKS
김준홍	김준홍/NNP
대표에게	대표/NNG+에게/JKB
자금	자금/NNG
조달	조달/NNG
방법을	방법/NNG+을/JKO
알아보고	알아보/VV+고/EC
최태원	최태원/NNP
회장의	회장/NNG+의/JKG
승낙을	승낙/NNG+을/JKO
얻어'	얻/VV+어/EC+'/SS
횡령했다는	횡령/NNG+하/XSV+았/EP+다는/ETM
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.211.6.2
'최태원·재원 형제와 김준홍 전 베넥스 대표가 투자 위탁금과 기존 채무를 유지하기 위해' 횡령했다고 기재돼 있던 기존 공소장과는 달리 김원홍씨의 존재가 명확히 드러나고, 최재원 부회장이 범행을 주도한 것으로 구체화됐다.

'최태원·재원	'/SS+최태원/NNP+·/SP+재원/NNP
형제와	형제/NNG+와/JC
김준홍	김준홍/NNP
전	전/MMD
베넥스	베넥스/NNP
대표가	대표/NNG+가/JKS
투자	투자/NNG
위탁금과	위탁금/NNG+과/JC
기존	기존/NNG
채무를	채무/NNG+를/JKO
유지하기	유지/NNG+하/XSV+기/ETN
