# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.67
metadata : {}


# id : NWRW1800000053.67.1.1
英, 정책 목표-상세 비용까지 공개 의무화

英,	英/SH+,/SP
정책	정책/NNG
목표-상세	목표/NNG+-/SO+상세/XR
비용까지	비용/NNG+까지/JX
공개	공개/NNG
의무화	의무/NNG+화/XSN


# id : NWRW1800000053.67.2.1
공약검증 선진국에선 어떻게 호주, 의회예산처가 재정추계 지원… 한국선 ‘비용공개’ 국회 논의 미적

공약검증	공약/NNG+검증/NNG
선진국에선	선진국/NNG+에서/JKB+ㄴ/JX
어떻게	어떻/VA+게/EC
호주,	호주/NNP+,/SP
의회예산처가	의회/NNG+예산처/NNG+가/JKS
재정추계	재정/NNG+추계/NNG
지원…	지원/NNG+…/SE
한국선	한국/NNP+서/JKB+ㄴ/JX
‘비용공개’	‘/SS+비용/NNG+공개/NNG+’/SS
국회	국회/NNG
논의	논의/NNG
미적	미적/XR


# id : NWRW1800000053.67.3.1
해외 선진국에서는 선거에 따른 공약 비용을 산정해 국민들에게 공표(公表)하도록 제도화돼 있다.

해외	해외/NNG
선진국에서는	선진국/NNG+에서/JKB+는/JX
선거에	선거/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
공약	공약/NNG
비용을	비용/NNG+을/JKO
산정해	산정/NNG+하/XSV+아/EC
국민들에게	국민/NNG+들/XSN+에게/JKB
공표(公表)하도록	공표/NNG+(/SS+公表/SH+)/SS+하/XSV+도록/EC
제도화돼	제도/NNG+화/XSN+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.67.3.2
선거 공약에 예산과 추진 일정 등 구체적인 내용을 담는 ‘매니페스토’ 개념을 처음 제기한 영국이 대표적이다.

선거	선거/NNG
공약에	공약/NNG+에/JKB
예산과	예산/NNG+과/JC
추진	추진/NNG
일정	일정/NNG
등	등/NNB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
내용을	내용/NNG+을/JKO
담는	담/VV+는/ETM
‘매니페스토’	‘/SS+매니페스토/NNG+’/SS
개념을	개념/NNG+을/JKO
처음	처음/NNG
제기한	제기/NNG+하/XSV+ㄴ/ETM
영국이	영국/NNP+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000053.67.3.3
보수당, 노동당 등 주요 정당은 주요 선거 때마다 구체적인 정책 목표와 실행 계획, 방식을 담은 공약집을 발간한다.

보수당,	보수당/NNP+,/SP
노동당	노동당/NNP
등	등/NNB
주요	주요/NNG
정당은	정당/NNG+은/JX
선거	선거/NNG
때마다	때/NNG+마다/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
정책	정책/NNG
목표와	목표/NNG+와/JC
실행	실행/NNG
계획,	계획/NNG+,/SP
방식을	방식/NNG+을/JKO
담은	담/VV+은/ETM
공약집을	공약집/NNG+을/JKO
