# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.103
metadata : {}


# id : NWRW1800000053.103.1.1
[지금 칸에서는]홍상수 ‘그 후’ 장외점수 1등 “좋은 예감”

[지금	[/SS+지금/MAG
칸에서는]홍상수	칸/NNG+에서/JKB+는/JX+]/SS+홍상수/NNP
‘그	‘/SS+그/MMD
후’	후/NNG+’/SS
장외점수	장외/NNG+점수/NNG
1등	1/SN+등/NNB
“좋은	“/SS+좋/VA+은/ETM
예감”	예감/NNG+”/SS


# id : NWRW1800000053.103.2.1
佛 전문사이트 5점 만점에 4.66… 공개된 경쟁작 11편중 가장 높아 비경쟁 부문 ‘악녀’ 기자간담회… 김옥빈 “오늘이 끝나지 않았으면”

佛	佛/SH
전문사이트	전문/NNG+사이트/NNG
5점	5/SN+점/NNB
만점에	만점/NNG+에/JKB
4.66…	4/SN+./SP+66/SN+…/SE
공개된	공개/NNG+되/XSV+ㄴ/ETM
경쟁작	경쟁작/NNG
11편중	11/SN+편/NNB+중/NNB
가장	가장/MAG
높아	높/VA+아/EC
비경쟁	비/XPN+경쟁/NNG
부문	부문/NNG
‘악녀’	‘/SS+악녀/NNP+’/SS
기자간담회…	기자/NNG+간담회/NNG+…/SE
김옥빈	김옥빈/NNP
“오늘이	“/SS+오늘/NNG+이/JKS
끝나지	끝나/VV+지/EC
않았으면”	않/VX+았/EP+으면/EC+”/SS


# id : NWRW1800000053.103.3.1
제70회 칸 국제영화제에서 홍상수 감독의 21번째 장편영화 ‘그 후’에 대한 현지 반응이 뜨겁다.

제70회	제/XPN+70/SN+회/NNB
칸	칸/NNP
국제영화제에서	국제/NNG+영화제/NNG+에서/JKB
홍상수	홍상수/NNP
감독의	감독/NNG+의/JKG
21번째	21/SN+번/NNB+째/XSN
장편영화	장편/NNG+영화/NNG
‘그	‘/SS+그/MMD
후’에	후/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
현지	현지/NNG
반응이	반응/NNG+이/JKS
뜨겁다.	뜨겁/VA+다/EF+./SF


# id : NWRW1800000053.103.3.2
‘여자는 남자의 미래다’(2004년) ‘극장전’(2005년) ‘다른 나라에서’(2012년)에 이어 4번째로 칸 경쟁부문에 진출한 홍 감독의 수상 여부에 관심이 모인다.

‘여자는	‘/SS+여자/NNG+는/JX
남자의	남자/NNG+의/JKG
미래다’(2004년)	미래/NNG+이/VCP+다/EF+’/SS+(/SS+2004/SN+년/NNB+)/SS
‘극장전’(2005년)	‘/SS+극장전/NNP+’/SS+(/SS+2005/SN+년/NNB+)/SS
‘다른	‘/SS+다른/MMD
나라에서’(2012년)에	나라/NNG+에서/JKB+’/SS+(/SS+2012/SN+년/NNB+)/SS+에/JKB
이어	잇/VV+어/EC
4번째로	4/SN+번/NNB+째/XSN+로/JKB
칸	칸/NNP
경쟁부문에	경쟁/NNG+부문/NNG+에/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
홍	홍/NNP
감독의	감독/NNG+의/JKG
수상	수상/NNG
여부에	여부/NNG+에/JKB
관심이	관심/NNG+이/JKS
모인다.	모이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.103.4.1
22일(현지 시간) ‘그 후’가 처음 공개된 뒤 프랑스 영화전문 사이트 카오스 레인스에서는 평점을 매긴 6명 중 5명이 만점에 해당하는 점수를 줬다.

22일(현지	22/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
‘그	‘/SS+그/MMD
후’가	후/NNG+’/SS+가/JKS
처음	처음/NNG
공개된	공개/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
프랑스	프랑스/NNP
영화전문	영화/NNG+전문/NNG
사이트	사이트/NNG
카오스	카오스/NNG
레인스에서는	레인스/NNP+에서/JKB+는/JX
평점을	평점/NNG+을/JKO
매긴	매기/VV+ㄴ/ETM
6명	6/SN+명/NNB
중	중/NNB
5명이	5/SN+명/NNB+이/JKS
만점에	만점/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
점수를	점수/NNG+를/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.103.4.2
평점은 5점 만점에 4.66점으로 지금까지 공개된 11편의 경쟁작 중 가장 높다.

평점은	평점/NNG+은/JX
5점	5/SN+점/NNB
만점에	만점/NNG+에/JKB
4.66점으로	4/SN+./SP+66/SN+점/NNB+으로/JKB
지금까지	지금/NNG+까지/JX
공개된	공개/NNG+되/XSV+ㄴ/ETM
11편의	11/SN+편/NNB+의/JKG
경쟁작	경쟁작/NNG
중	중/NNB
가장	가장/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000053.103.4.3
‘옥자’의 평점은 3.18점이었다.

‘옥자’의	‘/SS+옥자/NNP+’/SS+의/JKG
평점은	평점/NNG+은/JX
3.18점이었다.	3/SN+./SP+18/SN+점/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.103.4.4
황금종려상 수상 여부와는 무관한 평점이지만 가장 높은 점수라는 데는 의미가 있다.

황금종려상	황금/NNG+종려/NNG+상/NNG
수상	수상/NNG
여부와는	여부/NNG+와/JKB+는/JX
무관한	무관하/VA+ㄴ/ETM
평점이지만	평점/NNG+이/VCP+지만/EC
가장	가장/MAG
높은	높/VA+은/ETM
