# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.255
metadata : {}


# id : NWRW1800000029.255.1.1
靑-조현오 경찰청장, ‘디도스 돈거래’ 은폐 논란에 “그런일 없다”

靑-조현오	靑/SH+-/SO+조현오/NNP
경찰청장,	경찰청장/NNG+,/SP
‘디도스	‘/SS+디도스/NNG
돈거래’	돈거래/NNG+’/SS
은폐	은폐/NNG
논란에	논란/NNG+에/JKB
“그런일	“/SS+그런/MMD+일/NNG
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000029.255.2.1
경찰이 중앙선거관리위원회 홈페이지 디도스(DDoS·분산서비스 거부) 공격 사건을 수사하는 과정에서 청와대의 압력을 받고 일부 사실을 은폐했다는 의혹이 제기돼 논란이 일고 있다.

경찰이	경찰/NNG+이/JKS
중앙선거관리위원회	중앙/NNG+선거/NNG+관리/NNG+위원회/NNG
홈페이지	홈페이지/NNG
디도스(DDoS·분산서비스	디도스/NNG+(/SS+DDoS/SL+·/SP+분산/NNG+서비스/NNG
거부)	거부/NNG+)/SS
공격	공격/NNG
사건을	사건/NNG+을/JKO
수사하는	수사/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
청와대의	청와대/NNP+의/JKG
압력을	압력/NNG+을/JKO
받고	받/VV+고/EC
일부	일부/NNG
사실을	사실/NNG+을/JKO
은폐했다는	은폐/NNG+하/XSV+았/EP+다는/ETM
의혹이	의혹/NNG+이/JKS
제기돼	제기/NNG+되/XSV+어/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.255.3.1
18일 일부 언론은 “청와대 김효재 정무수석이 7일과 8일 두 차례 조현오 경찰청장에게 전화했다”고 보도했다.

18일	18/SN+일/NNB
일부	일부/NNG
언론은	언론/NNG+은/JX
“청와대	“/SS+청와대/NNP
김효재	김효재/NNP
정무수석이	정무/NNG+수석/NNG+이/JKS
7일과	7/SN+일/NNB+과/JC
8일	8/SN+일/NNB
두	두/MMN
차례	차례/NNG
조현오	조현오/NNP
경찰청장에게	경찰청장/NNG+에게/JKB
전화했다”고	전화/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.255.3.2
앞서 17일에는 한 시사주간지가 “청와대 고위 관계자가 조 청장에게 전화해 청와대 행정관의 술자리 참석과 사건 관련자 간의 돈거래 사실을 공개하지 않도록 압력을 행사했다”고 보도했다.

앞서	앞서/MAG
17일에는	17/SN+일/NNB+에/JKB+는/JX
한	한/MMN
시사주간지가	시사/NNG+주간지/NNG+가/JKS
“청와대	“/SS+청와대/NNP
고위	고위/NNG
관계자가	관계자/NNG+가/JKS
조	조/NNP
청장에게	청장/NNG+에게/JKB
전화해	전화/NNG+하/XSV+아/EC
청와대	청와대/NNP
행정관의	행정관/NNG+의/JKG
술자리	술자리/NNG
참석과	참석/NNG+과/JC
사건	사건/NNG
관련자	관련자/NNG
간의	간/NNB+의/JKG
돈거래	돈거래/NNG
사실을	사실/NNG+을/JKO
공개하지	공개/NNG+하/XSV+지/EC
않도록	않/VX+도록/EC
압력을	압력/NNG+을/JKO
행사했다”고	행사/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.255.4.1
이 보도에 따르면 경찰은 6일 오후 관련자들 사이에서 1000만 원의 돈거래가 있었던 사실을 파악한 뒤 7일 오전 김 수석에게 보고했고, 7일 오후에는 청와대 행정관이 사건 연루자들과 술자리를 함께한 사실을 파악해 청와대에 보고했다는 것.

이	이/MMD
보도에	보도/NNG+에/JKB
따르면	따르/VV+면/EC
경찰은	경찰/NNG+은/JX
6일	6/SN+일/NNB
오후	오후/NNG
