# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.330
metadata : {}


# id : NWRW1800000032.330.1.1
[유레카] 구럼비 발파 / 한승동

[유레카]	[/SS+유레카/NNG+]/SS
구럼비	구럼비/NNP
발파	발파/NNG
/	//SP
한승동	한승동/NNP


# id : NWRW1800000032.330.2.1
해군이 기어이 제주 강정마을 해안 구럼비 바위 발파작업을 강행했다.

해군이	해군/NNG+이/JKS
기어이	기어이/MAG
제주	제주/NNP
강정마을	강정마을/NNP
해안	해안/NNG
구럼비	구럼비/NNP
바위	바위/NNG
발파작업을	발파/NNG+작업/NNG+을/JKO
강행했다.	강행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.330.2.2
노엄 촘스키 교수는 이제 강정마을이 어쩔 수 없이 평화를 위한 지구 차원의 장대한 싸움터가 됐다고 말했다.

노엄	노엄/NNP
촘스키	촘스키/NNP
교수는	교수/NNG+는/JX
이제	이제/MAG
강정마을이	강정마을/NNP+이/JKS
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
평화를	평화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
지구	지구/NNG
차원의	차원/NNG+의/JKG
장대한	장대하/VA+ㄴ/ETM
싸움터가	싸움터/NNG+가/JKC
됐다고	되/VV+었/EP+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.330.2.3
<글로벌 리서치> 기고문에서 그는 제주 해군기지 건설이 미국의 의도와 무관할 수 없다며 동아시아 군비경쟁과 안보위기를 초래할 제주기지 건설에 반대했다.

<글로벌	</SS+글로벌/NNG
리서치>	리서치/NNG+>/SS
기고문에서	기고문/NNG+에서/JKB
그는	그/NP+는/JX
제주	제주/NNP
해군기지	해군/NNG+기지/NNG
건설이	건설/NNG+이/JKS
미국의	미국/NNP+의/JKG
의도와	의도/NNG+와/JKB
무관할	무관하/VA+ㄹ/ETM
수	수/NNB
없다며	없/VA+다며/EC
동아시아	동아시아/NNP
군비경쟁과	군비/NNG+경쟁/NNG+과/JC
안보위기를	안보/NNG+위기/NNG+를/JKO
초래할	초래/NNG+하/XSV+ㄹ/ETM
제주기지	제주기지/NNP
건설에	건설/NNG+에/JKB
반대했다.	반대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.330.2.4
그는 중국이 만일 미국 근해 어딘가에 기지를 건설한다면 미국이 어떻게 나올지는 물어볼 필요도 없지 않겠느냐고 했다.

그는	그/NP+는/JX
중국이	중국/NNP+이/JKS
만일	만일/MAG
미국	미국/NNP
근해	근해/NNG
어딘가에	어디/NP+이/VCP+ㄴ가/EF+에/JKB
기지를	기지/NNG+를/JKO
건설한다면	건설/NNG+하/XSV+ㄴ다면/EC
