# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.401
metadata : {}


# id : NWRW1800000046.401.1.1
'테러방지'도 政爭… 관련法 14년째 낮잠

'테러방지'도	'/SS+테러/NNG+방지/NNG+'/SS+도/JX
政爭…	政爭/SH+…/SE
관련法	관련/NNG+法/SH
14년째	14/SN+년/NNB+째/XSN
낮잠	낮잠/NNG


# id : NWRW1800000046.401.2.1
與, 法 제정 재추진… 국정원이 컨트롤타워 되는 '對테러法' 등 3개 관련법안

與,	與/SH+,/SP
法	法/SH
제정	제정/NNG
재추진…	재/XPN+추진/NNG+…/SE
국정원이	국정원/NNG+이/JKS
컨트롤타워	컨트롤/NNG+타워/NNG
되는	되/VV+는/ETM
'對테러法'	'/SS+對/SH+테러/NNG+法/SH+'/SS
등	등/NNB
3개	3/SN+개/NNB
관련법안	관련/NNG+법안/NNG


# id : NWRW1800000046.401.3.1
새누리당과 정부가 프랑스 파리 테러를 계기로 출입국 심사 등 보안 체계에 대한 긴급 점검에 나서기로 했다.

새누리당과	새누리당/NNP+과/JC
정부가	정부/NNG+가/JKS
프랑스	프랑스/NNP
파리	파리/NNP
테러를	테러/NNG+를/JKO
계기로	계기/NNG+로/JKB
출입국	출입국/NNG
심사	심사/NNG
등	등/NNB
보안	보안/NNG
체계에	체계/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
긴급	긴급/NNG
점검에	점검/NNG+에/JKB
나서기로	나서/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.401.3.2
또 테러 대응 체계를 구축하기 위한 '테러 방지법' 제정도 다시 추진키로 했다.

또	또/MAG
테러	테러/NNG
대응	대응/NNG
체계를	체계/NNG+를/JKO
구축하기	구축/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
'테러	'/SS+테러/NNG
방지법'	방지법/NNG+'/SS
제정도	제정/NNG+도/JX
다시	다시/MAG
추진키로	추진/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.401.4.1
새누리당과 국민안전처, 행정자치부 등은 이르면 오는 18일 당정 회의를 열고 테러 대응 실태를 점검할 계획이다.

새누리당과	새누리당/NNP+과/JC
국민안전처,	국민/NNG+안전처/NNG+,/SP
행정자치부	행정/NNG+자치부/NNG
등은	등/NNB+은/JX
이르면	이르/VA+면/EC
오는	오/VV+는/ETM
18일	18/SN+일/NNB
당정	당정/NNG
회의를	회의/NNG+를/JKO
열고	열/VV+고/EC
테러	테러/NNG
대응	대응/NNG
실태를	실태/NNG+를/JKO
점검할	점검/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.401.4.2
김정훈 정책위의장은 15일 "당장 내년에 반영할 테러 관련 예산이 있는지 살펴보고, 이를 뒷받침할 규정도 재점검하겠다"고 말했다.

김정훈	김정훈/NNP
정책위의장은	정책위/NNG+의장/NNG+은/JX
15일	15/SN+일/NNB
"당장	"/SS+당장/NNG
내년에	내년/NNG+에/JKB
반영할	반영/NNG+하/XSV+ㄹ/ETM
테러	테러/NNG
관련	관련/NNG
예산이	예산/NNG+이/JKS
있는지	있/VA+는지/EF
살펴보고,	살펴보/VV+고/EC+,/SP
이를	이/NP+를/JKO
뒷받침할	뒷받침/NNG+하/XSV+ㄹ/ETM
규정도	규정/NNG+도/JX
재점검하겠다"고	재/XPN+점검/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.401.4.3
새누리당은 입·출국 수속 장비나 법적으로 허가된 감청 장비 등에 대해 정부가 예산 증액을 요청하면 당장 내년 예산안에 반영한다는 방침이다.

새누리당은	새누리당/NNP+은/JX
입·출국	입·출국/NNG
수속	수속/NNG
장비나	장비/NNG+나/JC
법적으로	법/NNG+적/XSN+으로/JKB
허가된	허가/NNG+되/XSV+ㄴ/ETM
감청	감청/NNG
장비	장비/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
정부가	정부/NNG+가/JKS
예산	예산/NNG
증액을	증액/NNG+을/JKO
요청하면	요청/NNG+하/XSV+면/EC
당장	당장/NNG
내년	내년/NNG
예산안에	예산안/NNG+에/JKB
반영한다는	반영/NNG+하/XSV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.401.4.4
앞서 국정원이 "IS 동조자 5명을 국내에서 감시 중이며, 헤즈볼라 대원들이 폭탄 원료를 밀반출하려다 실패했다"고 국회에 보고한 만큼, 테러와 관련한 활동에 대한 감시를 강화하겠다는 것이다.

앞서	앞서/MAG
국정원이	국정원/NNG+이/JKS
"IS	"/SS+IS/SL
동조자	동조자/NNG
5명을	5/SN+명/NNB+을/JKO
국내에서	국내/NNG+에서/JKB
감시	감시/NNG
중이며,	중/NNB+이/VCP+며/EC+,/SP
헤즈볼라	헤즈볼라/NNP
대원들이	대원/NNG+들/XSN+이/JKS
폭탄	폭탄/NNG
원료를	원료/NNG+를/JKO
밀반출하려다	밀반출/NNG+하/XSV+려다/EC
실패했다"고	실패/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
국회에	국회/NNG+에/JKB
보고한	보고/NNG+하/XSV+ㄴ/ETM
만큼,	만큼/NNB+,/SP
테러와	테러/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
활동에	활동/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
감시를	감시/NNG+를/JKO
강화하겠다는	강화/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.401.5.1
또 국회 차원에서도 17일 국방위를 열어 테러 대비 실태를 점검하고, 24일에는 국정원으로부터 정보위 현안 보고를 받기로 했다.
