# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.389
metadata : {}


# id : NWRW1800000045.389.1.1
여야, 교과서 강대강 대치 속 ‘민생 출구’ 고심

여야,	여야/NNG+,/SP
교과서	교과서/NNG
강대강	강/XR+대/NNB+강/XR
대치	대치/NNG
속	속/NNG
‘민생	‘/SS+민생/NNG
출구’	출구/NNG+’/SS
고심	고심/NNG


# id : NWRW1800000045.389.2.1
5일 정부의 역사 교과서 국정화 확정고시를 앞두고 정치권의 ‘역사전쟁’이 최고조에 이르고 있다.

5일	5/SN+일/NNB
정부의	정부/NNG+의/JKG
역사	역사/NNG
교과서	교과서/NNG
국정화	국정/NNG+화/XSN
확정고시를	확정/NNG+고시/NNG+를/JKO
앞두고	앞두/VV+고/EC
정치권의	정치/NNG+권/XSN+의/JKG
‘역사전쟁’이	‘/SS+역사/NNG+전쟁/NNG+’/SS+이/JKS
최고조에	최/XPN+고조/NNG+에/JKB
이르고	이르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.389.2.2
정부 여당은 5일 확정고시를 계기로 논란에 마침표를 찍어야 한다는 생각이지만 야당은 역사전쟁의 동력을 이어갈 태세다.

정부	정부/NNG
여당은	여당/NNG+은/JX
5일	5/SN+일/NNB
확정고시를	확정/NNG+고시/NNG+를/JKO
계기로	계기/NNG+로/JKB
논란에	논란/NNG+에/JKB
마침표를	마침표/NNG+를/JKO
찍어야	찍/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
생각이지만	생각/NNG+이/VCP+지만/EC
야당은	야당/NNG+은/JX
역사전쟁의	역사/NNG+전쟁/NNG+의/JKG
동력을	동력/NNG+을/JKO
이어갈	잇/VV+어/EC+가/VX+ㄹ/ETM
태세다.	태세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.389.2.3
다만 여야 모두 역사 교과서를 둘러싼 극한투쟁에 대한 여론의 비판을 의식해 ‘출구전략’도 함께 고민하는 모습이다.

다만	다만/MAG
여야	여야/NNG
모두	모두/MAG
역사	역사/NNG
교과서를	교과서/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
극한투쟁에	극한투쟁/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
여론의	여론/NNG+의/JKG
비판을	비판/NNG+을/JKO
의식해	의식/NNG+하/XSV+아/EC
‘출구전략’도	‘/SS+출구/NNG+전략/NNG+’/SS+도/JX
함께	함께/MAG
고민하는	고민/NNG+하/XSV+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.389.3.1
○ 與 “보수우파 단결” vs 野 “끝까지 막아 낼 것”

○	○/SW
與	與/SH
“보수우파	“/SS+보수/NNG+우파/NNG
단결”	단결/NNG+”/SS
vs	vs/SL
野	野/SH
“끝까지	“/SS+끝/NNG+까지/JX
막아	막/VV+아/EC
낼	내/VX+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000045.389.4.1
새누리당은 역사 교과서 국정화의 정당성을 연일 강조하고 있다.

새누리당은	새누리당/NNP+은/JX
역사	역사/NNG
교과서	교과서/NNG
국정화의	국정/NNG+화/XSN+의/JKG
정당성을	정당성/NNG+을/JKO
연일	연일/MAG
강조하고	강조/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.389.4.2
김무성 대표는 지난달 31일 경기도당 당원 등반대회에 참석해 “재작년 올바른 역사 교과서를 각 학교에서 채택되기 위해 노력했을 때 좌파들이 총준동해서 각종 테러를 일삼았다”며 “이제 보수우파가 단결해서 이번 역사전쟁에서 이겨야 하지 않겠느냐”고 강조했다.

김무성	김무성/NNP
대표는	대표/NNG+는/JX
지난달	지난달/NNG
31일	31/SN+일/NNB
경기도당	경기도/NNP+당/NNG
당원	당원/NNG
등반대회에	등반/NNG+대회/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
“재작년	“/SS+재/XPN+작년/NNG
올바른	올바르/VA+ㄴ/ETM
역사	역사/NNG
교과서를	교과서/NNG+를/JKO
각	각/MMD
학교에서	학교/NNG+에서/JKB
채택되기	채택/NNG+되/XSV+기/ETN
위해	위하/VV+아/EC
노력했을	노력/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
좌파들이	좌파/NNG+들/XSN+이/JKS
총준동해서	총/MMA+준동/NNG+하/XSV+아서/EC
각종	각종/NNG
테러를	테러/NNG+를/JKO
일삼았다”며	일삼/VV+았/EP+다/EF+”/SS+며/EC
“이제	“/SS+이제/MAG
보수우파가	보수/NNG+우파/NNG+가/JKS
단결해서	단결/NNG+하/XSV+아서/EC
이번	이번/NNG
역사전쟁에서	역사/NNG+전쟁/NNG+에서/JKB
이겨야	이기/VV+어야/EC
하지	하/VX+지/EC
않겠느냐”고	않/VX+겠/EP+느냐/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.389.5.1
당 역사교과서개선특별위원회 간사인 강은희 의원은 1일 기자간담회에서 “현 한국사 교과서는 폐기해야 될 불량품”이라고 목소리를 높였다.

당	당/NNG
역사교과서개선특별위원회	역사/NNG+교과서/NNG+개선/NNG+특별/NNG+위원회/NNG
간사인	간사/NNG+이/VCP+ㄴ/ETM
강은희	강은희/NNP
의원은	의원/NNG+은/JX
1일	1/SN+일/NNB
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
“현	“/SS+현/MMD
한국사	한국사/NNG
교과서는	교과서/NNG+는/JX
폐기해야	폐기/NNG+하/XSV+아야/EC
될	되/VV+ㄹ/ETM
불량품”이라고	불량품/NNG+”/SS+이라고/JKQ
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.389.5.2
이어 일부 (현행 검정) 교과서가 “친일파에 대한 비판적 평가의식이 빠진 중립적, 우호적 표현을 사용했다”며 ‘친일·독재 미화’ 프레임으로 정부·여당을 공격하는 야당에 역공을 가했다.

이어	이어/MAG
일부	일부/NNG
(현행	(/SS+현행/NNG
검정)	검정/NNG+)/SS
교과서가	교과서/NNG+가/JKS
“친일파에	“/SS+친일파/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비판적	비판/NNG+적/XSN
평가의식이	평가/NNG+의식/NNG+이/JKS
빠진	빠지/VV+ㄴ/ETM
중립적,	중립/NNG+적/XSN+,/SP
우호적	우호/NNG+적/XSN
표현을	표현/NNG+을/JKO
사용했다”며	사용/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
‘친일·독재	‘/SS+친일/NNG+·/SP+독재/NNG
미화’	미화/NNG+’/SS
프레임으로	프레임/NNG+으로/JKB
정부·여당을	정부/NNG+·/SP+여당/NNG+을/JKO
공격하는	공격/NNG+하/XSV+는/ETM
야당에	야당/NNG+에/JKB
역공을	역공/NNG+을/JKO
가했다.	가하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.389.6.1
새정치민주연합은 국정화 반대 여론전을 이어갔다.

새정치민주연합은	새정치민주연합/NNP+은/JX
국정화	국정/NNG+화/XSN
반대	반대/NNG
여론전을	여론전/NNG+을/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.389.6.2
문재인 대표는 1일 서울 관악산 입구에서 서명운동을 벌이며 “박근혜 대통령과 정부·여당은 민심을 겸허하게 받아들이고, 역사 교과서 국정화를 중단하는 것이 순리”라며 “끝까지 막아 내겠다”고 목소리를 높였다.

문재인	문재인/NNP
대표는	대표/NNG+는/JX
1일	1/SN+일/NNB
서울	서울/NNP
관악산	관악산/NNP
입구에서	입구/NNG+에서/JKB
서명운동을	서명/NNG+운동/NNG+을/JKO
벌이며	벌이/VV+며/EC
“박근혜	“/SS+박근혜/NNP
대통령과	대통령/NNG+과/JC
정부·여당은	정부/NNG+·/SP+여당/NNG+은/JX
민심을	민심/NNG+을/JKO
겸허하게	겸허/NNG+하/XSA+게/EC
받아들이고,	받아들이/VV+고/EC+,/SP
역사	역사/NNG
교과서	교과서/NNG
국정화를	국정/NNG+화/XSN+를/JKO
중단하는	중단/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
순리”라며	순리/NNG+”/SS+이/VCP+라며/EC
“끝까지	“/SS+끝/NNG+까지/JX
막아	막/VV+아/EC
내겠다”고	내/VV+겠/EP+다/EF+”/SS+고/JKQ
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.389.6.3
새정치연합은 2일 교육부를 항의 방문해 반대 서명을 제출할 예정이다.

새정치연합은	새정치연합/NNP+은/JX
2일	2/SN+일/NNB
교육부를	교육부/NNG+를/JKO
항의	항의/NNG
방문해	방문/NNG+하/XSV+아/EC
반대	반대/NNG
서명을	서명/NNG+을/JKO
제출할	제출/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.389.7.1
진보 성향 교육감들도 가세했다.

진보	진보/NNG
성향	성향/NNG
교육감들도	교육감/NNG+들/XSN+도/JX
가세했다.	가세/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.389.7.2
이재정 경기도교육감과 이청연 인천시교육감은 2일 오전 청와대 앞에서 국정화 철회를 요구하는 ‘릴레이 1인 시위’를 벌인다.

이재정	이재정/NNP
경기도교육감과	경기도/NNP+교육감/NNG+과/JC
이청연	이청연/NNP
인천시교육감은	인천시/NNP+교육감/NNG+은/JX
2일	2/SN+일/NNB
오전	오전/NNG
청와대	청와대/NNP
앞에서	앞/NNG+에서/JKB
국정화	국정/NNG+화/XSN
철회를	철회/NNG+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
‘릴레이	‘/SS+릴레이/NNG
1인	1/SN+인/NNG
시위’를	시위/NNG+’/SS+를/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.389.8.1
○ “역사전쟁에 매몰” 여론에 부담

○	○/SW
“역사전쟁에	“/SS+역사/NNG+전쟁/NNG+에/JKB
매몰”	매몰/NNG+”/SS
여론에	여론/NNG+에/JKB
부담	부담/NNG


# id : NWRW1800000045.389.9.1
여당은 확정고시가 이뤄지면 교과서 정국은 일단락되는 것으로 보고 민생 현안으로 초점을 옮길 방침이다.

여당은	여당/NNG+은/JX
확정고시가	확정/NNG+고시/NNG+가/JKS
이뤄지면	이뤄지/VV+면/EC
교과서	교과서/NNG
정국은	정국/NNG+은/JX
일단락되는	일단락/NNG+되/XSV+는/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
민생	민생/NNG
현안으로	현안/NNG+으로/JKB
초점을	초점/NNG+을/JKO
옮길	옮기/VV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.389.9.2
3일 당정청 회의에서도 국정화 의제보다는 한중 자유무역협정(FTA), 노동개혁, 예산안 처리 등 현안 위주로 논의를 할 예정이다.

3일	3/SN+일/NNB
당정청	당정청/NNG
회의에서도	회의/NNG+에서/JKB+도/JX
국정화	국정/NNG+화/XSN
의제보다는	의제/NNG+보다/JKB+는/JX
한중	한중/NNP
자유무역협정(FTA),	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS+,/SP
노동개혁,	노동/NNG+개혁/NNG+,/SP
예산안	예산안/NNG
처리	처리/NNG
등	등/NNB
현안	현안/NNG
위주로	위주/NNG+로/JKB
논의를	논의/NNG+를/JKO
할	하/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.389.9.3
또 2일 신용카드 수수료 인하, 4일 서울 서북권 지역 주민의 교통 불편 해소 등과 관련해 당정협의를 열기로 하는 등 민생행보를 강화하기로 했다.

또	또/MAG
2일	2/SN+일/NNB
신용카드	신용/NNG+카드/NNG
수수료	수수료/NNG
인하,	인하/NNG+,/SP
4일	4/SN+일/NNB
서울	서울/NNP
서북권	서북/NNG+권/XSN
지역	지역/NNG
주민의	주민/NNG+의/JKG
교통	교통/NNG
불편	불편/NNG
해소	해소/NNG
등과	등/NNB+과/JKB
관련해	관련/NNG+하/XSV+아/EC
당정협의를	당정/NNG+협의/NNG+를/JKO
열기로	열/VV+기/ETN+로/JKB
하는	하/VV+는/ETM
등	등/NNB
민생행보를	민생/NNG+행보/NNG+를/JKO
강화하기로	강화/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.389.10.1
여당이 민생 압박 수위를 높여가자 야당은 부담감을 느끼고 있다고 한다.

여당이	여당/NNG+이/JKS
민생	민생/NNG
압박	압박/NNG
수위를	수위/NNG+를/JKO
높여가자	높이/VV+어/EC+가/VX+자/EC
야당은	야당/NNG+은/JX
부담감을	부담감/NNG+을/JKO
느끼고	느끼/VV+고/EC
있다고	있/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.389.10.2
현실적으로 국정화 고시를 막을 수단도 없고 현재의 서명운동 외에 뚜렷한 카드도 보이지 않는다.

현실적으로	현실/NNG+적/XSN+으로/JKB
국정화	국정/NNG+화/XSN
고시를	고시/NNG+를/JKO
막을	막/VV+을/ETM
수단도	수단/NNG+도/JX
없고	없/VA+고/EC
현재의	현재/NNG+의/JKG
서명운동	서명/NNG+운동/NNG
외에	외/NNB+에/JKB
뚜렷한	뚜렷하/VA+ㄴ/ETM
카드도	카드/NNG+도/JX
보이지	보이/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000045.389.10.3
새정치연합 관계자는 “그동안 국민들에게 집중적으로 교과서 국정화의 부당함을 알린 결과 반대 여론이 월등하게 높아지고 있다”면서도 “이를 토대로 다음 행보를 어떻게 할지 2일 최고위원회의에서 논의할 것”이라고 말했다.

새정치연합	새정치연합/NNP
관계자는	관계자/NNG+는/JX
“그동안	“/SS+그동안/NNG
국민들에게	국민/NNG+들/XSN+에게/JKB
집중적으로	집중/NNG+적/XSN+으로/JKB
교과서	교과서/NNG
국정화의	국정/NNG+화/XSN+의/JKG
부당함을	부당/NNG+하/XSA+ㅁ/ETN+을/JKO
알린	알리/VV+ㄴ/ETM
결과	결과/NNG
반대	반대/NNG
여론이	여론/NNG+이/JKS
월등하게	월등/MAG+하/XSA+게/EC
높아지고	높아지/VV+고/EC
있다”면서도	있/VX+다/EF+”/SS+면서/EC+도/JX
“이를	“/SS+이/NP+를/JKO
토대로	토대/NNG+로/JKB
다음	다음/NNG
행보를	행보/NNG+를/JKO
어떻게	어떻/VA+게/EC
할지	하/VV+ㄹ지/EC
2일	2/SN+일/NNB
최고위원회의에서	최고/NNG+위원/NNG+회의/NNG+에서/JKB
논의할	논의/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.389.11.1
야당 일각에서는 확정고시 이후 국회 일정을 보이콧해야 한다는 강경한 목소리도 나온다.

야당	야당/NNG
일각에서는	일각/NNG+에서/JKB+는/JX
확정고시	확정/NNG+고시/NNG
이후	이후/NNG
국회	국회/NNG
일정을	일정/NNG+을/JKO
보이콧해야	보이콧/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
강경한	강경/NNG+하/XSA+ㄴ/ETM
목소리도	목소리/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.389.11.2
문 대표 측 관계자는 “지난달 29일 문 대표가 긴급 기자회견에서 국정화를 강행할 경우 ‘비상한 각오와 결단’을 내리겠다고 하지 않았느냐”며 “국회 일정과 연계하는 것도 여러 방안 중 하나로 고려되고 있다”고 전했다.

문	문/NNP
대표	대표/NNG
측	측/NNB
관계자는	관계자/NNG+는/JX
“지난달	“/SS+지난달/NNG
29일	29/SN+일/NNB
대표가	대표/NNG+가/JKS
긴급	긴급/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
국정화를	국정/NNG+화/XSN+를/JKO
강행할	강행/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
‘비상한	‘/SS+비상/NNG+하/XSA+ㄴ/ETM
각오와	각오/NNG+와/JC
결단’을	결단/NNG+’/SS+을/JKO
내리겠다고	내리/VV+겠/EP+다고/EC
하지	하/VV+지/EC
않았느냐”며	않/VX+았/EP+느냐/EF+”/SS+며/EC
“국회	“/SS+국회/NNG
일정과	일정/NNG+과/JKB
연계하는	연계/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
여러	여러/MMN
방안	방안/NNG
중	중/NNB
하나로	하나/NR+로/JKB
고려되고	고려/NNG+되/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.389.11.3
하지만 국회 보이콧 등 강경 투쟁은 여론의 역풍을 초래할 수 있다는 점이 부담이다.

하지만	하지만/MAJ
국회	국회/NNG
보이콧	보이콧/NNG
등	등/NNB
강경	강경/NNG
투쟁은	투쟁/NNG+은/JX
여론의	여론/NNG+의/JKG
역풍을	역풍/NNG+을/JKO
초래할	초래/NNG+하/XSV+ㄹ/ETM
