# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.93
metadata : {}


# id : NWRW1800000030.93.1.1
대사 관저서 '김태우 콘서트' 청소년들과 어울린 스티븐스

대사	대사/NNG
관저서	관저/NNG+서/JKB
'김태우	'/SS+김태우/NNP
콘서트'	콘서트/NNG+'/SS
청소년들과	청소년/NNG+들/XSN+과/JKB
어울린	어울리/VV+ㄴ/ETM
스티븐스	스티븐스/NNP


# id : NWRW1800000030.93.2.1
•"오랫동안 기억에 남을 밤 될 겁니다"

•"오랫동안	•/SW+"/SS+오랫동안/NNG
기억에	기억/NNG+에/JKB
남을	남/VV+을/ETM
밤	밤/NNG
될	되/VV+ㄹ/ETM
겁니다"	거/NNB+이/VCP+ㅂ니다/EF+"/SS


# id : NWRW1800000030.93.3.1
"가수 김태우의 공연 내내 학생들은 환호성을 질렀고 가끔 '사랑해요 김태우'도 들렸습니다.

"가수	"/SS+가수/NNG
김태우의	김태우/NNP+의/JKG
공연	공연/NNG
내내	내내/MAG
학생들은	학생/NNG+들/XSN+은/JX
환호성을	환호성/NNG+을/JKO
질렀고	지르/VV+었/EP+고/EC
가끔	가끔/MAG
'사랑해요	'/SS+사랑/NNG+하/XSV+아요/EF
김태우'도	김태우/NNP+'/SS+도/JX
들렸습니다.	들리/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000030.93.3.2
아마 모두에게 오랫동안 기억에 남을 밤이 되었을 겁니다.

아마	아마/MAG
모두에게	모두/NNG+에게/JKB
오랫동안	오랫동안/NNG
기억에	기억/NNG+에/JKB
남을	남/VV+을/ETM
밤이	밤/NNG+이/JKC
되었을	되/VV+었/EP+을/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000030.93.3.3
저도 마찬가지고요!"

저도	저/NP+도/JX
마찬가지고요!"	마찬가지/NNG+이/VCP+고/EF+요/JX+!/SF+"/SS


# id : NWRW1800000030.93.4.1
캐슬린 스티븐스 주한 미국대사가 관저로 가수 김태우를 초청, 콘서트를 개최했다.

캐슬린	캐슬린/NNP
스티븐스	스티븐스/NNP
주한	주한/NNG
미국대사가	미국/NNP+대사/NNG+가/JKS
관저로	관저/NNG+로/JKB
가수	가수/NNG
김태우를	김태우/NNP+를/JKO
초청,	초청/NNG+,/SP
콘서트를	콘서트/NNG+를/JKO
개최했다.	개최/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.93.5.1
스티븐스 대사는 17일 자신의 인터넷 블로그 '심은경의 한국이야기'에 올린 글에서 "설 연휴 전(1월 27일) 제가 사는 하비브 하우스에서 한국 가요의 레전드 김태우씨를 초청해 콘서트를 열었다"며 "관저에 한국 대중가수를 초청해 공연한 것은 처음"이라고 했다.

스티븐스	스티븐스/NNP
대사는	대사/NNG+는/JX
17일	17/SN+일/NNB
자신의	자신/NNG+의/JKG
인터넷	인터넷/NNG
블로그	블로그/NNG
'심은경의	'/SS+심은경/NNP+의/JKG
한국이야기'에	한국/NNP+이야기/NNG+'/SS+에/JKB
올린	올리/VV+ㄴ/ETM
글에서	글/NNG+에서/JKB
"설	"/SS+설/NNG
연휴	연휴/NNG
전(1월	전/NNG+(/SS+1/SN+월/NNB
27일)	27/SN+일/NNB+)/SS
제가	제/NP+가/JKS
사는	살/VV+는/ETM
하비브	하비브/NNP
하우스에서	하우스/NNP+에서/JKB
한국	한국/NNP
가요의	가요/NNG+의/JKG
레전드	레전드/NNG
김태우씨를	김태우/NNP+씨/NNB+를/JKO
초청해	초청/NNG+하/XSV+아/EC
콘서트를	콘서트/NNG+를/JKO
열었다"며	열/VV+었/EP+다/EF+"/SS+며/EC
"관저에	"/SS+관저/NNG+에/JKB
대중가수를	대중/NNG+가수/NNG+를/JKO
공연한	공연/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음"이라고	처음/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.93.6.1
