# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.27
metadata : {}


# id : NWRW1800000038.27.1.1
표결 임박한 美총기규제법… 마지막 승부수 던진 오바마

표결	표결/NNG
임박한	임박/NNG+하/XSV+ㄴ/ETM
美총기규제법…	美/SH+총기/NNG+규제법/NNG+…/SE
마지막	마지막/NNG
승부수	승부수/NNG
던진	던지/VV+ㄴ/ETM
오바마	오바마/NNP


# id : NWRW1800000038.27.2.1
민주당 총력전… 美총기협회의 반격…

민주당	민주당/NNP
총력전…	총력전/NNG+…/SE
美총기협회의	美/SH+총기/NNG+협회/NNG+의/JKG
반격…	반격/NNG+…/SE


# id : NWRW1800000038.27.3.1
미국이 20년 만의 본격적인 총기규제강화법안을 놓고 '최후의 전쟁'에 돌입했다.

미국이	미국/NNP+이/JKS
20년	20/SN+년/NNB
만의	만/NNB+의/JKG
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
총기규제강화법안을	총기/NNG+규제/NNG+강화/NNG+법안/NNG+을/JKO
놓고	놓/VV+고/EC
'최후의	'/SS+최후/NNG+의/JKG
전쟁'에	전쟁/NNG+'/SS+에/JKB
돌입했다.	돌입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.27.3.2
미 상원은 11일(현지 시각)에 총기규제강화법 처리 절차를 위한 첫 표결을 실시하기로 했다고 해리 리드 민주당 상원 원내대표가 9일 밝혔다.

미	미/NNP
상원은	상원/NNG+은/JX
11일(현지	11/SN+일/NNB+(/SS+현지/NNG
시각)에	시각/NNG+)/SS+에/JKB
총기규제강화법	총기/NNG+규제/NNG+강화/NNG+법/NNG
처리	처리/NNG
절차를	절차/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
첫	첫/MMN
표결을	표결/NNG+을/JKO
실시하기로	실시/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
해리	해리/NNP
리드	리드/NNP
민주당	민주당/NNP
상원	상원/NNG
원내대표가	원내/NNG+대표/NNG+가/JKS
9일	9/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.27.4.1
'총기 규제 강화' 측은 그야말로 '총력전'에 나섰다.

'총기	'/SS+총기/NNG
규제	규제/NNG
강화'	강화/NNG+'/SS
측은	측/NNB+은/JX
그야말로	그야말로/MAG
'총력전'에	'/SS+총력전/NNG+'/SS+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.27.4.2
어린이 20명이 총에 맞아 숨진 '샌디훅 총기난사' 사건을 계기로 시작된 이번 규제 강화 노력마저 실패로 돌아간다면 다시는 기회가 오지 않을 것이라고 보고 있는 것이다.

어린이	어린이/NNG
20명이	20/SN+명/NNB+이/JKS
총에	총/NNG+에/JKB
맞아	맞/VV+아/EC
