# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.245
metadata : {}


# id : NWRW1800000032.245.1.1
현정권 실세 의혹 ‘연결고리’ 찾을까

현정권	현/MMD+정권/NNG
실세	실세/NNG
의혹	의혹/NNG
‘연결고리’	‘/SS+연결/NNG+고리/NNG+’/SS
찾을까	찾/VV+을까/EF


# id : NWRW1800000032.245.2.1
검찰, 신재민 전차관 소환

검찰,	검찰/NNG+,/SP
신재민	신재민/NNP
전차관	전/MMD+차관/NNG
소환	소환/NNG


# id : NWRW1800000032.245.3.1
법인카드 3장 사용내역·상품권 흔적 등 조사

법인카드	법인/NNG+카드/NNG
3장	3/SN+장/NNB
사용내역·상품권	사용/NNG+내역/NNG+·/SP+상품/NNG+권/XSN
흔적	흔적/NNG
등	등/NNB
조사	조사/NNG


# id : NWRW1800000032.245.4.1
‘SLS그룹 개입’ 포괄적 업무연관성 입증 주력

‘SLS그룹	‘/SS+SLS그룹/NNP
개입’	개입/NNG+’/SS
포괄적	포괄/NNG+적/XSN
업무연관성	업무/NNG+연관/NNG+성/XSN
입증	입증/NNG
주력	주력/NNG


# id : NWRW1800000032.245.5.1
9일 검찰이 신재민(53) 전 문화체육관광부 차관을 소환 조사하면서, 이국철(49) 에스엘에스(SLS)그룹 회장이 폭로한 금품·향응 제공 의혹 사건 수사가 본격화하게 됐다.

9일	9/SN+일/NNB
검찰이	검찰/NNG+이/JKS
신재민(53)	신재민/NNP+(/SS+53/SN+)/SS
전	전/MMD
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
차관을	차관/NNG+을/JKO
소환	소환/NNG
조사하면서,	조사/NNG+하/XSV+면서/EC+,/SP
이국철(49)	이국철/NNP+(/SS+49/SN+)/SS
에스엘에스(SLS)그룹	에스엘에스/NNP+(/SS+SLS/SL+)/SS+그룹/NNG
회장이	회장/NNG+이/JKS
폭로한	폭로/NNG+하/XSV+ㄴ/ETM
금품·향응	금품/NNG+·/SP+향응/NNG
제공	제공/NNG
의혹	의혹/NNG
사건	사건/NNG
수사가	수사/NNG+가/JKS
본격화하게	본격/NNG+화/XSN+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.245.5.2
검찰이 이 회장의 진술과 압수수색 결과 등을 토대로 신 전 차관은 물론, 정권의 핵심 실세를 둘러싼 의혹까지 깊숙이 파헤칠 수 있을지 주목된다.

검찰이	검찰/NNG+이/JKS
이	이/NNP
회장의	회장/NNG+의/JKG
진술과	진술/NNG+과/JC
압수수색	압수/NNG+수색/NNG
결과	결과/NNG
등을	등/NNB+을/JKO
토대로	토대/NNG+로/JKB
신	신/NNP
전	전/MMD
차관은	차관/NNG+은/JX
물론,	물론/MAG+,/SP
정권의	정권/NNG+의/JKG
핵심	핵심/NNG
실세를	실세/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
의혹까지	의혹/NNG+까지/JX
깊숙이	깊숙이/MAG
파헤칠	파헤치/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.245.6.1
검찰은 먼저 혐의를 한사코 부인하는 신 전 차관과 맞부딪쳐야 한다.

검찰은	검찰/NNG+은/JX
먼저	먼저/MAG
혐의를	혐의/NNG+를/JKO
한사코	한사코/MAG
부인하는	부인/NNG+하/XSV+는/ETM
신	신/NNP
전	전/MMD
차관과	차관/NNG+과/JKB
맞부딪쳐야	맞부딪치/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.245.6.2
하지만 이 회장이 신 전 차관한테 매달 수백만~수천만원을 제공했다는 핵심 의혹에 대한 혐의 입증부터 그리 쉽지 않아 보인다.

하지만	하지만/MAJ
이	이/NNP
회장이	회장/NNG+이/JKS
신	신/NNP
전	전/MMD
차관한테	차관/NNG+한테/JKB
매달	매달/MAG
수백만~수천만원을	수백만/NR+~/SO+수천만/NR+원/NNB+을/JKO
제공했다는	제공/NNG+하/XSV+았/EP+다는/ETM
핵심	핵심/NNG
의혹에	의혹/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
혐의	혐의/NNG
입증부터	입증/NNG+부터/JX
그리	그리/MAG
쉽지	쉽/VA+지/EC
않아	않/VX+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.245.7.1
신 전 차관이 신문사를 퇴사한 2006년 말 이전에는 뇌물수수나 배임수재 등의 혐의를 적용하기 어렵다.

신	신/NNP
전	전/MMD
차관이	차관/NNG+이/JKS
신문사를	신문사/NNG+를/JKO
퇴사한	퇴사/NNG+하/XSV+ㄴ/ETM
2006년	2006/SN+년/NNB
말	말/NNB
이전에는	이전/NNG+에/JKB+는/JX
뇌물수수나	뇌물/NNG+수수/NNG+나/JC
배임수재	배임/NNG+수재/NNG
등의	등/NNB+의/JKG
혐의를	혐의/NNG+를/JKO
적용하기	적용/NNG+하/XSV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000032.245.7.2
2007년 이후 안국포럼에서 활동할 때 또는 대통령당선자 비서실 정무기획팀장일 때 받은 금품에 대해선 내용에 따라 정치자금법 위반 등이 적용될 가능성이 있다.

2007년	2007/SN+년/NNB
이후	이후/NNG
안국포럼에서	안국/NNP+포럼/NNG+에서/JKB
활동할	활동/NNG+하/XSV+ㄹ/ETM
때	때/NNG
또는	또는/MAG
대통령당선자	대통령/NNG+당선자/NNG
비서실	비서실/NNG
정무기획팀장일	정무/NNG+기획/NNG+팀장/NNG+이/VCP+ㄹ/ETM
받은	받/VV+은/ETM
금품에	금품/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
내용에	내용/NNG+에/JKB
따라	따르/VV+아/EC
정치자금법	정치/NNG+자금법/NNG
위반	위반/NNG
등이	등/NNB+이/JKS
적용될	적용/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.245.7.3
그러나 이 회장은 검찰 조사에서 “신 전 차관에 대한 금품 제공은 2006년 10월 이전이며, 그 이후에도 선의의 지원이었다”고 진술한 것으로 알려졌다.

그러나	그러나/MAJ
이	이/NNP
회장은	회장/NNG+은/JX
검찰	검찰/NNG
조사에서	조사/NNG+에서/JKB
“신	“/SS+신/NNP
전	전/MMD
차관에	차관/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
금품	금품/NNG
제공은	제공/NNG+은/JX
2006년	2006/SN+년/NNB
10월	10/SN+월/NNB
이전이며,	이전/NNG+이/VCP+며/EC+,/SP
그	그/NP
이후에도	이후/NNG+에/JKB+도/JX
선의의	선의/NNG+의/JKG
지원이었다”고	지원/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
진술한	진술/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.245.7.4
검찰은 이 회장이 뇌물 공여자 등으로 처벌받을 것을 우려해 방어적 진술을 한 것으로 보고 있다.

검찰은	검찰/NNG+은/JX
이	이/NNP
회장이	회장/NNG+이/JKS
뇌물	뇌물/NNG
공여자	공여자/NNG
등으로	등/NNB+으로/JKB
처벌받을	처벌/NNG+받/XSV+을/ETM
것을	것/NNB+을/JKO
우려해	우려/NNG+하/XSV+아/EC
방어적	방어/NNG+적/XSN
진술을	진술/NNG+을/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.245.7.5
검찰은 이에 따라 계좌 추적을 통해 신 전 차관의 자금 흐름과 재산 증가분의 출처 등을 확인한다는 방침이다.

검찰은	검찰/NNG+은/JX
이에	이/NP+에/JKB
따라	따르/VV+아/EC
계좌	계좌/NNG
추적을	추적/NNG+을/JKO
통해	통하/VV+아/EC
신	신/NNP
전	전/MMD
차관의	차관/NNG+의/JKG
자금	자금/NNG
흐름과	흐름/NNG+과/JC
재산	재산/NNG
증가분의	증가/NNG+분/XSN+의/JKG
출처	출처/NNG
등을	등/NNB+을/JKO
확인한다는	확인/NNG+하/XSV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.245.8.1
검찰은 대신 이 회장이 신 전 차관한테 줬다는 3장의 법인카드 사용 내용 수사에 무게를 둘 것으로 보인다.

검찰은	검찰/NNG+은/JX
대신	대신/NNG
이	이/NNP
회장이	회장/NNG+이/JKS
신	신/NNP
전	전/MMD
차관한테	차관/NNG+한테/JKB
줬다는	주/VV+었/EP+다는/ETM
3장의	3/SN+장/NNB+의/JKG
법인카드	법인/NNG+카드/NNG
사용	사용/NNG
내용	내용/NNG
수사에	수사/NNG+에/JKB
무게를	무게/NNG+를/JKO
