# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.296
metadata : {}


# id : NWRW1800000032.296.1.1
이규혁 ‘왕의 귀환’/세계선수권 4번째 종합우승

이규혁	이규혁/NNP
‘왕의	‘/SS+왕/NNG+의/JKG
귀환’/세계선수권	귀환/NNG+’/SS+//SP+세계/NNG+선수/NNG+권/XSN
4번째	4/SN+번/NNB+째/XSN
종합우승	종합/NNG+우승/NNG


# id : NWRW1800000032.296.2.1
세계선수권 4번째 종합우승

세계선수권	세계/NNG+선수/NNG+권/XSN
4번째	4/SN+번/NNB+째/XSN
종합우승	종합/NNG+우승/NNG


# id : NWRW1800000032.296.3.1
“나이가 많이 들었다는 이야기도 듣고, 실력이 떨어졌다는 말도 들었는데, 이번 우승으로 많은 분들을 설득할 수 있게 돼서 기쁘다.”

“나이가	“/SS+나이/NNG+가/JKS
많이	많이/MAG
들었다는	들/VV+었/EP+다는/ETM
이야기도	이야기/NNG+도/JX
듣고,	듣/VV+고/EC+,/SP
실력이	실력/NNG+이/JKS
떨어졌다는	떨어지/VV+었/EP+다는/ETM
말도	말/NNG+도/JX
들었는데,	듣/VV+었/EP+는데/EC+,/SP
이번	이번/NNG
우승으로	우승/NNG+으로/JKB
많은	많/VA+은/ETM
분들을	분/NNB+들/XSN+을/JKO
설득할	설득/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
돼서	되/VV+어서/EC
기쁘다.”	기쁘/VA+다/EF+./SF+”/SS


# id : NWRW1800000032.296.3.2
2010 밴쿠버 겨울올림픽 좌절을 딛고 일어난 빙상대표팀 ‘맏형’ 이규혁(33·서울시청)이 또 해냈다.

2010	2010/SN
밴쿠버	밴쿠버/NNP
겨울올림픽	겨울/NNG+올림픽/NNG
좌절을	좌절/NNG+을/JKO
딛고	딛/VV+고/EC
일어난	일어나/VV+ㄴ/ETM
빙상대표팀	빙상/NNG+대표/NNG+팀/NNG
‘맏형’	‘/SS+맏/XPN+형/NNG+’/SS
이규혁(33·서울시청)이	이규혁/NNP+(/SS+33/SN+·/SP+서울시청/NNP+)/SS+이/JKS
또	또/MAG
해냈다.	해내/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.296.3.3
스피드스케이팅 단거리의 최강자를 가리는 세계스프린트선수권대회에서 네번째 종합우승을 차지한 것이다.

스피드스케이팅	스피드/NNG+스케이팅/NNG
단거리의	단거리/NNG+의/JKG
