# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.287
metadata : {}


# id : NWRW1800000022.287.1.1
[金 前대통령 국장] 北조문단, '김정일 조화' 내린 뒤에야 차에서 내려;"생전에 민족위해 많은 일" 김정일 위원장의 말 전해 조문후 김형오의장 면담 이(李)여사에겐 조의(弔意) 전해… 과거 대북(對北)실세들과 만찬

[金	[/SS+金/SH
前대통령	前/SH+대통령/NNG
국장]	국장/NNG+]/SS
北조문단,	北/SH+조문단/NNG+,/SP
'김정일	'/SS+김정일/NNP
조화'	조화/NNG+'/SS
내린	내리/VV+ㄴ/ETM
뒤에야	뒤/NNG+에/JKB+야/JX
차에서	차/NNG+에서/JKB
내려;"생전에	내리/VV+어/EC+;/SP+"/SS+생전/NNG+에/JKB
민족위해	민족/NNG+위하/VV+아/EC
많은	많/VA+은/ETM
일"	일/NNG+"/SS
김정일	김정일/NNP
위원장의	위원장/NNG+의/JKG
말	말/NNG
전해	전하/VV+아/EC
조문후	조문/NNG+후/NNG
김형오의장	김형오/NNP+의장/NNG
면담	면담/NNG
이(李)여사에겐	이/NNP+(/SS+李/SH+)/SS+여사/NNG+에게/JKB+ㄴ/JX
조의(弔意)	조의/NNG+(/SS+弔意/SH+)/SS
전해…	전하/VV+아/EC+…/SE
과거	과거/NNG
대북(對北)실세들과	대북/NNG+(/SS+對北/SH+)/SS+실세/NNG+들/XSN+과/JKB
만찬	만찬/NNG


# id : NWRW1800000022.287.2.1
21일 오후 2시59분.

21일	21/SN+일/NNB
오후	오후/NNG
2시59분.	2/SN+시/NNB+59/SN+분/NNB+./SF


# id : NWRW1800000022.287.2.2
북한 고려항공 소속 76석짜리 러시아제 소형 항공기가 김포공항에 착륙했다.

북한	북한/NNP
고려항공	고려항공/NNP
소속	소속/NNG
76석짜리	76/SN+석/NNB+짜리/XSN
러시아제	러시아제/NNG
소형	소형/NNG
항공기가	항공기/NNG+가/JKS
김포공항에	김포공항/NNP+에/JKB
착륙했다.	착륙/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.287.2.3
북한 김기남 노동당 중앙위원회 비서, 김양건 통일전선부장 등 6명의 김대중 전 대통령 조문단이 타고 온 비행기였다.

북한	북한/NNP
김기남	김기남/NNP
노동당	노동당/NNP
중앙위원회	중앙/NNG+위원회/NNG
비서,	비서/NNG+,/SP
김양건	김양건/NNP
통일전선부장	통일/NNG+전선부장/NNG
등	등/NNB
6명의	6/SN+명/NNB+의/JKG
김대중	김대중/NNP
전	전/MMD
대통령	대통령/NNG
조문단이	조문단/NNG+이/JKS
타고	타/VV+고/EC
온	오/VX+ㄴ/ETM
비행기였다.	비행기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.287.2.4
DJ 정부에서 통일부장관을 지낸 정세현 김대중평화센터 부이사장, 홍양호 통일부 차관 등 10여명이 이들을 맞았다.

DJ	DJ/SL
정부에서	정부/NNG+에서/JKB
통일부장관을	통일부/NNG+장관/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
정세현	정세현/NNP
김대중평화센터	김대중평화센터/NNP
부이사장,	부이사장/NNG+,/SP
홍양호	홍양호/NNP
통일부	통일부/NNG
차관	차관/NNG
등	등/NNB
10여명이	10/SN+여/XSN+명/NNB+이/JKS
이들을	이/NP+들/XSN+을/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.287.3.1
공항 바깥에선 007작전이 벌어졌다.

공항	공항/NNG
바깥에선	바깥/NNG+에서/JKB+ㄴ/JX
007작전이	007/SN+작전/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.287.3.2
경찰 무전기에선 "정문으로 간다. 후문으로 간다"는 등 혼선을 주는 내용이 쏟아졌다.

경찰	경찰/NNG
무전기에선	무전기/NNG+에서/JKB+ㄴ/JX
"정문으로	"/SS+정문/NNG+으로/JKB
간다.	가/VV+ㄴ다/EF+./SF
후문으로	후문/NNG+으로/JKB
간다"는	가/VV+ㄴ다/EF+"/SS+는/ETM
등	등/NNB
혼선을	혼선/NNG+을/JKO
주는	주/VV+는/ETM
