# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.25
metadata : {}


# id : NWRW1800000037.25.1.1
[시선집중, 이 주식]“악재는 끝났다”… 미소짓는 빙그레

[시선집중,	[/SS+시선/NNG+집중/NNG+,/SP
이	이/MMD
주식]“악재는	주식/NNG+]/SS+“/SS+악재/NNG+는/JX
끝났다”…	끝나/VV+았/EP+다/EF+”/SS+…/SE
미소짓는	미소/NNG+짓/VV+는/ETM
빙그레	빙그레/NNP


# id : NWRW1800000037.25.2.1
제품가 올리고 수출망 재정비 “내년초 가격인상효과 나타날 것”

제품가	제품/NNG+가/XSN
올리고	올리/VV+고/EC
수출망	수출/NNG+망/NNG
재정비	재/XPN+정비/NNG
“내년초	“/SS+내년/NNG+초/NNB
가격인상효과	가격/NNG+인상/NNG+효과/NNG
나타날	나타나/VV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000037.25.3.1
유제품 제조업체들에 올해는 악몽 같은 한 해였다.

유제품	유제품/NNG
제조업체들에	제조업체/NNG+들/XSN+에/JKB
올해는	올해/NNG+는/JX
악몽	악몽/NNG
같은	같/VA+은/ETM
한	한/MMN
해였다.	해/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.25.3.2
‘대리점에 밀어내기 영업 파동’ ‘원유 가격 인상 이후 제품가격 동결 압박’ 등이 벌어졌기 때문이다.

‘대리점에	‘/SS+대리점/NNG+에/JKB
밀어내기	밀어내/VV+기/ETN
영업	영업/NNG
파동’	파동/NNG+’/SS
‘원유	‘/SS+원유/NNG
가격	가격/NNG
인상	인상/NNG
이후	이후/NNG
제품가격	제품/NNG+가격/NNG
동결	동결/NNG
압박’	압박/NNG+’/SS
등이	등/NNB+이/JKS
벌어졌기	벌어지/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.25.3.3
‘바나나맛 우유’로 대표되는 가공 우유와 아이스크림이 주력 제품인 빙그레에는 특히 어려운 한 해였다.

‘바나나맛	‘/SS+바나나/NNG+맛/NNG
우유’로	우유/NNG+’/SS+로/JKB
대표되는	대표/NNG+되/XSV+는/ETM
가공	가공/NNG
우유와	우유/NNG+와/JC
아이스크림이	아이스크림/NNG+이/JKS
주력	주력/NNG
제품인	제품/NNG+이/VCP+ㄴ/ETM
빙그레에는	빙그레/NNP+에/JKB+는/JX
특히	특히/MAG
어려운	어렵/VA+ㄴ/ETM
한	한/MMN
해였다.	해/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.25.3.4
‘찜통더위’가 이어지면서도 여름 석 달 중 절반 동안 비가 내려 두 제품의 판매가 신통찮았기 때문이다.

‘찜통더위’가	‘/SS+찜통더위/NNG+’/SS+가/JKS
이어지면서도	이어지/VV+면서/EC+도/JX
여름	여름/NNG
석	석/MMN
달	달/NNG
중	중/NNB
절반	절반/NNG
동안	동안/NNG
비가	비/NNG+가/JKS
내려	내리/VV+어/EC
두	두/MMN
제품의	제품/NNG+의/JKG
판매가	판매/NNG+가/JKS
신통찮았기	신통하/VA+지/EC+않/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.25.3.5
주가도 바닥을 모르고 떨어지기만 했다.

주가도	주가/NNG+도/JX
바닥을	바닥/NNG+을/JKO
모르고	모르/VV+고/EC
떨어지기만	떨어지/VV+기/ETN+만/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.25.3.6
하지만 최근 제품 가격 인상을 한 데다 수출 판매망 정비가 끝나면서 빙그레는 새해에 ‘빙그레’ 웃을 수 있을 것이라는 분석이 나오고 있다.

하지만	하지만/MAJ
최근	최근/NNG
제품	제품/NNG
가격	가격/NNG
인상을	인상/NNG+을/JKO
한	하/VV+ㄴ/ETM
데다	데/NNB+다/JX
수출	수출/NNG
판매망	판매망/NNG
정비가	정비/NNG+가/JKS
끝나면서	끝나/VV+면서/EC
빙그레는	빙그레/NNP+는/JX
새해에	새해/NNG+에/JKB
‘빙그레’	‘/SS+빙그레/MAG+’/SS
웃을	웃/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.25.4.1
○ 가격 올리고 수출 안정화

○	○/SW
가격	가격/NNG
올리고	올리/VV+고/EC
수출	수출/NNG
안정화	안정/NNG+화/XSN


# id : NWRW1800000037.25.5.1
빙그레의 3분기(7∼9월) 매출액은 2536억 원으로 작년 같은 기간보다 1.3% 줄어들었다.

빙그레의	빙그레/NNP+의/JKG
3분기(7∼9월)	3/SN+분기/NNG+(/SS+7/SN+∼/SO+9/SN+월/NNB+)/SS
매출액은	매출액/NNG+은/JX
2536억	2536/SN+억/NR
원으로	원/NNB+으로/JKB
작년	작년/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
1.3%	1/SN+./SP+3/SN+%/SW
줄어들었다.	줄어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.25.5.2
영업이익은 지난해보다 21.2%나 줄어든 285억 원이었다.

영업이익은	영업/NNG+이익/NNG+은/JX
지난해보다	지난해/NNG+보다/JKB
21.2%나	21/SN+./SP+2/SN+%/SW+나/JX
줄어든	줄어들/VV+ㄴ/ETM
285억	285/SN+억/NR
원이었다.	원/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.25.5.3
하지만 3분기 ‘바나나맛 우유’나 ‘요플레’ 같은 대표 상품의 국내 판매량은 오히려 5%와 6% 증가했다.

하지만	하지만/MAJ
3분기	3/SN+분기/NNG
‘바나나맛	‘/SS+바나나/NNG+맛/NNG
우유’나	우유/NNG+’/SS+나/JC
‘요플레’	‘/SS+요플레/NNG+’/SS
같은	같/VA+은/ETM
대표	대표/NNG
상품의	상품/NNG+의/JKG
국내	국내/NNG
판매량은	판매량/NNG+은/JX
오히려	오히려/MAG
5%와	5/SN+%/SW+와/JC
6%	6/SN+%/SW
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.25.5.4
박애란 IBK투자증권 연구원은 “빙그레는 3분기 판매관리비용도 작년 동기 대비 6.6% 줄였다”며 “다만 12%가 오른 원유 가격을 제품 가격에 반영하지 못한 것과 수출이 지난해보다 24%가량 줄어 타격이 컸다”고 설명했다.

박애란	박애란/NNP
IBK투자증권	IBK투자증권/NNP
연구원은	연구원/NNG+은/JX
“빙그레는	“/SS+빙그레/NNP+는/JX
3분기	3/SN+분기/NNG
판매관리비용도	판매/NNG+관리/NNG+비용/NNG+도/JX
작년	작년/NNG
동기	동기/NNG
대비	대비/NNG
6.6%	6/SN+./SP+6/SN+%/SW
줄였다”며	줄이/VV+었/EP+다/EF+”/SS+며/EC
“다만	“/SS+다만/MAG
12%가	12/SN+%/SW+가/JKS
오른	오르/VV+ㄴ/ETM
