# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.372
metadata : {}


# id : NWRW1800000048.372.1.1
[최재봉의 문학으로] 표절과 문학권력을 넘어서

[최재봉의	[/SS+최재봉/NNP+의/JKG
문학으로]	문학/NNG+으로/JKB+]/SS
표절과	표절/NNG+과/JKB
문학권력을	문학/NNG+권력/NNG+을/JKO
넘어서	넘/VV+어서/EC


# id : NWRW1800000048.372.2.1
폭풍 같은 한달이었다.

폭풍	폭풍/NNG
같은	같/VA+은/ETM
한달이었다.	한/MMN+달/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.372.2.2
신경숙의 표절을 고발한 이응준의 <허핑턴포스트> 기고 이후 한달, 한국 문학은 유례없는 사회적 관심과 언론의 조명 대상이 되었다.

신경숙의	신경숙/NNP+의/JKG
표절을	표절/NNG+을/JKO
고발한	고발/NNG+하/XSV+ㄴ/ETM
이응준의	이응준/NNP+의/JKG
<허핑턴포스트>	</SS+허핑턴포스트/NNP+>/SS
기고	기고/NNG
이후	이후/NNG
한달,	한/MMN+달/NNB+,/SP
한국	한국/NNP
문학은	문학/NNG+은/JX
유례없는	유례없/VA+는/ETM
사회적	사회/NNG+적/XSN
관심과	관심/NNG+과/JC
언론의	언론/NNG+의/JKG
조명	조명/NNG
대상이	대상/NNG+이/JKC
되었다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.372.2.3
노벨문학상 수상자가 나온다면 모를까, 이런 정도의 열기를 다시 기대하기란 아마도 무망할 것이다.

노벨문학상	노벨/NNP+문학상/NNG
수상자가	수상자/NNG+가/JKS
나온다면	나오/VV+ㄴ다면/EC
모를까,	모르/VV+ㄹ까/EF+,/SP
이런	이런/MMD
정도의	정도/NNG+의/JKG
열기를	열기/NNG+를/JKO
다시	다시/MAG
기대하기란	기대/NNG+하/XSV+기/ETN+란/JX
아마도	아마도/MAG
무망할	무망하/VA+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.372.2.4
“올해 문학계의 최고 흥행작은 작품이 아니라 스캔들이 될 모양”이라고 젊은 평론가 임태훈은 비꼬듯 말했다.

“올해	“/SS+올해/NNG
문학계의	문학/NNG+계/XSN+의/JKG
최고	최고/NNG
흥행작은	흥행작/NNG+은/JX
작품이	작품/NNG+이/JKC
아니라	아니/VCN+라/EC
스캔들이	스캔들/NNG+이/JKC
될	되/VV+ㄹ/ETM
모양”이라고	모양/NNG+”/SS+이라고/JKQ
젊은	젊/VA+은/ETM
평론가	평론가/NNG
임태훈은	임태훈/NNP+은/JX
비꼬듯	비꼬/VV+듯/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.372.2.5
15일 문화연대와 인문학협동조합 공동 주최로 열린 ‘신경숙 표절 사태와 한국문학의 미래’ 토론회에서였다.

15일	15/SN+일/NNB
문화연대와	문화연대/NNP+와/JC
인문학협동조합	인문학협동조합/NNP
공동	공동/NNG
주최로	주최/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
‘신경숙	‘/SS+신경숙/NNP
표절	표절/NNG
사태와	사태/NNG+와/JC
한국문학의	한국/NNP+문학/NNG+의/JKG
미래’	미래/NNG+’/SS
토론회에서였다.	토론회/NNG+에서/JKB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.372.3.1
비슷한 토론회가 먼저도 있었다.

비슷한	비슷하/VA+ㄴ/ETM
토론회가	토론회/NNG+가/JKS
먼저도	먼저/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000048.372.3.2
6월23일 한국작가회의와 문화연대가 ‘최근의 표절 사태와 한국 문학권력의 현재’라는 이름으로 마련한 토론회였다.

6월23일	6/SN+월/NNB+23/SN+일/NNB
한국작가회의와	한국작가회의/NNP+와/JC
문화연대가	문화연대/NNP+가/JKS
‘최근의	‘/SS+최근/NNG+의/JKG
표절	표절/NNG
사태와	사태/NNG+와/JC
한국	한국/NNP
문학권력의	문학/NNG+권력/NNG+의/JKG
현재’라는	현재/NNG+’/SS+이/VCP+라는/ETM
이름으로	이름/NNG+으로/JKB
마련한	마련/NNG+하/XSV+ㄴ/ETM
토론회였다.	토론회/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.372.3.3
불과 한달새 두차례 토론회가 열렸다는 것은 그만큼 사안이 긴급하고 심각하다는 뜻일 테다.

불과	불과/MAG
한달새	한/MMN+달/NNB+새/NNG
두차례	두/MMN+차례/NNG
토론회가	토론회/NNG+가/JKS
열렸다는	열리/VV+었/EP+다는/ETM
것은	것/NNB+은/JX
그만큼	그만큼/NNG
사안이	사안/NNG+이/JKS
긴급하고	긴급/NNG+하/XSA+고/EC
심각하다는	심각하/VA+다는/ETM
뜻일	뜻/NNG+이/VCP+ㄹ/ETM
테다.	터/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.372.3.4
그렇다면 두 토론회를 거치면서 그리고 그사이 쏟아진 언론 보도와 에스엔에스(SNS) 여론 등을 통해 한국 문학은 문제를 인식하고 대안을 마련하는 데 성공했는가.

그렇다면	그렇/VA+다면/EC
두	두/MMN
토론회를	토론회/NNG+를/JKO
거치면서	거치/VV+면서/EC
그리고	그리고/MAJ
그사이	그사이/NNG
쏟아진	쏟아지/VV+ㄴ/ETM
언론	언론/NNG
보도와	보도/NNG+와/JC
에스엔에스(SNS)	에스엔에스/NNG+(/SS+SNS/SL+)/SS
여론	여론/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
한국	한국/NNP
문학은	문학/NNG+은/JX
문제를	문제/NNG+를/JKO
인식하고	인식/NNG+하/XSV+고/EC
대안을	대안/NNG+을/JKO
마련하는	마련/NNG+하/XSV+는/ETM
데	데/NNB
성공했는가.	성공/NNG+하/XSV+았/EP+는가/EF+./SF


# id : NWRW1800000048.372.4.1
신경숙의 표절 사실 자체에 대해서는 대체로 공감대가 이루어진 것 같다.

신경숙의	신경숙/NNP+의/JKG
표절	표절/NNG
사실	사실/NNG
자체에	자체/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
대체로	대체로/MAG
공감대가	공감대/NNG+가/JKS
이루어진	이루어지/VV+ㄴ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000048.372.4.2
평론가 윤지관이 14일 “미숙한 시인은 흉내 내지만 성숙한 시인은 훔친다”는 엘리엇의 말을 인용하며 표절이 아니라는 견해를 밝혔지만, 그다지 많은 호응을 얻지는 못했다.

평론가	평론가/NNG
윤지관이	윤지관/NNP+이/JKS
14일	14/SN+일/NNB
“미숙한	“/SS+미숙/NNG+하/XSA+ㄴ/ETM
시인은	시인/NNG+은/JX
흉내	흉내/NNG
내지만	내/VV+지만/EC
성숙한	성숙/NNG+하/XSA+ㄴ/ETM
훔친다”는	훔치/VV+ㄴ다/EF+”/SS+는/ETM
엘리엇의	엘리엇/NNP+의/JKG
말을	말/NNG+을/JKO
인용하며	인용/NNG+하/XSV+며/EC
표절이	표절/NNG+이/JKC
아니라는	아니/VCN+라는/ETM
견해를	견해/NNG+를/JKO
밝혔지만,	밝히/VV+었/EP+지만/EC+,/SP
그다지	그다지/MAG
많은	많/VA+은/ETM
호응을	호응/NNG+을/JKO
얻지는	얻/VV+지/EC+는/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.372.4.3
창작 행위가 모방과 극복의 메커니즘이라는 사실을 강조한 것까지는 좋았는데, “‘전설’에서 신경숙은 자신이 엘리엇이 말하는 ‘좋은 시인’임을 보여주었다”는 대목은 여론의 공분을 불러일으킨 창비 문학출판부의 궤변을 다시 보는 느낌을 주었다.

창작	창작/NNG
행위가	행위/NNG+가/JKS
모방과	모방/NNG+과/JC
극복의	극복/NNG+의/JKG
메커니즘이라는	메커니즘/NNG+이/VCP+라는/ETM
사실을	사실/NNG+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
것까지는	것/NNB+까지/JX+는/JX
좋았는데,	좋/VA+았/EP+는데/EC+,/SP
“‘전설’에서	“/SS+‘/SS+전설/NNP+’/SS+에서/JKB
신경숙은	신경숙/NNP+은/JX
자신이	자신/NNG+이/JKS
엘리엇이	엘리엇/NNP+이/JKS
말하는	말/NNG+하/XSV+는/ETM
‘좋은	‘/SS+좋/VA+은/ETM
시인’임을	시인/NNG+’/SS+이/VCP+ㅁ/ETN+을/JKO
보여주었다”는	보이/VV+어/EC+주/VX+었/EP+다/EF+”/SS+는/ETM
대목은	대목/NNG+은/JX
여론의	여론/NNG+의/JKG
공분을	공분/NNG+을/JKO
불러일으킨	불러일으키/VV+ㄴ/ETM
창비	창비/NNP
문학출판부의	문학/NNG+출판부/NNG+의/JKG
궤변을	궤변/NNG+을/JKO
다시	다시/MAG
보는	보/VV+는/ETM
느낌을	느낌/NNG+을/JKO
주었다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.372.5.1
표절을 방지하고 찾아내며 처벌하기 위한 방안 마련도 소홀히 다룰 일은 아니지만, 사태 발생 뒤 한층 절박한 과제로 대두한 것이 문학권력 문제다.

표절을	표절/NNG+을/JKO
방지하고	방지/NNG+하/XSV+고/EC
찾아내며	찾아내/VV+며/EC
처벌하기	처벌/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
방안	방안/NNG
마련도	마련/NNG+도/JX
소홀히	소홀히/MAG
다룰	다루/VV+ㄹ/ETM
일은	일/NNG+은/JX
아니지만,	아니/VCN+지만/EC+,/SP
사태	사태/NNG
발생	발생/NNG
뒤	뒤/NNG
한층	한층/MAG
절박한	절박하/VA+ㄴ/ETM
과제로	과제/NNG+로/JKB
대두한	대두/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
문학권력	문학/NNG+권력/NNG
문제다.	문제/NNG+이/VCP+다/EF+./SF


