# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.180
metadata : {}


# id : NWRW1800000038.180.1.1
[기자수첩] "예산 부족에 학부모 무관심까지… 자유학기제, 그리 쉽지 않던데요"

[기자수첩]	[/SS+기자/NNG+수첩/NNG+]/SS
"예산	"/SS+예산/NNG
부족에	부족/NNG+에/JKB
학부모	학부모/NNG
무관심까지…	무/XPN+관심/NNG+까지/JX+…/SE
자유학기제,	자유/NNG+학기/NNG+제/XSN+,/SP
그리	그리/MAG
쉽지	쉽/VA+지/EC
않던데요"	않/VX+던데/EF+요/JX+"/SS


# id : NWRW1800000038.180.2.1
29일 경기도 부천의 한 중학교 교사 A씨와 연락이 닿았다.

29일	29/SN+일/NNB
경기도	경기도/NNP
부천의	부천/NNP+의/JKG
한	한/MMN
중학교	중학교/NNG
교사	교사/NNG
A씨와	A/SL+씨/NNB+와/JKB
연락이	연락/NNG+이/JKS
닿았다.	닿/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.180.2.2
교육부가 '자유학기제가 추구하는 방향과 유사하게 진로 수업 잘해온 학교'라며 추천한 학교였다.

교육부가	교육부/NNG+가/JKS
'자유학기제가	'/SS+자유/NNG+학기/NNG+제/XSN+가/JKS
추구하는	추구/NNG+하/XSV+는/ETM
방향과	방향/NNG+과/JKB
유사하게	유사/NNG+하/XSA+게/EC
진로	진로/NNG
수업	수업/NNG
잘해온	잘/MAG+하/XSV+아/EC+오/VX+ㄴ/ETM
학교'라며	학교/NNG+'/SS+이/VCP+라며/EC
추천한	추천/NNG+하/XSV+ㄴ/ETM
학교였다.	학교/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.180.2.3
하지만 A교사는 "우리도 2011년 한 해밖에 못 했다. 지난해에는 흐지부지됐다. 올해는 안 하고 있다"고 말했다.

하지만	하지만/MAJ
A교사는	A/SL+교사/NNG+는/JX
"우리도	"/SS+우리/NP+도/JX
2011년	2011/SN+년/NNB
한	한/MMN
해밖에	해/NNB+밖에/JX
못	못/MAG
했다.	하/VV+았/EP+다/EF+./SF
지난해에는	지난해/NNG+에/JKB+는/JX
흐지부지됐다.	흐지부지/MAG+되/XSV+었/EP+다/EF+./SF
올해는	올해/NNG+는/JX
안	안/MAG
하고	하/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.180.3.1
이 학교는 지난 2011년 한국직업능력개발원(직능원)과 서울시청소년직업센터(하자센터)의 도움을 받아 진로교육을 했다.

이	이/MMD
학교는	학교/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2011년	2011/SN+년/NNB
한국직업능력개발원(직능원)과	한국직업능력개발원/NNP+(/SS+직능원/NNP+)/SS+과/JC
서울시청소년직업센터(하자센터)의	서울시청소년직업센터/NNP+(/SS+하자센터/NNP+)/SS+의/JKG
도움을	도움/NNG+을/JKO
받아	받/VV+아/EC
진로교육을	진로/NNG+교육/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.180.3.2
'진로와 직업' 과목을 선택한 중1 학생들이 대상이었다.

'진로와	'/SS+진로/NNG+와/JC
직업'	직업/NNG+'/SS
과목을	과목/NNG+을/JKO
선택한	선택/NNG+하/XSV+ㄴ/ETM
중1	중/NNG+1/SN
학생들이	학생/NNG+들/XSN+이/JKS
대상이었다.	대상/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.180.3.3
학생들은 매주 금요일 5~7교시 3시간, 연간 110여 시간의 진로 탐색·체험 교육을 받았다.

학생들은	학생/NNG+들/XSN+은/JX
매주	매주/MAG
금요일	금요일/NNG
5~7교시	5/SN+~/SO+7/SN+교시/NNB
3시간,	3/SN+시간/NNB+,/SP
연간	연간/NNG
110여	110/SN+여/XSN
시간의	시간/NNB+의/JKG
진로	진로/NNG
탐색·체험	탐색/NNG+·/SP+체험/NNG
교육을	교육/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.180.3.4
직업 체험, 직업인과의 대화, 직업 탐색은 물론 학생들이 직접 기업을 세우고 상품을 기획하고 판매하는 모의 창업 수업도 했다.

직업	직업/NNG
체험,	체험/NNG+,/SP
직업인과의	직업인/NNG+과/JKB+의/JKG
대화,	대화/NNG+,/SP
탐색은	탐색/NNG+은/JX
물론	물론/MAG
학생들이	학생/NNG+들/XSN+이/JKS
직접	직접/MAG
기업을	기업/NNG+을/JKO
세우고	세우/VV+고/EC
상품을	상품/NNG+을/JKO
기획하고	기획/NNG+하/XSV+고/EC
판매하는	판매/NNG+하/XSV+는/ETM
모의	모의/NNG
창업	창업/NNG
수업도	수업/NNG+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.180.4.1
학생들은 "직업을 선택하는 데 성적만이 중요한 것은 아니라는 것을 알았다" "돈을 많이 버는 의사보다 농부가 더 행복해 보인다" "그냥 약사가 아닌 '신약을 개발하는 약사'가 되겠다는 구체적인 꿈이 생겼다"는 등의 소감을 쏟아냈다.

학생들은	학생/NNG+들/XSN+은/JX
"직업을	"/SS+직업/NNG+을/JKO
선택하는	선택/NNG+하/XSV+는/ETM
데	데/NNB
성적만이	성적/NNG+만/JX+이/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
아니라는	아니/VCN+라는/ETM
것을	것/NNB+을/JKO
알았다"	알/VV+았/EP+다/EF+"/SS
"돈을	"/SS+돈/NNG+을/JKO
많이	많이/MAG
버는	벌/VV+는/ETM
의사보다	의사/NNG+보다/JKB
농부가	농부/NNG+가/JKS
더	더/MAG
행복해	행복/NNG+하/XSA+아/EC
보인다"	보이/VV+ㄴ다/EF+"/SS
"그냥	"/SS+그냥/MAG
약사가	약사/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
'신약을	'/SS+신약/NNG+을/JKO
개발하는	개발/NNG+하/XSV+는/ETM
약사'가	약사/NNG+'/SS+가/JKC
되겠다는	되/VV+겠/EP+다는/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
꿈이	꿈/NNG+이/JKS
생겼다"는	생기/VV+었/EP+다/EF+"/SS+는/ETM
등의	등/NNB+의/JKG
소감을	소감/NNG+을/JKO
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.180.4.2
교사들도 "공교육에서 진로 프로그램을 강화해야 할 필요성을 느낀다"고 한목소리를 냈다.

교사들도	교사/NNG+들/XSN+도/JX
"공교육에서	"/SS+공교육/NNG+에서/JKB
진로	진로/NNG
프로그램을	프로그램/NNG+을/JKO
강화해야	강화/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
필요성을	필요/NNG+성/XSN+을/JKO
느낀다"고	느끼/VV+ㄴ다/EF+"/SS+고/JKQ
한목소리를	한목소리/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.180.5.1
그런데 왜 진로 수업을 계속하지 못했을까.

그런데	그런데/MAJ
왜	왜/MAG
진로	진로/NNG
수업을	수업/NNG+을/JKO
계속하지	계속/NNG+하/XSV+지/EC
못했을까.	못하/VX+았/EP+을까/EF+./SF


# id : NWRW1800000038.180.5.2
먼저 예산이 없었다.

먼저	먼저/MAG
예산이	예산/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.180.5.3
직능원의 지원이 끊기니, 강의와 교사 연수 등에 드는 비용을 학교가 직접 대야 했다.

직능원의	직능원/NNP+의/JKG
지원이	지원/NNG+이/JKS
끊기니,	끊기/VV+니/EC+,/SP
강의와	강의/NNG+와/JC
교사	교사/NNG
연수	연수/NNG
등에	등/NNB+에/JKB
드는	들/VV+는/ETM
비용을	비용/NNG+을/JKO
학교가	학교/NNG+가/JKS
직접	직접/MAG
대야	대/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.180.5.4
강사를 찾는 것도 힘들었다.

강사를	강사/NNG+를/JKO
찾는	찾/VV+는/ETM
것도	것/NNB+도/JX
힘들었다.	힘들/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.180.5.5
지역사회의 협조도 잘 받지 못했다.
