# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.364
metadata : {}


# id : NWRW1800000025.364.1.1
총알 탄 커플 “인생트랙 함께 달려요”

총알	총알/NNG
탄	타/VV+ㄴ/ETM
커플	커플/NNG
“인생트랙	“/SS+인생/NNG+트랙/NNG
함께	함께/MAG
달려요”	달리/VV+어요/EF+”/SS


# id : NWRW1800000025.364.2.1
100m를 10초 남짓한 시간에 달리는 육상 단거리 선수.

100m를	100/SN+m/SW+를/JKO
10초	10/SN+초/NNB
남짓한	남짓/NNB+하/XSA+ㄴ/ETM
시간에	시간/NNG+에/JKB
달리는	달리/VV+는/ETM
육상	육상/NNG
단거리	단거리/NNG
선수.	선수/NNG+./SF


# id : NWRW1800000025.364.2.2
세상에서 가장 빠른 인간을 꿈꾸는 그들이지만 사랑마저 서두르진 않았다.

세상에서	세상/NNG+에서/JKB
가장	가장/MAG
빠른	빠르/VA+ㄴ/ETM
인간을	인간/NNG+을/JKO
꿈꾸는	꿈꾸/VV+는/ETM
그들이지만	그/NP+들/XSN+이/VCP+지만/EC
사랑마저	사랑/NNG+마저/JX
서두르진	서두르/VV+지/EC+ㄴ/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.364.2.3
오랜 시간 서로를 지켜봤고 조심스레 만남을 시작했다.

오랜	오랜/MMA
시간	시간/NNG
서로를	서로/NNG+를/JKO
지켜봤고	지켜보/VV+았/EP+고/EC
조심스레	조심스레/MAG
만남을	만남/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.364.2.4
그리고 서로의 트랙에 평생 탄탄대로가 돼주기로 약속했다.

그리고	그리고/MAJ
서로의	서로/NNG+의/JKG
트랙에	트랙/NNG+에/JKB
평생	평생/NNG
탄탄대로가	탄탄대로/NNG+가/JKC
돼주기로	되/VV+어/EC+주/VX+기/ETN+로/JKB
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.364.3.1
‘총알 탄 커플’ 임희남(26·광주시청)과 김하나(25·안동시청)가 12일 서울 서초구 잠원동 더 리버사이드 호텔에서 결혼식을 올리고 부부가 됐다.

‘총알	‘/SS+총알/NNG
탄	타/VV+ㄴ/ETM
커플’	커플/NNG+’/SS
임희남(26·광주시청)과	임희남/NNP+(/SS+26/SN+·/SP+광주시청/NNP+)/SS+과/JC
김하나(25·안동시청)가	김하나/NNP+(/SS+25/SN+·/SP+안동시청/NNP+)/SS+가/JKS
12일	12/SN+일/NNB
서울	서울/NNP
서초구	서초구/NNP
잠원동	잠원동/NNP
더	더/NNP
리버사이드	리버사이드/NNP
호텔에서	호텔/NNG+에서/JKB
결혼식을	결혼식/NNG+을/JKO
올리고	올리/VV+고/EC
부부가	부부/NNG+가/JKS
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.364.3.2
2005년 합숙 훈련 때 가까워진 둘은 2년 전부터 본격적으로 교제를 시작했다.

2005년	2005/SN+년/NNB
합숙	합숙/NNG
훈련	훈련/NNG
때	때/NNG
가까워진	가깝/VA+어/EC+지/VX+ㄴ/ETM
둘은	둘/NR+은/JX
2년	2/SN+년/NNB
전부터	전/NNG+부터/JX
본격적으로	본격/NNG+적/XSN+으로/JKB
교제를	교제/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.364.4.1
임희남은 한국 남자 100m의 간판스타.

임희남은	임희남/NNP+은/JX
한국	한국/NNP
남자	남자/NNG
100m의	100/SN+m/SW+의/JKG
간판스타.	간판스타/NNG+./SF


# id : NWRW1800000025.364.4.2
2007년 전국육상경기선수권에서 10초36(초속 2.1m 뒷바람으로 비공인)을 기록해 1979년 서말구가 세운 한국 기록(10초34)을 깰 후보 1순위로 평가받았다.

2007년	2007/SN+년/NNB
