# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.192
metadata : {}


# id : NWRW1800000041.192.1.1
올 수능영어 ‘듣기-빈칸’ 줄이고 ‘읽기’ 늘려

올	올/NNG
수능영어	수능/NNG+영어/NNP
‘듣기-빈칸’	‘/SS+듣기/NNG+-/SO+빈칸/NNG+’/SS
줄이고	줄이/VV+고/EC
‘읽기’	‘/SS+읽/VV+기/ETN+’/SS
늘려	늘리/VV+어/EF


# id : NWRW1800000041.192.2.1
교육과정평가원 수능계획 발표 영어 선택형 폐지하고 쉽게 출제… 국어-수학중 하나만 B형 선택 가능

교육과정평가원	교육과정평가원/NNP
수능계획	수능/NNG+계획/NNG
발표	발표/NNG
영어	영어/NNP
선택형	선택/NNG+형/XSN
폐지하고	폐지/NNG+하/XSV+고/EC
쉽게	쉽/VA+게/EC
출제…	출제/NNG+…/SE
국어-수학중	국어/NNG+-/SO+수학/NNG+중/NNB
하나만	하나/NR+만/JX
B형	B/SL+형/XSN
선택	선택/NNG
가능	가능/NNG


# id : NWRW1800000041.192.3.1
2015학년도 대학수학능력시험에선 국어 수학은 A, B형의 선택형을 그대로 유지하고 영어는 선택형을 폐지한다.

2015학년도	2015/SN+학년도/NNG
대학수학능력시험에선	대학/NNG+수학/NNG+능력/NNG+시험/NNG+에서/JKB+ㄴ/JX
국어	국어/NNG
수학은	수학/NNG+은/JX
A,	A/SL+,/SP
B형의	B/SL+형/XSN+의/JKG
선택형을	선택/NNG+형/XSN+을/JKO
그대로	그대로/MAG
유지하고	유지/NNG+하/XSV+고/EC
영어는	영어/NNP+는/JX
폐지한다.	폐지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.192.3.2
A형은 문제가 쉽고 B형은 어렵다.

A형은	A/SL+형/XSN+은/JX
문제가	문제/NNG+가/JKS
쉽고	쉽/VA+고/EC
B형은	B/SL+형/XSN+은/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000041.192.4.1
