# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.462
metadata : {}


# id : NWRW1800000022.462.1.1
예산·부수법안 '동시 전투' 치러야;'절대과반' 與, 예결위·본회의 '두번 단독처리' 가능할까_"뜻대로 안되네"… 한나라의 고민거리

예산·부수법안	예산/NNG+·/SP+부수/NNG+법안/NNG
'동시	'/SS+동시/NNG
전투'	전투/NNG+'/SS
치러야;'절대과반'	치르/VV+어야/EC+;/SW+'/SS+절대/NNG+과반/NNG+'/SS
與,	與/SH+,/SP
예결위·본회의	예결위/NNG+·/SP+본회의/NNG
'두번	'/SS+두/MMN+번/NNB
단독처리'	단독/NNG+처리/NNG+'/SS
가능할까_"뜻대로	가능/NNG+하/XSA+ㄹ까/EF+_/SW+"/SS+뜻대로/MAG
안되네"…	안/MAG+되/XSV+네/EF+"/SS+…/SE
한나라의	한나라/NNP+의/JKG
고민거리	고민거리/NNG


# id : NWRW1800000022.462.2.1
국회법 84조 8항은 '예결특위는 세목·세율과 관계있는 법률의 제정 또는 개정을 전제로 미리 제출된 세입예산안은 심사할 수 없다'고 돼 있다.

국회법	국회법/NNG
84조	84/SN+조/NNB
8항은	8/SN+항/NNG+은/JX
'예결특위는	'/SS+예결특위/NNG+는/JX
세목·세율과	세목/NNG+·/SP+세율/NNG+과/JKB
관계있는	관계/NNG+있/VA+는/ETM
법률의	법률/NNG+의/JKG
제정	제정/NNG
또는	또는/MAG
개정을	개정/NNG+을/JKO
전제로	전제/NNG+로/JKB
미리	미리/MAG
제출된	제출/NNG+되/XSV+ㄴ/ETM
세입예산안은	세입/NNG+예산안/NNG+은/JX
심사할	심사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다'고	없/VA+다/EF+'/SS+고/JKQ
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.462.2.2
예산안은 세수 확보 또는 예산 집행의 법적 근거가 되는 부수법안과 함께 처리해야 한다는 뜻이다.

예산안은	예산안/NNG+은/JX
세수	세수/NNG
확보	확보/NNG
또는	또는/MAG
예산	예산/NNG
집행의	집행/NNG+의/JKG
법적	법/NNG+적/XSN
근거가	근거/NNG+가/JKC
되는	되/VV+는/ETM
부수법안과	부수/NNG+법안/NNG+과/JKB
함께	함께/MAG
처리해야	처리/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.462.2.3
정상적인 내년도 예산 집행을 위해 여당은 예산안 처리뿐 아니라 예산부수법안 처리의 산도 함께 넘어야 한다는 것이다.

정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
내년도	내년도/NNG
예산	예산/NNG
집행을	집행/NNG+을/JKO
위해	위하/VV+아/EC
여당은	여당/NNG+은/JX
예산안	예산안/NNG
처리뿐	처리/NNG+뿐/JX
아니라	아니/VCN+라/EC
예산부수법안	예산/NNG+부수/NNG+법안/NNG
처리의	처리/NNG+의/JKG
산도	산/NNG+도/JX
함께	함께/MAG
넘어야	넘/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.462.3.1
이 때문에 한나라당 지도부는 28일 "예산부수법안 중 특히 세입 관련 법안은 무엇보다 빨리 통과돼야 한다"며 "해당 법안들이 대부분 법사위에 계류돼 있는데, 빨리 처리할 수 있도록 의원들을 독려하고 있다"고 했다.

이	이/MMD
때문에	때문/NNB+에/JKB
한나라당	한나라당/NNP
지도부는	지도부/NNG+는/JX
28일	28/SN+일/NNB
"예산부수법안	"/SS+예산/NNG+부수/NNG+법안/NNG
중	중/NNB
특히	특히/MAG
세입	세입/NNG
관련	관련/NNG
법안은	법안/NNG+은/JX
무엇보다	무엇/NP+보다/JKB
빨리	빨리/MAG
통과돼야	통과/NNG+되/XSV+어야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"해당	"/SS+해당/NNG
법안들이	법안/NNG+들/XSN+이/JKS
대부분	대/XPN+부분/NNG
법사위에	법사위/NNG+에/JKB
계류돼	계류/NNG+되/XSV+어/EC
있는데,	있/VX+는데/EC+,/SP
처리할	처리/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
의원들을	의원/NNG+들/XSN+을/JKO
독려하고	독려/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.462.3.2
당내에서는 "본회의장에서 예산안 전쟁을 치르기에 앞서, 법사위에서 부수법안 전투를 벌여야 하는 것 아니냐"는 걱정이 나오고 있다.

당내에서는	당내/NNG+에서/JKB+는/JX
"본회의장에서	"/SS+본회의장/NNG+에서/JKB
예산안	예산안/NNG
전쟁을	전쟁/NNG+을/JKO
치르기에	치르/VV+기/ETN+에/JKB
앞서,	앞서/VV+어/EC+,/SP
법사위에서	법사위/NNG+에서/JKB
부수법안	부수/NNG+법안/NNG
전투를	전투/NNG+를/JKO
벌여야	벌이/VV+어야/EC
하는	하/VX+는/ETM
것	것/NNB
아니냐"는	아니/VCN+냐/EF+"/SS+는/ETM
걱정이	걱정/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.462.3.3
법사위 위원장이 야당 소속이기 때문이다.

법사위	법사위/NNG
위원장이	위원장/NNG+이/JKS
야당	야당/NNG
소속이기	소속/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.462.4.1
