# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.311
metadata : {}


# id : NWRW1800000024.311.1.1
민주 “용산참사·방송법 놔둔채 화해·통합이라니…”

민주	민주/NNP
“용산참사·방송법	“/SS+용산/NNP+참사/NNG+·/SP+방송법/NNG
놔둔채	놔두/VV+ㄴ/ETM+채/NNB
화해·통합이라니…”	화해/NNG+·/SP+통합/NNG+이/VCP+라니/EC+…/SE+”/SS


# id : NWRW1800000024.311.2.1
민주당은 24일 정부·여당이 김대중 전 대통령의 화해와 통합의 뜻을 받들려면 사회적 갈등과 상처를 치유하려는 자세부터 보여야 한다고 강조했다.

민주당은	민주당/NNP+은/JX
24일	24/SN+일/NNB
정부·여당이	정부/NNG+·/SP+여당/NNG+이/JKS
김대중	김대중/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
화해와	화해/NNG+와/JC
통합의	통합/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
받들려면	받들/VV+려면/EC
사회적	사회/NNG+적/XSN
갈등과	갈등/NNG+과/JC
상처를	상처/NNG+를/JKO
치유하려는	치유/NNG+하/XSV+려는/ETM
자세부터	자세/NNG+부터/JX
보여야	보이/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.311.3.1
송영길 최고위원은 이날 최고위원회의에서 “이명박 대통령이 전임 대통령의 업적을 기리겠다고 한다면 이제 ‘잃어버린 10년’이란 말로 더이상 김대중·노무현 전 대통령 정권의 역사를 부정해선 안 된다”고 말했다.

송영길	송영길/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
이날	이날/NNG
최고위원회의에서	최고/NNG+위원/NNG+회의/NNG+에서/JKB
“이명박	“/SS+이명박/NNP
대통령이	대통령/NNG+이/JKS
전임	전임/NNG
대통령의	대통령/NNG+의/JKG
업적을	업적/NNG+을/JKO
기리겠다고	기리/VV+겠/EP+다고/EC
한다면	하/VV+ㄴ다면/EC
이제	이제/MAG
‘잃어버린	‘/SS+잃어버리/VV+ㄴ/ETM
10년’이란	10/SN+년/NNB+’/SS+이/VCP+란/ETM
말로	말/NNG+로/JKB
더이상	더/MAG+이상/NNG
김대중·노무현	김대중/NNP+·/SP+노무현/NNP
전	전/MMD
대통령	대통령/NNG
정권의	정권/NNG+의/JKG
역사를	역사/NNG+를/JKO
부정해선	부정/NNG+하/XSV+아서/EC+ㄴ/JX
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.311.3.2
그는 또 “7개월째 계속되는 용산 참사 문제조차 해결하지 않고 통합을 말하는 건 말도 안 된다”며 “유족과 대화부터 하라”고 요구했다.

그는	그/NP+는/JX
또	또/MAG
“7개월째	“/SS+7/SN+개월/NNB+째/XSN
계속되는	계속/NNG+되/XSV+는/ETM
용산	용산/NNP
참사	참사/NNG
문제조차	문제/NNG+조차/JX
해결하지	해결/NNG+하/XSV+지/EC
않고	않/VX+고/EC
통합을	통합/NNG+을/JKO
말하는	말/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
말도	말/NNG+도/JX
안	안/MAG
된다”며	되/VV+ㄴ다/EF+”/SS+며/EC
“유족과	“/SS+유족/NNG+과/JKB
대화부터	대화/NNG+부터/JX
하라”고	하/VV+라/EF+”/SS+고/JKQ
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.311.4.1
김진표 최고위원도 “이명박 정부는 김대중 전 대통령이 외환위기를 조기에 극복할 때 펼친 따뜻한 시장경제, 친서민·친중산층 시장경제 리더십을 배워야 한다”며 “김 전 대통령이 경제위기 극복을 위해 계파와 정파를 가리지 않고 유능한 사람을 썼던 탕평인사를 국정에 반영해야 한다”고 말했다.

김진표	김진표/NNP
최고위원도	최고/NNG+위원/NNG+도/JX
“이명박	“/SS+이명박/NNP
정부는	정부/NNG+는/JX
김대중	김대중/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
외환위기를	외환/NNG+위기/NNG+를/JKO
조기에	조기/NNG+에/JKB
극복할	극복/NNG+하/XSV+ㄹ/ETM
때	때/NNG
펼친	펼치/VV+ㄴ/ETM
따뜻한	따뜻하/VA+ㄴ/ETM
시장경제,	시장/NNG+경제/NNG+,/SP
친서민·친중산층	친/XPN+서민/NNG+·/SP+친/XPN+중산/NNG+층/XSN
시장경제	시장/NNG+경제/NNG
리더십을	리더십/NNG+을/JKO
배워야	배우/VV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“김	“/SS+김/NNP
경제위기	경제/NNG+위기/NNG
극복을	극복/NNG+을/JKO
위해	위하/VV+아/EC
계파와	계파/NNG+와/JC
정파를	정파/NNG+를/JKO
가리지	가리/VV+지/EC
않고	않/VX+고/EC
유능한	유능/NNG+하/XSA+ㄴ/ETM
사람을	사람/NNG+을/JKO
썼던	쓰/VV+었/EP+던/ETM
탕평인사를	탕평/NNG+인사/NNG+를/JKO
국정에	국정/NNG+에/JKB
반영해야	반영/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.311.5.1
안희정 최고위원은 “화합과 통합을 이명박 대통령 본인이 말하면 경우 없는 말씀”이라고 비판했다.

안희정	안희정/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
“화합과	“/SS+화합/NNG+과/JC
통합을	통합/NNG+을/JKO
이명박	이명박/NNP
대통령	대통령/NNG
본인이	본인/NNG+이/JKS
말하면	말/NNG+하/XSV+면/EC
경우	경우/NNG
없는	없/VA+는/ETM
말씀”이라고	말씀/NNG+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.311.5.2
여권이 화해와 통합을 야권에서 먼저 풀어야 한다는 식으로 얘기하는 건 적반하장이라는 얘기다.

여권이	여권/NNG+이/JKS
화해와	화해/NNG+와/JC
통합을	통합/NNG+을/JKO
야권에서	야권/NNG+에서/JKB
먼저	먼저/MAG
풀어야	풀/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
식으로	식/NNB+으로/JKB
얘기하는	얘기/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
적반하장이라는	적반하장/NNG+이/VCP+라는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.311.6.1
민주당은 또 ‘무효 논란’이 거센 언론법 강행처리 등과 같은 민감한 사안이 전혀 해결되지 않은 채 여당이 ‘화해·통합론’을 앞세워 야당의 항복을 받아내려 해선 안 된다고 지적했다.

민주당은	민주당/NNP+은/JX
또	또/MAG
‘무효	‘/SS+무효/NNG
논란’이	논란/NNG+’/SS+이/JKS
거센	거세/VA+ㄴ/ETM
언론법	언론/NNG+법/NNG
강행처리	강행/NNG+처리/NNG
등과	등/NNB+과/JKB
같은	같/VA+은/ETM
민감한	민감/NNG+하/XSA+ㄴ/ETM
사안이	사안/NNG+이/JKS
전혀	전혀/MAG
해결되지	해결/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
여당이	여당/NNG+이/JKS
‘화해·통합론’을	‘/SS+화해/NNG+·/SP+통합/NNG+론/XSN+’/SS+을/JKO
앞세워	앞세우/VV+어/EC
야당의	야당/NNG+의/JKG
항복을	항복/NNG+을/JKO
받아내려	받아내/VV+려/EC
해선	하/VX+아서/EC+ㄴ/JX
안	안/MAG
된다고	되/VV+ㄴ다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.311.6.2
우상호 대변인은 “김 전 대통령 서거를 계기로 우리 사회에 확산되는 화해와 통합의 분위기는 환영한다”면서도 “여야, 국민과 정부 사이에 놓인 갈등과 쟁점들이 다 없던 일처럼 치부하는 식으로 국면을 활용하는 건 옳지 않다”고 말했다.

우상호	우상호/NNP
대변인은	대변인/NNG+은/JX
“김	“/SS+김/NNP
전	전/MMD
대통령	대통령/NNG
서거를	서거/NNG+를/JKO
계기로	계기/NNG+로/JKB
우리	우리/NP
사회에	사회/NNG+에/JKB
확산되는	확산/NNG+되/XSV+는/ETM
화해와	화해/NNG+와/JC
통합의	통합/NNG+의/JKG
분위기는	분위기/NNG+는/JX
환영한다”면서도	환영/NNG+하/XSV+ㄴ다/EF+”/SS+면서/EC+도/JX
“여야,	“/SS+여야/NNG+,/SP
국민과	국민/NNG+과/JC
정부	정부/NNG
사이에	사이/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
갈등과	갈등/NNG+과/JC
쟁점들이	쟁점/NNG+들/XSN+이/JKS
다	다/MAG
없던	없/VA+던/ETM
일처럼	일/NNG+처럼/JKB
치부하는	치부/NNG+하/XSV+는/ETM
식으로	식/NNB+으로/JKB
국면을	국면/NNG+을/JKO
활용하는	활용/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
옳지	옳/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.311.6.3
우 대변인은 이어 “마치 그것이 장외로 쫓겨나온 야당이 해결해야 할 문제인 것처럼 접근하는 것은 본말이 전도된 얘기”라며 “문제를 풀어야 할 주체들이 통합과 화해, 용서의 정신을 배우고 실천해야 한다”고 말했다.

우	우/NNP
대변인은	대변인/NNG+은/JX
이어	이어/MAG
“마치	“/SS+마치/MAG
그것이	그것/NP+이/JKS
장외로	장외/NNG+로/JKB
쫓겨나온	쫓겨나오/VV+ㄴ/ETM
야당이	야당/NNG+이/JKS
해결해야	해결/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
문제인	문제/NNG+이/VCP+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
접근하는	접근/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
본말이	본말/NNG+이/JKS
전도된	전도/NNG+되/XSV+ㄴ/ETM
얘기”라며	얘기/NNG+”/SS+이/VCP+라며/EC
“문제를	“/SS+문제/NNG+를/JKO
풀어야	풀/VV+어야/EC
주체들이	주체/NNG+들/XSN+이/JKS
통합과	통합/NNG+과/JC
화해,	화해/NNG+,/SP
용서의	용서/NNG+의/JKG
정신을	정신/NNG+을/JKO
배우고	배우/VV+고/EC
실천해야	실천/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


