# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.277
metadata : {}


# id : NWRW1800000026.277.1.1
납품단가 인하 압력 대신 교육강화;대기업들, 中企와 상생 위해 교육·훈련 프로그램 확대

납품단가	납품/NNG+단가/NNG
인하	인하/NNG
압력	압력/NNG
대신	대신/NNG
교육강화;대기업들,	교육/NNG+강화/NNG+;/SP+대/XPN+기업/NNG+들/XSN+,/SP
中企와	中企/SH+와/JKB
상생	상생/NNG
위해	위하/VV+아/EC
교육·훈련	교육/NNG+·/SP+훈련/NNG
프로그램	프로그램/NNG
확대	확대/NNG


# id : NWRW1800000026.277.2.1
#1. "우주선을 만드는데 발사 실험을 할 때마다 실내의 백열등 유리 전구가 자꾸 깨지는 거예요.

#1.	#/SW+1/SN+./SF
"우주선을	"/SS+우주선/NNG+을/JKO
만드는데	만들/VV+는데/EC
발사	발사/NNG
실험을	실험/NNG+을/JKO
할	하/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
실내의	실내/NNG+의/JKG
백열등	백열등/NNG
유리	유리/NNG
전구가	전구/NNG+가/JKS
자꾸	자꾸/MAG
깨지는	깨지/VV+는/ETM
거예요.	거/NNB+이/VCP+에요/EF+./SF


# id : NWRW1800000026.277.2.2
어떻게 하시겠어요?

어떻게	어떻/VA+게/EC
하시겠어요?	하/VV+시/EP+겠/EP+어요/EF+?/SF


# id : NWRW1800000026.277.2.3
고정관념을 버리고 원점에서 시작해 봅시다.

고정관념을	고정/NNG+관념/NNG+을/JKO
버리고	버리/VV+고/EC
원점에서	원점/NNG+에서/JKB
시작해	시작/NNG+하/XSV+아/EC
봅시다.	보/VX+ㅂ시다/EF+./SF


# id : NWRW1800000026.277.2.4
유리가 왜 필요하죠?

유리가	유리/NNG+가/JKS
왜	왜/MAG
필요하죠?	필요/NNG+하/XSA+죠/EF+?/SF


# id : NWRW1800000026.277.2.5
전구 내부를 진공상태로 만들기 위해서죠.

전구	전구/NNG
내부를	내부/NNG+를/JKO
진공상태로	진공/NNG+상태/NNG+로/JKB
만들기	만들/VV+기/ETN
위해서죠.	위하/VV+아서/EC+이/VCP+죠/EF+./SF


# id : NWRW1800000026.277.2.6
그런데 우주는 원래 진공상태예요.

그런데	그런데/MAJ
우주는	우주/NNG+는/JX
원래	원래/MAG
진공상태예요.	진공/NNG+상태/NNG+이/VCP+에요/EF+./SF


# id : NWRW1800000026.277.2.7
그럼 가장 간단한 방법은 처음부터 전구의 유리 부분을 없애버리는 겁니다."

그럼	그럼/MAJ
가장	가장/MAG
간단한	간단하/VA+ㄴ/ETM
방법은	방법/NNG+은/JX
처음부터	처음/NNG+부터/JX
전구의	전구/NNG+의/JKG
유리	유리/NNG
부분을	부분/NNG+을/JKO
없애버리는	없애/VV+어/EC+버리/VX+는/ETM
겁니다."	거/NNB+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000026.277.3.1
9일 오후 2시 경북 구미시 비산동 LG전자 러닝(Learning)센터 3층 강의실.

9일	9/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
경북	경북/NNP
구미시	구미시/NNP
비산동	비산동/NNP
LG전자	LG전자/NNP
러닝(Learning)센터	러닝/NNG+(/SS+Learning/SL+)/SS+센터/NNG
3층	3/SN+층/NNG
강의실.	강의실/NNG+./SF


# id : NWRW1800000026.277.3.2
100㎡(30평) 남짓한 실내에 26명의 수강생이 빼곡히 들어앉아 진지한 표정으로 강사의 설명에 귀를 기울였다.

100㎡(30평)	100/SN+㎡/SW+(/SS+30/SN+평/NNB+)/SS
남짓한	남짓/NNB+하/XSA+ㄴ/ETM
실내에	실내/NNG+에/JKB
26명의	26/SN+명/NNB+의/JKG
수강생이	수강/NNG+생/XSN+이/JKS
빼곡히	빼곡히/MAG
들어앉아	들어앉/VV+아/EC
진지한	진지하/VA+ㄴ/ETM
표정으로	표정/NNG+으로/JKB
강사의	강사/NNG+의/JKG
설명에	설명/NNG+에/JKB
귀를	귀/NNG+를/JKO
기울였다.	기울이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.277.4.1
#2. 같은 시각 4층 강의실.

#2.	#/SW+2/SN+./SF
같은	같/VA+은/ETM
시각	시각/NNG
4층	4/SN+층/NNG
강의실.	강의실/NNG+./SF


# id : NWRW1800000026.277.4.2
10여명의 수강생이 대형 스크린을 통해 인기 미국드라마 '프리즌 브레이크'(Prison Break) 요약판을 보고 있었다.

10여명의	10/SN+여/XSN+명/NNB+의/JKG
수강생이	수강/NNG+생/XSN+이/JKS
대형	대형/NNG
스크린을	스크린/NNG+을/JKO
통해	통하/VV+아/EC
인기	인기/NNG
미국드라마	미국/NNP+드라마/NNG
'프리즌	'/SS+프리즌/NNG
브레이크'(Prison	브레이크/NNG+'/SS+(/SS+Prison/SL
Break)	Break/SL+)/SS
요약판을	요약판/NNG+을/JKO
보고	보/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.277.4.3
동영상이 끝나자 수강생들은 팀별로 토의를 거쳐 주인공이 탈옥 과정에서 보여준 전략적 사고를 5개씩 찾아내 강사에게 제출했다.

동영상이	동영상/NNG+이/JKS
끝나자	끝나/VV+자/EC
수강생들은	수강/NNG+생/XSN+들/XSN+은/JX
팀별로	팀/NNG+별/XSN+로/JKB
토의를	토의/NNG+를/JKO
거쳐	거치/VV+어/EC
주인공이	주인공/NNG+이/JKS
탈옥	탈옥/NNG
과정에서	과정/NNG+에서/JKB
