# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.415
metadata : {}


# id : NWRW1800000022.415.1.1
조선일보, 총선연대에 배상책임 없다 판결;2004년 '정부 돈 받고 낙선운동' 본보 보도와 관련

조선일보,	조선일보/NNP+,/SP
총선연대에	총선/NNG+연대/NNG+에/JKB
배상책임	배상/NNG+책임/NNG
없다	없/VA+다/EF
판결;2004년	판결/NNG+;/SW+2004/SN+년/NNB
'정부	'/SS+정부/NNG
돈	돈/NNG
받고	받/VV+고/EC
낙선운동'	낙선/NNG+운동/NNG+'/SS
본보	본보/NNG
보도와	보도/NNG+와/JKB
관련	관련/NNG


# id : NWRW1800000022.415.2.1
서울고법 민사13부(재판장 여상훈)는 조선일보가 지난 2004년 보도한 '정부에서 지원금을 받은 시민단체들이 낙선운동을 했다'는 기사와 사설에 대해 총선시민연대 등이 낸 손해배상 청구소송의 파기환송심에서 "조선일보의 책임이 없다"고 판결했다고 26일 밝혔다.

서울고법	서울고법/NNP
민사13부(재판장	민사/NNG+13/SN+부/NNG+(/SS+재판장/NNG
여상훈)는	여상훈/NNP+)/SS+는/JX
조선일보가	조선일보/NNP+가/JKS
지난	지나/VV+ㄴ/ETM
2004년	2004/SN+년/NNB
보도한	보도/NNG+하/XSV+ㄴ/ETM
'정부에서	'/SS+정부/NNG+에서/JKB
지원금을	지원금/NNG+을/JKO
받은	받/VV+은/ETM
시민단체들이	시민/NNG+단체/NNG+들/XSN+이/JKS
낙선운동을	낙선/NNG+운동/NNG+을/JKO
했다'는	하/VV+았/EP+다/EF+'/SS+는/ETM
기사와	기사/NNG+와/JC
사설에	사설/NNG+에/JKB
대해	대하/VV+아/EC
총선시민연대	총선시민연대/NNP
등이	등/NNB+이/JKS
낸	내/VV+ㄴ/ETM
손해배상	손해/NNG+배상/NNG
청구소송의	청구/NNG+소송/NNG+의/JKG
파기환송심에서	파기/NNG+환송심/NNG+에서/JKB
"조선일보의	"/SS+조선일보/NNP+의/JKG
책임이	책임/NNG+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
판결했다고	판결/NNG+하/XSV+았/EP+다고/EC
26일	26/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.415.3.1
재판부는 "조선일보 기사를 보면 정부 지원금을 받고 총선시민연대에 참가한 단체들 상당수가 낙선운동을 통해 선거에 참여했다는 사실과, 이 단체들의 도덕성이 상당히 의심스럽다는 취지의 의견을 보도했을 뿐 총선시민연대 등의 명예를 훼손했다고 볼 수 없다"고 밝혔다.

재판부는	재판부/NNG+는/JX
"조선일보	"/SS+조선일보/NNP
기사를	기사/NNG+를/JKO
보면	보/VV+면/EC
정부	정부/NNG
지원금을	지원금/NNG+을/JKO
받고	받/VV+고/EC
총선시민연대에	총선시민연대/NNP+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
단체들	단체/NNG+들/XSN
상당수가	상당수/NNG+가/JKS
낙선운동을	낙선/NNG+운동/NNG+을/JKO
통해	통하/VV+아/EC
선거에	선거/NNG+에/JKB
참여했다는	참여/NNG+하/XSV+았/EP+다는/ETM
사실과,	사실/NNG+과/JC+,/SP
이	이/MMD
단체들의	단체/NNG+들/XSN+의/JKG
도덕성이	도덕/NNG+성/XSN+이/JKS
상당히	상당히/MAG
의심스럽다는	의심/NNG+스럽/XSA+다는/ETM
취지의	취지/NNG+의/JKG
의견을	의견/NNG+을/JKO
보도했을	보도/NNG+하/XSV+았/EP+을/ETM
뿐	뿐/NNB
총선시민연대	총선시민연대/NNP
등의	등/NNB+의/JKG
명예를	명예/NNG+를/JKO
훼손했다고	훼손/NNG+하/XSV+았/EP+다고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.415.4.1
재판부는 이어 "시민단체들도 일정한 정치적 성격을 띨 경우, 언론이 제기하는 비판에 대해서도 겸허하게 수용해야 하고 시민단체의 도덕성과 독립성이 유지되고 있는지 여부는 항상 감시와 비판의 대상이 돼야 한다"고 덧붙였다.

재판부는	재판부/NNG+는/JX
이어	잇/VV+어/EC
"시민단체들도	"/SS+시민/NNG+단체/NNG+들/XSN+도/JX
일정한	일정/NNG+하/XSA+ㄴ/ETM
정치적	정치/NNG+적/XSN
성격을	성격/NNG+을/JKO
띨	띠/VV+ㄹ/ETM
경우,	경우/NNG+,/SP
언론이	언론/NNG+이/JKS
제기하는	제기/NNG+하/XSV+는/ETM
비판에	비판/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
겸허하게	겸허/NNG+하/XSA+게/EC
수용해야	수용/NNG+하/XSV+아야/EC
하고	하/VX+고/EC
시민단체의	시민/NNG+단체/NNG+의/JKG
도덕성과	도덕/NNG+성/XSN+과/JKB
독립성이	독립/NNG+성/XSN+이/JKS
유지되고	유지/NNG+되/XSV+고/EC
있는지	있/VX+는지/EF
여부는	여부/NNG+는/JX
항상	항상/MAG
감시와	감시/NNG+와/JC
비판의	비판/NNG+의/JKG
대상이	대상/NNG+이/JKC
돼야	되/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.415.5.1
조선일보는 2004년 9월 '정부가 565개 비정부기구(NGO)에 411억원의 보조금을 지급했으며, 보조금 상당액이 2004년 총선에서 낙선운동을 했던 단체들에 지원됐다'는 내용으로 5개의 기사와 사설 1개를 보도했다.

조선일보는	조선일보/NNP+는/JX
2004년	2004/SN+년/NNB
9월	9/SN+월/NNB
'정부가	'/SS+정부/NNG+가/JKS
565개	565/SN+개/NNB
비정부기구(NGO)에	비/XPN+정부/NNG+기구/NNG+(/SS+NGO/SL+)/SS+에/JKB
411억원의	411/SN+억/NR+원/NNB+의/JKG
보조금을	보조금/NNG+을/JKO
지급했으며,	지급/NNG+하/XSV+았/EP+으며/EC+,/SP
보조금	보조금/NNG
상당액이	상당액/NNG+이/JKS
총선에서	총선/NNG+에서/JKB
낙선운동을	낙선/NNG+운동/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
단체들에	단체/NNG+들/XSN+에/JKB
지원됐다'는	지원/NNG+되/XSV+었/EP+다/EF+'/SS+는/ETM
내용으로	내용/NNG+으로/JKB
5개의	5/SN+개/NNB+의/JKG
기사와	기사/NNG+와/JC
사설	사설/NNG
1개를	1/SN+개/NNB+를/JKO
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.415.6.1
총선시민연대를 포함한 19개 시민단체들은 조선일보를 상대로 소송을 냈고, 대법원은 지난 2월 '권력 멀리해야 할 단체가 정부 돈 받고 낙선운동'이라는 제목의 기사에 대해서 배상 책임을 일부 인정한 원심을 뒤집고 "신문기사의 제목은 본문과 별개로 다뤄서는 안 되고 기사 전체의 취지를 파악해야 한다"며 사건을 서울고법으로 돌려보냈다.

총선시민연대를	총선시민연대/NNP+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
19개	19/SN+개/NNB
시민단체들은	시민/NNG+단체/NNG+들/XSN+은/JX
조선일보를	조선일보/NNP+를/JKO
상대로	상대/NNG+로/JKB
소송을	소송/NNG+을/JKO
냈고,	내/VV+었/EP+고/EC+,/SP
대법원은	대/XPN+법원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
'권력	'/SS+권력/NNG
멀리해야	멀리/MAG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
단체가	단체/NNG+가/JKS
정부	정부/NNG
돈	돈/NNG
받고	받/VV+고/EC
낙선운동'이라는	낙선/NNG+운동/NNG+'/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
기사에	기사/NNG+에/JKB
대해서	대하/VV+아서/EC
배상	배상/NNG
책임을	책임/NNG+을/JKO
일부	일부/NNG
인정한	인정/NNG+하/XSV+ㄴ/ETM
원심을	원심/NNG+을/JKO
뒤집고	뒤집/VV+고/EC
"신문기사의	"/SS+신문/NNG+기사/NNG+의/JKG
제목은	제목/NNG+은/JX
본문과	본문/NNG+과/JKB
별개로	별개/NNG+로/JKB
다뤄서는	다루/VV+어서/EC+는/JX
안	안/MAG
되고	되/VV+고/EC
기사	기사/NNG
전체의	전체/NNG+의/JKG
취지를	취지/NNG+를/JKO
파악해야	파악/NNG+하/XSV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
사건을	사건/NNG+을/JKO
서울고법으로	서울고법/NNP+으로/JKB
돌려보냈다.	돌려보내/VV+었/EP+다/EF+./SF


