# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.242
metadata : {}


# id : NWRW1800000026.242.1.1
[장애를 껴안으면 능력이 보입니다] "경기도 공공기관, 장애인 4%까지 뽑게 할 것";김문수 경기지사

[장애를	[/SS+장애/NNG+를/JKO
껴안으면	껴안/VV+으면/EC
능력이	능력/NNG+이/JKS
보입니다]	보이/VV+ㅂ니다/EF+]/SS
"경기도	"/SS+경기도/NNP
공공기관,	공공/NNG+기관/NNG+,/SP
장애인	장애인/NNG
4%까지	4/SN+%/SW+까지/JX
뽑게	뽑/VV+게/EC
할	하/VX+ㄹ/ETM
것";김문수	것/NNB+"/SS+;/SW+김문수/NNP
경기지사	경기/NNP+지사/NNG


# id : NWRW1800000026.242.2.1
김문수 경기도지사는 19일 "장애인 고용은 의무고용률 같은 법 규정에 얽매일 문제가 아니다"면서 "임기 중에 경기도의 공공기관들은 법적 의무 기준인 2.3%(전체 직원 중 장애인 고용률)를 떠나 경기도의 장애인 인구 비율인 4%까지 장애인을 채용하도록 추진하겠다"고 말했다.

김문수	김문수/NNP
경기도지사는	경기/NNP+도지사/NNG+는/JX
19일	19/SN+일/NNB
"장애인	"/SS+장애인/NNG
고용은	고용/NNG+은/JX
의무고용률	의무/NNG+고용/NNG+률/XSN
같은	같/VA+은/ETM
법	법/NNG
규정에	규정/NNG+에/JKB
얽매일	얽매이/VV+ㄹ/ETM
문제가	문제/NNG+가/JKC
아니다"면서	아니/VCN+다/EF+"/SS+면서/EC
"임기	"/SS+임기/NNG
중에	중/NNB+에/JKB
경기도의	경기도/NNP+의/JKG
공공기관들은	공공/NNG+기관/NNG+들/XSN+은/JX
법적	법/NNG+적/XSN
의무	의무/NNG
기준인	기준/NNG+이/VCP+ㄴ/ETM
2.3%(전체	2/SN+./SP+3/SN+%/SW+(/SS+전체/NNG
직원	직원/NNG
중	중/NNB
장애인	장애인/NNG
고용률)를	고용/NNG+률/XSN+)/SS+를/JKO
떠나	떠나/VV+아/EC
인구	인구/NNG
비율인	비율/NNG+이/VCP+ㄴ/ETM
4%까지	4/SN+%/SW+까지/JX
장애인을	장애인/NNG+을/JKO
채용하도록	채용/NNG+하/XSV+도록/EC
추진하겠다"고	추진/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.242.2.2
경기도청은 장애인 의무고용 비율을 이미 충족시키고 있다.

경기도청은	경기도청/NNP+은/JX
장애인	장애인/NNG
의무고용	의무/NNG+고용/NNG
비율을	비율/NNG+을/JKO
이미	이미/MAG
충족시키고	충족/NNG+시키/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.242.3.1
김 지사는 수원시 경기도청 집무실에서 가진 본지 인터뷰에서 "자폐장애인 강원식씨가 도서관(경인교대) 사서보조원으로 훌륭히 역할을 해내고 있다는 보도를 봤다"면서 "장애인에게 자신의 한계가 장점이 되는 분야가 있음을 보여준 사례로 경기도는 장애인이 더 잘할 수 있는 영역을 찾아내 장애인 고용에 앞장서겠다"고 말했다.

김	김/NNP
지사는	지사/NNG+는/JX
수원시	수원시/NNP
경기도청	경기도청/NNP
집무실에서	집무실/NNG+에서/JKB
가진	가지/VV+ㄴ/ETM
본지	본지/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
"자폐장애인	"/SS+자폐/NNG+장애인/NNG
강원식씨가	강원식/NNP+씨/NNB+가/JKS
도서관(경인교대)	도서관/NNG+(/SS+경인교대/NNP+)/SS
사서보조원으로	사서/NNG+보조원/NNG+으로/JKB
훌륭히	훌륭히/MAG
역할을	역할/NNG+을/JKO
해내고	해내/VV+고/EC
있다는	있/VX+다는/ETM
보도를	보도/NNG+를/JKO
봤다"면서	보/VV+았/EP+다/EF+"/SS+면서/EC
"장애인에게	"/SS+장애인/NNG+에게/JKB
자신의	자신/NNG+의/JKG
한계가	한계/NNG+가/JKS
장점이	장점/NNG+이/JKC
되는	되/VV+는/ETM
분야가	분야/NNG+가/JKS
있음을	있/VA+음/ETN+을/JKO
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
사례로	사례/NNG+로/JKB
경기도는	경기도/NNP+는/JX
장애인이	장애인/NNG+이/JKS
더	더/MAG
잘할	잘/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
영역을	영역/NNG+을/JKO
찾아내	찾아내/VV+어/EC
장애인	장애인/NNG
고용에	고용/NNG+에/JKB
앞장서겠다"고	앞장서/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


