# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.193
metadata : {}


# id : NWRW1800000045.193.1.1
펀한 영화를 뻔한 영화 만드는 한줄

펀한	펀하/VA+ㄴ/ETM
영화를	영화/NNG+를/JKO
뻔한	뻔하/VA+ㄴ/ETM
영화	영화/NNG
만드는	만들/VV+는/ETM
한줄	한/MMN+줄/NNG


# id : NWRW1800000045.193.2.1
[내가 바뀌면 세상이 바뀝니다] [5월의 주제는 ‘문화예절’]<97>영화-드라마 김빼는 스포일러

[내가	[/SS+내/NP+가/JKS
바뀌면	바뀌/VV+면/EC
세상이	세상/NNG+이/JKS
바뀝니다]	바뀌/VV+ㅂ니다/EF+]/SS
[5월의	[/SS+5/SN+월/NNB+의/JKG
주제는	주제/NNG+는/JX
‘문화예절’]<97>영화-드라마	‘/SS+문화/NNG+예절/NNG+’/SS+]/SS+</SS+97/SN+>/SS+영화/NNG+-/SO+드라마/NNG
김빼는	김/NNG+빼/VV+는/ETM
스포일러	스포일러/NNG


# id : NWRW1800000045.193.3.1
영화 ‘어벤져스’ 개봉을 고대하던 직장인 전도영 씨(24·여)는 지난달 무심코 관련 온라인 기사를 읽고는 영화 관람을 포기했다.

영화	영화/NNG
‘어벤져스’	‘/SS+어벤져스/NNP+’/SS
개봉을	개봉/NNG+을/JKO
고대하던	고대/NNG+하/XSV+던/ETM
직장인	직장인/NNG
전도영	전도영/NNP
씨(24·여)는	씨/NNB+(/SS+24/SN+·/SP+여/NNG+)/SS+는/JX
지난달	지난달/NNG
무심코	무심코/MAG
관련	관련/NNG
온라인	온라인/NNG
기사를	기사/NNG+를/JKO
읽고는	읽/VV+고/EC+는/JX
관람을	관람/NNG+을/JKO
포기했다.	포기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.193.3.2
기사에 달린 댓글에 특정 인물이 죽는다는 내용이 담겨 있었다.

기사에	기사/NNG+에/JKB
달린	달리/VV+ㄴ/ETM
댓글에	댓글/NNG+에/JKB
특정	특정/NNG
인물이	인물/NNG+이/JKS
죽는다는	죽/VV+는다는/ETM
내용이	내용/NNG+이/JKS
담겨	담기/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.193.3.3
전 씨는 “이미 결말을 알고 있는데 돈 주고 영화를 볼 생각이 들겠느냐”며 불만을 토로했다.

전	전/NNP
씨는	씨/NNB+는/JX
“이미	“/SS+이미/MAG
결말을	결말/NNG+을/JKO
알고	알/VV+고/EC
있는데	있/VX+는데/EC
돈	돈/NNG
주고	주/VV+고/EC
영화를	영화/NNG+를/JKO
볼	보/VV+ㄹ/ETM
생각이	생각/NNG+이/JKS
들겠느냐”며	들/VV+겠/EP+느냐/EF+”/SS+며/EC
불만을	불만/NNG+을/JKO
