# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.261
metadata : {}


# id : NWRW1800000056.261.1.1
‘무릎꿇는 엄마’ 더는 없게…특수학교 22곳 이상 짓는다

‘무릎꿇는	‘/SS+무릎/NNG+꿇/VV+는/ETM
엄마’	엄마/NNG+’/SS
더는	더/MAG+는/JX
없게…특수학교	없/VA+게/EC+…/SE+특수/NNG+학교/NNG
22곳	22/SN+곳/NNG
이상	이상/NNG
짓는다	짓/VV+는다/EF


# id : NWRW1800000056.261.2.1
교육부, ‘제5차 특수교육발전 5개년 계획’ 발표

교육부,	교육부/NNG+,/SP
‘제5차	‘/SS+제/XPN+5/SN+차/NNB
특수교육발전	특수/NNG+교육/NNG+발전/NNG
5개년	5/SN+개년/NNB
계획’	계획/NNG+’/SS
발표	발표/NNG


# id : NWRW1800000056.261.3.1
1조7천억원 투입…학교 22개, 학급 1250곳 추가 방침

1조7천억원	1/SN+조/NR+7/SN+천억/NR+원/NNB
투입…학교	투입/NNG+…/SE+학교/NNG
22개,	22/SN+개/NNB+,/SP
학급	학급/NNG
1250곳	1250/SN+곳/NNG
추가	추가/NNG
방침	방침/NNG


# id : NWRW1800000056.261.4.1
특수교사 배치율도 67%에서 90%까지 끌어올리기로

특수교사	특수/NNG+교사/NNG
배치율도	배치/NNG+율/XSN+도/JX
67%에서	67/SN+%/SW+에서/JKB
90%까지	90/SN+%/SW+까지/JX
끌어올리기로	끌어올리/VV+기/ETN+로/JKB


# id : NWRW1800000056.261.5.1
신도시 개발 때 특수학교 부지 우선 확정 방안도 추진

신도시	신/XPN+도시/NNG
개발	개발/NNG
때	때/NNG
특수학교	특수/NNG+학교/NNG
부지	부지/NNG
우선	우선/MAG
확정	확정/NNG
방안도	방안/NNG+도/JX
추진	추진/NNG


# id : NWRW1800000056.261.6.1
‘무릎 꿇은 엄마들’이 다시 생기지 않도록 하기 위해 정부가 앞으로 신도시 등에 특수학교를 일반학교보다 먼저 짓는 방안을 추진하기로 했다.

‘무릎	‘/SS+무릎/NNG
꿇은	꿇/VV+은/ETM
엄마들’이	엄마/NNG+들/XSN+’/SS+이/JKS
다시	다시/MAG
생기지	생기/VV+지/EC
않도록	않/VX+도록/EC
하기	하/VX+기/ETN
위해	위하/VV+아/EC
정부가	정부/NNG+가/JKS
앞으로	앞/NNG+으로/JKB
신도시	신/XPN+도시/NNG
등에	등/NNB+에/JKB
특수학교를	특수/NNG+학교/NNG+를/JKO
일반학교보다	일반/NNG+학교/NNG+보다/JKB
먼저	먼저/MAG
짓는	짓/VV+는/ETM
방안을	방안/NNG+을/JKO
추진하기로	추진/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.261.6.2
장애학생을 위한 학교 설립에 지역 주민이 반발하고 이 때문에 장애학생 부모가 무릎을 꿇고 비는 사례 재발을 원천 차단하겠다는 것이다.

장애학생을	장애/NNG+학생/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
학교	학교/NNG
설립에	설립/NNG+에/JKB
지역	지역/NNG
주민이	주민/NNG+이/JKS
반발하고	반발/NNG+하/XSV+고/EC
이	이/MMD
때문에	때문/NNB+에/JKB
장애학생	장애/NNG+학생/NNG
부모가	부모/NNG+가/JKS
무릎을	무릎/NNG+을/JKO
꿇고	꿇/VV+고/EC
비는	빌/VV+는/ETM
사례	사례/NNG
재발을	재발/NNG+을/JKO
원천	원천/NNG
차단하겠다는	차단/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.261.6.3
정부는 앞으로 5년간 예산 1조7천억원을 투입해 최소 22개 이상의 특수학교를 짓고 특수교사도 크게 늘려간다는 방침이다.

정부는	정부/NNG+는/JX
앞으로	앞/NNG+으로/JKB
5년간	5/SN+년/NNB+간/XSN
예산	예산/NNG
1조7천억원을	1/SN+조/NR+7/SN+천억/NR+원/NNB+을/JKO
투입해	투입/NNG+하/XSV+아/EC
최소	최소/NNG
22개	22/SN+개/NNB
이상의	이상/NNG+의/JKG
특수학교를	특수/NNG+학교/NNG+를/JKO
짓고	짓/VV+고/EC
특수교사도	특수/NNG+교사/NNG+도/JX
크게	크/VA+게/EC
늘려간다는	늘리/VV+어/EC+가/VX+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.261.7.1
김상곤 사회부총리 겸 교육부 장관은 4일 ‘제5차 특수교육발전 5개년(2018~2022년) 계획’을 내놓고 “특수교육 대상자가 10년 전에 견줘 25% 늘었지만 지역 주민 등의 반대로 특수학교 설립이 쉽지 않고, 특수교사 배치도 67% 수준에 그치고 있다”며 “앞으로 5년간 특수교육 대상자의 사회적 통합, 원거리 통학과 과밀학급 해소를 위해 체계적 지원에 나설 것”이라고 말했다.

김상곤	김상곤/NNP
사회부총리	사회/NNG+부총리/NNG
겸	겸/NNB
교육부	교육부/NNG
장관은	장관/NNG+은/JX
4일	4/SN+일/NNB
‘제5차	‘/SS+제/XPN+5/SN+차/NNB
특수교육발전	특수/NNG+교육/NNG+발전/NNG
5개년(2018~2022년)	5/SN+개년/NNB+(/SS+2018/SN+~/SO+2022/SN+년/NNB+)/SS
계획’을	계획/NNG+’/SS+을/JKO
내놓고	내놓/VV+고/EC
“특수교육	“/SS+특수/NNG+교육/NNG
대상자가	대상자/NNG+가/JKS
10년	10/SN+년/NNB
전에	전/NNG+에/JKB
견줘	견주/VV+어/EC
25%	25/SN+%/SW
늘었지만	늘/VV+었/EP+지만/EC
지역	지역/NNG
주민	주민/NNG
등의	등/NNB+의/JKG
반대로	반대/NNG+로/JKB
특수학교	특수/NNG+학교/NNG
설립이	설립/NNG+이/JKS
쉽지	쉽/VA+지/EC
않고,	않/VX+고/EC+,/SP
특수교사	특수/NNG+교사/NNG
배치도	배치/NNG+도/JX
67%	67/SN+%/SW
수준에	수준/NNG+에/JKB
그치고	그치/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“앞으로	“/SS+앞/NNG+으로/JKB
5년간	5/SN+년/NNB+간/XSN
특수교육	특수/NNG+교육/NNG
대상자의	대상자/NNG+의/JKG
사회적	사회/NNG+적/XSN
통합,	통합/NNG+,/SP
원거리	원거리/NNG
통학과	통학/NNG+과/JC
과밀학급	과밀/NNG+학급/NNG
해소를	해소/NNG+를/JKO
위해	위하/VV+아/EC
체계적	체계/NNG+적/XSN
지원에	지원/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.261.8.1
교육부는 이를 위해 내년부터 5년간 장애학생을 따로 교육하는 특수학교를 22곳 이상 새로 짓고, 일반학교에서 장애-비장애 학생이 함께 교육받는 ‘특수학급’은 1250곳(유치원 400학급 포함)을 마련하기로 했다.

교육부는	교육부/NNG+는/JX
이를	이/NP+를/JKO
위해	위하/VV+아/EC
내년부터	내년/NNG+부터/JX
5년간	5/SN+년/NNB+간/XSN
장애학생을	장애/NNG+학생/NNG+을/JKO
따로	따로/MAG
교육하는	교육/NNG+하/XSV+는/ETM
특수학교를	특수/NNG+학교/NNG+를/JKO
22곳	22/SN+곳/NNG
이상	이상/NNG
새로	새로/MAG
짓고,	짓/VV+고/EC+,/SP
일반학교에서	일반/NNG+학교/NNG+에서/JKB
장애-비장애	장애/NNG+-/SO+비/XPN+장애/NNG
학생이	학생/NNG+이/JKS
함께	함께/MAG
교육받는	교육/NNG+받/XSV+는/ETM
‘특수학급’은	‘/SS+특수/NNG+학급/NNG+’/SS+은/JX
1250곳(유치원	1250/SN+곳/NNG+(/SS+유치원/NNG
400학급	400/SN+학급/NNG
포함)을	포함/NNG+)/SS+을/JKO
마련하기로	마련/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.261.8.2
2022년이 되면 현재 174곳인 특수학교는 196곳 이상, 특수학급은 1만325곳에서 1만1575곳 이상으로 늘게 된다.

2022년이	2022/SN+년/NNB+이/JKC
되면	되/VV+면/EC
현재	현재/MAG
174곳인	174/SN+곳/NNG+이/VCP+ㄴ/ETM
특수학교는	특수/NNG+학교/NNG+는/JX
196곳	196/SN+곳/NNG
이상,	이상/NNG+,/SP
특수학급은	특수/NNG+학급/NNG+은/JX
1만325곳에서	1/SN+만/NR+325/SN+곳/NNG+에서/JKB
1만1575곳	1/SN+만/NR+1575/SN+곳/NNG
이상으로	이상/NNG+으로/JKB
늘게	늘/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.261.9.1
교육부는 일부 지역 주민이 특수학교 설립에 반대하거나, 학교 설립에 대한 ‘반대 급부’를 요구하는 데 따른 대책도 내놨다.

교육부는	교육부/NNG+는/JX
일부	일부/NNG
지역	지역/NNG
주민이	주민/NNG+이/JKS
특수학교	특수/NNG+학교/NNG
설립에	설립/NNG+에/JKB
반대하거나,	반대/NNG+하/XSV+거나/EC+,/SP
학교	학교/NNG
대한	대하/VV+ㄴ/ETM
‘반대	‘/SS+반대/NNG
급부’를	급부/NNG+’/SS+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
대책도	대책/NNG+도/JX
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.261.9.2
앞서 지난 9월 서울 강서구의 한 토론회에서 장애아동을 둔 부모들이 특수학교 설립을 막지 말아달라며 지역 주민 앞에서 무릎을 꿇어, 사회적 논란이 인 바 있다.

앞서	앞서/MAG
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
서울	서울/NNP
강서구의	강서구/NNP+의/JKG
한	한/MMN
토론회에서	토론회/NNG+에서/JKB
장애아동을	장애/NNG+아동/NNG+을/JKO
둔	두/VV+ㄴ/ETM
부모들이	부모/NNG+들/XSN+이/JKS
특수학교	특수/NNG+학교/NNG
설립을	설립/NNG+을/JKO
막지	막/VV+지/EC
말아달라며	말/VX+아/EC+달/VX+라며/EC
지역	지역/NNG
주민	주민/NNG
앞에서	앞/NNG+에서/JKB
무릎을	무릎/NNG+을/JKO
꿇어,	꿇/VV+어/EC+,/SP
사회적	사회/NNG+적/XSN
논란이	논란/NNG+이/JKS
인	일/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.261.10.1
이와 관련해 정부는 일정 규모 이상 신도시를 개발할 때 특수학교에 필요한 부지를 일반 초·중·고교에 앞서 확정하는 방안을 추진중이다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
정부는	정부/NNG+는/JX
일정	일정/NNG
규모	규모/NNG
이상	이상/NNG
신도시를	신/XPN+도시/NNG+를/JKO
개발할	개발/NNG+하/XSV+ㄹ/ETM
때	때/NNG
특수학교에	특수/NNG+학교/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
부지를	부지/NNG+를/JKO
일반	일반/NNG
초·중·고교에	초·중·고교/NNG+에/JKB
앞서	앞서/VV+어/EC
확정하는	확정/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
추진중이다.	추진/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.261.10.2
국회에서도 일반 고교와 함께 특수학교를 신도시 학교용지에 포함하는 ‘학교용지 확보 등에 관한 특례법’ 개정안이 지난달 발의된 상태다.

