# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.196
metadata : {}


# id : NWRW1800000054.196.1.1
공사비 대납 강요… KAI 실무자들도 협력사에 갑질

공사비	공사비/NNG
대납	대납/NNG
강요…	강요/NNG+…/SE
KAI	KAI/SL
실무자들도	실무자/NNG+들/XSN+도/JX
협력사에	협력사/NNG+에/JKB
갑질	갑/NNG+질/XSN


# id : NWRW1800000054.196.2.1
한국항공우주산업(KAI) 비리 의혹 사건을 수사 중인 서울중앙지검 방위사업수사부(부장 박찬호)는 KAI가 한 협력업체에 관련도 없는 공사 대금 8000만원가량을 대납하게 한 단서를 잡고 수사 중이다.

한국항공우주산업(KAI)	한국항공우주산업/NNP+(/SS+KAI/SL+)/SS
비리	비리/NNG
의혹	의혹/NNG
사건을	사건/NNG+을/JKO
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
서울중앙지검	서울중앙지검/NNP
방위사업수사부(부장	방위/NNG+사업/NNG+수사부/NNG+(/SS+부장/NNG
박찬호)는	박찬호/NNP+)/SS+는/JX
KAI가	KAI/SL+가/JKS
한	하/VX+ㄴ/ETM
협력업체에	협력/NNG+업체/NNG+에/JKB
관련도	관련/NNG+도/JX
없는	없/VA+는/ETM
공사	공사/NNG
대금	대금/NNG
8000만원가량을	8000/SN+만/NR+원/NNB+가량/XSN+을/JKO
대납하게	대납/NNG+하/XSV+게/EC
단서를	단서/NNG+를/JKO
잡고	잡/VV+고/EC
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.196.2.2
일감 수주에 목을 매는 협력업체에 갑(甲)질을 한 정황이 드러난 것이다.

일감	일감/NNG
수주에	수주/NNG+에/JKB
목을	목/NNG+을/JKO
매는	매/VV+는/ETM
협력업체에	협력/NNG+업체/NNG+에/JKB
갑(甲)질을	갑/NNG+(/SS+甲/SH+)/SS+질/XSN+을/JKO
한	하/VV+ㄴ/ETM
정황이	정황/NNG+이/JKS
드러난	드러나/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.196.3.1
검찰은 최근 KAI에 항공기 설비를 납품하는 D사의 자금 흐름을 추적해 2014년 D사가 KAI 측의 요구를 받고 페루에 8000여만원을 송금한 사실을 확인했다.

검찰은	검찰/NNG+은/JX
최근	최근/MAG
KAI에	KAI/SL+에/JKB
항공기	항공기/NNG
설비를	설비/NNG+를/JKO
납품하는	납품/NNG+하/XSV+는/ETM
D사의	D/SL+사/NNG+의/JKG
자금	자금/NNG
흐름을	흐름/NNG+을/JKO
추적해	추적/NNG+하/XSV+아/EC
2014년	2014/SN+년/NNB
D사가	D/SL+사/NNG+가/JKS
KAI	KAI/SL
측의	측/NNB+의/JKG
요구를	요구/NNG+를/JKO
받고	받/VV+고/EC
페루에	페루/NNP+에/JKB
8000여만원을	8000/SN+여/XSN+만/NR+원/NNB+을/JKO
송금한	송금/NNG+하/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.196.3.2
이 돈은 KAI가 페루에 국산 훈련기 KT-1P를 수출하는 조건으로 현지에 지어주기로 한 항공기 생산 공장 건설 비용이었다.

이	이/MMD
돈은	돈/NNG+은/JX
KAI가	KAI/SL+가/JKS
페루에	페루/NNP+에/JKB
국산	국산/NNG
훈련기	훈련기/NNG
KT-1P를	KT/SL+-/SO+1/SN+P/SL+를/JKO
수출하는	수출/NNG+하/XSV+는/ETM
조건으로	조건/NNG+으로/JKB
현지에	현지/NNG+에/JKB
지어주기로	짓/VV+어/EC+주/VX+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
항공기	항공기/NNG
생산	생산/NNG
공장	공장/NNG
건설	건설/NNG
비용이었다.	비용/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.196.3.3
D사는 현지 공사업체 대표의 아내와 자녀 계좌로 돈을 쪼개서 보냈다고 한다.

D사는	D/SL+사/NNG+는/JX
현지	현지/NNG
공사업체	공사/NNG+업체/NNG
대표의	대표/NNG+의/JKG
아내와	아내/NNG+와/JC
자녀	자녀/NNG
계좌로	계좌/NNG+로/JKB
돈을	돈/NNG+을/JKO
쪼개서	쪼개/VV+어서/EC
보냈다고	보내/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.196.3.4
